Regulator,Target,Weight
O00232,P04406,0.3439029697069072
O00232,P05783,0.16798018025775555
O00232,P05787,0.1952782400502964
O00232,P06748,0.25302275810174735
O00232,P07339,0.0140173797629913
O00232,P09382,0.2150793652382918
O00232,P09936,0.08394827196657294
O00232,P13667,0.2797789687994724
O00232,P14174,0.044340073332574934
O00232,P14314,0.1605531379404574
O00232,P14866,0.2617560205966537
O00232,P17174,0.22048105981338117
O00232,P18669,0.23708412429873574
O00232,P22061,0.12180430024774852
O00232,P23284,0.09563450799648786
O00232,P31949,0.05199563737230082
O00232,P40939,0.3146071608175238
O00232,P46777,0.048906007245748284
O00232,P47914,0.0124301862245935
O00232,P50579,0.06825328242403719
O00232,P50914,0.09371201978750936
O00232,P55060,0.38829147558183463
O00232,P60903,0.055121952660645145
O00232,P62805,0.12197677820493623
O00232,P62829,0.44291498197503965
O00232,P62854,0.004711781902831452
O00232,P62888,0.30703584940154915
O00232,P68104,0.3981041848569243
O00232,P68371,0.19560949243908002
O00232,Q01518,0.4207540092527595
O00232,Q02790,0.16952152392659098
O00232,Q07065,0.2548812184165909
O00232,Q13177,0.07107613900783803
O00232,Q13200,0.13403942452722822
O00232,Q13263,0.26721331722716996
O00232,Q14019,0.28476186502714645
O00232,Q15233,0.3667245184705347
O00232,Q15365,0.16283919155887833
O00232,Q16629,0.18242421262571076
O00232,Q6NYC8,0.299103980719484
O00232,Q7Z417,0.1585785884034501
O00232,Q92804,0.05531324740465307
O00232,Q96AC1,0.3789219131084834
O00232,Q99439,0.029679828117722754
O00232,Q99460,0.19089822337750367
O00232,Q99613,0.13987165086264203
O00232,Q9NZM1,0.31891889353818537
O00232,Q9UMX0,0.2227265101873421
O00232,Q9Y2W1,0.05064998197650099
P04406,O00232,0.29765845076291453
P04406,P05783,0.1922614519054074
P04406,P05787,0.1773092297885182
P04406,P06748,0.11826991265822409
P04406,P07339,0.1441879235054948
P04406,P09382,0.04932951696877549
P04406,P09936,0.430805782044876
P04406,P13667,0.3464738984250528
P04406,P14174,0.27302391195555553
P04406,P14314,0.27037349930899884
P04406,P14866,0.1000420027235987
P04406,P17174,0.37300702766153165
P04406,P18669,0.17836757597673103
P04406,P22061,0.04793226761959094
P04406,P23284,0.018338812391833607
P04406,P31949,0.06988627687996536
P04406,P40939,0.36052748286839076
P04406,P46777,0.30927473764581087
P04406,P47914,0.032187111957302096
P04406,P50579,0.10604150015312716
P04406,P50914,0.1717626144045401
P04406,P55060,0.06933015389176254
P04406,P60903,0.2800821648450374
P04406,P62805,0.2493964438178932
P04406,P62829,0.009729302474591365
P04406,P62854,0.41829817560644494
P04406,P62888,0.16019053782282017
P04406,P68104,0.08919119768745754
P04406,P68371,0.08474674695469289
P04406,Q01518,0.2632218891371448
P04406,Q02790,0.08676135951627116
P04406,Q07065,0.05442043922929472
P04406,Q13177,0.12825703145966763
P04406,Q13200,0.04765977604489031
P04406,Q13263,0.1924351978248442
P04406,Q14019,0.15131808362778176
P04406,Q15233,0.01609811764586438
P04406,Q15365,0.12351704464937215
P04406,Q16629,0.15796129445995
P04406,Q6NYC8,0.18230099210210784
P04406,Q7Z417,0.062151908280851556
P04406,Q92804,0.14104024633844742
P04406,Q96AC1,0.03121842119436606
P04406,Q99439,0.25305676272304506
P04406,Q99460,0.09539519804553499
P04406,Q99613,0.46964160368919516
P04406,Q9NZM1,0.08096076962833451
P04406,Q9UMX0,0.052994889798442746
P04406,Q9Y2W1,0.3320395245925199
P05783,O00232,0.2040992424810525
P05783,P04406,0.2698940290283846
P05783,P05787,0.8125242851052037
P05783,P06748,0.30757618130431263
P05783,P07339,0.2848916949029474
P05783,P09382,0.4437538353382638
P05783,P09936,0.09589261953660871
P05783,P13667,0.2660165649346721
P05783,P14174,0.48043518375900973
P05783,P14314,0.19787377062008144
P05783,P14866,0.14753162308384338
P05783,P17174,0.06026674875821714
P05783,P18669,0.06229249390465484
P05783,P22061,0.38213352555126967
P05783,P23284,0.26908848270821883
P05783,P31949,0.16062565794679853
P05783,P40939,0.39364292893712627
P05783,P46777,0.35472724415031803
P05783,P47914,0.1163035310865622
P05783,P50579,0.252229017525057
P05783,P50914,0.2754838310725915
P05783,P55060,0.00467973138109959
P05783,P60903,0.011110252165591483
P05783,P62805,0.28926390321139256
P05783,P62829,0.3527751352377667
P05783,P62854,0.009732961797507848
P05783,P62888,0.0040994276388436135
P05783,P68104,0.13058054952941303
P05783,P68371,0.0077814844010801335
P05783,Q01518,0.36231385499387314
P05783,Q02790,0.15107835770526912
P05783,Q07065,0.19546659969901947
P05783,Q13177,0.3655152609125064
P05783,Q13200,0.04598207380457398
P05783,Q13263,0.10789002403730162
P05783,Q14019,0.4676301102010741
P05783,Q15233,0.042606614761948235
P05783,Q15365,0.24826297013679802
P05783,Q16629,0.008814783500815784
P05783,Q6NYC8,0.2991815252030395
P05783,Q7Z417,0.060843857800587084
P05783,Q92804,0.36255690805594837
P05783,Q96AC1,0.3115243028448826
P05783,Q99439,0.40095108476044344
P05783,Q99460,0.09142333216369657
P05783,Q99613,0.02582975839454939
P05783,Q9NZM1,0.39410389354675673
P05783,Q9UMX0,0.4196312612087677
P05783,Q9Y2W1,0.12927869198346312
P05787,O00232,0.23012535326323724
P05787,P04406,0.2414124525884795
P05787,P05783,0.7880678605879776
P05787,P06748,0.11646924017306914
P05787,P07339,0.21630355087831463
P05787,P09382,0.6649637037268795
P05787,P09936,0.3933562126548559
P05787,P13667,0.056856253731952376
P05787,P14174,0.6137282648211433
P05787,P14314,0.09245769078338183
P05787,P14866,0.13873251150047916
P05787,P17174,0.053202251449049505
P05787,P18669,0.1726268172647343
P05787,P22061,0.237980547313807
P05787,P23284,0.13444212986315032
P05787,P31949,0.22858449967785255
P05787,P40939,0.165680505851027
P05787,P46777,0.06267366769178685
P05787,P47914,0.2212397385766449
P05787,P50579,0.05721232735105887
P05787,P50914,0.1444379145752557
P05787,P55060,0.05063187870572317
P05787,P60903,0.11096264913861602
P05787,P62805,0.3874625932170983
P05787,P62829,0.35894464107747176
P05787,P62854,0.007229843087096731
P05787,P62888,0.03789082918679951
P05787,P68104,0.08913010725348183
P05787,P68371,0.004797351973072365
P05787,Q01518,0.40823008364392727
P05787,Q02790,0.048661401508646084
P05787,Q07065,0.22080782601084853
P05787,Q13177,0.06969675180960147
P05787,Q13200,0.3425889141984817
P05787,Q13263,0.188648869776386
P05787,Q14019,0.5177639219332345
P05787,Q15233,0.10470414843946504
P05787,Q15365,0.3318229559649558
P05787,Q16629,0.15257047376725694
P05787,Q6NYC8,0.07998869958692255
P05787,Q7Z417,0.1284922017681992
P05787,Q92804,0.16083879833661427
P05787,Q96AC1,0.32025926855943043
P05787,Q99439,0.5838763971191026
P05787,Q99460,0.36735381716447985
P05787,Q99613,0.05877215514673112
P05787,Q9NZM1,0.522585931109944
P05787,Q9UMX0,0.36514506605685504
P05787,Q9Y2W1,0.024575086088411843
P06748,O00232,0.2691464032045381
P06748,P04406,0.14535198934161853
P06748,P05783,0.26927643298340986
P06748,P05787,0.10513071576887599
P06748,P07339,0.10928849739083879
P06748,P09382,0.3588992502328274
P06748,P09936,0.2712568666919375
P06748,P13667,0.06108657476483991
P06748,P14174,0.05613289283953431
P06748,P14314,0.12393617948874167
P06748,P14866,0.06915888532225462
P06748,P17174,0.41141521632820466
P06748,P18669,0.008400359516112066
P06748,P22061,0.5926572101372233
P06748,P23284,0.3380932432477673
P06748,P31949,0.09076467262141719
P06748,P40939,0.18245450325894408
P06748,P46777,0.22353380857212804
P06748,P47914,0.24943524671480555
P06748,P50579,0.43745089931086917
P06748,P50914,0.2522969578954264
P06748,P55060,0.0849613573541161
P06748,P60903,0.4881324691606723
P06748,P62805,0.17456977114110117
P06748,P62829,0.05582086816892395
P06748,P62854,0.17173173647227097
P06748,P62888,0.01565460809592371
P06748,P68104,0.22874265451662873
P06748,P68371,0.09279818340256285
P06748,Q01518,0.16289780197850542
P06748,Q02790,0.2083881636679453
P06748,Q07065,0.30908768759380145
P06748,Q13177,0.28676959947498126
P06748,Q13200,0.29458522160001904
P06748,Q13263,0.024764064551950633
P06748,Q14019,0.11064440222201485
P06748,Q15233,0.23848944294449348
P06748,Q15365,0.0025230571092350143
P06748,Q16629,0.09324203556373344
P06748,Q6NYC8,0.470778164947917
P06748,Q7Z417,0.17482091496175775
P06748,Q92804,0.4017239188748848
P06748,Q96AC1,0.06673200997527297
P06748,Q99439,0.237340220941164
P06748,Q99460,0.008925295763708367
P06748,Q99613,0.2488188076057839
P06748,Q9NZM1,0.15809524459497246
P06748,Q9UMX0,0.3748989924044136
P06748,Q9Y2W1,0.20831835400551002
P07339,O00232,0.01663876557043682
P07339,P04406,0.1977428821703474
P07339,P05783,0.27832402888709684
P07339,P05787,0.2178749479759283
P07339,P06748,0.12195503166411634
P07339,P09382,0.10451340580842819
P07339,P09936,0.16862438788311873
P07339,P13667,0.5401625720194381
P07339,P14174,0.1833195281988199
P07339,P14314,0.5900193529681157
P07339,P14866,0.1458281187843709
P07339,P17174,0.03450171049458941
P07339,P18669,0.3373386384107313
P07339,P22061,0.33944536021407457
P07339,P23284,0.4934963876953723
P07339,P31949,0.5682066006936745
P07339,P40939,0.18012742542507562
P07339,P46777,0.3558736070863898
P07339,P47914,0.4160705772915277
P07339,P50579,0.3261151805505729
P07339,P50914,0.26103462304001507
P07339,P55060,0.04091530672484145
P07339,P60903,0.2795169579919897
P07339,P62805,0.03369097660979451
P07339,P62829,0.21319939798771823
P07339,P62854,0.12543679898192672
P07339,P62888,0.006521852412627382
P07339,P68104,0.13909332024266544
P07339,P68371,0.30278301266744173
P07339,Q01518,0.20852414690777862
P07339,Q02790,0.21885491281091593
P07339,Q07065,0.2106571490907713
P07339,Q13177,0.4505016574055217
P07339,Q13200,0.02566417724601316
P07339,Q13263,0.08722263860010523
P07339,Q14019,0.6273147908450847
P07339,Q15233,0.38126451037675535
P07339,Q15365,0.019056121468698346
P07339,Q16629,0.08592122958670281
P07339,Q6NYC8,0.09033057959930169
P07339,Q7Z417,0.4114583251686805
P07339,Q92804,0.03926637946651816
P07339,Q96AC1,0.01256228912097779
P07339,Q99439,0.17372854930777984
P07339,Q99460,0.3468434427167544
P07339,Q99613,0.022071877189685018
P07339,Q9NZM1,0.10074468811559847
P07339,Q9UMX0,0.06682910864235159
P07339,Q9Y2W1,0.60301716756566
P09382,O00232,0.20456830651733082
P09382,P04406,0.05420809879746013
P09382,P05783,0.3473748511313959
P09382,P05787,0.5366942328317289
P09382,P06748,0.32090993312896954
P09382,P07339,0.0837447019034987
P09382,P09936,0.06624143068209713
P09382,P13667,0.1255594468002318
P09382,P14174,0.34763888821801237
P09382,P14314,0.10178975082167897
P09382,P14866,0.14475166547449497
P09382,P17174,0.2682584140564986
P09382,P18669,0.18725243099412492
P09382,P22061,0.4313296358150436
P09382,P23284,0.035765216852412296
P09382,P31949,0.09144754340740605
P09382,P40939,0.06228270253372056
P09382,P46777,0.09346255554327147
P09382,P47914,0.08314598340949172
P09382,P50579,0.21547792176777508
P09382,P50914,0.24344143102550755
P09382,P55060,0.0601235441379595
P09382,P60903,0.14853728399005806
P09382,P62805,0.2695802355785965
P09382,P62829,0.10005928159893564
P09382,P62854,0.05270768413976386
P09382,P62888,0.34333349643333133
P09382,P68104,0.15659651207889425
P09382,P68371,0.2466077763053993
P09382,Q01518,0.2948156570769227
P09382,Q02790,0.11927545659520777
P09382,Q07065,0.04147161546472523
P09382,Q13177,0.26485176856823534
P09382,Q13200,0.18633191680490283
P09382,Q13263,0.05893568839427175
P09382,Q14019,0.034472221202899216
P09382,Q15233,0.1744295234700315
P09382,Q15365,0.08131924247981738
P09382,Q16629,0.05587761903792183
P09382,Q6NYC8,0.32168726263486447
P09382,Q7Z417,0.19155790499303468
P09382,Q92804,0.18315497377032314
P09382,Q96AC1,0.15658394584580826
P09382,Q99439,0.23417148141636066
P09382,Q99460,0.36492922215617357
P09382,Q99613,0.06635503687252294
P09382,Q9NZM1,0.46041912571346927
P09382,Q9UMX0,0.32611847826471746
P09382,Q9Y2W1,0.008271844155107094
P09936,O00232,0.07749322136128621
P09936,P04406,0.45946367980363273
P09936,P05783,0.07285406461704047
P09936,P05787,0.3081252945746106
P09936,P06748,0.2353985047364285
P09936,P07339,0.13113483578282104
P09936,P09382,0.06428979690136064
P09936,P13667,0.0715655351533935
P09936,P14174,0.30526327279784254
P09936,P14314,0.27466503773625234
P09936,P14866,0.030169082636662195
P09936,P17174,0.43183836852651775
P09936,P18669,0.14883319657292085
P09936,P22061,0.2900121193982551
P09936,P23284,0.12151740023385119
P09936,P31949,0.17707265982189693
P09936,P40939,0.15576035029761484
P09936,P46777,0.01846764522927079
P09936,P47914,0.5323460477442913
P09936,P50579,0.1180817907101669
P09936,P50914,0.4112429245107787
P09936,P55060,0.33974218861529365
P09936,P60903,0.3488001750565915
P09936,P62805,0.2530593611876053
P09936,P62829,0.06334807400956793
P09936,P62854,0.11960689581754305
P09936,P62888,0.0061125010569942455
P09936,P68104,0.015538571644273868
P09936,P68371,0.08837532577904678
P09936,Q01518,0.07999725024287727
P09936,Q02790,0.28083283837747214
P09936,Q07065,0.22232781030168033
P09936,Q13177,0.005897857404418697
P09936,Q13200,0.2579628524177619
P09936,Q13263,0.024568914459696587
P09936,Q14019,0.21363044876833737
P09936,Q15233,0.0022297171368310283
P09936,Q15365,0.251960885164937
P09936,Q16629,0.2579506274734591
P09936,Q6NYC8,0.05003260742510047
P09936,Q7Z417,0.28393983813176504
P09936,Q92804,0.06225758844665162
P09936,Q96AC1,0.046274775962584745
P09936,Q99439,0.37369557791652913
P09936,Q99460,0.11126186979204213
P09936,Q99613,0.003906626218492319
P09936,Q9NZM1,0.15897595730820147
P09936,Q9UMX0,0.3080269134107424
P09936,Q9Y2W1,0.265457644338016
P13667,O00232,0.35833815824836385
P13667,P04406,0.5127034310773889
P13667,P05783,0.2804163443630902
P13667,P05787,0.06179390158948026
P13667,P06748,0.0735520482516238
P13667,P07339,0.5828384805176413
P13667,P09382,0.16907826466420928
P13667,P09936,0.09929559016718825
P13667,P14174,0.08160121058109303
P13667,P14314,0.9599004598587136
P13667,P14866,0.07507155061371683
P13667,P17174,0.10102617727451575
