Regulator,Target,Weight
O00629,O15143,0.3377754800759221
O00629,O60716,0.07091417845487606
O00629,O94925,0.11780353079025871
O00629,P05556,0.12789167323235356
O00629,P05787,0.11149868471160174
O00629,P05976,0.3177269988721323
O00629,P13667,0.186381467256782
O00629,P14174,0.12249509743988331
O00629,P15374,0.14130392626717247
O00629,P16989,0.47886030951864267
O00629,P17096,0.3629551614903911
O00629,P31949,0.3729495869533247
O00629,P49023,0.45532930608826533
O00629,P49756,0.48491941311257153
O00629,P56192,0.15889189486386526
O00629,P62328,0.17475439072445592
O00629,P62424,0.26177308118431714
O00629,P62854,0.21404519441723915
O00629,P63208,0.15290171464435626
O00629,P67809,0.3000336715936432
O00629,P67936,0.20789033119579925
O00629,P80723,0.35937925469356696
O00629,Q01995,0.08239524267535674
O00629,Q02790,0.12658602544399414
O00629,Q07065,0.1027222283225473
O00629,Q07866,0.23088528816530623
O00629,Q07954,0.1544494892751895
O00629,Q14011,0.24384547822109714
O00629,Q15366,0.2524768211047456
O00629,Q16181,0.09828953642193096
O00629,Q3SX28,0.24621617371105733
O00629,Q6NZI2,0.09591063442903427
O00629,Q71UM5,0.45509534564800125
O00629,Q86UP2,0.1831355455605086
O00629,Q8IVL6,0.03566749216753071
O00629,Q92841,0.12072984485506938
O00629,Q96A49,0.2507282096654656
O00629,Q96C90,0.1467255700718044
O00629,Q99613,0.11486446610819648
O00629,Q99879,0.16871612919783013
O00629,Q9HBL0,0.40525713319602213
O00629,Q9UBR2,0.3686331775592456
O00629,Q9UHB9,0.2484490704331522
O00629,Q9UKY7,0.049590172837178446
O00629,Q9UMX0,0.14665591901509148
O00629,Q9UN86,0.34198588569999
O00629,Q9Y5S9,0.4700934577081772
O15143,O00629,0.32943571689029494
O15143,O60716,0.30192192159254444
O15143,O94925,0.20149196063276006
O15143,P05556,0.020438674518505694
O15143,P05787,0.061808083431509425
O15143,P05976,0.1279109081456708
O15143,P13667,0.08353412982995286
O15143,P14174,0.1127691899919582
O15143,P15374,0.022264985202344025
O15143,P16989,0.43787783520917184
O15143,P17096,0.2784891455742025
O15143,P31949,0.3654007222610372
O15143,P49023,0.44875273591851605
O15143,P49756,0.25178487865440763
O15143,P56192,0.15668298231453176
O15143,P62328,0.2762336725654821
O15143,P62424,0.3654214838332017
O15143,P62854,0.23645833925951934
O15143,P63208,0.2484511573796016
O15143,P67809,0.34168414785205053
