Regulator,Target,Weight
P05556,P05787,0.12929357198127048
P05556,P05976,0.09530428443411511
P05556,P09104,0.06735117803718584
P05556,P12955,0.4087157151249137
P05556,P13667,0.18460212073184798
P05556,P16989,0.15188590715251554
P05556,P17096,0.19350930808914726
P05556,P18621,0.2820004521738115
P05556,P21399,0.13556693312780643
P05556,P24844,0.325739119273895
P05556,P31949,0.13471648774534956
P05556,P47914,0.28249546308491197
P05556,P49023,0.34758652316433397
P05556,P60228,0.25669511063358136
P05556,P60903,0.4238974690494829
P05556,P62328,0.13926352105195877
P05556,P62888,0.5360575554147818
P05556,P67809,0.17628036202291716
P05556,P67936,0.18420981851352658
P05556,P80723,0.18947652525260336
P05556,Q01995,0.06863432701477773
P05556,Q02790,0.27844398655819497
P05556,Q07065,0.4022670290440976
P05556,Q07954,0.2339147784609327
P05556,Q14157,0.3828902121983692
P05556,Q14203,0.07317693199352532
P05556,Q15459,0.4568884066021542
P05556,Q16181,0.19709170557774222
P05556,Q3SX28,0.036613493546973686
P05556,Q7Z417,0.16377166982983923
P05556,Q7Z4V5,0.032506692343872955
P05556,Q86UP2,0.4244782083890569
P05556,Q92841,0.23350528812631477
P05556,Q969G3,0.3291412827051745
P05556,Q99613,0.21922435728542383
P05556,Q99879,0.2779555788698014
P05556,Q9NQP4,0.020744577077540495
P05556,Q9UN86,0.19074896186736381
P05556,Q9Y2D5,0.24405403528233383
P05556,Q9Y5S9,0.38956077266828104
P05787,P05556,0.1498745638955468
P05787,P05976,0.3323231715384043
P05787,P09104,0.32326458846704526
P05787,P12955,0.6199221921333986
P05787,P13667,0.5624299840326323
P05787,P16989,0.24841644852236083
P05787,P17096,0.01024923465381931
P05787,P18621,0.2583440576996811
P05787,P21399,0.021495210722756626
P05787,P24844,0.20106606269905256
P05787,P31949,0.25862598088689803
P05787,P47914,0.17555407327432085
P05787,P49023,0.09589376198635871
P05787,P60228,0.3242976837568757
P05787,P60903,0.07208144735314638
P05787,P62328,0.30337700423283953
P05787,P62888,0.5820550213023705
P05787,P67809,0.24745540785123724
P05787,P67936,0.4683667534312002
P05787,P80723,0.4565566789491659
P05787,Q01995,0.962073483465346
P05787,Q02790,0.008697809945026922
P05787,Q07065,0.28426419195035135
P05787,Q07954,0.8580131521158006
P05787,Q14157,0.15948214622956064
P05787,Q14203,0.020940821508687237
P05787,Q15459,0.33206739410672376
P05787,Q16181,0.3028938262399839
P05787,Q3SX28,0.5569102581920445
P05787,Q7Z417,0.458595814727998
P05787,Q7Z4V5,0.34366178702729433
P05787,Q86UP2,0.34313561258306174
P05787,Q92841,0.0022266458365961285
P05787,Q969G3,0.31560279153686016
P05787,Q99613,0.02136485727169163
P05787,Q99879,0.12549779185066612
P05787,Q9NQP4,0.09895062125536322
P05787,Q9UN86,0.023290593799861408
P05787,Q9Y2D5,0.22927699211626693
P05787,Q9Y5S9,0.20762841234497142
P05976,P05556,0.09470420292138508
P05976,P05787,0.28488294720971674
P05976,P09104,0.25327363731744257
P05976,P12955,0.05108102474378453
P05976,P13667,0.24671822387630016
P05976,P16989,0.42313346418354264
P05976,P17096,0.304848914783265
P05976,P18621,0.28998530726314925
P05976,P21399,0.1074148087060305
P05976,P24844,0.028806789921809847
P05976,P31949,0.29500698590547436
P05976,P47914,0.028835851831431926
P05976,P49023,0.230039879956681
P05976,P60228,0.2760457321289461
P05976,P60903,0.12837649482294608
P05976,P62328,0.32530736525177406
P05976,P62888,0.02513151785323733
P05976,P67809,0.386189175115361
P05976,P67936,0.26219457582630606
P05976,P80723,0.35619133306170997
P05976,Q01995,0.30013768616699077
P05976,Q02790,0.2818176370507226
P05976,Q07065,0.06158604343614668
P05976,Q07954,0.18418784105276653
P05976,Q14157,0.14746487765303506
P05976,Q14203,0.33188586843144646
P05976,Q15459,0.05421988345237453
P05976,Q16181,0.2229257760448384
P05976,Q3SX28,0.356778065562956
P05976,Q7Z417,0.36015739493044374
P05976,Q7Z4V5,0.14400653539297087
P05976,Q86UP2,0.06370575448237914
P05976,Q92841,0.2944171969041133
P05976,Q969G3,0.1222642555329739
P05976,Q99613,0.32899256440360547
P05976,Q99879,0.14316481645719653
P05976,Q9NQP4,0.4388260312199523
P05976,Q9UN86,0.1637286751877214
P05976,Q9Y2D5,0.36568799629229926
P05976,Q9Y5S9,0.2004407229001501
P09104,P05556,0.05233929981855807
P09104,P05787,0.21671543634417992
P09104,P05976,0.19806870916912542
P09104,P12955,0.29135237785395623
P09104,P13667,0.24234502185603943
P09104,P16989,0.0933942086976192
P09104,P17096,0.05500509115718719
P09104,P18621,0.21218330840607
P09104,P21399,0.04199456914575229
P09104,P24844,0.2845285638773326
P09104,P31949,0.045320815169880214
P09104,P47914,0.068159005075347
P09104,P49023,0.010957300340091193
P09104,P60228,0.1758988155206718
P09104,P60903,0.37880251259281084
P09104,P62328,0.09086072362345204
P09104,P62888,0.12267754820939604
P09104,P67809,0.13693699428130704
P09104,P67936,0.0008777967103590698
P09104,P80723,0.2213726035244622
P09104,Q01995,0.16467457312244696
P09104,Q02790,0.3808528749557898
P09104,Q07065,0.2323774500123208
P09104,Q07954,0.03352474889204608
P09104,Q14157,0.1845479368554562
P09104,Q14203,0.36843202436781763
P09104,Q15459,0.2276279202709255
P09104,Q16181,0.3535965699979099
P09104,Q3SX28,0.008205686155889099
P09104,Q7Z417,0.29706872945956864
P09104,Q7Z4V5,0.2359974082538361
P09104,Q86UP2,0.12227890987945828
P09104,Q92841,0.42262128936097226
P09104,Q969G3,0.17091686038176324
P09104,Q99613,0.4763165311808636
P09104,Q99879,0.32127650456614537
P09104,Q9NQP4,0.3812002948115076
P09104,Q9UN86,0.11526685918420852
P09104,Q9Y2D5,0.2262490923567837
P09104,Q9Y5S9,0.12223004987278574
P12955,P05556,0.43433475758465007
P12955,P05787,0.5683154117061439
P12955,P05976,0.05462683279439704
P12955,P09104,0.3984181396306336
P12955,P13667,0.15207051522556658
P12955,P16989,0.031106021835004355
P12955,P17096,0.3092075619899453
P12955,P18621,0.16343083217210497
P12955,P21399,0.11339630727979007
P12955,P24844,0.25385809911556995
P12955,P31949,0.11897598588083984
P12955,P47914,0.014375568418906033
P12955,P49023,0.28909448901294765
P12955,P60228,0.07810838215127179
P12955,P60903,0.4245236340205027
P12955,P62328,0.04146877383739845
P12955,P62888,0.25216807902764765
P12955,P67809,0.03425793440180623
P12955,P67936,0.1295184514459166
P12955,P80723,0.09626465499511036
P12955,Q01995,0.5815866756931776
P12955,Q02790,0.36874969353547005
P12955,Q07065,0.22405988378679667
P12955,Q07954,0.276722360973995
P12955,Q14157,0.555659574694452
P12955,Q14203,0.18008410368776626
P12955,Q15459,0.7000745881247868
P12955,Q16181,0.4738039943113554
P12955,Q3SX28,0.39741344283691843
P12955,Q7Z417,0.10903204486057297
P12955,Q7Z4V5,0.21284445045581998
P12955,Q86UP2,0.27160197465618713
P12955,Q92841,0.3043443005740975
P12955,Q969G3,0.5436837374638714
P12955,Q99613,0.2841896167356598
P12955,Q99879,0.3312291075570953
P12955,Q9NQP4,0.057839103221792414
P12955,Q9UN86,0.15344335460882155
P12955,Q9Y2D5,0.12439460169808988
P12955,Q9Y5S9,0.2637837259493172
P13667,P05556,0.21279334433198463
P13667,P05787,0.5592922754238918
P13667,P05976,0.286197447312321
P13667,P09104,0.35947835457802474
P13667,P12955,0.1649541032387578
P13667,P16989,0.18810538791453968
P13667,P17096,0.145848439935192
P13667,P18621,0.3206609108953225
P13667,P21399,0.41135255645101293
P13667,P24844,0.011855201033762693
P13667,P31949,0.38634331078461975
P13667,P47914,0.11929652310959346
P13667,P49023,0.034225093413099726
P13667,P60228,0.45290069003351446
P13667,P60903,0.12679030186701745
P13667,P62328,0.06650726603969324
P13667,P62888,0.4160195593806694
P13667,P67809,0.24299109630770405
P13667,P67936,0.39529706457584646
P13667,P80723,0.1827274050149628
