Regulator,Target,Weight
P05556,P05787,0.15181170112971643
P05556,P05976,0.4869222242629839
P05556,P09104,0.554797040635653
P05556,P12955,0.3264417803666148
P05556,P13667,0.069898250724245
P05556,P16989,0.008185808123734923
P05556,P17096,0.24140990675202267
P05556,P18621,0.048524092083565125
P05556,P21399,0.36926026309425286
P05556,P24844,0.012529346499844336
P05556,P31949,0.5700626766712602
P05556,P47914,0.4040091836307209
P05556,P49023,0.023752371137938863
P05556,P60228,0.15484826906821164
P05556,P60903,0.6070624536355517
P05556,P62328,0.28933449353933466
P05556,P62888,0.433646113091136
P05556,P67809,0.2750322578976613
P05556,P67936,0.23387917264571706
P05556,P80723,0.2645790034487896
P05556,Q01995,0.041572080405677454
P05556,Q02790,0.20570126141693393
P05556,Q07065,0.7936270535007554
P05556,Q07954,0.017004847598465496
P05556,Q14157,0.5646196033930192
P05556,Q14203,0.531348071388457
P05556,Q15459,0.3611171961397403
P05556,Q16181,0.2718190352652897
P05556,Q3SX28,0.008390724219616067
P05556,Q7Z417,0.16515645300488735
P05556,Q7Z4V5,0.19078825823183043
P05556,Q86UP2,0.4450317588758772
P05556,Q92841,0.010354744786817728
P05556,Q969G3,0.8428218406551258
P05556,Q99613,0.4317687772507724
P05556,Q99879,0.03182752960263142
P05556,Q9NQP4,0.28489809397741356
P05556,Q9UN86,0.4568073385405688
P05556,Q9Y2D5,0.29565949970136896
P05556,Q9Y5S9,0.11688302635411828
P05787,P05556,0.1487178362259455
P05787,P05976,0.5888289392099081
P05787,P09104,0.45285447049695854
P05787,P12955,0.7352351572294419
P05787,P13667,0.6461426581953845
P05787,P16989,0.018574516335466452
P05787,P17096,0.08109581733359732
P05787,P18621,0.1193131193405103
P05787,P21399,0.22295220049512007
P05787,P24844,0.6392512625647987
P05787,P31949,0.5619482387590795
P05787,P47914,0.4200830910240302
P05787,P49023,0.05693635730796382
P05787,P60228,0.2454603916964188
P05787,P60903,0.3091307316415262
P05787,P62328,0.4654659704395321
P05787,P62888,0.40593275492371755
P05787,P67809,0.014351627779050845
P05787,P67936,0.3735588107404764
P05787,P80723,0.2141460628231157
P05787,Q01995,0.656878442540101
P05787,Q02790,0.1554439636484212
P05787,Q07065,0.4156793630228582
P05787,Q07954,0.48807913055251523
P05787,Q14157,0.03865619848769104
P05787,Q14203,0.2086341464455943
P05787,Q15459,0.18951207380185286
P05787,Q16181,0.13832419458055045
P05787,Q3SX28,0.5618042336937532
P05787,Q7Z417,0.08853562237186928
P05787,Q7Z4V5,0.15680171950499383
P05787,Q86UP2,0.005106645372189281
P05787,Q92841,0.11416737740543201
P05787,Q969G3,0.04708163466811527
P05787,Q99613,0.1885166913068187
P05787,Q99879,0.3396166019793313
P05787,Q9NQP4,0.5893361308030298
P05787,Q9UN86,0.12398399917534259
P05787,Q9Y2D5,0.010584176057278395
P05787,Q9Y5S9,0.04148103813636264
P05976,P05556,0.38232927128785327
P05976,P05787,0.4719644494139096
P05976,P09104,0.05762504886760298
P05976,P12955,0.40155721173096837
P05976,P13667,0.4706351319560313
P05976,P16989,0.2324464851511911
P05976,P17096,0.058868538032817525
P05976,P18621,0.07532420044263256
P05976,P21399,0.09880410600886944
P05976,P24844,0.4467929207665759
P05976,P31949,0.6054342279667067
P05976,P47914,0.6339209057960337
P05976,P49023,0.11703897487390796
P05976,P60228,0.08372581857726628
P05976,P60903,0.37965044975128914
P05976,P62328,0.2621796493458128
P05976,P62888,0.12182356078899033
P05976,P67809,0.02126857961728027
P05976,P67936,0.27026878155289297
P05976,P80723,0.03111694736756749
P05976,Q01995,0.43392474583952007
P05976,Q02790,0.08711440320070817
P05976,Q07065,0.727244405730214
P05976,Q07954,0.39678413102884025
P05976,Q14157,0.04274759799873993
P05976,Q14203,0.15099240873486908
P05976,Q15459,0.18580387657962075
P05976,Q16181,0.0286300793225268
P05976,Q3SX28,0.248602299387453
P05976,Q7Z417,0.43387589256886216
P05976,Q7Z4V5,0.150018285304874
P05976,Q86UP2,0.06155453691889141
P05976,Q92841,0.0414615650338014
P05976,Q969G3,0.20834726149526472
P05976,Q99613,0.13063579690145805
P05976,Q99879,0.04301440343330634
P05976,Q9NQP4,0.29578736739064493
P05976,Q9UN86,0.0021341808098938697
P05976,Q9Y2D5,0.2727555690091797
P05976,Q9Y5S9,0.19280139729731963
P09104,P05556,0.2643871596396151
P09104,P05787,0.22029623328863876
P09104,P05976,0.03497353876228878
P09104,P12955,0.23140739483262285
P09104,P13667,0.27628040753103683
P09104,P16989,0.051853278296445544
P09104,P17096,0.04959421264364255
P09104,P18621,0.12094005738613633
P09104,P21399,0.42862695071824414
P09104,P24844,0.02433667384245731
P09104,P31949,0.015609043357041996
P09104,P47914,0.1112147985462951
P09104,P49023,0.17700011943603375
P09104,P60228,0.07816633656463008
P09104,P60903,0.12085835011722898
P09104,P62328,0.3529305670225622
P09104,P62888,0.10368269752103283
P09104,P67809,0.0288039670114421
P09104,P67936,0.20714719605418608
P09104,P80723,0.13856994318225438
P09104,Q01995,0.0015173012061497496
P09104,Q02790,0.022211805931998473
P09104,Q07065,0.42237826016776836
P09104,Q07954,0.26885674717908525
P09104,Q14157,0.1473634398143409
P09104,Q14203,0.08262152081403262
P09104,Q15459,0.025258811717328775
P09104,Q16181,0.07662786652550783
P09104,Q3SX28,0.01882815439242208
P09104,Q7Z417,0.5207082162687653
P09104,Q7Z4V5,0.03283137630155471
P09104,Q86UP2,0.06274081706718801
P09104,Q92841,0.21802774841080622
P09104,Q969G3,0.17009023959804664
P09104,Q99613,0.07937936593286152
P09104,Q99879,0.06888895767262805
P09104,Q9NQP4,0.31892651923839066
P09104,Q9UN86,0.04763663136905779
P09104,Q9Y2D5,0.039791747044994816
P09104,Q9Y5S9,0.010176297366206337
P12955,P05556,0.2772461585718425
P12955,P05787,0.6374237694731302
P12955,P05976,0.4343394507238087
P12955,P09104,0.4124115403060873
P12955,P13667,0.7665552446113824
P12955,P16989,0.18171281985502338
P12955,P17096,0.1274984118346003
P12955,P18621,0.15718678120663496
P12955,P21399,0.01921915983850584
P12955,P24844,0.2995455033724192
P12955,P31949,0.31271841232207565
P12955,P47914,0.12128074003805735
P12955,P49023,0.2268033846405961
P12955,P60228,0.10508095985584318
P12955,P60903,0.1401599352888365
P12955,P62328,0.3260715305766661
P12955,P62888,0.39928026566190644
P12955,P67809,0.15059888474371202
P12955,P67936,0.5955017332277963
P12955,P80723,0.29339193803586555
P12955,Q01995,0.4214463735846864
P12955,Q02790,0.04115810969754543
P12955,Q07065,0.19732800005795792
P12955,Q07954,0.2779017017325926
P12955,Q14157,0.06416492840666774
P12955,Q14203,0.11014280883482809
P12955,Q15459,0.2691095962356323
P12955,Q16181,0.038901194091318134
P12955,Q3SX28,0.4251396402789826
P12955,Q7Z417,0.22136293008841862
P12955,Q7Z4V5,0.4070204123219856
P12955,Q86UP2,0.011189421922082585
P12955,Q92841,0.2123873229682407
P12955,Q969G3,0.12328983302244662
P12955,Q99613,0.023706104928025294
P12955,Q99879,0.09941143397882986
P12955,Q9NQP4,0.518691358860421
P12955,Q9UN86,0.20701084216777624
P12955,Q9Y2D5,0.11164653222310265
P12955,Q9Y5S9,0.12560339035829338
P13667,P05556,0.06392036042162783
P13667,P05787,0.6031752469437548
P13667,P05976,0.5481246069860936
P13667,P09104,0.530171981606077
P13667,P12955,0.8253849915697636
P13667,P16989,0.06863039150443892
P13667,P17096,0.30701326580586136
P13667,P18621,0.24863895711158981
P13667,P21399,0.028528178292158028
P13667,P24844,0.2817521629618905
P13667,P31949,0.5201295645568226
P13667,P47914,0.2619135811972901
P13667,P49023,0.10956910598024504
P13667,P60228,0.36613838402749704
P13667,P60903,0.1708797609717551
P13667,P62328,0.30252175971138456
P13667,P62888,0.48876084873051684
P13667,P67809,0.03129541664707381
P13667,P67936,0.45554713012807835
P13667,P80723,0.024239532896754658
P13667,Q01995,0.47828240846670556
P13667,Q02790,0.11116167710158645
P13667,Q07065,0.0400612257993764
P13667,Q07954,0.2844670583273973
P13667,Q14157,0.16721236766154318
P13667,Q14203,0.35166313029992524
P13667,Q15459,0.15473651873386912
P13667,Q16181,0.07795049577941432
P13667,Q3SX28,0.27884068809529783
P13667,Q7Z417,0.1576993250973573
P13667,Q7Z4V5,0.161222826231583
P13667,Q86UP2,0.18394476313531383
P13667,Q92841,0.38004198842603787
P13667,Q969G3,0.16362581865257167
P13667,Q99613,0.0332871009648138
P13667,Q99879,0.19650875614791607
P13667,Q9NQP4,0.6446530201370904
P13667,Q9UN86,0.13065151035326333
P13667,Q9Y2D5,0.3655498091766557
P13667,Q9Y5S9,0.1339381513690026
P16989,P05556,0.008189861914642755
P16989,P05787,0.01897032282740069
P16989,P05976,0.2961829473880836
P16989,P09104,0.10886418216954735
P16989,P12955,0.21406259559523058
P16989,P13667,0.07508593399070146
P16989,P17096,0.4759523274834916
P16989,P18621,0.4353185446692947
P16989,P21399,0.18485184565401622
P16989,P24844,0.0084094283456339
P16989,P31949,0.5886534803748688
P16989,P47914,0.2823220425334206
P16989,P49023,0.750712796269857
P16989,P60228,0.09250683158980286
P16989,P60903,0.21504950420333746
P16989,P62328,0.4350607213908899
P16989,P62888,0.06640835207370281
P16989,P67809,0.510874495398909
P16989,P67936,0.4067814588807143
P16989,P80723,0.4811622705681338
P16989,Q01995,0.09023793028412824
P16989,Q02790,0.02349859437318039
P16989,Q07065,0.10093598428672922
P16989,Q07954,0.25787720486694904
P16989,Q14157,0.14132787948769893
P16989,Q14203,0.2715621940712435
P16989,Q15459,0.3075623844900245
P16989,Q16181,0.3154142181092137
P16989,Q3SX28,0.5048963253646285
P16989,Q7Z417,0.20686801146595016
P16989,Q7Z4V5,0.5571503222533084
P16989,Q86UP2,0.3961053059112049
P16989,Q92841,0.2987257266425947
P16989,Q969G3,0.03231782001276301
P16989,Q99613,0.2080818485757761
P16989,Q99879,0.10298279511066337
P16989,Q9NQP4,0.17320729698287313
P16989,Q9UN86,0.4320263231977114
P16989,Q9Y2D5,0.24764566191225615
P16989,Q9Y5S9,0.5447028093397318
P17096,P05556,0.1831520707285624
P17096,P05787,0.06280545827692291
P17096,P05976,0.05688032164083482
P17096,P09104,0.07895534241957948
P17096,P12955,0.11389422934142618
P17096,P13667,0.25470705732409626
P17096,P16989,0.360915206755071
P17096,P18621,0.10464475357281104
P17096,P21399,0.2650575894006735
P17096,P24844,0.11297519932962341
P17096,P31949,0.12161310913209473
P17096,P47914,0.03153359687199031
P17096,P49023,0.38616564025919875
P17096,P60228,0.03415865393350789
P17096,P60903,0.11717390160410929
P17096,P62328,0.2658586884038484
P17096,P62888,0.2983684438301942
P17096,P67809,0.3774812894723127
P17096,P67936,0.21074473748464392
P17096,P80723,0.4011736352962337
P17096,Q01995,0.04714014338022874
P17096,Q02790,0.12746579968558436
P17096,Q07065,0.3340304124178833
P17096,Q07954,0.04079565899216929
P17096,Q14157,0.19001862219836213
P17096,Q14203,0.21204511996548972
P17096,Q15459,0.10068270462306271
P17096,Q16181,0.17492994952882288
P17096,Q3SX28,0.3320800321305191
P17096,Q7Z417,0.13284674964786994
P17096,Q7Z4V5,0.31448899735846686
P17096,Q86UP2,0.35980300503300255
P17096,Q92841,0.08293101997501165
P17096,Q969G3,0.18394470997507698
P17096,Q99613,0.18977844150229242
P17096,Q99879,0.22207594932417538
P17096,Q9NQP4,0.43542110121180505
P17096,Q9UN86,0.47626448129854726
P17096,Q9Y2D5,0.37495573495974627
P17096,Q9Y5S9,0.48303944061501053
P18621,P05556,0.04119785599455567
P18621,P05787,0.10340643977522924
P18621,P05976,0.08144675306767885
P18621,P09104,0.2154671880771037
P18621,P12955,0.15713517665190707
P18621,P13667,0.23084127512633298
P18621,P16989,0.3694105945863938
P18621,P17096,0.11710566691028058
P18621,P21399,0.0809263978963875
P18621,P24844,0.17566858424964327
P18621,P31949,0.3038051417881755
P18621,P47914,0.4839625183185998
P18621,P49023,0.2715561339652566
P18621,P60228,0.5242466623463152
P18621,P60903,0.09873589675589889
P18621,P62328,0.1532288084857995
P18621,P62888,0.23335640177916306
P18621,P67809,0.36494245414408705
P18621,P67936,0.21064293369422743
P18621,P80723,0.05928990922928535
P18621,Q01995,0.12022312195655377
P18621,Q02790,0.36012357154852437
P18621,Q07065,0.16323998722611058
P18621,Q07954,0.4337450058616554
P18621,Q14157,0.3929978868905797
P18621,Q14203,0.12077834580940087
P18621,Q15459,0.3222806083164382
P18621,Q16181,0.31523806798985216
P18621,Q3SX28,0.20620239940865118
P18621,Q7Z417,0.08608571718747389
P18621,Q7Z4V5,0.25723470047640584
P18621,Q86UP2,0.16226296911055593
P18621,Q92841,0.4962073674878542
