Regulator,Target,Weight
O15143,P02461,0.05454457313034139
O15143,P02652,0.007694733938821372
O15143,P04179,0.1482408543331424
O15143,P05976,0.09987968452761764
O15143,P07339,0.04925905914298967
O15143,P12956,0.1667369173559564
O15143,P13010,0.17397401193512457
O15143,P15374,0.1417032518119358
O15143,P18859,0.1800078311098914
O15143,P21281,0.1587755719562308
O15143,P27816,0.1631809687031092
O15143,P42765,0.2083965929658547
O15143,P56192,0.16492948392727858
O15143,P61981,0.15464369399835262
O15143,P62854,0.18451890206096105
O15143,P62917,0.13220265485695365
O15143,Q01995,0.031369650741092645
O15143,Q02218,0.14621844922342306
O15143,Q02818,0.06792148915434412
O15143,Q07065,0.055281303758901966
O15143,Q07954,0.0016066372069174356
O15143,Q14011,0.1166444963043569
O15143,Q14767,0.02184293917871901
O15143,Q15843,0.050714398558563176
O15143,Q7Z417,0.052460467842742144
O15143,Q96CW1,0.08833418445626047
O15143,Q96HC4,0.09471076987157795
O15143,Q9H0U4,0.16725281175130224
O15143,Q9UHD8,0.10787293533760162
O15143,Q9UMS6,0.16063947152941016
P02461,O15143,0.06347232969625495
P02461,P02652,0.12519695861763103
P02461,P04179,0.3186432535234981
P02461,P05976,0.1255055539026715
P02461,P07339,0.340909804470018
P02461,P12956,0.12263905154255857
P02461,P13010,0.13181012484169977
P02461,P15374,0.0643920819352713
P02461,P18859,0.11129080881084492
P02461,P21281,0.08287913736067831
P02461,P27816,0.043399985271187866
P02461,P42765,0.19228349514695023
P02461,P56192,0.042047949174217995
P02461,P61981,0.11494974293147217
P02461,P62854,0.08849326593572697
P02461,P62917,0.05980676019249072
P02461,Q01995,0.3906954521066537
P02461,Q02218,0.33083073828180165
P02461,Q02818,0.06404403893227174
P02461,Q07065,0.24596875757442968
P02461,Q07954,0.10153666130624116
P02461,Q14011,0.08319176407760034
P02461,Q14767,0.03691528594345219
P02461,Q15843,0.2529660333062775
P02461,Q7Z417,0.02979151793887838
P02461,Q96CW1,0.25950411847392696
P02461,Q96HC4,0.16757727374480305
P02461,Q9H0U4,0.011797859338746783
P02461,Q9UHD8,0.15076294443025273
P02461,Q9UMS6,0.20055614909116765
P02652,O15143,0.010098541144303258
P02652,P02461,0.1411971460138917
P02652,P04179,0.3353763872244328
P02652,P05976,0.1289698256904588
P02652,P07339,0.3578223781929004
P02652,P12956,0.00518140932614787
P02652,P13010,0.09183812290566762
P02652,P15374,0.022178007005492457
P02652,P18859,0.14886957364051645
P02652,P21281,0.2606058022126259
P02652,P27816,0.11889181551557958
P02652,P42765,0.43323328621528295
P02652,P56192,0.02181057473185169
P02652,P61981,0.04637449613226416
P02652,P62854,0.05329988479806952
P02652,P62917,0.09123919406446798
P02652,Q01995,0.02763389331032052
P02652,Q02218,0.27512147627190625
P02652,Q02818,0.25154016599571416
P02652,Q07065,0.2879619512606478
P02652,Q07954,0.31672975435820167
P02652,Q14011,0.053136256900651574
P02652,Q14767,0.6009984027011955
P02652,Q15843,0.00263102595823239
P02652,Q7Z417,0.5210987796072404
P02652,Q96CW1,0.18798311510195873
P02652,Q96HC4,0.10607682848293375
P02652,Q9H0U4,0.13686669897287135
P02652,Q9UHD8,0.1218574208537153
P02652,Q9UMS6,0.051020186305108906
P04179,O15143,0.18099129887499335
P04179,P02461,0.33431943456255087
P04179,P02652,0.3120018995589492
P04179,P05976,0.06357508960381278
P04179,P07339,0.22949149093740367
P04179,P12956,0.08451591074351636
P04179,P13010,0.04294621859355149
P04179,P15374,0.021390065412465277
P04179,P18859,0.28713097859467396
P04179,P21281,0.08101010789093775
P04179,P27816,0.07097778807952938
P04179,P42765,0.0948985592380484
P04179,P56192,0.0598339303981281
P04179,P61981,0.06197486642941761
P04179,P62854,0.25251359436491677
P04179,P62917,0.02233291858545628
P04179,Q01995,0.3185188090939835
P04179,Q02218,0.45351519812317387
P04179,Q02818,0.19995942060762975
P04179,Q07065,0.06959150826397066
P04179,Q07954,0.14728811154157728
P04179,Q14011,0.008219834165848951
P04179,Q14767,0.23617092901421388
P04179,Q15843,0.1470855040764567
P04179,Q7Z417,0.1426853984428325
P04179,Q96CW1,0.16820256107718884
P04179,Q96HC4,0.016978230057411354
P04179,Q9H0U4,0.1377859882733198
P04179,Q9UHD8,0.028336440833622266
P04179,Q9UMS6,0.3276282593066333
P05976,O15143,0.09258844057502245
P05976,P02461,0.0999792007501012
P05976,P02652,0.09109670926392681
P05976,P04179,0.048269944670912265
P05976,P07339,0.06396930630994167
P05976,P12956,0.2127249134845608
P05976,P13010,0.10548794513991494
P05976,P15374,0.18375518227183002
P05976,P18859,0.06764264072989529
P05976,P21281,0.20646589198822504
P05976,P27816,0.10556626502053142
P05976,P42765,0.07881272895824473
P05976,P56192,0.10662483750840179
P05976,P61981,0.15262386404149808
P05976,P62854,0.10628015540115604
P05976,P62917,0.168610252625928
P05976,Q01995,0.08989738677521428
P05976,Q02218,0.09823684155256052
P05976,Q02818,0.11402135913933414
P05976,Q07065,0.14661643117119266
P05976,Q07954,0.11832274618922
P05976,Q14011,0.2269157233458065
P05976,Q14767,0.030116833898491683
P05976,Q15843,0.013737000795288222
P05976,Q7Z417,0.03127204822925707
P05976,Q96CW1,0.012862519166925615
P05976,Q96HC4,0.16243638322534645
P05976,Q9H0U4,0.0725692147018764
P05976,Q9UHD8,0.18357416509070734
P05976,Q9UMS6,0.03880514510014923
P07339,O15143,0.05737842266800443
P07339,P02461,0.34124719695810507
P07339,P02652,0.3175886397919876
P07339,P04179,0.21894714815827496
P07339,P05976,0.08038120759622212
P07339,P12956,0.04168760743166438
P07339,P13010,0.10227740065361415
P07339,P15374,0.05999531086736255
P07339,P18859,0.08029041343050103
P07339,P21281,0.06673286807654215
P07339,P27816,0.06903258447609487
P07339,P42765,0.12139381887891004
P07339,P56192,0.10647019390256125
P07339,P61981,0.030171175605316007
P07339,P62854,0.08767751611517659
P07339,P62917,0.08799264095940408
P07339,Q01995,0.18234634053852208
P07339,Q02218,0.33040519801906343
P07339,Q02818,0.36830382394588956
P07339,Q07065,0.4792196453572767
P07339,Q07954,0.33059372713951224
P07339,Q14011,0.32430102883569323
P07339,Q14767,0.06760772007012104
P07339,Q15843,0.14824982554498603
P07339,Q7Z417,0.020613168356436947
P07339,Q96CW1,0.26976562857610553
P07339,Q96HC4,0.020890692100155907
P07339,Q9H0U4,0.03708273483816249
P07339,Q9UHD8,0.07807062604048955
P07339,Q9UMS6,0.029548242221099426
P12956,O15143,0.1895082865206596
P12956,P02461,0.11978221184749452
P12956,P02652,0.004487240098473216
P12956,P04179,0.07867651693752747
P12956,P05976,0.2608165734912441
