Regulator,Target,Weight,Sign
O15143,O94925,0.15983337794542746,
O15143,P05556,0.07679574820921112,
O15143,P05787,0.18051227346973434,
O15143,P05976,0.021285537720050703,
O15143,P06753,0.43407227035530765,
O15143,P09104,0.13401458764737337,
O15143,P09936,0.050029919438973676,
O15143,P14174,0.13040447163392035,
O15143,P14314,0.15485286639234724,
O15143,P15374,0.08399150477859098,
O15143,P16989,0.47773307600303466,
O15143,P17096,0.32490428369904073,
O15143,P27635,0.08738028801477339,
O15143,P27816,0.1621193234836309,
O15143,P31949,0.25768458472391764,
O15143,P37837,0.5004019611551732,
O15143,P46778,0.25094250158025366,
O15143,P49023,0.5232286672058845,
O15143,P49756,0.21121673584907216,
O15143,P51911,0.04421129096681746,
O15143,P53621,0.18415652415341857,
O15143,P56192,0.047054925964518636,
O15143,P60903,0.36799903150487784,
O15143,P61981,0.4256817261344288,
O15143,P62328,0.36202499881175254,
O15143,P62854,0.12800864255850505,
O15143,P62888,0.08399805572260201,
O15143,P62917,0.46930148452871867,
O15143,P63208,0.13003575592476851,
O15143,P68104,0.2193532979161883,
O15143,P81644,0.44243687653452557,
O15143,Q01995,0.12073649678888282,
O15143,Q02790,0.18092528276500014,
O15143,Q05682,0.31789621667532,
O15143,Q07065,0.018922014325935637,
O15143,Q07866,0.2477628741255202,
O15143,Q14011,0.024293031606891963,
O15143,Q14195,0.001238488148863135,
O15143,Q15459,0.4249347520228789,
O15143,Q16181,0.3886563686102348,
O15143,Q7Z417,0.3128118005530982,
O15143,Q7Z4V5,0.6365758854432022,
O15143,Q8WX93,0.08768977699781842,
O15143,Q96HC4,0.22341129002961213,
O15143,Q99439,0.23309860903486204,
O15143,Q99613,0.2128327908072113,
O15143,Q99879,0.18414467312428445,
O15143,Q9UN86,0.24758248734574403,
O15143,Q9Y5S9,0.3301250227746958,
O94925,O15143,0.20160306384652987,
O94925,P05556,0.33296649361840636,
O94925,P05787,0.3741533895322039,
O94925,P05976,0.01833935838779549,
O94925,P06753,0.17593771570751035,
O94925,P09104,0.11911055594386569,
O94925,P09936,0.4308409337903228,
O94925,P14174,0.04315397701946578,
O94925,P14314,0.008721226533771009,
O94925,P15374,0.06366051831494486,
