Regulator,Target,Weight
O15143,O94925,0.12936169357415442
O15143,P00568,0.2505252251237532
O15143,P02461,0.1772636843185365
O15143,P02652,0.16576167801176242
O15143,P04179,0.08733885236674745
O15143,P05976,0.09012599212768291
O15143,P06753,0.2748154737449045
O15143,P07339,0.04199266808570228
O15143,P12956,0.14770717705918168
O15143,P13010,0.030484154740560064
O15143,P15374,0.13851012051842918
O15143,P18859,0.17855355594192687
O15143,P21281,0.4068944102106025
O15143,P23246,0.05532718139915509
O15143,P26447,0.15678739680686396
O15143,P27816,0.16581702995040254
O15143,P30085,0.2772644593895709
O15143,P36957,0.2166095086912328
O15143,P37837,0.34961904937389554
O15143,P40926,0.3295357534103382
O15143,P42765,0.09836615538559594
O15143,P49023,0.46224157305195496
O15143,P53621,0.20569427475267665
O15143,P56192,0.018931648366816812
O15143,P61981,0.3293887830502913
O15143,P62328,0.23647485561232132
O15143,P62854,0.21928876450786383
O15143,P62917,0.41728428295360703
O15143,P63208,0.19697813289924576
O15143,P63313,0.22058866841469618
O15143,Q01995,0.1547790540466278
O15143,Q02218,0.0374346711299781
O15143,Q02818,0.17329193950259514
O15143,Q05682,0.2871772978796908
O15143,Q07065,0.0019488118441973517
O15143,Q07954,0.3213792507623582
O15143,Q13263,0.0858819604541725
O15143,Q14011,0.11212791861589072
O15143,Q14444,0.10763179919405237
O15143,Q14767,0.3771799992867811
O15143,Q15233,0.018964482862211626
O15143,Q15843,0.12013966478808752
O15143,Q7Z417,0.44664379280524524
O15143,Q8WWI1,0.14444514909832137
O15143,Q96CW1,0.15066948460658172
O15143,Q96HC4,0.27241765226950787
O15143,Q9H0U4,0.11047780682679476
O15143,Q9UHD8,0.2733648264245657
O15143,Q9UMS6,0.3755763207402851
O94925,O15143,0.1259385788155291
O94925,P00568,0.3868186249441969
O94925,P02461,0.30942090228021796
O94925,P02652,0.1255606991772841
O94925,P04179,0.2846576792674234
O94925,P05976,0.2595991547358723
O94925,P06753,0.06717357709896594
O94925,P07339,0.14455550831869088
O94925,P12956,0.2743676765044569
O94925,P13010,0.19570114890546408
O94925,P15374,0.1615855203817899
O94925,P18859,0.10856871045247618
O94925,P21281,0.08623490973040955
O94925,P23246,0.29003863842014016
O94925,P26447,0.006330084065191072
O94925,P27816,0.3430267596694174
O94925,P30085,0.330911463740601
O94925,P36957,0.049898612196353706
O94925,P37837,0.004975321988092051
O94925,P40926,0.06787914938037734
O94925,P42765,0.0938005223132578
O94925,P49023,0.044345135894307657
O94925,P53621,0.39706964575747977
O94925,P56192,0.10504574752100843
O94925,P61981,0.08794079750476058
O94925,P62328,0.00624231845603538
O94925,P62854,0.33593053735607176
O94925,P62917,0.10835483309122458
O94925,P63208,0.5913233861938413
O94925,P63313,0.21927592431695986
O94925,Q01995,0.022458040016090895
O94925,Q02218,0.0831680518509319
O94925,Q02818,0.123366980677804
O94925,Q05682,0.13028880158057554
O94925,Q07065,0.16823377784929133
O94925,Q07954,3.601516502464704e-05
O94925,Q13263,0.5379169505865146
O94925,Q14011,0.31322295425573426
O94925,Q14444,0.419250573360045
O94925,Q14767,0.13014380306405998
O94925,Q15233,0.3267152908444448
O94925,Q15843,0.21148357258831313
O94925,Q7Z417,0.34941711985539775
O94925,Q8WWI1,0.15886212275986644
O94925,Q96CW1,0.21485585892283018
O94925,Q96HC4,0.39893641741088237
O94925,Q9H0U4,0.424578876907472
O94925,Q9UHD8,0.2232780998980792
O94925,Q9UMS6,0.3141407990040145
P00568,O15143,0.18723979905437513
P00568,O94925,0.2969620732648745
P00568,P02461,0.3841350222742322
P00568,P02652,0.026396753446967063
P00568,P04179,0.1342901863399875
P00568,P05976,0.04675406320638699
P00568,P06753,0.2206948360146911
P00568,P07339,0.13882481041037814
P00568,P12956,0.1451095276136474
P00568,P13010,0.25891938715546015
P00568,P15374,0.16731620448611814
P00568,P18859,0.11954008367435054
P00568,P21281,0.38730038810570566
P00568,P23246,0.19078854071674028
P00568,P26447,0.03750200826863329
P00568,P27816,0.2107867532790214
P00568,P30085,0.019103243979750155
P00568,P36957,0.1105949613719488
P00568,P37837,0.21776810396574048
P00568,P40926,0.28847983904920327
P00568,P42765,0.20089039165643224
P00568,P49023,0.26967881297736596
P00568,P53621,0.17744994797382888
P00568,P56192,0.17039741663666955
P00568,P61981,0.1243272043328158
P00568,P62328,0.07291494522480725
P00568,P62854,0.0824854596233999
P00568,P62917,0.14003858352233764
P00568,P63208,0.20648095381212503
P00568,P63313,0.06001328707568992
P00568,Q01995,0.004217992404117597
P00568,Q02218,0.10722498750966843
P00568,Q02818,0.002315347498738521
P00568,Q05682,0.17768362931919984
P00568,Q07065,0.2957008022567149
P00568,Q07954,0.21985364550620165
P00568,Q13263,0.2330616063144264
P00568,Q14011,0.04765336531702485
P00568,Q14444,0.1452843148812462
P00568,Q14767,0.2809192659283085
P00568,Q15233,0.34522238090928326
P00568,Q15843,0.2682631196116205
P00568,Q7Z417,0.0861547748344043
P00568,Q8WWI1,0.08076183279893977
P00568,Q96CW1,0.19832321333043543
P00568,Q96HC4,0.014825570325822483
P00568,Q9H0U4,0.01470686848330003
P00568,Q9UHD8,0.09804972394466471
P00568,Q9UMS6,0.09950648658251529
P02461,O15143,0.15702034096459283
P02461,O94925,0.28153519696613827
P02461,P00568,0.45527451829487886
P02461,P02652,0.10667654363939559
P02461,P04179,0.3187534546880441
P02461,P05976,0.15331218071529804
P02461,P06753,0.2838149231923519
P02461,P07339,0.09898096988588431
P02461,P12956,0.11970088913820578
P02461,P13010,0.2419473720856035
P02461,P15374,0.018505514882776006
P02461,P18859,0.06391168985893489
P02461,P21281,0.2865828715807101
P02461,P23246,0.20668111519705995
P02461,P26447,0.060021607730375424
P02461,P27816,0.09569935719778194
P02461,P30085,0.09728251004673089
P02461,P36957,0.12871930624969918
P02461,P37837,0.1728229687524664
