Regulator,Target,Weight
O15143,O43617,0.07878108603425849
O15143,O60869,0.1629455450513515
O15143,P02461,0.22985843242838086
O15143,P02652,0.1228720601665957
O15143,P04179,0.19333044408211333
O15143,P06753,0.1384370993090037
O15143,P09104,0.17961485062343174
O15143,P13010,0.23575981573154192
O15143,P13861,0.06026244200902367
O15143,P27635,0.07353054060153358
O15143,P27816,0.23819212691738106
O15143,P37837,0.09648845250502835
O15143,P43487,0.21040738091243902
O15143,P46778,0.1559076482065319
O15143,P49023,0.25768574005640876
O15143,P53621,0.2065317644141356
O15143,P60903,0.01950074732913005
O15143,P61981,0.388520895485435
O15143,P62328,0.10168553485276205
O15143,P62861,0.3988242647906503
O15143,P62979,0.14990420754118577
O15143,P63208,0.30863679079405215
O15143,Q00341,0.06296807592543649
O15143,Q01995,0.011564697149435888
O15143,Q02218,0.11319753943916891
O15143,Q02818,0.1292806976403044
O15143,Q05682,0.08333624598211305
O15143,Q07065,0.29307700508558465
O15143,Q07954,0.06594730455193297
O15143,Q13263,0.1619072127373809
O15143,Q14011,0.1988089729421981
O15143,Q14767,0.17419850822965594
O15143,Q6P2Q9,0.0009884244369345234
O15143,Q7Z417,0.2670961259973188
O15143,Q96HC4,0.13173410010358316
O15143,Q99471,0.2043341360604607
O15143,Q9UPN3,0.14296746433826107
O15143,Q9UQ35,0.03260959789192954
O15143,Q9Y3D6,0.47923151338062514
O43617,O15143,0.07134965610954895
O43617,O60869,0.09397237511578171
O43617,P02461,0.154202478767935
O43617,P02652,0.08215067110838965
O43617,P04179,0.32694027899870615
O43617,P06753,0.21433396658975082
O43617,P09104,0.022769628193340226
O43617,P13010,0.10382719104656049
O43617,P13861,0.036338422679899056
O43617,P27635,0.11315172801282332
O43617,P27816,0.1857864094556208
O43617,P37837,0.16000968103894364
O43617,P43487,0.0031604292337509307
O43617,P46778,0.3788997396961711
O43617,P49023,0.09998755681981107
O43617,P53621,0.08168500926441509
O43617,P60903,0.08227832509260537
O43617,P61981,0.25400047085607674
O43617,P62328,0.04167659945824978
O43617,P62861,0.1110624975154596
O43617,P62979,0.1794553997522132
O43617,P63208,0.27602479283027037
O43617,Q00341,0.1923487241807844
