Regulator,Target,Weight
O15143,O43617,0.10319529658983119
O15143,O60869,0.19664940799389466
O15143,P02461,0.07212222884922793
O15143,P02652,0.21468809022218316
O15143,P04179,0.05810326236817517
O15143,P06753,0.20627036944358798
O15143,P09104,0.01472958837102645
O15143,P13010,0.005454900733678421
O15143,P13861,0.06146731301563051
O15143,P27635,0.05377481051139684
O15143,P27816,0.1073160412866757
O15143,P37837,0.2693200124637203
O15143,P43487,0.02369236225155948
O15143,P46778,0.15208632636585784
O15143,P49023,0.357157047636127
O15143,P53621,0.1513862667578202
O15143,P60903,0.21245594852475036
O15143,P61981,0.23999571301256103
O15143,P62328,0.16955983102767738
O15143,P62861,0.09495501098749952
O15143,P62979,0.25452180783346967
O15143,P63208,0.0838452175816229
O15143,Q00341,0.14276991886817514
O15143,Q01995,0.13268624277347355
O15143,Q02218,0.04234487830316177
O15143,Q02818,0.18219311894489806
O15143,Q05682,0.17633544594051212
O15143,Q07065,0.005241912833199394
O15143,Q07954,0.31530756678432903
O15143,Q13263,0.055132965421551085
O15143,Q14011,0.00045641625284077486
O15143,Q14767,0.15050630641032817
O15143,Q6P2Q9,0.39703750131232834
O15143,Q7Z417,0.10078422209352728
O15143,Q96HC4,0.1531422647065563
O15143,Q99471,0.09800446838818962
O15143,Q9UPN3,0.2758685362719301
O15143,Q9UQ35,0.0397010616572441
O15143,Q9Y3D6,0.14185093101093393
O43617,O15143,0.09357913249356577
O43617,O60869,0.17153511504665195
O43617,P02461,0.13474449422423826
O43617,P02652,0.16466653712136328
O43617,P04179,0.024151686462859943
O43617,P06753,0.04665911803444585
O43617,P09104,0.0033492366699254344
O43617,P13010,0.10548199092285192
O43617,P13861,0.04205633901225857
O43617,P27635,0.08272546070562568
O43617,P27816,0.09071044026440596
O43617,P37837,0.09245112678527995
O43617,P43487,0.08773301445926414
O43617,P46778,0.05952629128711501
O43617,P49023,0.26436570215659305
O43617,P53621,0.006215825773103331
O43617,P60903,0.015266950355348207
O43617,P61981,0.26856403843521526
O43617,P62328,0.21758269688099655
O43617,P62861,0.257908985537981
O43617,P62979,0.08541456100888782
O43617,P63208,0.19028686397556926
O43617,Q00341,0.13151409801511746
O43617,Q01995,0.14107909325851245
O43617,Q02218,0.25430741716441346
O43617,Q02818,0.05784502251536847
O43617,Q05682,0.2124364989318618
O43617,Q07065,0.1577546689503797
O43617,Q07954,0.19646102521576864
O43617,Q13263,0.053323344853612446
O43617,Q14011,0.1489903727603751
O43617,Q14767,0.24367481614770975
O43617,Q6P2Q9,0.10996868608920533
O43617,Q7Z417,0.004028122566908834
O43617,Q96HC4,0.18603442335665274
O43617,Q99471,0.1404571894609755
O43617,Q9UPN3,0.20998285834315095
O43617,Q9UQ35,0.041099636339627245
O43617,Q9Y3D6,0.22912910200858097
O60869,O15143,0.19973581146384528
O60869,O43617,0.1921309020993031
O60869,P02461,0.002674999342540117
O60869,P02652,0.1180355279242234
O60869,P04179,0.12621879425426485
O60869,P06753,0.0036369361244608937
O60869,P09104,0.03484340450920572
O60869,P13010,0.1178683331880767
O60869,P13861,0.08984291022567603
O60869,P27635,0.24178763077701107
O60869,P27816,0.2506919026516454
O60869,P37837,0.06813879836841179
O60869,P43487,0.20643069733368333
O60869,P46778,0.19337298556000637
O60869,P49023,0.2709705279245099
O60869,P53621,0.15338881785982292
O60869,P60903,0.023761429110635772
O60869,P61981,0.10779197406155759
O60869,P62328,0.09971939084687324
O60869,P62861,0.0631188440944983
O60869,P62979,0.16138117120560355
O60869,P63208,0.27752224720234847
O60869,Q00341,0.21449706282503944
O60869,Q01995,0.11202296005685455
