Regulator,Target,Weight,Sign
O15143,O94925,0.17122094041154595,
O15143,P02652,0.16076932690950307,
O15143,P04179,0.08889737225740918,
O15143,P12956,0.12298899381267861,
O15143,P18859,0.01643155073855784,
O15143,P21281,0.6869332712557731,
O15143,P26022,0.48900496125148213,
O15143,P26447,0.16052478648020801,
O15143,P30085,0.3241191481279791,
O15143,P35222,0.06694617803955402,
O15143,P36957,0.19820693277394108,
O15143,P38606,0.4335207555126781,
O15143,P40926,0.41933769859748077,
O15143,P42765,0.1563839988060344,
O15143,P56192,0.24518385546199348,
O15143,P61981,0.46902240948475443,
O15143,P62854,0.45354933450559376,
O15143,P62917,0.6032734739372012,
O15143,Q02218,0.030217180692902225,
O15143,Q02818,0.01684343542031598,
O15143,Q07065,0.11284593459778908,
O15143,Q07866,0.09951076680406962,
O15143,Q07954,0.30370177089235884,
O15143,Q13162,0.22742794498909674,
O15143,Q14011,0.30958330659536637,
O15143,Q15459,0.6316654838871347,
O15143,Q15843,0.009700139657076253,
O15143,Q96L92,0.5094702763207786,
O15143,Q9H0U4,0.6170414754641972,
O15143,Q9UHD8,0.4183397953183126,
O15143,Q9UJZ1,0.2110299322598346,
O15143,Q9UNH7,0.06556778653052904,
O15143,Q9Y3D6,0.0045142461484204074,
O94925,O15143,0.1648160674453174,
O94925,P02652,0.1369039970180093,
O94925,P04179,0.33263116506009827,
O94925,P12956,0.2903504407025545,
O94925,P18859,0.00495400946068797,
O94925,P21281,0.21840373787379116,
O94925,P26022,0.3330129725444463,
O94925,P26447,0.0008158971461379482,
O94925,P30085,0.4123171343954532,
O94925,P35222,0.7987082163249083,
O94925,P36957,0.09811889742628067,
O94925,P38606,0.22269470660804802,
O94925,P40926,0.03637781558542124,
O94925,P42765,0.4528500766875815,
O94925,P56192,0.3068832782803449,
O94925,P61981,0.048439669232399445,
O94925,P62854,0.4514492516846915,
O94925,P62917,0.17675764079318176,
O94925,Q02218,0.4189957938556159,
O94925,Q02818,0.38410038603789415,
O94925,Q07065,0.09322406388298553,
O94925,Q07866,0.6453588282971287,
