Entry,SumWeight,FitScore,AS,PS,Role
O94925,0.5559705204318688,0.8505706102805523,-0.008923692925493998,-0.19722163082190147,0
P02652,0.4469281168317059,0.0199659322498791,-0.11796609652565682,-0.2956662926812573,0
P04179,0.4839999024248854,0.4012128654385021,-0.08089431093247734,-0.31843009245921594,0
P12956,0.5783078069325531,0.7760683403748035,0.013413593575190341,0.23532107811773295,3
P18859,0.5210040065821759,0.7564018199185811,-0.043890206775186846,-0.36821890776252975,0
P21281,0.4316851148475971,-0.2691296738110742,-0.13320909850976564,-0.19996840691658413,0
P26022,0.5527670676927897,0.8692207184053715,-0.012127145664573069,0.2811307417667329,1
P26447,0.5651524578035072,0.6671448119994224,0.00025824444614441777,0.28358618954114434,3
P40926,0.471836574256964,0.2480471672077671,-0.09305763910039871,-0.7057369122168489,0
P42765,0.6538360347687041,-0.2593857501510962,0.08894182141134133,-0.7604580979425118,2
P56192,0.5358070587638966,0.6201317723295336,-0.029087154593466225,0.48552425616069594,1
P61981,0.5930240401782182,0.5207917513222968,0.028129826820855408,-0.42471538164906725,2
P62854,0.5333140872129033,0.3974240971241136,-0.031580126144459486,0.06026254719960955,1
P62917,0.5641194800189295,0.1608737154878249,-0.0007747333384332533,-0.10141364294334132,0
Q02818,0.4785661145419612,0.5779845171000231,-0.0863280988154016,-0.5248341872839339,0
Q07065,0.440212467911573,0.0377850218493125,-0.1246817454457898,-0.038050539183890564,0
Q07866,0.607881237033415,0.0011883750960474,0.04298702367605223,-0.6296902025652498,2
Q07954,0.5848090809153074,0.6536689818989039,0.019914867557944582,-0.7604580979425118,2
Q13162,0.3808712691436939,0.3685235421285091,-0.18402294421366888,-0.2203504401538935,0
Q14011,0.5398969784709838,0.293124184148716,-0.02499723488637895,-0.7604580979425118,0
Q15459,0.595468120159624,0.5847875238720806,0.03057390680226124,-0.3101054915860958,2
Q15843,0.4875956043846352,0.1610329453198475,-0.07729860897272761,-0.5044307715901253,0
Q9H0U4,0.484146333355118,0.5680765243511259,-0.08074788000224481,0.012683513061296892,1
Q9UHD8,0.5229690780448205,0.1820744832024924,-0.04192513531254227,0.23434665083525952,1
Q9UJZ1,0.5459743823943656,0.6260951917523011,-0.01891983096299721,-0.4187535692930995,0
Q9UNH7,0.4679771000577876,0.5081927664544721,-0.0969171132995752,-0.20168472509322588,0
