Regulator,Target,Weight,Sign
O15143,O43617,0.03201908814952211,
O15143,O94925,0.0025333132766886205,
O15143,P00568,0.0018496471897049408,
O15143,P02652,8.294980293959895e-05,
O15143,P04179,0.0023392641232755744,
O15143,P05121,0.0014354616722388129,
O15143,P05976,0.025192684746387677,
O15143,P06753,0.030850524156238235,
O15143,P07203,0.011217430306689645,
O15143,P07339,0.000447798575079621,
O15143,P12956,0.015017421987911726,
O15143,P13010,0.018977050262810116,
O15143,P14314,0.0028532054455402468,
O15143,P15374,0.033043755682368545,
O15143,P18859,0.01969309274064618,
O15143,P21281,0.0020814695870265054,
O15143,P23246,0.021413833328214418,
O15143,P26022,0.011326015237271279,
O15143,P26447,0.027008067424501302,
O15143,P27816,0.004396114798304063,
O15143,P30048,0.01211341982590314,
O15143,P30085,0.034305823396074644,
O15143,P35222,0.007472989368435335,
O15143,P36957,0.003788289663363622,
O15143,P37837,0.05816732249601355,
O15143,P38606,0.0009934982496707073,
O15143,P40926,0.0152655934003109,
O15143,P42765,0.02335414732768643,
O15143,P45877,0.020184044997751255,
O15143,P46379,0.007433648391552155,
O15143,P48556,0.00018367824464185362,
O15143,P49756,0.01694853725185364,
O15143,P52943,5.8121787755016e-05,
O15143,P53621,0.02158520174180524,
O15143,P56192,0.00013427167679102482,
O15143,P61981,0.04050686220585195,
O15143,P62249,0.017524253368919333,
O15143,P62328,0.03377036390876867,
O15143,P62854,0.0013780033483005991,
O15143,P62888,0.008610345732726725,
O15143,P62906,0.0034165154895620304,
O15143,P62913,0.0047800072962223645,
O15143,P62917,0.015564024941582502,
O15143,Q01995,0.009640536166884586,
O15143,Q02218,0.006088040268157826,
O15143,Q02818,0.01748654634597734,
O15143,Q05682,0.030286244159802606,
O15143,Q07065,0.003422679444575997,
O15143,Q07866,0.005170636574865004,
O15143,Q07954,0.024642044319061928,
O15143,Q13162,0.008635275095376163,
O15143,Q13263,0.0031124680230481217,
O15143,Q14011,0.02168022065385703,
O15143,Q14444,0.01175396294628172,
O15143,Q15233,0.011666925155191075,
O15143,Q15459,0.010868009891885357,
O15143,Q15843,0.003795949935188673,
O15143,Q16629,0.0318545783750582,
O15143,Q7Z417,0.0339917877246039,
O15143,Q96HC4,0.005838190117786349,
O15143,Q96KR1,0.013587334764979662,
O15143,Q96L92,0.007769892136568554,
O15143,Q9H0U4,0.003987496371342559,
O15143,Q9HAV7,0.029602761521418375,
O15143,Q9NQP4,0.013845844174029422,
O15143,Q9NRX4,0.0036811283248698932,
O15143,Q9UHD8,0.019746092118174775,
O15143,Q9UJZ1,0.02314307299538804,
O15143,Q9UMS6,0.009528557710659961,
O15143,Q9UNH7,0.008867782998900784,
O15143,Q9Y3D6,0.0033690565240757737,
O43617,O15143,0.011262113411453532,
O43617,O94925,0.03748089478907544,
O43617,P00568,0.007966214463281353,
O43617,P02652,0.008547942608643413,
O43617,P04179,0.06791605385239495,
O43617,P05121,0.016080378865293246,
O43617,P05976,0.0008773514744816883,
O43617,P06753,0.0028536187659507516,
O43617,P07203,0.009974631875707596,
O43617,P07339,0.00551376969473211,
O43617,P12956,0.003528286581191945,
O43617,P13010,0.0022304729294446274,
O43617,P14314,0.007869312568061369,
