Regulator,Target,Weight,Sign
O15143,O43617,0.020035859189294656,
O15143,O94925,0.008341574898540437,
O15143,P00568,0.016371196532395195,
O15143,P02652,0.1339220773729981,
O15143,P04179,0.0015259642132699756,
O15143,P05121,0.0034545921098939575,
O15143,P05976,0.010067729991670242,
O15143,P06753,0.0008579792546925005,
O15143,P07203,0.03766183767686157,
O15143,P07339,0.0021265857645620346,
O15143,P12956,0.0026255335130028327,
O15143,P13010,0.01273664987759793,
O15143,P14314,0.00011629605567766175,
O15143,P15374,0.0015158057715747146,
O15143,P18859,0.0017437606456465339,
O15143,P21281,0.027360902327758518,
O15143,P23246,0.0011551997808233617,
O15143,P26022,0.00021451742705215902,
O15143,P26447,0.0011249041873696438,
O15143,P27816,0.0011107937109107729,
O15143,P30048,0.009819307822044319,
O15143,P30085,0.0020307832760260965,
O15143,P35222,0.0011969002595756716,
O15143,P36957,0.01485541278427343,
O15143,P37837,0.009754178896046975,
O15143,P38606,0.0015928060078731368,
O15143,P40926,0.050926810843348866,
O15143,P42765,0.0036281558487594855,
O15143,P45877,0.004890387249343919,
O15143,P46379,0.011366465427146413,
O15143,P48556,0.0021665321093079382,
O15143,P49756,0.055174744269924456,
O15143,P52943,0.003726395749078148,
O15143,P53621,0.0017651482416315104,
O15143,P56192,0.0005675533178917314,
O15143,P61981,0.027220460286237546,
O15143,P62249,0.002012214525012599,
O15143,P62328,0.012042041231986367,
O15143,P62854,0.003081468146107436,
O15143,P62888,0.002685369045823422,
O15143,P62906,0.01112653793064001,
O15143,P62913,0.004522540629587151,
O15143,P62917,0.06274622988846185,
O15143,Q01995,0.00939881070609907,
O15143,Q02218,0.012571104781980178,
O15143,Q02818,0.0022600865746790016,
O15143,Q05682,0.032187354792766,
O15143,Q07065,0.0013015934384813276,
O15143,Q07866,0.0015161185716757362,
O15143,Q07954,0.0005952710250307686,
O15143,Q13162,0.009886339538675643,
O15143,Q13263,0.013135378118268577,
O15143,Q14011,0.0616758996889161,
O15143,Q14444,0.008728485667457198,
O15143,Q15233,0.01275144941836016,
O15143,Q15459,0.0019024526459356995,
O15143,Q15843,0.006566284466280705,
O15143,Q16629,0.0014849481583498522,
O15143,Q7Z417,0.002028636697704358,
O15143,Q96HC4,0.009673717231210471,
O15143,Q96KR1,0.10364199959157915,
O15143,Q96L92,0.003160473952264672,
O15143,Q9H0U4,0.011927998677193468,
O15143,Q9HAV7,0.011040623847986066,
O15143,Q9NQP4,0.0023205880660307383,
O15143,Q9NRX4,0.010117658502782513,
O15143,Q9UHD8,0.010397018809672576,
O15143,Q9UJZ1,0.0006644621092248206,
O15143,Q9UMS6,0.02675453324158902,
O15143,Q9UNH7,0.003562469385585766,
O15143,Q9Y3D6,0.010803708315365656,
O43617,O15143,0.0021751816116980325,
O43617,O94925,0.051144609367228026,
O43617,P00568,0.005308475904043818,
O43617,P02652,0.0410894642841205,
O43617,P04179,0.043529946102177676,
O43617,P05121,0.008397196042485879,
O43617,P05976,0.008789522449991028,
O43617,P06753,0.0016580670616806138,
O43617,P07203,0.0024264755108781995,
O43617,P07339,0.007259789872132929,
O43617,P12956,0.003346947201740447,
O43617,P13010,0.012849127418706316,
O43617,P14314,0.008980566881928102,
O43617,P15374,0.007487267137351251,
O43617,P18859,0.010093564555761086,
O43617,P21281,0.004286822858598288,
O43617,P23246,0.011203411170832386,
O43617,P26022,0.0036261586324118243,
O43617,P26447,0.01092059820341605,
O43617,P27816,0.0020645356742771946,
O43617,P30048,0.0024323324011073654,
O43617,P30085,0.002328660199563426,
O43617,P35222,0.04379337539297164,
O43617,P36957,0.04566063171122087,
O43617,P37837,0.010386613066307506,
O43617,P38606,0.0022595337922045296,
O43617,P40926,0.0032501043386530494,
O43617,P42765,0.025378149964612455,
O43617,P45877,0.02223510561922458,
O43617,P46379,0.002801613276603493,
O43617,P48556,0.01805611404651537,
O43617,P49756,0.0062725564480790984,
O43617,P52943,0.016946451790467994,
O43617,P53621,0.003208347044392885,
O43617,P56192,0.016412965411977475,
O43617,P61981,0.010756195041219007,
O43617,P62249,0.010044341043329423,
O43617,P62328,0.018145546102735933,
O43617,P62854,0.013279082311557467,
O43617,P62888,0.003429742926297415,
O43617,P62906,0.0012474087722375146,
O43617,P62913,0.02369758180730183,
O43617,P62917,0.0001724730052979171,
O43617,Q01995,0.020025521771975346,
O43617,Q02218,0.008013901250016628,
O43617,Q02818,0.022670844163417154,
O43617,Q05682,0.02052443155762115,
O43617,Q07065,0.04959864636132671,
O43617,Q07866,0.001894192574002565,
O43617,Q07954,0.02439957413059314,
O43617,Q13162,0.01532755314841935,
O43617,Q13263,0.015236373073206844,
O43617,Q14011,0.005363621185428264,
O43617,Q14444,0.008235375530554605,
O43617,Q15233,0.01042975186420698,
O43617,Q15459,0.00014554373924742988,
O43617,Q15843,0.05498884948598817,
O43617,Q16629,0.0010877336564064429,
O43617,Q7Z417,0.009535397481334447,
O43617,Q96HC4,0.0024138448461197143,
O43617,Q96KR1,0.021359531573646846,
O43617,Q96L92,0.013052616619929283,
O43617,Q9H0U4,0.02580273411025162,
O43617,Q9HAV7,0.023089400564023164,
O43617,Q9NQP4,0.007045542774946844,
O43617,Q9NRX4,0.003976996210997615,
O43617,Q9UHD8,0.0036622395127399177,
O43617,Q9UJZ1,0.0005236665142618027,
O43617,Q9UMS6,0.005156578847215407,
O43617,Q9UNH7,0.03940392383683661,
O43617,Q9Y3D6,0.00789358990314063,
O94925,O15143,0.009303391380440009,
O94925,O43617,0.00041914923803731334,
O94925,P00568,0.017664443064340254,
O94925,P02652,0.000727034344339563,
O94925,P04179,0.009348443748754902,
O94925,P05121,0.007014979661891202,
O94925,P05976,0.0017986339981115329,
O94925,P06753,0.0019232186388563604,
O94925,P07203,0.009799118930727073,
O94925,P07339,0.012285763122344195,
O94925,P12956,0.019079610455429927,
O94925,P13010,0.0022831520283506505,
O94925,P14314,0.0035046237419046034,
O94925,P15374,0.004489085845436289,
O94925,P18859,0.008741930138158126,
O94925,P21281,0.012103462538684814,
O94925,P23246,0.013849351886544254,
O94925,P26022,0.020394129784202294,
O94925,P26447,0.0218640261058467,
O94925,P27816,0.018555349269367614,
O94925,P30048,0.004348135184105046,
O94925,P30085,0.00123710593411514,
O94925,P35222,0.001672581776205936,
O94925,P36957,0.014666769025322561,
O94925,P37837,0.005952400378487082,
O94925,P38606,0.0145821632730466,
O94925,P40926,0.0005150969015833129,
O94925,P42765,0.005046851287915233,
