Regulator,Target,Weight,Sign
O15143,O94925,0.05825931828540513,
O15143,P02652,0.002367436247900445,
O15143,P04179,0.023537920715561773,
O15143,P12956,0.11219931858436655,
O15143,P18859,0.006489815835731588,
O15143,P21281,0.05453290652124927,
O15143,P26022,0.046619877409002725,
O15143,P26447,0.07124412769033495,
O15143,P30085,0.08607055075256831,
O15143,P35222,0.012949550370984416,
O15143,P36957,0.05425918159754081,
O15143,P38606,0.012210477793773229,
O15143,P40926,0.07644356539649164,
O15143,P42765,0.01920256153964252,
O15143,P56192,0.0321967878431687,
O15143,P61981,0.04611101852847303,
O15143,P62854,0.02261069328079133,
O15143,P62917,0.04475871052436617,
O15143,Q02218,0.035651990122295835,
O15143,Q02818,0.0276280269269636,
O15143,Q07065,0.06768551339189018,
O15143,Q07866,0.006003511552204993,
O15143,Q07954,0.017869560889686383,
O15143,Q13162,0.034044244795760965,
O15143,Q14011,0.11782498976291171,
O15143,Q15459,0.020632812206967464,
O15143,Q15843,0.001499279727520182,
O15143,Q96L92,0.04794133758194893,
O15143,Q9H0U4,0.02539960382501464,
O15143,Q9UHD8,0.13564979581591025,
O15143,Q9UJZ1,0.10679914299943734,
O15143,Q9UNH7,0.024154061272758966,
O15143,Q9Y3D6,0.0038179979859443566,
O94925,O15143,0.01108308134706465,
O94925,P02652,0.02970583650968408,
O94925,P04179,0.016307427429320346,
O94925,P12956,0.07089702727344212,
O94925,P18859,0.030955673200270303,
O94925,P21281,0.03534343662452819,
O94925,P26022,0.047772194416287155,
O94925,P26447,0.06430411058365133,
O94925,P30085,0.032534317523316245,
O94925,P35222,0.04358501005432589,
O94925,P36957,0.058820990386304624,
O94925,P38606,0.0018200820882505674,
O94925,P40926,0.04737042213624221,
O94925,P42765,0.013735645963048587,
O94925,P56192,0.07053795449495079,
O94925,P61981,0.01753889917984139,
O94925,P62854,0.01999333054135685,
O94925,P62917,0.02620660156936229,
O94925,Q02218,0.006135344170845627,
O94925,Q02818,0.05528394866749,
O94925,Q07065,0.08302490820894357,
O94925,Q07866,0.029173783750463228,
O94925,Q07954,0.0016885230930952266,
O94925,Q13162,0.04433819429367442,
O94925,Q14011,0.031855029359018766,
O94925,Q15459,0.07392113806412112,
O94925,Q15843,0.04771511227239695,
O94925,Q96L92,0.0007705518434435281,
O94925,Q9H0U4,0.07442205551463177,
O94925,Q9UHD8,0.05011689432541425,
O94925,Q9UJZ1,0.048425779896006424,
O94925,Q9UNH7,0.006870004450902982,
O94925,Q9Y3D6,0.01999122373632216,
P02652,O15143,9.953924552638283e-06,
P02652,O94925,0.01064990670497453,
P02652,P04179,0.002772373324198949,
P02652,P12956,0.010085550735786056,
P02652,P18859,0.003931383901211778,
P02652,P21281,0.0033871525442882703,
P02652,P26022,0.007043996314422446,
P02652,P26447,0.008517930445505546,
P02652,P30085,0.007944736788829279,
P02652,P35222,0.012261317193469201,
P02652,P36957,0.009881162201754902,
P02652,P38606,0.0035584906087983512,
P02652,P40926,0.009000115566772007,
P02652,P42765,0.008050775021813244,
P02652,P56192,0.011733861255137715,
P02652,P61981,0.011664670582065873,
P02652,P62854,0.00037050622905145195,
P02652,P62917,0.006126794245909521,
P02652,Q02218,0.005955002770913134,
P02652,Q02818,0.006824770395886736,
P02652,Q07065,0.0031275022713711615,
P02652,Q07866,0.007655989902422955,
P02652,Q07954,0.00331710482697215,
P02652,Q13162,0.004603720968050071,
P02652,Q14011,0.004855835972143948,
P02652,Q15459,0.004178266002502225,
P02652,Q15843,0.007228804929587328,
P02652,Q96L92,0.0075967449941278875,
P02652,Q9H0U4,0.006074261403369922,
P02652,Q9UHD8,0.011514979923560004,
P02652,Q9UJZ1,0.0008726340224246454,
P02652,Q9UNH7,0.006161706682678845,
P02652,Q9Y3D6,0.011103011138266235,
P04179,O15143,0.18998795988650896,
P04179,O94925,0.0176010858718432,
P04179,P02652,0.013298678921622302,
P04179,P12956,0.009436461708813864,
P04179,P18859,0.018784794893093103,
P04179,P21281,0.08107253183376596,
P04179,P26022,0.03712598351915132,
P04179,P26447,0.0025807097120299346,
P04179,P30085,0.02668764811663751,
P04179,P35222,0.016765289154970282,
P04179,P36957,0.05500880746040016,
P04179,P38606,0.024789232453627495,
P04179,P40926,0.02669971826920331,
P04179,P42765,0.021837145304077703,
P04179,P56192,0.04736345144834071,
P04179,P61981,0.09160565544389992,
P04179,P62854,0.010322851721816163,
P04179,P62917,0.10872068468207671,
P04179,Q02218,0.18474363338679078,
P04179,Q02818,0.00035162084804778583,
P04179,Q07065,0.007548915014886215,
P04179,Q07866,0.045090284690213776,
P04179,Q07954,0.006226094137367316,
P04179,Q13162,0.06193255796873442,
P04179,Q14011,0.021523626383662592,
P04179,Q15459,0.031027596341900797,
P04179,Q15843,0.011885750028761952,
P04179,Q96L92,0.034391302389148386,
P04179,Q9H0U4,0.01756073147368113,
P04179,Q9UHD8,0.0001882109928234,
P04179,Q9UJZ1,0.01993503868433713,
P04179,Q9UNH7,0.02251668695304522,
P04179,Q9Y3D6,0.011596348694181267,
P12956,O15143,0.03797235428889459,
P12956,O94925,0.08274720269577447,
P12956,P02652,0.0844543358055742,
P12956,P04179,0.002342203084458406,
P12956,P18859,0.09390058759279413,
P12956,P21281,0.011371635684549198,
P12956,P26022,0.08457753568956776,
P12956,P26447,0.03532461013473636,
P12956,P30085,0.07726214936021814,
P12956,P35222,0.08924760374867985,
P12956,P36957,0.04797184868493311,
P12956,P38606,0.012575150249927447,
P12956,P40926,0.03511452099852764,
P12956,P42765,0.07255985706383863,
P12956,P56192,0.061432194646302264,
P12956,P61981,0.07800599546895098,
P12956,P62854,0.04588309660692224,
P12956,P62917,0.03930314061403468,
P12956,Q02218,0.016937840294511588,
P12956,Q02818,0.02835348752527217,
P12956,Q07065,0.11421070196959676,
P12956,Q07866,0.010520496787806685,
P12956,Q07954,0.09731251735155018,
P12956,Q13162,0.018769964264521342,
P12956,Q14011,0.08687039877488374,
P12956,Q15459,0.03741099793470664,
P12956,Q15843,0.06924056647433566,
P12956,Q96L92,0.012448087862214085,
P12956,Q9H0U4,0.0014458685464932358,
P12956,Q9UHD8,0.030270991138728907,
P12956,Q9UJZ1,0.05224831205192701,
P12956,Q9UNH7,0.004794151514114212,
P12956,Q9Y3D6,0.07210125255779398,
P18859,O15143,0.11438324996639467,
P18859,O94925,0.0334271334759802,
P18859,P02652,0.0327397552941274,
P18859,P04179,0.045277376753316674,
P18859,P12956,0.049887723797184785,
P18859,P21281,0.037041360845608544,
P18859,P26022,0.04395671017041877,
P18859,P26447,0.048233508158577645,
P18859,P30085,0.04280791556038024,
P18859,P35222,0.009790144855503374,
P18859,P36957,0.06478319506807118,
P18859,P38606,0.016210544693264727,
P18859,P40926,0.024769732420476764,
P18859,P42765,0.019911555739111957,
P18859,P56192,0.0786090337680284,
P18859,P61981,0.03862655140997052,
P18859,P62854,0.03095420580581069,
P18859,P62917,0.1096598991325837,
P18859,Q02218,0.08716346701355739,
P18859,Q02818,0.01756746754445183,
P18859,Q07065,0.07114416129569526,
P18859,Q07866,0.058759589927278144,
P18859,Q07954,0.006778328538310611,
P18859,Q13162,0.10202806475360354,
P18859,Q14011,0.01587656546666945,
P18859,Q15459,0.007511259025833267,
P18859,Q15843,0.028430491601571954,
P18859,Q96L92,0.001938177520036553,
P18859,Q9H0U4,0.06340077320697327,
P18859,Q9UHD8,0.06460059997876968,
P18859,Q9UJZ1,0.04147551892538859,
P18859,Q9UNH7,0.008123728945418962,
P18859,Q9Y3D6,0.02230665829342341,
P21281,O15143,0.008547789096149398,
P21281,O94925,0.003697997129447261,
P21281,P02652,0.0030350165279688225,
P21281,P04179,0.009173449671797942,
P21281,P12956,0.003768545595616745,
P21281,P18859,0.0055374456284609,
P21281,P26022,0.0016333467667514643,
P21281,P26447,0.004811216412914586,
P21281,P30085,0.001498576007600563,
P21281,P35222,0.0021273087583134516,
P21281,P36957,0.000978910163510325,
P21281,P38606,0.011305039372555033,
P21281,P40926,0.002401057228699106,
P21281,P42765,0.006977114550754699,
P21281,P56192,0.00015847632053668512,
P21281,P61981,0.007119271261581357,
P21281,P62854,0.003992908687510793,
P21281,P62917,0.0018734118286659967,
P21281,Q02218,0.011164349691311795,
P21281,Q02818,0.0012845163537296745,
P21281,Q07065,0.002776716751286317,
P21281,Q07866,0.0028039187643889895,
P21281,Q07954,0.004648370397491778,
P21281,Q13162,0.013743873801658325,
P21281,Q14011,0.0007962749971687393,
P21281,Q15459,0.007491564840073737,
P21281,Q15843,0.00994130190827613,
P21281,Q96L92,0.006388408733906363,
P21281,Q9H0U4,0.004245219722040682,
P21281,Q9UHD8,0.000990241574747383,
P21281,Q9UJZ1,0.0019970703593327646,
P21281,Q9UNH7,0.00401397607306761,
P21281,Q9Y3D6,0.0029187235448363907,
P26022,O15143,0.014241525544929974,
P26022,O94925,0.0521247314333781,
P26022,P02652,0.000700864235090322,
P26022,P04179,0.011292215915848842,
P26022,P12956,0.06670647979389888,
P26022,P18859,0.03068473207370529,
P26022,P21281,0.0020199649532447986,
P26022,P26447,0.05412255169013146,
P26022,P30085,0.04504297928707988,
P26022,P35222,0.03571483916152965,
P26022,P36957,0.04314041453826809,
P26022,P38606,0.007042009078409337,
P26022,P40926,0.0009700738736531407,
P26022,P42765,0.0005719084189671113,
P26022,P56192,0.0328855932378021,
P26022,P61981,0.02352606230708344,
P26022,P62854,0.010610720586776444,
P26022,P62917,0.020806623332970963,
P26022,Q02218,0.042310695694898766,
P26022,Q02818,0.017730982566671997,
P26022,Q07065,0.041327020190653964,
P26022,Q07866,0.025377158685363537,
P26022,Q07954,0.0005541811103421468,
P26022,Q13162,0.016517238518608337,
P26022,Q14011,0.03824676684155271,
P26022,Q15459,0.019835091686022474,
P26022,Q15843,0.018579461021107094,
P26022,Q96L92,0.018084355359862244,
P26022,Q9H0U4,0.03188508909564513,
P26022,Q9UHD8,0.06385892475661925,
P26022,Q9UJZ1,0.04276590545921863,
P26022,Q9UNH7,0.018276631207321804,
P26022,Q9Y3D6,0.002907184346638312,
P26447,O15143,0.06624585223493169,
P26447,O94925,0.035279184777011564,
P26447,P02652,0.02149976166592686,
P26447,P04179,0.004025315594116873,
P26447,P12956,0.05753445450277978,
P26447,P18859,0.011064694816836123,
P26447,P21281,0.08289042061713817,
P26447,P26022,0.05805448189187931,
P26447,P30085,0.02190701375163863,
P26447,P35222,0.015586456121680517,
P26447,P36957,0.05588653838687293,
P26447,P38606,0.024554586385681858,
P26447,P40926,0.03509314687155186,
P26447,P42765,0.04164480162918433,
P26447,P56192,0.08389353869751899,
P26447,P61981,0.028230150598886127,
P26447,P62854,0.05342606912134529,
P26447,P62917,0.05539946037038005,
P26447,Q02218,0.05350327821794085,
P26447,Q02818,0.0684306477533109,
P26447,Q07065,0.09885062532174718,
P26447,Q07866,0.014711400571755394,
P26447,Q07954,0.034349723980559244,
P26447,Q13162,0.07373908069824288,
P26447,Q14011,0.06581984154227673,
P26447,Q15459,0.07251896345033543,
P26447,Q15843,0.09802586698751145,
P26447,Q96L92,0.00414665071716923,
P26447,Q9H0U4,0.07611756234369739,
P26447,Q9UHD8,0.038121790236304534,
P26447,Q9UJZ1,0.05555452870967083,
P26447,Q9UNH7,0.024130303152469636,
P26447,Q9Y3D6,0.03521703155971187,
P30085,O15143,0.06467563112661544,
P30085,O94925,0.050393651546065024,
P30085,P02652,0.005647778619748235,
P30085,P04179,0.004439980540892556,
P30085,P12956,0.043212490093415844,
P30085,P18859,0.04203679136320254,
P30085,P21281,0.003837095272908493,
P30085,P26022,0.028842736821840673,
P30085,P26447,0.03767962305647716,
P30085,P35222,0.06794581639142555,
P30085,P36957,0.014097597619368234,
P30085,P38606,0.018994012006439402,
P30085,P40926,0.036926422101347244,
P30085,P42765,0.03151010912537154,
P30085,P56192,0.037177948236841125,
P30085,P61981,0.024581228983327565,
P30085,P62854,0.052200944947810024,
P30085,P62917,0.005648952880961684,
P30085,Q02218,0.11248528759240672,
P30085,Q02818,0.004296628341699752,
P30085,Q07065,0.0733509755186583,
P30085,Q07866,0.027585318429353346,
P30085,Q07954,0.04045389392335859,
P30085,Q13162,0.012295400021576168,
P30085,Q14011,0.050544202582590354,
P30085,Q15459,0.03665998697390159,
P30085,Q15843,0.02744812293986597,
P30085,Q96L92,0.008445320761036983,
P30085,Q9H0U4,0.013385022536541837,
P30085,Q9UHD8,0.04805493366868538,
P30085,Q9UJZ1,0.029523299560104955,
P30085,Q9UNH7,0.007411043253751335,
P30085,Q9Y3D6,0.0027143909765617318,
P35222,O15143,0.06248897696599656,
P35222,O94925,0.08987682568945898,
P35222,P02652,0.011971854760449322,
P35222,P04179,0.014023817630322864,
P35222,P12956,0.07444609971367389,
P35222,P18859,0.05221721100046842,
P35222,P21281,0.09138429199285199,
P35222,P26022,0.043432816869409765,
P35222,P26447,0.07178835522800993,
P35222,P30085,0.056049544243730244,
P35222,P36957,0.08734679454233124,
P35222,P38606,0.03560203455278778,
P35222,P40926,0.06627170881282579,
P35222,P42765,0.028477438237938694,
P35222,P56192,0.05428783352099486,
P35222,P61981,0.055872367019975534,
P35222,P62854,0.09140774803596315,
P35222,P62917,0.02259645953694716,
P35222,Q02218,0.08783504337195254,
P35222,Q02818,0.021212270281677076,
P35222,Q07065,0.0008293059340180371,
P35222,Q07866,0.04791787868603384,
P35222,Q07954,0.0033381254484602294,
P35222,Q13162,0.05398146901678918,
P35222,Q14011,0.012750322128426672,
P35222,Q15459,0.013478110987479197,
P35222,Q15843,0.004860746211455348,
P35222,Q96L92,0.051281612996699276,
P35222,Q9H0U4,0.03542667133605581,
