Regulator,Target,Weight
O15143,P04406,0.0228988832317172
O15143,P05787,0.007395592957550637
O15143,P05976,0.015185437691648714
O15143,P06748,0.07315150216304846
O15143,P07339,0.03563045327913588
O15143,P09382,0.0034871946471100607
O15143,P09936,0.01809661966951575
O15143,P13667,0.014921156132112163
O15143,P14174,0.006582332944683155
O15143,P14314,0.01955454217288569
O15143,P14866,0.005466697183488112
O15143,P15374,0.008552868412114459
O15143,P16989,0.009245029819673914
O15143,P17096,0.025923942958498983
O15143,P27635,0.007643386303402374
O15143,P31949,0.01468514814887125
O15143,P37837,0.001263156188475532
O15143,P40939,0.01635352089842182
O15143,P46777,0.008405268077164197
O15143,P47914,0.023683387264869196
O15143,P51911,0.004947836303072354
O15143,P56192,0.013825968261323028
O15143,P60903,0.03211737534566309
O15143,P62328,0.008479114998579887
O15143,P62854,0.0211697943025551
O15143,P62888,0.03157993979693584
O15143,P63208,0.0011644109430036216
O15143,P68104,0.03362260851065118
O15143,Q01518,0.016454476524102476
O15143,Q01995,0.010684839794970327
O15143,Q02790,0.019568397389558862
O15143,Q07065,0.0037153105839682708
O15143,Q07866,0.0059355941893425804
O15143,Q14011,0.0416378480186005
O15143,Q14195,0.03325187581027467
O15143,Q15365,0.02271241087877868
O15143,Q15459,0.019790910488301977
O15143,Q16181,0.012071851140837805
O15143,Q16629,0.03130284698441105
O15143,Q6NYC8,0.037679196358030825
O15143,Q7Z417,0.004014045087194356
O15143,Q92804,0.03942625331929127
O15143,Q96AC1,0.010965165905404901
O15143,Q99439,0.026997671466854525
O15143,Q99460,0.01375693729154344
O15143,Q99613,0.024882863877613834
O15143,Q99879,0.014965572905933396
O15143,Q9UMX0,0.015721584162652444
O15143,Q9UN86,0.04066371193995631
P04406,O15143,0.019788620628066873
P04406,P05787,0.02287369548766522
P04406,P05976,0.03245869569057041
P04406,P06748,0.020174475676155948
P04406,P07339,0.036333087520177
P04406,P09382,0.0007551569258904016
P04406,P09936,0.02029952866045228
P04406,P13667,0.010231121010812465
P04406,P14174,0.02122512486592729
P04406,P14314,0.01574397407269117
P04406,P14866,0.003657488976360974
P04406,P15374,0.007926830705526912
P04406,P16989,0.03819648073289747
P04406,P17096,0.011321469218813095
P04406,P27635,0.004616424153964179
P04406,P31949,0.050617427743582855
P04406,P37837,0.018489881955465172
P04406,P40939,0.0276221881439358
P04406,P46777,0.03644649864795045
P04406,P47914,0.03987183136681625
P04406,P51911,0.001380358041203616
P04406,P56192,0.023686440443378046
P04406,P60903,0.03162024961419424
P04406,P62328,0.02666530248460694
P04406,P62854,0.012098082437464196
P04406,P62888,0.042881367549467676
P04406,P63208,0.01846956739792775
P04406,P68104,0.02363934673189204
P04406,Q01518,0.02129408834214276
P04406,Q01995,0.028533586474642873
P04406,Q02790,0.007152146590027417
P04406,Q07065,0.03458884452558495
P04406,Q07866,0.01748460281743513
P04406,Q14011,0.005719258204437173
P04406,Q14195,0.031839236483933546
P04406,Q15365,0.005984040241736032
P04406,Q15459,0.0024363799531125913
P04406,Q16181,0.009982059835927731
P04406,Q16629,0.03698967889124512
P04406,Q6NYC8,0.027560708007459172
P04406,Q7Z417,0.006826061842482249
P04406,Q92804,0.00688687473518194
P04406,Q96AC1,0.017000781552306703
P04406,Q99439,0.0033210343811511597
P04406,Q99460,0.020287801721553842
P04406,Q99613,0.02369903089608254
P04406,Q99879,0.007869856068293586
P04406,Q9UMX0,0.00899085421400069
P04406,Q9UN86,0.0020583063850780825
P05787,O15143,0.027037932924252887
P05787,P04406,0.029481960843613715
P05787,P05976,0.011781325233937304
P05787,P06748,0.00254383165853774
P05787,P07339,0.02957447897361726
P05787,P09382,0.006028387701444016
P05787,P09936,0.016739435363855564
P05787,P13667,0.010608726610827502
P05787,P14174,0.04219669875915669
P05787,P14314,0.027851013399724088
P05787,P14866,0.037041054708586034
P05787,P15374,0.03978170240062878
P05787,P16989,0.003977617249493285
P05787,P17096,0.03064543683346945
P05787,P27635,0.020931612930052364
P05787,P31949,0.03549258021768909
P05787,P37837,0.010907119341293374
P05787,P40939,0.037462912137797906
P05787,P46777,0.017369725907421436
P05787,P47914,0.02521248416588491
P05787,P51911,0.02991609305378106
P05787,P56192,0.024351845293209298
P05787,P60903,0.0110221281662226
P05787,P62328,0.02465705044091436
P05787,P62854,0.013444627340648595
P05787,P62888,0.008195574560790416
P05787,P63208,0.03472945875470902
P05787,P68104,0.042616098215979954
P05787,Q01518,0.002879371804400222
P05787,Q01995,0.029571205455885995
P05787,Q02790,0.0022507874729116727
P05787,Q07065,0.020698360650354655
P05787,Q07866,0.018571044251798587
P05787,Q14011,0.021245032755190452
P05787,Q14195,0.03794134408937133
P05787,Q15365,0.011605178710377527
P05787,Q15459,0.025198367779488067
P05787,Q16181,0.0022038601162835646
P05787,Q16629,0.022886717208512805
P05787,Q6NYC8,0.012662925370037303
P05787,Q7Z417,0.032086415392459385
P05787,Q92804,0.001072351584960471
P05787,Q96AC1,0.028113381115508287
P05787,Q99439,0.046941825868370236
P05787,Q99460,0.01570620442970354
P05787,Q99613,0.030936223866861373
P05787,Q99879,0.03544051074584017
P05787,Q9UMX0,0.0006229076002384888
P05787,Q9UN86,0.015710387371719793
P05976,O15143,0.0010707001395523362
P05976,P04406,0.019973617368525917
P05976,P05787,0.048745167571711434
P05976,P06748,0.010401345270742417
P05976,P07339,0.03799242328968995
P05976,P09382,0.03663930277357143
P05976,P09936,0.014922212284649777
P05976,P13667,0.019696555263289395
P05976,P14174,0.01764995885287445
P05976,P14314,0.04407500165657947
P05976,P14866,0.006435753216154174
P05976,P15374,0.0057174381432739665
P05976,P16989,0.01630435613049347
P05976,P17096,0.007696927398908773
P05976,P27635,0.005261445085054418
P05976,P31949,0.033668834256891156
P05976,P37837,0.038636800201741546
P05976,P40939,0.002152796625081416
P05976,P46777,0.018129749883295604
P05976,P47914,0.015255527726451012
P05976,P51911,0.016044808041914094
P05976,P56192,0.0144157376403721
P05976,P60903,0.021743519289551008
P05976,P62328,0.007695654020467587
P05976,P62854,0.014678531831097973
P05976,P62888,0.01739834334782158
P05976,P63208,0.028910906606601172
P05976,P68104,0.018132096889153862
P05976,Q01518,0.007314502881486377
P05976,Q01995,0.032483344263987385
P05976,Q02790,0.006182768419437176
P05976,Q07065,0.013359445631374454
P05976,Q07866,0.013417116459549232
P05976,Q14011,0.028359247260786775
P05976,Q14195,0.04176499371071411
P05976,Q15365,0.03407811771585303
P05976,Q15459,0.03573526857270099
P05976,Q16181,0.004189194675690553
P05976,Q16629,0.0006609281349950773
P05976,Q6NYC8,0.012251873425578024
P05976,Q7Z417,0.008821056364179288
P05976,Q92804,0.02768419616130258
P05976,Q96AC1,0.01038502066031051
P05976,Q99439,0.007098149729197551
P05976,Q99460,0.03703953296810703
P05976,Q99613,0.020636294976081535
P05976,Q99879,0.029593976345215288
P05976,Q9UMX0,0.001736683524388227
P05976,Q9UN86,0.003413341059788597
P06748,O15143,0.011166639262513826
P06748,P04406,0.007181518492509172
P06748,P05787,0.027762112008494544
P06748,P05976,0.00727382725601709
P06748,P07339,0.0013105346249257823
P06748,P09382,0.028461649935564992
P06748,P09936,0.015956006191991157
P06748,P13667,0.0282247141199298
P06748,P14174,0.02109907025759991
P06748,P14314,0.01502683826539384
P06748,P14866,0.009539630319821116
P06748,P15374,0.016576248330536093
P06748,P16989,0.04033434978550274
P06748,P17096,0.009144055781682692
