Regulator,Target,Weight,Sign
O15143,O94925,0.014433495769093531,
O15143,P02652,0.0024163871556793287,
O15143,P04179,0.008074083956981764,
O15143,P12956,0.04267163150219355,
O15143,P18859,0.015677720800716752,
O15143,P21281,0.015538067963094301,
O15143,P26022,0.00550026815301059,
O15143,P26447,0.02379948429463723,
O15143,P30085,0.032086349383157735,
O15143,P35222,0.006713507823160702,
O15143,P36957,0.009046491341021501,
O15143,P38606,0.019493337228403063,
O15143,P40926,0.04049488484983897,
O15143,P42765,0.005695393643768993,
O15143,P56192,0.0025288957722589688,
O15143,P61981,0.009085367638665517,
O15143,P62854,0.010933682752940443,
O15143,P62917,0.02492037610604223,
O15143,Q02218,0.07321890173917404,
O15143,Q02818,0.010131178335499813,
O15143,Q07065,0.007219348870168822,
O15143,Q07866,0.015260012752903996,
O15143,Q07954,0.007219132590469624,
O15143,Q13162,0.0057359995975304005,
O15143,Q14011,0.03369299134666288,
O15143,Q15459,0.01296731478400475,
O15143,Q15843,0.006123593063484212,
O15143,Q96L92,0.020080443496718888,
O15143,Q9H0U4,0.00012325319378069348,
O15143,Q9UHD8,0.04832095772650831,
O15143,Q9UJZ1,0.0552154179950195,
O15143,Q9UNH7,0.01997182725489322,
O15143,Q9Y3D6,0.0012959231342541389,
O94925,O15143,0.002559195591664178,
O94925,P02652,0.022626756457205965,
O94925,P04179,0.006533072303845183,
O94925,P12956,0.00020861529451578637,
O94925,P18859,0.0122702887515416,
O94925,P21281,0.013133252337835263,
O94925,P26022,0.004151520999702281,
O94925,P26447,0.0003067597131618539,
O94925,P30085,0.010106372413848083,
O94925,P35222,0.008589037934775588,
O94925,P36957,0.004352846270832928,
O94925,P38606,0.005652327720031037,
O94925,P40926,0.005534890092258473,
O94925,P42765,0.004749092331181571,
O94925,P56192,0.007625730750155304,
O94925,P61981,0.022359059706676315,
O94925,P62854,0.00404025972551872,
O94925,P62917,0.0038081161868616245,
O94925,Q02218,0.0062549695852033875,
O94925,Q02818,0.007829279539487399,
O94925,Q07065,0.01773553045258098,
O94925,Q07866,0.0008296093239037064,
O94925,Q07954,0.005005039321159687,
O94925,Q13162,0.03452189575274183,
O94925,Q14011,0.01641182838539007,
O94925,Q15459,0.014501262630312031,
O94925,Q15843,0.00471820378574956,
O94925,Q96L92,0.006605309095240527,
O94925,Q9H0U4,0.01308600233317945,
O94925,Q9UHD8,0.000537691907315747,
O94925,Q9UJZ1,0.005798560527861739,
O94925,Q9UNH7,0.01804327711088288,
O94925,Q9Y3D6,0.003873488987620387,
P02652,O15143,0.03296803437014447,
P02652,O94925,0.030862856227676698,
P02652,P04179,0.011149989504259633,
P02652,P12956,0.015306612435557558,
P02652,P18859,0.02339289127020701,
P02652,P21281,0.016385106196783447,
P02652,P26022,0.041994659953618646,
P02652,P26447,0.0025588335587185787,
P02652,P30085,0.04248228912327473,
P02652,P35222,0.03656516128517773,
P02652,P36957,0.018734810941245846,
P02652,P38606,0.006183721168751257,
P02652,P40926,0.013464011236938443,
P02652,P42765,0.018797738120315346,
P02652,P56192,0.005653897516526497,
P02652,P61981,0.031302281861967304,
P02652,P62854,0.0009584625770591509,
P02652,P62917,0.029373077944239694,
P02652,Q02218,0.04643626793456991,
P02652,Q02818,0.009985970330152402,
P02652,Q07065,0.007065280430570152,
P02652,Q07866,0.027005207682274303,
P02652,Q07954,0.05781335246304092,
P02652,Q13162,0.046280090123275795,
P02652,Q14011,0.0490684735527994,
P02652,Q15459,0.02122641465330038,
P02652,Q15843,0.043913031752718976,
P02652,Q96L92,0.0404738087035707,
P02652,Q9H0U4,0.0303483033571263,
P02652,Q9UHD8,0.0050178601912342375,
P02652,Q9UJZ1,0.04535754049717911,
P02652,Q9UNH7,0.02736140473393103,
P02652,Q9Y3D6,0.03625457989239696,
P04179,O15143,0.06908885734813267,
P04179,O94925,0.005765143111263776,
P04179,P02652,0.0059335765699353475,
P04179,P12956,0.01612248036278517,
P04179,P18859,0.014118336154450697,
P04179,P21281,0.05177266971650458,
P04179,P26022,0.008995906931710018,
P04179,P26447,0.011192931895894521,
P04179,P30085,0.017244800998275682,
P04179,P35222,0.02031585086521898,
P04179,P36957,0.008861746143707223,
P04179,P38606,0.0038172105708722927,
P04179,P40926,0.004664903876663624,
P04179,P42765,0.017555367236791585,
P04179,P56192,0.019441925494367806,
P04179,P61981,0.04280832676778005,
P04179,P62854,0.021011267139240397,
P04179,P62917,0.05562956538878029,
P04179,Q02218,0.058977730859905195,
P04179,Q02818,0.02075316729254715,
P04179,Q07065,0.008003424618612144,
P04179,Q07866,0.02253234410164323,
P04179,Q07954,0.02444343012961786,
P04179,Q13162,0.047657262517439535,
P04179,Q14011,0.009009919149106493,
P04179,Q15459,0.03738119870592219,
P04179,Q15843,0.0002572899069028929,
P04179,Q96L92,0.019641846272580667,
P04179,Q9H0U4,0.006498720540123677,
P04179,Q9UHD8,0.004850676442976241,
P04179,Q9UJZ1,0.0017880376370319675,
P04179,Q9UNH7,0.00454293290901093,
P04179,Q9Y3D6,0.022167517880159884,
P12956,O15143,0.036228358162659444,
