Regulator,Target,Weight
O00629,O15143,0.04108182956736553
O00629,O60716,0.027955885004532065
O00629,O94925,0.017914390036044246
O00629,P05556,0.11291511288526475
O00629,P05787,0.002854743588717806
O00629,P05976,0.01261862091874046
O00629,P13667,0.06344004049422902
O00629,P14174,0.14603385804902028
O00629,P15374,0.037869946860945344
O00629,P16989,6.765053026635927e-05
O00629,P17096,0.029305623999726804
O00629,P31949,0.08477694364569958
O00629,P49023,0.09140652317422214
O00629,P49756,0.0872665249754684
O00629,P56192,0.08645426369634683
O00629,P62328,0.022518986063448963
O00629,P62424,0.054381757668025936
O00629,P62854,0.11151780124975218
O00629,P63208,0.028738634589165122
O00629,P67809,0.010589093692930329
O00629,P67936,0.049869167501523426
O00629,P80723,0.005162450387969693
O00629,Q01995,0.017381087756772592
O00629,Q02790,0.02477437758147593
O00629,Q07065,0.06943077211763567
O00629,Q07866,0.09995445260584235
O00629,Q07954,0.015314993549012874
O00629,Q14011,0.0058642898908762685
O00629,Q15366,0.01858401517796792
O00629,Q16181,0.030412441252582818
O00629,Q3SX28,0.041688337956667994
O00629,Q6NZI2,0.023573026623986814
O00629,Q71UM5,0.01634951706205174
O00629,Q86UP2,0.011888663950421133
O00629,Q8IVL6,0.03161269248912345
O00629,Q92841,0.04175358028796827
O00629,Q96A49,0.01784368667592746
O00629,Q96C90,0.017487077747705103
O00629,Q99613,0.007194532509201495
O00629,Q99879,0.035460237097465985
O00629,Q9HBL0,0.08588508234963536
O00629,Q9UBR2,0.05650673004240514
O00629,Q9UHB9,0.03083817164288816
O00629,Q9UKY7,0.06181827241570289
O00629,Q9UMX0,0.11986643821983818
O00629,Q9UN86,0.013703626197586461
O00629,Q9Y5S9,0.1088134515035348
O15143,O00629,0.05918409604578381
O15143,O60716,0.012984718907198139
O15143,O94925,0.015468857831344255
O15143,P05556,0.005189551377232157
O15143,P05787,0.11004356360384158
O15143,P05976,0.03129866788613627
O15143,P13667,0.03242522240773595
O15143,P14174,0.053196525888553774
O15143,P15374,0.031119847156079888
O15143,P16989,0.02172933914776741
O15143,P17096,0.03872488512761171
O15143,P31949,0.011678489857732779
O15143,P49023,0.03354118654950539
O15143,P49756,0.049053910433941375
O15143,P56192,0.000447368686569116
O15143,P62328,0.030871120860475283
O15143,P62424,0.01948523356891891
O15143,P62854,0.016850768296473334
O15143,P63208,0.012897094516961697
O15143,P67809,0.024641263990350434
O15143,P67936,0.04607969529135726
O15143,P80723,0.025580053463382393
O15143,Q01995,0.07409486986336605
O15143,Q02790,0.04808567102867796
O15143,Q07065,0.051832926907627794
O15143,Q07866,0.051933404112799536
O15143,Q07954,0.10154589983105022
O15143,Q14011,0.04080018264906251
O15143,Q15366,0.022406125485022042
O15143,Q16181,0.06358720487939014
O15143,Q3SX28,0.004258613705559363
O15143,Q6NZI2,0.04280324637953901
O15143,Q71UM5,0.0072064096052570446
O15143,Q86UP2,0.07718306258632163
O15143,Q8IVL6,0.023961568941962715
O15143,Q92841,0.005182143870607531
O15143,Q96A49,0.05379881973541312
O15143,Q96C90,0.011418811504794535
O15143,Q99613,0.003529926038971978
O15143,Q99879,0.05283532734173049
O15143,Q9HBL0,0.004043604835595797
O15143,Q9UBR2,0.13727667241792968
O15143,Q9UHB9,0.07592267431161089
O15143,Q9UKY7,0.030220801648901757
O15143,Q9UMX0,0.061748843924534454
O15143,Q9UN86,0.0008534562396039752
O15143,Q9Y5S9,0.03602945667951198
O60716,O00629,0.012943614901448942
O60716,O15143,0.013490305869056645
O60716,O94925,0.02115489955488248
O60716,P05556,0.06036509753578657
O60716,P05787,0.014651617526166916
O60716,P05976,0.0030814253881630387
O60716,P13667,0.04511144918815349
O60716,P14174,0.050002249803824506
O60716,P15374,0.026177844526057936
O60716,P16989,0.004817327237616633
O60716,P17096,0.039128688242695754
O60716,P31949,0.05794595483709891
O60716,P49023,0.07956302792140163
O60716,P49756,0.09829547631559053
O60716,P56192,0.06200085349043236
O60716,P62328,0.013559637937419494
O60716,P62424,0.030384803422988455
O60716,P62854,0.04584969625360078
O60716,P63208,0.017432478325538237
O60716,P67809,0.01367490106319869
O60716,P67936,0.01882421305282571
O60716,P80723,0.006783169366400305
O60716,Q01995,0.01777161290842031
O60716,Q02790,0.0015047541148904774
O60716,Q07065,0.033832340232425366
O60716,Q07866,0.09905040320782853
O60716,Q07954,0.0009847205442967356
O60716,Q14011,0.022919652148535294
O60716,Q15366,0.0066924521289857064
O60716,Q16181,0.01917229555490685
O60716,Q3SX28,0.0013083919234337426
O60716,Q6NZI2,0.011592383018965485
O60716,Q71UM5,0.023751274128969626
O60716,Q86UP2,0.05686847554691597
O60716,Q8IVL6,0.023712293171824786
O60716,Q92841,0.010833788630259165
O60716,Q96A49,0.04756025432071783
O60716,Q96C90,0.021397698047972473
O60716,Q99613,0.0024178152609166978
O60716,Q99879,0.07660788481177573
O60716,Q9HBL0,0.05426962702737703
