Regulator,Target,Weight
O15143,O43617,0.07535277073627622
O15143,O60869,0.1951332836518777
O15143,P02461,0.023151443480534425
O15143,P02652,0.1278056973073544
O15143,P04179,0.009905544862662034
O15143,P06753,0.043715725026022306
O15143,P09104,0.03238053763484368
O15143,P13010,0.045208293252069084
O15143,P13861,0.03892993794551673
O15143,P27635,0.11121840938693431
O15143,P27816,0.09485984596562871
O15143,P37837,0.0012506492915594005
O15143,P43487,0.03369127326369967
O15143,P46778,0.030394813614985406
O15143,P49023,0.1212393471813586
O15143,P53621,0.1266912985884676
O15143,P60903,0.18872473191881964
O15143,P61981,0.002985957868902209
O15143,P62328,0.12273822680446712
O15143,P62861,0.014656268340910219
O15143,P62979,0.0030960115853887267
O15143,P63208,0.0800224422068258
O15143,Q00341,0.01533375352543389
O15143,Q01995,0.05726347924402811
O15143,Q02218,0.02761736661724891
O15143,Q02818,0.07083508536401811
O15143,Q05682,0.0770804539901438
O15143,Q07065,0.1117256710297098
O15143,Q07954,0.17722574035548974
O15143,Q13263,0.10395027981896368
O15143,Q14011,0.14035814122092233
O15143,Q14767,0.03216116275591988
O15143,Q6P2Q9,0.07953086375851466
O15143,Q7Z417,0.01581325674234805
O15143,Q96HC4,0.10744282796255199
O15143,Q99471,0.05404142164350318
O15143,Q9UPN3,0.20923015619931562
O15143,Q9UQ35,0.20344507434997183
O15143,Q9Y3D6,0.1361643858261286
O43617,O15143,0.02309198285047375
O43617,O60869,0.015271238573444068
O43617,P02461,0.011896538231282954
O43617,P02652,0.1174382298986142
O43617,P04179,0.027652677023115142
O43617,P06753,0.010667468206034144
O43617,P09104,0.08253047201112926
O43617,P13010,0.08854237706218514
O43617,P13861,0.009004808432022952
O43617,P27635,0.03948769559602606
O43617,P27816,0.023849637950145212
O43617,P37837,0.02412700102974623
O43617,P43487,0.004249667949220979
O43617,P46778,0.011239559821844854
O43617,P49023,0.11886183443459093
O43617,P53621,0.06376339255595398
O43617,P60903,0.03284837990431939
O43617,P61981,0.0028036856314435565
O43617,P62328,0.02871525414577517
O43617,P62861,0.041849274857829785
O43617,P62979,0.0832111086599737
O43617,P63208,0.05340690824639983
O43617,Q00341,0.07453650914631797
O43617,Q01995,0.03824275946629793
O43617,Q02218,0.058918326046241434
O43617,Q02818,0.022086803046501145
O43617,Q05682,0.03322996116377012
O43617,Q07065,0.0034265550258193423
O43617,Q07954,0.008409593618074022
O43617,Q13263,0.0680141729771292
O43617,Q14011,0.032856041455631896
O43617,Q14767,0.029983152525462672
O43617,Q6P2Q9,0.03756649142370803
O43617,Q7Z417,0.06355404457527247
O43617,Q96HC4,0.06308321329292203
O43617,Q99471,0.05408286057028951
O43617,Q9UPN3,0.013709744854356372
O43617,Q9UQ35,0.11653083877193626
O43617,Q9Y3D6,0.11290283459905301
O60869,O15143,0.05906797171322058
O60869,O43617,0.01890022271176673
O60869,P02461,0.03776415406687859
O60869,P02652,0.04949481096383607
O60869,P04179,0.08415889595347724
O60869,P06753,0.02388855511700636
O60869,P09104,0.06317272744862439
O60869,P13010,0.0957785081708914
O60869,P13861,0.048231458254591575
O60869,P27635,0.08209539139032143
O60869,P27816,0.003536640595587515
O60869,P37837,0.05806725084610846
O60869,P43487,0.1056851126971546
O60869,P46778,0.10129642846493102
O60869,P49023,0.04080462536338181
O60869,P53621,0.09292516894945946
O60869,P60903,0.06309521967690968
O60869,P61981,0.03947522546230896
O60869,P62328,0.012042188235979107
O60869,P62861,0.024383291345873866
O60869,P62979,0.0823378234341124
O60869,P63208,0.11111252880238735
O60869,Q00341,0.12566911149933835
O60869,Q01995,0.080528892465654
O60869,Q02218,0.04449055473349505
O60869,Q02818,0.028003569879337706
O60869,Q05682,0.01209572501990502
O60869,Q07065,0.05927016976711896
O60869,Q07954,0.052369417962144414
O60869,Q13263,0.09702609799676978
O60869,Q14011,0.10173013559009375
O60869,Q14767,0.03103560364584891
O60869,Q6P2Q9,0.05505665457148115
O60869,Q7Z417,0.07406663900208098
O60869,Q96HC4,0.08113146507960939
O60869,Q99471,0.08834865718272467
O60869,Q9UPN3,0.108690290321788
O60869,Q9UQ35,0.026987078351774833
O60869,Q9Y3D6,0.07902764951946187
P02461,O15143,0.09767968996677764
P02461,O43617,0.16520728120914685
P02461,O60869,0.11788853810624292
P02461,P02652,0.05280530732405388
P02461,P04179,0.006081265861204996
P02461,P06753,0.11649568538918896
P02461,P09104,0.03424471516748305
P02461,P13010,0.003233824107592691
P02461,P13861,0.1391141112427003
P02461,P27635,0.08922682410046626
P02461,P27816,0.09069951738996146
P02461,P37837,0.07524896605681233
P02461,P43487,0.018033271848823345
P02461,P46778,0.10773644707747779
P02461,P49023,0.13459553713104688
P02461,P53621,0.04188887724161849
P02461,P60903,0.1044065737550622
P02461,P61981,0.1742256261635214
P02461,P62328,0.12020857095884928
P02461,P62861,0.023003984614466313
P02461,P62979,0.1427362600915853
P02461,P63208,0.1647715707589169
P02461,Q00341,0.1694276797816388
P02461,Q01995,0.0049947360940689614
P02461,Q02218,0.11041175681667921
P02461,Q02818,0.11325283809308692
P02461,Q05682,0.09762548305152383
P02461,Q07065,0.10279245836526357
P02461,Q07954,0.08748106725113548
P02461,Q13263,0.04270595209385122
P02461,Q14011,0.02361454231456379
P02461,Q14767,0.04913021712696452
P02461,Q6P2Q9,0.054123712274204115
P02461,Q7Z417,0.03939285991503143
P02461,Q96HC4,0.17493301409050896
P02461,Q99471,0.06274574358584255
P02461,Q9UPN3,0.016620913091475988
P02461,Q9UQ35,0.09495435460565303
P02461,Q9Y3D6,0.021656082177742238
P02652,O15143,0.20413598412343334
P02652,O43617,0.09860021121280749
P02652,O60869,0.15955303791571482
P02652,P02461,0.06354466008155457
P02652,P04179,0.07504429661676924
P02652,P06753,0.08007611018735017
P02652,P09104,0.24873565146987475
P02652,P13010,0.05826877705031883
P02652,P13861,0.03256250090607093
P02652,P27635,0.03151232995451702
P02652,P27816,0.1797929930494113
P02652,P37837,0.12791221026650612
P02652,P43487,0.016864173638085088
P02652,P46778,0.030983405813124188
P02652,P49023,0.18047274966129093
P02652,P53621,0.029018982973469908
P02652,P60903,0.0905355108062125
P02652,P61981,0.09429903754353718
P02652,P62328,0.11433287263413373
P02652,P62861,0.21999828363184548
P02652,P62979,0.15801120252758385
P02652,P63208,0.1314214397744457
P02652,Q00341,0.1344102045598818
P02652,Q01995,0.2235456142650349
P02652,Q02218,0.36107873310752103
P02652,Q02818,0.1090166718563216
P02652,Q05682,0.07401518545294708
P02652,Q07065,0.09718740698502523
P02652,Q07954,0.005519849432625414
P02652,Q13263,0.030034645323854973
P02652,Q14011,0.0437580906969969
P02652,Q14767,0.05011423361006988
P02652,Q6P2Q9,0.10279885223767923
P02652,Q7Z417,0.22002908181938563
P02652,Q96HC4,0.1137188175884658
P02652,Q99471,0.02003979416597763
P02652,Q9UPN3,0.09547086137405335
P02652,Q9UQ35,0.09394212646532242
P02652,Q9Y3D6,0.06741163970363888
P04179,O15143,0.11649490347583376
P04179,O43617,0.03643072954067391
P04179,O60869,0.1236154258942666
P04179,P02461,0.0951798086266446
P04179,P02652,0.08276773129194558
P04179,P06753,0.018258636595264305
P04179,P09104,0.11371068018958021
