Regulator,Target,Weight
O00232,P05783,0.08862582160364563
O00232,P05787,0.03623428578219463
O00232,P07339,0.03531639818957952
O00232,P13667,0.12467309843385992
O00232,P14174,0.050693454773028876
O00232,P14314,0.02287438616572352
O00232,P14866,0.14194636859608775
O00232,P17174,0.24554644810506931
O00232,P22061,0.026354968450794537
O00232,P23284,0.2011524671833564
O00232,P31949,0.06509392233704442
O00232,P40939,0.051162841713601116
O00232,P50579,0.13312377294456498
O00232,P60903,0.013349391620476552
O00232,P62854,0.035493883537175315
O00232,P62888,0.057198878966004944
O00232,Q01518,0.21626872645177586
O00232,Q02790,0.15555601151308732
O00232,Q13200,0.020543759161756478
O00232,Q16629,0.017628034605339613
O00232,Q6NYC8,0.11841258315172065
O00232,Q92804,0.0347479821360423
O00232,Q96AC1,0.022608888891919837
O00232,Q99439,0.03531019927416872
O00232,Q99460,0.10693244037814484
O00232,Q99613,0.020107992208039643
O00232,Q9NZM1,0.06334755933461562
O00232,Q9UMX0,0.029361643491989997
O00232,Q9Y2W1,0.06547253139515255
O00232,mg,0.0
P05783,O00232,0.09141858962891668
P05783,P05787,0.10507619294681365
P05783,P07339,0.15239723919447526
P05783,P13667,0.17417953756501853
P05783,P14174,0.17605961966571682
P05783,P14314,0.07799188706432361
P05783,P14866,0.21367775391346466
P05783,P17174,0.2869184332144387
P05783,P22061,0.07688523779268999
P05783,P23284,0.39442980828654095
P05783,P31949,0.17573804208606703
P05783,P40939,0.10148925113314444
P05783,P50579,0.026846451878285084
P05783,P60903,0.21458424109894988
P05783,P62854,0.05425685384760149
P05783,P62888,0.004967109271754063
P05783,Q01518,0.10997426026593535
P05783,Q02790,0.13030939252964394
P05783,Q13200,0.19749400817480722
P05783,Q16629,0.01924802153669284
P05783,Q6NYC8,0.27048958282735697
P05783,Q92804,0.15600341476250887
P05783,Q96AC1,0.08907455702298044
P05783,Q99439,0.23304226404584955
P05783,Q99460,0.010284287936671499
P05783,Q99613,0.03162178114085836
P05783,Q9NZM1,0.005587542179602611
P05783,Q9UMX0,0.27910511404248595
P05783,Q9Y2W1,0.1444020412947141
P05783,mg,0.0
P05787,O00232,0.11593906637853328
P05787,P05783,0.33262674865825115
P05787,P07339,0.03461205834978796
P05787,P13667,0.03612083304545375
P05787,P14174,0.028363100811949548
P05787,P14314,0.12951939311961572
P05787,P14866,0.14452149581996124
P05787,P17174,0.25134224615920875
P05787,P22061,0.1392347842541269
P05787,P23284,0.3169330011167519
P05787,P31949,0.19896155190387177
P05787,P40939,0.20296725175994598
P05787,P50579,0.08162244195238376
P05787,P60903,0.12199965992810355
P05787,P62854,0.22983665303589734
P05787,P62888,0.16390445817668442
P05787,Q01518,0.1611669061425771
P05787,Q02790,0.15439808715738368
P05787,Q13200,0.281552210533724
P05787,Q16629,0.0738850217765342
P05787,Q6NYC8,0.2982976345322998
P05787,Q92804,0.06975033457771562
P05787,Q96AC1,0.0790603660219291
P05787,Q99439,0.03580662924515935
P05787,Q99460,0.010700410183960868
P05787,Q99613,0.010521525306654301
P05787,Q9NZM1,0.08840080589944636
P05787,Q9UMX0,0.13355322607626863
P05787,Q9Y2W1,0.07232229964986991
P05787,mg,0.0
P07339,O00232,0.002129049166910963
P07339,P05783,0.20485648253442007
P07339,P05787,0.09611005645264466
P07339,P13667,0.032915143867562224
P07339,P14174,0.1916177144074565
P07339,P14314,0.13930741437681604
P07339,P14866,0.11511657524522267
P07339,P17174,0.22876669573637656
P07339,P22061,0.21881825119941833
P07339,P23284,0.18109851176713068
P07339,P31949,0.08434927756589766
P07339,P40939,0.13846732897694675
P07339,P50579,0.07266069652221221
P07339,P60903,0.003740522378737607
P07339,P62854,0.02457291908983459
P07339,P62888,0.062209284344135383
P07339,Q01518,0.23617156844924553
P07339,Q02790,0.05192274607791253
P07339,Q13200,0.164634138329428
P07339,Q16629,0.02962260366995853
P07339,Q6NYC8,0.24558823801661175
P07339,Q92804,0.01067974498663172
P07339,Q96AC1,0.04687382299998047
P07339,Q99439,0.04990636453042721
P07339,Q99460,0.029661350759877376
P07339,Q99613,0.03180945262210244
P07339,Q9NZM1,0.07307116876449007
P07339,Q9UMX0,0.05817844700710256
P07339,Q9Y2W1,0.03459359734409483
P07339,mg,0.0
P13667,O00232,0.08655160336181938
P13667,P05783,0.06309165085448636
P13667,P05787,0.1197243522328999
P13667,P07339,0.07169471447462156
P13667,P14174,0.10262640883002407
P13667,P14314,0.02159282217197569
P13667,P14866,0.004875147750985828
P13667,P17174,0.2492540626706884
P13667,P22061,0.06514978006953472
P13667,P23284,0.0010227236606468017
P13667,P31949,0.21231833980410422
P13667,P40939,0.11777202134509275
P13667,P50579,0.12961757221681286
P13667,P60903,0.09515020289444596
P13667,P62854,0.0324206546666441
P13667,P62888,0.030393204784627464
P13667,Q01518,0.2270759430846334
P13667,Q02790,0.007172101604701561
P13667,Q13200,0.0905092466331325
P13667,Q16629,0.12662499305230032
P13667,Q6NYC8,0.1313255609626409
P13667,Q92804,0.1237417777911268
P13667,Q96AC1,0.07486522173041764
P13667,Q99439,0.036380710607050726
P13667,Q99460,0.055716720259489615
P13667,Q99613,0.1046746738947215
P13667,Q9NZM1,0.007530373802930973
P13667,Q9UMX0,0.10375435827212291
P13667,Q9Y2W1,0.0643820401277626
P13667,mg,0.0
P14174,O00232,0.02791360236179395
P14174,P05783,0.07477323658211471
P14174,P05787,0.09426646425371217
P14174,P07339,0.09110489484893787
P14174,P13667,0.1010777781368981
P14174,P14314,0.0757838443186609
P14174,P14866,0.022913072022334786
P14174,P17174,0.036065828133441946
P14174,P22061,0.4739563909001673
P14174,P23284,0.07155692719570016
P14174,P31949,0.015141073192283508
P14174,P40939,0.04232902873776898
P14174,P50579,0.09508882390705277
P14174,P60903,0.01263504156104853
P14174,P62854,0.051384562849417385
P14174,P62888,0.10725839952778873
P14174,Q01518,0.048266375972311044
P14174,Q02790,0.10458153847703876
P14174,Q13200,0.048633654072787684
P14174,Q16629,0.10416912092579791
P14174,Q6NYC8,0.05286318388639489
P14174,Q92804,0.10829641773166739
P14174,Q96AC1,0.023550824718086606
P14174,Q99439,0.18779529725899877
P14174,Q99460,0.14223896474404668
P14174,Q99613,0.07688449960879581
P14174,Q9NZM1,0.14242006274536229
P14174,Q9UMX0,0.095687905800673
P14174,Q9Y2W1,0.1520866210090561
P14174,mg,0.0
P14314,O00232,0.14438311376974075
P14314,P05783,0.1533875819196403
P14314,P05787,0.00010525425406968375
P14314,P07339,0.04543746079925564
P14314,P13667,0.17957218060336066
P14314,P14174,0.17754595006806043
P14314,P14866,0.21367218254067868
P14314,P17174,0.28152125501498326
P14314,P22061,0.0633272262191954
P14314,P23284,0.4035158396157649
P14314,P31949,0.02154608265548122
P14314,P40939,0.0576785977814529
P14314,P50579,0.029935093138378815
P14314,P60903,0.1335340777014573
P14314,P62854,0.10119101411712612
P14314,P62888,0.03094551396101265
P14314,Q01518,0.18136638453759152
P14314,Q02790,0.19336274202407455
P14314,Q13200,0.1713023860082586
P14314,Q16629,0.06223109176876239
P14314,Q6NYC8,0.21318813790340163
P14314,Q92804,0.14020766782835734
P14314,Q96AC1,0.08557402227683307
P14314,Q99439,0.10981519018503408
P14314,Q99460,0.09737928365379771
P14314,Q99613,0.040193375126648376
P14314,Q9NZM1,0.11671215552469655
P14314,Q9UMX0,0.08832710082836842
P14314,Q9Y2W1,0.09583516331517118
P14314,mg,0.0
P14866,O00232,0.061643350404594975
P14866,P05783,0.10857974166664526
P14866,P05787,0.2062330516341066
P14866,P07339,0.09958321830069915
P14866,P13667,0.09765980217241074
P14866,P14174,0.09785545518379893
P14866,P14314,0.015763221669136747
P14866,P17174,0.3356718536625431
P14866,P22061,0.18124731767026736
P14866,P23284,0.01368038472545473
P14866,P31949,0.0476831905763618
P14866,P40939,0.0851397557758408
P14866,P50579,0.05111820808149959
P14866,P60903,0.10001604981010455
P14866,P62854,0.09987560925795512
P14866,P62888,0.03932128317338735
P14866,Q01518,0.2410693072886259
P14866,Q02790,0.09798220424325621
P14866,Q13200,0.11406819303185137
P14866,Q16629,0.1146330739206126
P14866,Q6NYC8,0.01167690254082837
P14866,Q92804,0.06222458658416054
P14866,Q96AC1,0.05320207333665257
P14866,Q99439,0.01699507621254403
P14866,Q99460,0.05468610731267635
P14866,Q99613,0.08636192200892238
P14866,Q9NZM1,0.048214167173899175
P14866,Q9UMX0,0.050208809449145304
P14866,Q9Y2W1,0.05717415533828195
P14866,mg,0.0
P17174,O00232,0.10750828600828136
P17174,P05783,0.16520061649999349
P17174,P05787,0.044065890869782826
P17174,P07339,0.025989402036109485
P17174,P13667,0.029567915346649043
P17174,P14174,0.1361684044625082
P17174,P14314,0.06252716782167012
P17174,P14866,0.2362602621098815
P17174,P22061,0.004875241378538759
P17174,P23284,0.14540895164957224
P17174,P31949,0.01581523014428682
P17174,P40939,0.1627494113651602
P17174,P50579,0.05469513411552854
P17174,P60903,0.04131788585061824
P17174,P62854,0.20984012019011197
P17174,P62888,0.026489470360304076
P17174,Q01518,0.08253353592828377
P17174,Q02790,0.13166390526023428
P17174,Q13200,0.06918112221761029
P17174,Q16629,0.22008782750799483
P17174,Q6NYC8,0.12321057006892147
P17174,Q92804,0.031683279602279665
P17174,Q96AC1,0.0653553415845645
P17174,Q99439,0.13561436404584568
P17174,Q99460,0.02905287738332604
P17174,Q99613,0.18503937257157113
P17174,Q9NZM1,0.04990753807658515
P17174,Q9UMX0,0.007106732580570965
P17174,Q9Y2W1,0.05271433478444004
P17174,mg,0.0
P22061,O00232,0.10108067046937218
P22061,P05783,0.2332074854267943
P22061,P05787,0.07306550463648061
P22061,P07339,0.08246147147057702
P22061,P13667,0.16741289589540967
P22061,P14174,0.23409849647571354
