Regulator,Target,Weight
O00232,P05783,0.025770743306477682
O00232,P05787,0.022335602030516086
O00232,P07339,0.01933132481316247
O00232,P13667,0.05171136112114383
O00232,P14174,0.015731409667588105
O00232,P14314,0.013690453980100927
O00232,P14866,0.037448748768356285
O00232,P17174,0.04065803854682023
O00232,P22061,0.005516912356044079
O00232,P23284,0.036325028699688226
O00232,P31949,0.02532933851801754
O00232,P40939,0.01807268493921182
O00232,P50579,0.05799831349285802
O00232,P60903,0.005547649265362769
O00232,P62854,0.011751641199427735
O00232,P62888,0.027025035250742298
O00232,Q01518,0.046613232695524615
O00232,Q02790,0.03585744774633137
O00232,Q13200,0.006432407143828229
O00232,Q16629,0.00791881234602739
O00232,Q6NYC8,0.03083927062967383
O00232,Q92804,0.014318198144557532
O00232,Q96AC1,0.011157272976910895
O00232,Q99439,0.013764853412711567
O00232,Q99460,0.06748065364929744
O00232,Q99613,0.010932700609758197
O00232,Q9NZM1,0.032715849920774046
O00232,Q9UMX0,0.008868304392161094
O00232,Q9Y2W1,0.023232487946837382
P05783,O00232,0.04015369959799516
P05783,P05787,0.06477125125769768
P05783,P07339,0.08341848779944033
P05783,P13667,0.07224542487581496
P05783,P14174,0.054635574065366815
P05783,P14314,0.04667860081313699
P05783,P14866,0.05637315419080431
P05783,P17174,0.04750848895372427
P05783,P22061,0.01609446504054119
P05783,P23284,0.07122793126350783
P05783,P31949,0.06838316387578307
P05783,P40939,0.03584990979807651
P05783,P50579,0.011696250021820575
P05783,P60903,0.08917545767891107
P05783,P62854,0.01796385786748274
P05783,P62888,0.00234683451127116
P05783,Q01518,0.023703176452732736
P05783,Q02790,0.030037812026922385
P05783,Q13200,0.061836875084271846
P05783,Q16629,0.008646537971691706
P05783,Q6NYC8,0.0704460727508352
P05783,Q92804,0.06428251847983725
P05783,Q96AC1,0.04395745198951336
P05783,Q99439,0.09084606344615596
P05783,Q99460,0.0064899900332398746
P05783,Q99613,0.017192739204567573
P05783,Q9NZM1,0.0028856864146616593
P05783,Q9UMX0,0.08430008726905375
P05783,Q9Y2W1,0.05124009431727185
P05787,O00232,0.050923805124675633
P05787,P05783,0.0967216822527877
P05787,P07339,0.01894578656691291
P05787,P13667,0.014982040753570569
P05787,P14174,0.008801758734211827
P05787,P14314,0.07751811472395916
P05787,P14866,0.03812812713785725
P05787,P17174,0.041617717591307786
P05787,P22061,0.029146159027921986
P05787,P23284,0.057233204855251706
P05787,P31949,0.07741989296864524
P05787,P40939,0.0716958454842833
P05787,P50579,0.035560620554063345
P05787,P60903,0.05069978790168194
P05787,P62854,0.07609643160423175
P05787,P62888,0.07744074429520403
P05787,Q01518,0.03473692485314967
P05787,Q02790,0.035590532879622064
P05787,Q13200,0.08815613715766084
P05787,Q16629,0.033190405835333316
P05787,Q6NYC8,0.07768837765954484
P05787,Q92804,0.028741211711888603
P05787,Q96AC1,0.03901554338109936
P05787,Q99439,0.01395837499913211
P05787,Q99460,0.0067525876242590386
P05787,Q99613,0.00572054558931322
P05787,Q9NZM1,0.04565460025705208
P05787,Q9UMX0,0.04033802337129269
P05787,Q9Y2W1,0.025663082197972944
P07339,O00232,0.0009351402272176765
P07339,P05783,0.059568461319012514
P07339,P05787,0.059244329665015034
P07339,P13667,0.013652399052173102
P07339,P14174,0.05946362855731818
P07339,P14314,0.08337630272546927
P07339,P14866,0.030370426155098856
P07339,P17174,0.03787961587413517
P07339,P22061,0.045805447121817146
P07339,P23284,0.032703594092213815
P07339,P31949,0.03282197981793721
P07339,P40939,0.048911990170188234
P07339,P50579,0.03165623811803731
P07339,P60903,0.001554460818622377
P07339,P62854,0.008135827911416132
P07339,P62888,0.02939232608602178
P07339,Q01518,0.05090296899050937
P07339,Q02790,0.011968789481196883
P07339,Q13200,0.0515482000723413
P07339,Q16629,0.013306976354135917
P07339,Q6NYC8,0.06396078806890707
P07339,Q92804,0.004400678699938876
P07339,Q96AC1,0.023131788615631397
P07339,Q99439,0.019454826261069036
P07339,Q99460,0.018718055347090878
P07339,Q99613,0.01729477605122057
P07339,Q9NZM1,0.03773760845634188
P07339,Q9UMX0,0.017572046921111594
P07339,Q9Y2W1,0.012275305631361807
P13667,O00232,0.03801597787958028
P13667,P05783,0.018345880574448734
P13667,P05787,0.07380069531132945
P13667,P07339,0.03924391738523298
P13667,P14174,0.03184746605349635
P13667,P14314,0.012923430430185965
P13667,P14866,0.0012861772029884623
P13667,P17174,0.04127195227715116
P13667,P22061,0.013637869737170358
P13667,P23284,0.00018468809677080187
P13667,P31949,0.08261728452367548
P13667,P40939,0.04160161095700364
P13667,P50579,0.05647075966472445
P13667,P60903,0.03954187338221544
P13667,P62854,0.0107341283377433
P13667,P62888,0.014360026726673377
P13667,Q01518,0.048942553776585594
P13667,Q02790,0.001653251815988667
P13667,Q13200,0.028339133069144467
