Regulator,Target,Weight
O00232,P04406,0.01809526436581727
O00232,P05783,0.025555836455555352
O00232,P05787,0.008476084403360944
O00232,P06748,0.022788794845263104
O00232,P07339,0.04365839297361095
O00232,P09382,0.004614418777698889
O00232,P09936,0.03740942224415782
O00232,P13667,0.035999330823821805
O00232,P14174,0.015604180423911098
O00232,P14314,0.01957764050217344
O00232,P14866,0.016233776323298213
O00232,P17174,0.009273787080114122
O00232,P18669,0.018373588179729398
O00232,P22061,0.024362470427796996
O00232,P23284,0.038104809355898606
O00232,P31949,0.010466895912378222
O00232,P40939,0.01671617716647371
O00232,P46777,0.0028489397382986106
O00232,P47914,0.008361290311273948
O00232,P50579,0.0278939419556361
O00232,P50914,0.018624012600750098
O00232,P55060,0.0007567806593858396
O00232,P60903,0.03536960446887805
O00232,P62805,0.02549746382609882
O00232,P62829,0.012663076668756688
O00232,P62854,0.03572015192328008
O00232,P62888,0.0016839908980396327
O00232,P68104,0.0021334616040841517
O00232,P68371,0.03348760623895061
O00232,Q01518,0.03280976945480819
O00232,Q02790,0.039748689085948904
O00232,Q07065,0.018690620374151177
O00232,Q13177,0.01966003716677754
O00232,Q13200,0.02788446449959804
O00232,Q13263,0.02999634135337778
O00232,Q14019,0.018085324828280378
O00232,Q15233,0.030952014267018282
O00232,Q15365,0.027239952781894214
O00232,Q16629,0.0032821662363747683
O00232,Q6NYC8,0.028344851733420696
O00232,Q7Z417,0.006207514066633
O00232,Q92804,0.01310885972001239
O00232,Q96AC1,0.03206887640776051
O00232,Q99439,0.003960030851487065
O00232,Q99460,0.02449031919180438
O00232,Q99613,0.03815353593682037
O00232,Q9NZM1,0.0009276531965584363
O00232,Q9UMX0,0.04181466435236494
O00232,Q9Y2W1,0.023972978837005485
P04406,O00232,0.012598738314931133
P04406,P05783,0.001842636917477938
P04406,P05787,0.01732253126768969
P04406,P06748,0.005683613909638994
P04406,P07339,0.03241686136548112
P04406,P09382,0.0115840129020602
P04406,P09936,0.013589837246419847
P04406,P13667,0.008904316102732662
P04406,P14174,0.013598112003173209
P04406,P14314,0.011611808864732443
P04406,P14866,0.010839497005424229
P04406,P17174,0.047240590524781814
P04406,P18669,0.049784762285635366
P04406,P22061,0.0035595468367639184
P04406,P23284,0.02778951753473099
P04406,P31949,0.06090259465980405
P04406,P40939,0.029323428293974756
P04406,P46777,0.04426945136387541
P04406,P47914,0.039609509938613285
P04406,P50579,0.007182828506396274
P04406,P50914,0.04120269167500006
P04406,P55060,0.006622007448490164
P04406,P60903,0.0216333044563398
P04406,P62805,0.016285605485671064
P04406,P62829,0.0033712177030548085
P04406,P62854,0.008589480022392659
P04406,P62888,0.04025547539495633
P04406,P68104,0.01997136621482082
P04406,P68371,0.004181490163476995
P04406,Q01518,0.023884982966354495
P04406,Q02790,0.005743311721899728
P04406,Q07065,0.023581296620305683
P04406,Q13177,0.0004976572249232216
P04406,Q13200,0.00020259243469570025
P04406,Q13263,0.0055149762486707355
P04406,Q14019,0.010765632709655458
P04406,Q15233,0.024674141347945464
P04406,Q15365,0.00604682655032798
P04406,Q16629,0.026954814465061847
P04406,Q6NYC8,0.020800919698544754
P04406,Q7Z417,0.015557175262690758
P04406,Q92804,0.005851545784269816
P04406,Q96AC1,0.012961824560171234
P04406,Q99439,0.005687380483701316
P04406,Q99460,0.00976773349560164
P04406,Q99613,0.014656037961900232
P04406,Q9NZM1,0.00011698758957904692
P04406,Q9UMX0,0.00817684089163055
P04406,Q9Y2W1,0.0241587181774152
P05783,O00232,0.03560740987405745
P05783,P04406,0.024970735321785165
P05783,P05787,0.03821093799571748
P05783,P06748,0.002142141062852895
P05783,P07339,0.02010961968738073
P05783,P09382,0.009861555662103673
P05783,P09936,0.011428660398877931
P05783,P13667,0.004448546732511137
P05783,P14174,0.03365165576168295
P05783,P14314,0.041884264117794494
P05783,P14866,0.03993272907200768
P05783,P17174,0.011223775598150099
P05783,P18669,0.01545140465024272
P05783,P22061,0.017737985993262893
P05783,P23284,0.0342799166977546
P05783,P31949,0.019817802106415407
P05783,P40939,0.01834931929816738
P05783,P46777,0.003165935477105956
P05783,P47914,0.006136875185060798
P05783,P50579,0.03258212038883462
P05783,P50914,0.003695244269689305
P05783,P55060,0.03822485093044224
P05783,P60903,0.011505329262004278
P05783,P62805,0.006923399455564713
P05783,P62829,0.008582058076696548
P05783,P62854,0.018932780283534383
P05783,P62888,0.016120713163616733
P05783,P68104,0.03956185814571918
P05783,P68371,0.003710245969512088
P05783,Q01518,0.001339927357183543
P05783,Q02790,0.006128108605105252
P05783,Q07065,0.022467153077892696
P05783,Q13177,0.014709575006486671
P05783,Q13200,0.043809051244651696
P05783,Q13263,0.005962463781718166
P05783,Q14019,0.0458360713045493
P05783,Q15233,0.014450850234054671
P05783,Q15365,0.03107026151788992
P05783,Q16629,0.017425888049993545
P05783,Q6NYC8,0.029387269486294172
P05783,Q7Z417,0.03229253218500532
P05783,Q92804,0.005904876328558394
P05783,Q96AC1,0.016059954881567275
P05783,Q99439,0.050504095951496006
P05783,Q99460,0.0061849024181251265
P05783,Q99613,0.027059928450518245
P05783,Q9NZM1,0.04984660698358818
P05783,Q9UMX0,0.005464782844233604
P05783,Q9Y2W1,0.0033933153064481403
P05787,O00232,0.04058140765648957
P05787,P04406,0.031984216938355875
P05787,P05783,0.019820962474895416
P05787,P06748,0.0013229334607840414
P05787,P07339,0.023736177805176294
P05787,P09382,4.6162280971224446e-05
P05787,P09936,0.00858194373061647
P05787,P13667,0.0036616459740179334
P05787,P14174,0.028685931853807745
P05787,P14314,0.03218568655394369
P05787,P14866,0.03589309138784372
P05787,P17174,0.024131615067010132
P05787,P18669,0.025626608191773655
P05787,P22061,0.015536980146758188
P05787,P23284,0.0348307088664886
P05787,P31949,0.03403955222194999
P05787,P40939,0.03187973636628178
P05787,P46777,0.010662845722147169
P05787,P47914,0.015452660680994065
P05787,P50579,0.029684176913507887
P05787,P50914,0.012785142267668173
P05787,P55060,0.045517920834611966
P05787,P60903,0.01313669116336356
P05787,P62805,0.003137035333542014
P05787,P62829,0.005961875580112186
P05787,P62854,0.020129757997687667
P05787,P62888,0.003615306674681238
P05787,P68104,0.0476828261139782
P05787,P68371,0.0012684996128328172
P05787,Q01518,0.0014543448572733857
P05787,Q02790,0.005136332458170545
P05787,Q07065,0.0206902413569752
P05787,Q13177,0.019760805824504745
P05787,Q13200,0.03873055050026176
P05787,Q13263,0.0012423569694563247
P05787,Q14019,0.03689744159161459
P05787,Q15233,0.024845937611600366
P05787,Q15365,0.022303469718970556
P05787,Q16629,0.0023601847626153302
P05787,Q6NYC8,0.01999148333994703
P05787,Q7Z417,0.0323033521957349
P05787,Q92804,0.002142392641798428
P05787,Q96AC1,0.020265316713472408
P05787,Q99439,0.04291493951991793
P05787,Q99460,0.005563823684051007
P05787,Q99613,0.02886032396135995
P05787,Q9NZM1,0.04486668139021353
P05787,Q9UMX0,0.004604099658909785
P05787,Q9Y2W1,0.0034601236159223924
P06748,O00232,0.001961414285137582
P06748,P04406,0.009428809639359395
P06748,P05783,0.03761482775399812
P06748,P05787,0.03564773477035468
P06748,P07339,0.003887639810219576
P06748,P09382,0.03538530303639626
P06748,P09936,0.00782722355615025
P06748,P13667,0.027331085416512906
P06748,P14174,0.028402122826734676
P06748,P14314,0.02248983899532329
P06748,P14866,0.01442369601358507
P06748,P17174,0.015914473172864135
P06748,P18669,0.016998025029608767
P06748,P22061,0.01836998640562818
P06748,P23284,0.011304544900913953
P06748,P31949,0.020348705012881087
P06748,P40939,0.02689913426507132
P06748,P46777,0.03183766246412378
P06748,P47914,0.0278080216701528
P06748,P50579,0.0005403768961282395
P06748,P50914,0.04466592731989331
P06748,P55060,0.0005533196476207394
P06748,P60903,0.0010168651519707444
P06748,P62805,0.009398605539492623
P06748,P62829,0.01002522432432608
P06748,P62854,0.006105340980203545
P06748,P62888,0.045249819946377785
P06748,P68104,0.009706130125599373
P06748,P68371,0.03167149437059756
P06748,Q01518,0.0018472402696340876
P06748,Q02790,0.01744104590488364
P06748,Q07065,0.011710519772570174
P06748,Q13177,0.004071216052590061
P06748,Q13200,0.007200524361266417
P06748,Q13263,0.007033732692207595
P06748,Q14019,0.021430323237199126
P06748,Q15233,0.004115462375125973
P06748,Q15365,0.016414180652649154
P06748,Q16629,0.026358531302453043
P06748,Q6NYC8,0.02919339103175282
P06748,Q7Z417,0.009101233698852853
P06748,Q92804,0.00019434188474140148
P06748,Q96AC1,0.0035951349408324764
P06748,Q99439,0.023549572960658665
P06748,Q99460,0.012154596079477033
P06748,Q99613,0.0033979817319531994
P06748,Q9NZM1,0.032273873616219584
P06748,Q9UMX0,0.027783430709937235
P06748,Q9Y2W1,0.01158819628277647
P07339,O00232,0.013871181154309858
P07339,P04406,0.037340317515000325
P07339,P05783,0.028723199576211115
P07339,P05787,0.0049618752817940336
P07339,P06748,0.05576837484532367
P07339,P09382,0.04178446055211491
P07339,P09936,0.05794054525269921
P07339,P13667,0.03493655981849836
P07339,P14174,0.021028115455063955
P07339,P14314,0.017256355750653325
P07339,P14866,0.03378360346891979
P07339,P17174,0.007907561208741039
P07339,P18669,0.002572477987024389
P07339,P22061,0.0004820944219840608
P07339,P23284,0.044963458517455666
P07339,P31949,0.012141970705315185
P07339,P40939,0.014260701481672867
P07339,P46777,0.004732188637261437
P07339,P47914,0.0015544525399071832
P07339,P50579,0.010788012695001868
P07339,P50914,0.026037874134674677
P07339,P55060,0.07189397966277912
P07339,P60903,0.05837902736153912
P07339,P62805,0.020434414555767277
P07339,P62829,0.06777560837379518
P07339,P62854,0.002223995346965434
P07339,P62888,0.0620837391275844
P07339,P68104,0.049307445376384894
P07339,P68371,0.0016193485231737034
P07339,Q01518,0.01994189260911888
P07339,Q02790,0.02380401608857527
P07339,Q07065,0.04922472517543352
P07339,Q13177,0.012123705054435642
P07339,Q13200,0.0032423571259374423
P07339,Q13263,0.004688195296948096
P07339,Q14019,0.011716753287395564
P07339,Q15233,0.053476738511292504
P07339,Q15365,0.021068162782774597
P07339,Q16629,0.01622196362705007
P07339,Q6NYC8,0.006718147704516584
P07339,Q7Z417,0.00368636672912502
P07339,Q92804,0.01741456731824908
P07339,Q96AC1,0.052637980983413504
P07339,Q99439,0.004043006099876493
P07339,Q99460,0.031274014390526454
P07339,Q99613,0.01280966297873033
P07339,Q9NZM1,0.012509808824754127
P07339,Q9UMX0,0.04576284083507585
P07339,Q9Y2W1,0.09588452380726785
P09382,O00232,0.011094592451736348
P09382,P04406,0.0037751383157904324
P09382,P05783,0.020034163200801845
P09382,P05787,0.005071199272277662
P09382,P06748,0.03285674349159807
P09382,P07339,0.01414000425087373
P09382,P09936,0.022713863493166862
P09382,P13667,0.0037267098542282666
P09382,P14174,0.02172957883107166
P09382,P14314,0.017857358697489802
P09382,P14866,0.016886895606117135
