Regulator,Target,Weight
P05556,P05787,0.058210661632836225
P05556,P05976,0.10799226402512933
P05556,P09104,0.05809907207859951
P05556,P12955,0.0026270836497516194
P05556,P13667,0.07165978827873985
P05556,P16989,0.07048876647177037
P05556,P17096,0.05147558987792015
P05556,P18621,0.047434081525311804
P05556,P21399,0.017242975639963687
P05556,P24844,0.0741327619109011
P05556,P31949,0.02813002434963345
P05556,P47914,0.10450035448021114
P05556,P49023,0.10692944282946645
P05556,P60228,0.04165813369149132
P05556,P60903,0.019218997508033825
P05556,P62328,0.07381328865495526
P05556,P62888,0.1469432638471836
P05556,P67809,0.08741110117961351
P05556,P67936,0.055135457441971444
P05556,P80723,0.03648982173065323
P05556,Q01995,0.11025527659565322
P05556,Q02790,0.041175028676499775
P05556,Q07065,0.027233719811800016
P05556,Q07954,0.0996816404847072
P05556,Q14157,0.04223201186088838
P05556,Q14203,0.06976108657038176
P05556,Q15459,0.0005666813953755841
P05556,Q16181,0.03766961978346432
P05556,Q3SX28,0.14623984974599508
P05556,Q7Z417,0.04996190358841007
P05556,Q7Z4V5,0.17701956377170724
P05556,Q86UP2,0.01679975240664651
P05556,Q92841,0.051339512941673285
P05556,Q969G3,0.061003621773286956
P05556,Q99613,0.07733369450983965
P05556,Q99879,0.18208160169386517
P05556,Q9NQP4,0.09072824990227356
P05556,Q9UN86,0.024851578602874513
P05556,Q9Y2D5,0.08273567646246721
P05556,Q9Y5S9,0.10747474658596488
P05787,P05556,0.0532069428226556
P05787,P05976,0.02075490255750176
P05787,P09104,0.1442437346059841
P05787,P12955,0.06074835999114156
P05787,P13667,0.016444635086597
P05787,P16989,0.061059059123357504
P05787,P17096,0.056895312869438844
P05787,P18621,0.011858092191085875
P05787,P21399,0.1257226459831479
P05787,P24844,0.16033979577640337
P05787,P31949,0.06094852886804025
P05787,P47914,0.03840119567040258
P05787,P49023,0.007160031583117205
P05787,P60228,0.007217140930946263
P05787,P60903,0.016572708254674225
P05787,P62328,0.0885503969400272
P05787,P62888,0.043305433308930455
P05787,P67809,0.03969515060020644
P05787,P67936,0.03177968392084846
P05787,P80723,0.13187273626529344
P05787,Q01995,0.03629359007732506
P05787,Q02790,0.00644011384298894
P05787,Q07065,0.04786191391382778
P05787,Q07954,0.10841764571125054
P05787,Q14157,0.031124323016107375
P05787,Q14203,0.13638007499895727
P05787,Q15459,0.024781808668808532
P05787,Q16181,0.07258716078895264
P05787,Q3SX28,0.03463771319407584
P05787,Q7Z417,0.016985027428280973
P05787,Q7Z4V5,0.15543731106624978
P05787,Q86UP2,0.0817292693645231
P05787,Q92841,0.06425089122276133
P05787,Q969G3,0.016388288399178913
P05787,Q99613,0.07735449166017748
P05787,Q99879,0.08247484827175555
P05787,Q9NQP4,0.006513297749499547
P05787,Q9UN86,0.18506426584604324
P05787,Q9Y2D5,0.008757835784843356
P05787,Q9Y5S9,0.0024565368353418587
P05976,P05556,0.055669841903129166
P05976,P05787,0.025677353331177797
P05976,P09104,0.021441836653904416
P05976,P12955,0.05401815292124528
P05976,P13667,0.04139463794547442
P05976,P16989,0.016042266469669445
P05976,P17096,0.025513279650348247
P05976,P18621,0.0100778538567179
P05976,P21399,0.03252660462483228
P05976,P24844,0.04241471621339359
P05976,P31949,0.0021527832724826702
P05976,P47914,0.005650571934826452
P05976,P49023,0.01710173668976192
P05976,P60228,0.0707283601810323
P05976,P60903,0.05313444395949074
P05976,P62328,0.0583443869933061
P05976,P62888,0.0586311386865504
P05976,P67809,0.017063713852729055
P05976,P67936,0.0780157635011461
P05976,P80723,0.018862470940187264
P05976,Q01995,0.04885729183957871
P05976,Q02790,0.02292716873544006
P05976,Q07065,0.01904696201538876
P05976,Q07954,0.0259566802078375
P05976,Q14157,0.04468332698762121
P05976,Q14203,0.0057939700899023935
P05976,Q15459,0.06463713978407476
P05976,Q16181,0.015360757288002626
P05976,Q3SX28,0.11960448604328681
P05976,Q7Z417,0.03763319762823508
P05976,Q7Z4V5,0.0629976109560514
P05976,Q86UP2,0.060279513457142206
P05976,Q92841,0.012708703887654601
P05976,Q969G3,0.04279862591906589
P05976,Q99613,0.0009499208080609028
P05976,Q99879,0.03970413156789479
P05976,Q9NQP4,0.05681784392803283
P05976,Q9UN86,0.00012368958486368674
