Regulator,Target,Weight
P05556,P05787,0.10449268380740598
P05556,P05976,0.028956627893233007
P05556,P09104,0.11481150814835159
P05556,P12955,0.02947807964508692
P05556,P13667,0.05287648933839577
P05556,P16989,0.0679130646961296
P05556,P17096,0.055897802500218724
P05556,P18621,0.047288791847308526
P05556,P21399,0.14147946726363456
P05556,P24844,0.04639838225001694
P05556,P31949,0.1778329320358536
P05556,P47914,0.08820494647690282
P05556,P49023,0.08242757783980637
P05556,P60228,0.023435995686401125
P05556,P60903,0.10373378668755416
P05556,P62328,0.14125203595873786
P05556,P62888,0.05786864411982856
P05556,P67809,0.06538365583550487
P05556,P67936,0.02292799640239082
P05556,P80723,0.03774124666779158
P05556,Q01995,0.008128098482761775
P05556,Q02790,0.07990000455989
P05556,Q07065,0.016847458482347796
P05556,Q07954,0.0005907461345190154
P05556,Q14157,0.06991130771150895
P05556,Q14203,0.03495929161634116
P05556,Q15459,0.06147420240830042
P05556,Q16181,0.10572181020488518
P05556,Q3SX28,0.0718431188526776
P05556,Q7Z417,0.1269812523430695
P05556,Q7Z4V5,0.018180807407755913
P05556,Q86UP2,0.09938978093607295
P05556,Q92841,0.06717718955419853
P05556,Q969G3,0.05647848680936428
P05556,Q99613,0.016290322487017842
P05556,Q99879,0.0187362887920376
P05556,Q9NQP4,0.09586471543156282
P05556,Q9UN86,0.0348634355178802
P05556,Q9Y2D5,0.07171258733075565
P05556,Q9Y5S9,0.06656411872739543
P05787,P05556,0.16219554856438195
P05787,P05976,0.23246362766696982
P05787,P09104,0.0514089631171156
P05787,P12955,0.178723224212622
P05787,P13667,0.0444039837025973
P05787,P16989,0.005538445300401602
P05787,P17096,0.05770558999288297
P05787,P18621,0.06194602464783383
P05787,P21399,0.0012503319412304013
P05787,P24844,0.1611682895736892
P05787,P31949,0.0018369297325180195
P05787,P47914,0.05105423185284177
P05787,P49023,0.009289778836424964
P05787,P60228,0.08212506454377001
P05787,P60903,0.00961619828691889
P05787,P62328,0.08343910730976938
P05787,P62888,0.046492010845073914
P05787,P67809,0.09791325302126003
P05787,P67936,0.1937858847830055
P05787,P80723,0.10634828345113856
P05787,Q01995,0.21672429685969738
P05787,Q02790,0.017168059813350303
P05787,Q07065,0.18045378621873992
P05787,Q07954,0.15369250251553807
