Regulator,Target,Weight
O15143,O94925,0.04056974214840291
O15143,P05787,0.024597900833946598
O15143,P05976,0.05288999827567758
O15143,P06753,0.04010828227924413
O15143,P14174,0.017977085193115798
O15143,P17096,0.026859630616030573
O15143,P27816,0.029539867212835528
O15143,P31949,0.03389074691302757
O15143,P37837,0.020821474125760173
O15143,P49023,0.009928472631053495
O15143,P56192,0.03187592643068154
O15143,P60903,0.05181803028154715
O15143,P62328,0.013892416168711027
O15143,P62854,0.034485598701746584
O15143,P62888,0.027833606330804714
O15143,P63208,0.061290418037466654
O15143,P81644,0.028308005830174957
O15143,Q01995,0.008783854800516425
O15143,Q02790,0.02121883282006668
O15143,Q07065,0.009479199279524685
O15143,Q14011,0.0774908882195303
O15143,Q16181,0.05551484097952948
O15143,Q7Z417,0.03355235147744559
O15143,Q8WX93,0.012353868772903492
O15143,Q96HC4,0.05411760312077409
O15143,Q99439,0.002892137271568167
O15143,Q99879,0.0010644291699808874
O15143,Q9UN86,0.0017763585929088989
O15143,Q9Y5S9,0.0278447328479296
O15143,mg,0.0
O94925,O15143,0.01841842551786597
O94925,P05787,0.010123977479276918
O94925,P05976,0.008005579162395396
O94925,P06753,0.001462371727553062
O94925,P14174,0.0032570342409374248
O94925,P17096,0.00548080303460514
O94925,P27816,0.033928652178349804
O94925,P31949,0.004266907101471244
O94925,P37837,0.030460528333390954
O94925,P49023,0.0010121105506480275
O94925,P56192,0.04372340360153082
O94925,P60903,0.012392174112803645
O94925,P62328,0.012334137403907854
O94925,P62854,0.02248811918567877
O94925,P62888,0.025155822962506645
O94925,P63208,0.018505945425532494
O94925,P81644,0.016729699370961793
O94925,Q01995,0.018136506097911547
O94925,Q02790,0.040522451947998694
O94925,Q07065,0.03644450685909144
O94925,Q14011,0.001186434682494255
O94925,Q16181,0.03984468390201171
O94925,Q7Z417,0.024280066871987575
O94925,Q8WX93,0.009505600837796911
O94925,Q96HC4,0.02885908419935576
O94925,Q99439,0.02287077277092203
