Regulator,Target,Weight
O15143,O94925,0.02460452885775292
O15143,P05556,0.011641915126861056
O15143,P05787,0.0180015909726417
O15143,P05976,0.03698204865561048
O15143,P06753,0.028254902398725114
O15143,P09104,0.045800459429035614
O15143,P09936,0.011075748450685445
O15143,P14174,0.011695404263569527
O15143,P14314,0.020312872939190804
O15143,P15374,0.022103967255660856
O15143,P16989,0.03067268264008298
O15143,P17096,0.012069165839838003
O15143,P27635,0.002669834148963914
O15143,P27816,0.020230956772667542
O15143,P31949,0.023187109398263843
O15143,P37837,0.011035651530715744
O15143,P46778,0.014223695281698756
O15143,P49023,0.004298122169266866
O15143,P49756,0.005563515247588482
O15143,P51911,0.009479068580580105
O15143,P53621,0.0002746933866334534
O15143,P56192,0.016133227575490516
O15143,P60903,0.03279848134012839
O15143,P61981,0.001569513785845049
O15143,P62328,0.010647519272242285
O15143,P62854,0.01539737911239523
O15143,P62888,0.020707778520044573
O15143,P62917,0.012706622582684492
O15143,P63208,0.035294827221555074
O15143,P68104,0.008183268044072602
O15143,P81644,0.012684677305474273
O15143,Q01995,0.0036242596084475266
O15143,Q02790,0.012270431518575608
O15143,Q05682,0.008521271568575921
O15143,Q07065,0.0035585666221427323
O15143,Q07866,0.005584225468385484
O15143,Q14011,0.04395611006540015
O15143,Q14195,0.0037720340833796774
O15143,Q15459,0.022662864820729763
O15143,Q16181,0.0321763160587034
O15143,Q7Z417,0.014185474690105124
O15143,Q7Z4V5,0.001733419397590933
O15143,Q8WX93,0.009056492440720135
O15143,Q96HC4,0.0350313355789784
O15143,Q99439,0.0016214248296424027
O15143,Q99613,0.04847234000824535
O15143,Q99879,0.0012279442958384634
O15143,Q9UN86,0.001528884923229094
O15143,Q9Y5S9,0.017372250041083757
O94925,O15143,0.008207287202570369
O94925,P05556,0.019196046295864952
O94925,P05787,0.006175224418922888
O94925,P05976,0.012432023678439711
O94925,P06753,0.0058825212932978954
O94925,P09104,0.01914527918361505
O94925,P09936,0.012361150369053608
O94925,P14174,0.0032692086386998482
O94925,P14314,0.011687144365884151
O94925,P15374,0.0032970816808936113
O94925,P16989,0.013334909481044653
O94925,P17096,0.006308948745212443
O94925,P27635,0.015145092188706273
O94925,P27816,0.015306459182733243
O94925,P31949,1.269862673012776e-05
O94925,P37837,0.013454334169150739
O94925,P46778,0.03453606195650987
O94925,P49023,0.0055125499741988
O94925,P49756,0.0018500556156315726
O94925,P51911,0.004129226869781302
O94925,P53621,0.018471261635784594
O94925,P56192,0.023340486565551388
O94925,P60903,0.007139083916229433
O94925,P61981,0.001944591708101944
O94925,P62328,0.005517601864577834
O94925,P62854,0.008750092371274066
O94925,P62888,0.011020500641882194
O94925,P62917,0.022322286893336873
O94925,P63208,0.011606418978752036
O94925,P68104,0.010211529695477842
O94925,P81644,0.0029486721456108834
O94925,Q01995,0.008507909725071244
O94925,Q02790,0.021889071193933317
O94925,Q05682,0.0036692001393949097
O94925,Q07065,0.017748926458637525
O94925,Q07866,0.012744283480751507
O94925,Q14011,0.00177858526480483
O94925,Q14195,0.0020218752550074234
O94925,Q15459,0.023393731188021495
O94925,Q16181,0.01970172917718729
O94925,Q7Z417,0.010278134161439696
O94925,Q7Z4V5,0.01498391573313338
O94925,Q8WX93,0.00625248326989508
O94925,Q96HC4,0.012551921378246747
O94925,Q99439,0.01204439150308906
O94925,Q99613,0.029508504936450377
O94925,Q99879,0.0074884688597113645
O94925,Q9UN86,0.018399450178152605
O94925,Q9Y5S9,0.005766985809830231
P05556,O15143,0.0061239229062890164
P05556,O94925,0.005472466538120247
P05556,P05787,0.02386534325371386
P05556,P05976,0.03064486254704792
P05556,P06753,0.009954044077680756
P05556,P09104,0.004116599384280771
P05556,P09936,0.020417641841876926
P05556,P14174,0.000355605176583568
P05556,P14314,0.030971773546460378
P05556,P15374,0.022667263311211314
P05556,P16989,0.022222342995318653
P05556,P17096,0.01925202471135381
P05556,P27635,0.026378540696367518
P05556,P27816,0.0002757683221481537
P05556,P31949,0.023535448558481983
P05556,P37837,0.024069642860422166
P05556,P46778,0.03632795413767515
P05556,P49023,0.014683128778975344
P05556,P49756,0.0092185773495254
P05556,P51911,0.02113036365085008
P05556,P53621,0.019164107212482077
P05556,P56192,0.03453978530745004
P05556,P60903,0.0026327488549050173
P05556,P61981,0.010919248727222719
P05556,P62328,0.0006231060944512485
P05556,P62854,0.04124682479165563
P05556,P62888,0.05340859021364194
P05556,P62917,0.05137296057533347
P05556,P63208,0.023716802923420204
P05556,P68104,0.02076710295349567
P05556,P81644,0.008052932284081077
P05556,Q01995,0.0009088953207015554
P05556,Q02790,0.034664130715910214
P05556,Q05682,0.023908254550437862
P05556,Q07065,0.0034898190767832286
P05556,Q07866,0.004272869150789815
P05556,Q14011,0.02736789164974322
P05556,Q14195,0.02413571772047055
P05556,Q15459,0.007179725410455249
P05556,Q16181,0.0135507599356799
P05556,Q7Z417,0.015316992549334971
P05556,Q7Z4V5,0.018213713498669157
P05556,Q8WX93,0.025857875809773834
P05556,Q96HC4,0.0018325010278745478
P05556,Q99439,0.010256941123802904
P05556,Q99613,0.008503616093860189
P05556,Q99879,0.014125919835112343
P05556,Q9UN86,0.008261057768731948
P05556,Q9Y5S9,0.0025659886149992472
P05787,O15143,0.05617826669355366
P05787,O94925,0.03036597399569763
P05787,P05556,0.001409833285505608
P05787,P05976,0.004014102708526781
P05787,P06753,0.00977291042943427
P05787,P09104,0.054578680236770906
P05787,P09936,0.02635592709734944
P05787,P14174,0.005292016425449767
P05787,P14314,0.03909324135065753
P05787,P15374,0.031345862685398074
P05787,P16989,0.0010330035120144944
P05787,P17096,0.039485590495851146
P05787,P27635,0.030458190334569757
P05787,P27816,0.05464310790272196
P05787,P31949,0.002533507352236025
P05787,P37837,0.0028354391174723573
P05787,P46778,0.021330138957023046
P05787,P49023,0.037543629359901874
P05787,P49756,0.01022589185778967
P05787,P51911,0.057049024228675194
P05787,P53621,0.04452245702523986
P05787,P56192,0.0027493897226188125
P05787,P60903,0.02117705032360949
P05787,P61981,0.05602884499254145
P05787,P62328,0.023693150465601442
P05787,P62854,0.006329068284848201
P05787,P62888,0.03539157396465843
P05787,P62917,0.03145398728876108
P05787,P63208,0.005655424233640314
P05787,P68104,8.194732195466026e-06
P05787,P81644,0.020118908525402705
P05787,Q01995,0.010996376996599977
P05787,Q02790,0.013143404377930115
P05787,Q05682,0.0471036369248
P05787,Q07065,0.004717576213849726
P05787,Q07866,0.01512955827382157
P05787,Q14011,0.012620430688718827
P05787,Q14195,0.013971241075629061
P05787,Q15459,0.04109220124140326
P05787,Q16181,0.029594744527459572
P05787,Q7Z417,0.033192157345425036
P05787,Q7Z4V5,0.03929130800213397
P05787,Q8WX93,0.04173019078786426
P05787,Q96HC4,0.02333067704613539
P05787,Q99439,0.018099869798841005
P05787,Q99613,0.019430891371620344
P05787,Q99879,0.02270072132200953
P05787,Q9UN86,0.0026563148969946373
P05787,Q9Y5S9,0.044965114150816124
P05976,O15143,0.03132347797858438
P05976,O94925,0.016888927948824718
P05976,P05556,0.022988703728232005
P05976,P05787,0.016473777555158928
P05976,P06753,0.013140464188448749
