Regulator,Target,Weight
O15143,O94925,0.034533919045249
O15143,P05556,0.038657781746957956
O15143,P05787,0.01125979129677662
O15143,P05976,0.0027686451041584307
O15143,P06753,0.04931130401330174
O15143,P09104,0.02515890015428594
O15143,P09936,0.03929253295985851
O15143,P14174,0.007026541571754732
O15143,P14314,0.0020489792626972813
O15143,P15374,0.018082369584316423
O15143,P16989,0.034039631787770974
O15143,P17096,0.014339782387124848
O15143,P27635,0.006004669979614621
O15143,P27816,0.03025923876325627
O15143,P31949,0.03734479390193371
O15143,P37837,0.013556243610796206
O15143,P46778,0.030683974383868336
O15143,P49023,0.050582303608709495
O15143,P49756,0.024176295107602195
O15143,P51911,0.003718267719119619
O15143,P53621,0.02596977641881969
O15143,P56192,0.0014215934388112238
O15143,P60903,0.014383462821152024
O15143,P61981,0.024103024226989952
O15143,P62328,0.040683664702723
O15143,P62854,0.02033811340836572
O15143,P62888,0.05496887814681647
O15143,P62917,0.0398678382200649
O15143,P63208,0.0014490129096029769
O15143,P68104,0.036477108378131486
O15143,P81644,0.04944883799503238
O15143,Q01995,0.02708559116366443
O15143,Q02790,0.035573998246790285
O15143,Q05682,0.019438453404237683
O15143,Q07065,0.0015659990378077311
O15143,Q07866,0.009515002992694735
O15143,Q14011,0.04870680383395772
O15143,Q14195,0.037815713372135594
O15143,Q15459,0.012113708116789315
O15143,Q16181,0.02917645536803839
O15143,Q7Z417,0.04484418565446813
O15143,Q7Z4V5,0.028843302788423317
O15143,Q8WX93,0.02630686030566625
O15143,Q96HC4,0.005361594184301336
O15143,Q99439,0.0027940099827186353
O15143,Q99613,0.021591161719783886
O15143,Q99879,0.016595483703137306
O15143,Q9UN86,0.03498369583459244
O15143,Q9Y5S9,0.011422374481087726
O94925,O15143,0.006727563072967869
O94925,P05556,0.030774730837401735
O94925,P05787,0.0033355685455352837
O94925,P05976,0.02087980161612754
O94925,P06753,0.006557509574676014
O94925,P09104,0.011918186592630938
O94925,P09936,0.0067586333287186435
O94925,P14174,0.019375454975825192
O94925,P14314,0.0036641734428013092
O94925,P15374,0.01024375369802197
O94925,P16989,0.003120549949879715
O94925,P17096,0.02897199053001154
O94925,P27635,0.009199702260951837
O94925,P27816,0.005591068325879012
O94925,P31949,0.024785514814244233
O94925,P37837,0.005102025997979668
O94925,P46778,0.013013722916828216
O94925,P49023,0.022718606112623586
O94925,P49756,0.016146247802759365
O94925,P51911,0.008431507729700095
O94925,P53621,0.006606247279574617
O94925,P56192,0.017819500831725253
O94925,P60903,0.03530285715605799
O94925,P61981,0.036670514730090704
O94925,P62328,0.036235019636540924
O94925,P62854,0.04405892922024858
O94925,P62888,0.022811273817973193
O94925,P62917,0.022703509136840563
O94925,P63208,0.034884942511804636
O94925,P68104,0.01876152119033093
O94925,P81644,0.010156777323398387
O94925,Q01995,0.014938040209683688
O94925,Q02790,0.020697976522463413
O94925,Q05682,0.010740786868408072
O94925,Q07065,0.014131770230682886
O94925,Q07866,0.0020874559470119704
O94925,Q14011,0.016575913690033566
O94925,Q14195,0.003379885092003854
O94925,Q15459,0.032930668568434115
O94925,Q16181,0.031794717825786196
O94925,Q7Z417,0.005420413431744159
O94925,Q7Z4V5,0.01737846828552567
O94925,Q8WX93,0.004025451250145591
O94925,Q96HC4,0.040200710681660604
O94925,Q99439,0.014742201795406857
O94925,Q99613,0.042621638557318264
O94925,Q99879,0.006442887416405303
O94925,Q9UN86,0.020750498022017092
O94925,Q9Y5S9,0.017311204507345464
P05556,O15143,0.006001856972384368
P05556,O94925,0.005753181708098706
P05556,P05787,0.019777398192734382
P05556,P05976,0.04014624772208188
P05556,P06753,0.05414524185005813
P05556,P09104,0.03213864192367752
P05556,P09936,0.01708470081299658
P05556,P14174,0.01439857416731905
P05556,P14314,0.03285568767690045
P05556,P15374,0.00072218631575646
P05556,P16989,0.05195986347633176
P05556,P17096,0.035280268229797844
P05556,P27635,0.05256465853675951
P05556,P27816,0.06061870086875845
P05556,P31949,0.022318680290310308
P05556,P37837,0.06712441091858305
P05556,P46778,0.025226246297148116
P05556,P49023,0.027361011467968252
P05556,P49756,0.026937365496535377
P05556,P51911,0.036386406357462354
P05556,P53621,0.0050183145506159845
P05556,P56192,0.008298001680927113
P05556,P60903,0.015938807813277167
P05556,P61981,0.003380393798307783
P05556,P62328,0.007440290161628746
P05556,P62854,0.01261013325975296
P05556,P62888,0.06783575968983739
P05556,P62917,0.0023475779670769927
P05556,P63208,0.015829951988501925
P05556,P68104,0.014525046187618181
P05556,P81644,0.031113001790307307
P05556,Q01995,0.003347555519963293
P05556,Q02790,0.011157868102354194
P05556,Q05682,0.03384621559614812
P05556,Q07065,0.07655729034827159
P05556,Q07866,0.06175516106905344
P05556,Q14011,0.009885956656828312
P05556,Q14195,0.035055391756219224
P05556,Q15459,0.040003346484222775
P05556,Q16181,0.05793124714733827
P05556,Q7Z417,0.017153606031155556
P05556,Q7Z4V5,0.004802279395599963
P05556,Q8WX93,0.005098472241057077
P05556,Q96HC4,0.0664388518183391
P05556,Q99439,0.009500841146741908
P05556,Q99613,0.01624721302957697
P05556,Q99879,0.02278827219096221
P05556,Q9UN86,0.03779519789358493
P05556,Q9Y5S9,0.033915631163890625
P05787,O15143,0.01910701247393325
P05787,O94925,0.012609601916413922
P05787,P05556,0.021938797351565703
P05787,P05976,0.008509002343301403
P05787,P06753,0.007929998239962257
P05787,P09104,0.004538010933867806
P05787,P09936,0.015080004091022055
P05787,P14174,0.034834737700525316
P05787,P14314,0.014736167285510502
P05787,P15374,0.00683649300568181
P05787,P16989,0.004075699496069954
P05787,P17096,0.017898321631363744
P05787,P27635,0.009197732588258248
P05787,P27816,0.00968037225671089
P05787,P31949,0.039388836252988106
P05787,P37837,0.007708461208770159
P05787,P46778,0.02046138440613673
P05787,P49023,0.027579490761919897
P05787,P49756,0.006958750218160142
P05787,P51911,0.010580826445840883
P05787,P53621,0.03633620206838694
P05787,P56192,0.03541177474487741
P05787,P60903,0.023946551883112826
P05787,P61981,0.03732055696422735
P05787,P62328,0.027145982661795232
P05787,P62854,0.009601497425501308
P05787,P62888,0.006401299763338003
P05787,P62917,0.04046771094498386
P05787,P63208,0.03932439132946698
P05787,P68104,0.0342279671536002
P05787,P81644,0.016089603741114566
P05787,Q01995,0.02885191859418443
P05787,Q02790,0.006576794633546845
P05787,Q05682,0.023491612044869176
P05787,Q07065,0.02590439517087779
P05787,Q07866,0.022307749292626584
P05787,Q14011,0.01534115062328703
P05787,Q14195,0.028938332365842645
P05787,Q15459,0.023662155964717758
P05787,Q16181,0.002945299957084455
P05787,Q7Z417,0.021257856220061995
P05787,Q7Z4V5,0.014253539017099455
P05787,Q8WX93,0.01422646073268357
P05787,Q96HC4,0.02919572437675263
P05787,Q99439,0.026244577306331507
P05787,Q99613,0.029555072035833668
P05787,Q99879,0.030549850098494487
P05787,Q9UN86,0.011180945253937482
P05787,Q9Y5S9,0.018285512445348075
P05976,O15143,0.004006491564707561
P05976,O94925,0.04381131690198722
P05976,P05556,0.014602922899013023
P05976,P05787,0.044305396441796374
P05976,P06753,0.02438666097375377
P05976,P09104,0.00956256288183601
P05976,P09936,0.00729006877288445
P05976,P14174,0.012322594575845244
P05976,P14314,0.045466268003175374
P05976,P15374,0.012559868597001173
P05976,P16989,0.009980228731212066
P05976,P17096,0.021025492852289836
P05976,P27635,0.017915019022511247
P05976,P27816,0.010085395915754443
P05976,P31949,0.041082565992496795
P05976,P37837,0.034289769202001115
P05976,P46778,0.0073526728377948615
P05976,P49023,0.010001049175738462
P05976,P49756,0.017009121689309264
P05976,P51911,0.028804147812029005
P05976,P53621,0.0059435037340743605
P05976,P56192,0.026304951910156398
P05976,P60903,0.033728836232237894
P05976,P61981,0.015059512565942183
P05976,P62328,0.018415026749142874
P05976,P62854,0.013589516457742505
P05976,P62888,0.009286027062679917
P05976,P62917,0.018359248508995115
P05976,P63208,0.031931666161983036
P05976,P68104,0.015362272381521451
P05976,P81644,0.017501505580208822
P05976,Q01995,0.04211961338625293
P05976,Q02790,0.004557326107409597
