Regulator,Target,Weight
O15143,O43617,0.14503519343415344
O15143,O60869,0.03739571181097875
O15143,P02461,0.003755465432914905
O15143,P02652,0.1293585956561536
O15143,P04179,0.07876147543502518
O15143,P06753,0.11587581210697054
O15143,P09104,0.020939063141026372
O15143,P13010,0.009796559211476812
O15143,P13861,0.06085675333569017
O15143,P27635,0.008626361503554933
O15143,P27816,0.005770894973506635
O15143,P37837,0.037958860874595254
O15143,P43487,0.06863940278572402
O15143,P46778,0.0007365936965405551
O15143,P49023,0.05155076455020201
O15143,P53621,0.020920130142183385
O15143,P60903,0.020725785428192027
O15143,P61981,0.07093587374281593
O15143,P62328,0.0534369933889952
O15143,P62861,0.042512423746775996
O15143,P62979,0.01789905158617275
O15143,P63208,0.05311000794304452
O15143,Q00341,0.044430567239617816
O15143,Q01995,0.08188001088988181
O15143,Q02218,0.12583848009233417
O15143,Q02818,0.18459674098525936
O15143,Q05682,0.11815012519363091
O15143,Q07065,0.013912453526361716
O15143,Q07954,0.21766503602898557
O15143,Q13263,0.08008195922242187
O15143,Q14011,0.013540021448211313
O15143,Q14767,0.09328945510574188
O15143,Q6P2Q9,0.030733079252997838
O15143,Q7Z417,0.05168625109966911
O15143,Q96HC4,0.011126395301766567
O15143,Q99471,0.03770895960077828
O15143,Q9UPN3,0.05973733835035065
O15143,Q9UQ35,0.009465332316859483
O15143,Q9Y3D6,0.03440395348281319
O43617,O15143,0.02081927784815726
O43617,O60869,0.17465129460316764
O43617,P02461,0.009776492625961503
O43617,P02652,0.10775085602214998
O43617,P04179,0.04630566610199145
O43617,P06753,0.11277553097489756
O43617,P09104,0.0009171216155384932
O43617,P13010,0.04787019395253943
O43617,P13861,0.0760171759802514
O43617,P27635,0.05861496652370021
O43617,P27816,0.05559558353127063
O43617,P37837,0.06897207263354159
O43617,P43487,0.0304930823851816
O43617,P46778,0.030286672053711633
O43617,P49023,0.04688789396377292
O43617,P53621,0.02211852091180454
O43617,P60903,0.12251803477676797
O43617,P61981,0.12082623300077594
O43617,P62328,0.11597613952399337
O43617,P62861,0.1395038800236903
O43617,P62979,0.05984742223055096
O43617,P63208,0.10139782012782614
O43617,Q00341,0.0014466272804117691
O43617,Q01995,0.051792477865973095
O43617,Q02218,0.11901729106940595
O43617,Q02818,0.07454354516822305
O43617,Q05682,0.1361390631812352
O43617,Q07065,0.07189913882639212
O43617,Q07954,0.059766743509158504
O43617,Q13263,0.12860920679317078
O43617,Q14011,0.04818326109061744
O43617,Q14767,0.04434610336356219
O43617,Q6P2Q9,0.09747812233319753
O43617,Q7Z417,0.03193072110086614
O43617,Q96HC4,0.13022031647466614
O43617,Q99471,0.012817399562769366
O43617,Q9UPN3,0.08674499220468448
O43617,Q9UQ35,0.02824021039577771
O43617,Q9Y3D6,0.09105827894530366
O60869,O15143,0.008221979633461628
O60869,O43617,0.008619269572735396
O60869,P02461,0.0017733888639116088
O60869,P02652,0.05147052951545602
O60869,P04179,0.09948059156200334
O60869,P06753,0.12131048446185111
O60869,P09104,0.022312067431111315
O60869,P13010,0.01343290129328373
O60869,P13861,0.07508206591042994
O60869,P27635,0.03505946313634307
O60869,P27816,0.03392776911466362
O60869,P37837,0.008783540128097216
O60869,P43487,0.07854196311672101
O60869,P46778,0.04256415387569189
O60869,P49023,0.047531609465932725
O60869,P53621,0.03126647698605692
O60869,P60903,0.09729308752677604
O60869,P61981,0.03107770667217748
O60869,P62328,0.12789418504813946
O60869,P62861,0.07127753351747909
O60869,P62979,0.0635669576597396
O60869,P63208,0.056345192088651776
O60869,Q00341,0.1078421795963917
O60869,Q01995,0.06300661377197697
O60869,Q02218,0.04704191624001228
O60869,Q02818,0.014656018200261982
O60869,Q05682,0.1154033640452597
O60869,Q07065,0.08116408694937473
O60869,Q07954,0.004812143650174455
