Regulator,Target,Weight
P04179,Q02218,0.8453581947221342
P02652,Q14767,0.8251849941581983
Q02218,P04179,0.8141395332606912
P00568,P62854,0.8072541089242338
P02652,P63313,0.7945774119220932
P07339,Q07065,0.7918267373522059
Q14011,Q15843,0.7892117209907714
P63313,P02652,0.7803014683060537
Q07954,P07339,0.7570551481441881
Q14767,P02652,0.7542793594131081
P00568,Q9UMS6,0.7339209114066401
Q9UMS6,P00568,0.7017743752558229
Q7Z417,P02652,0.6927876726324653
Q07954,Q07065,0.6901303888861736
Q07954,P00568,0.6895751386802679
Q07954,Q02818,0.6893985088808627
P02652,Q7Z417,0.6860727942198233
P63313,Q07065,0.6708240237162496
P00568,Q07065,0.6697431036317142
Q01995,Q02218,0.6686077621351588
