Regulator,Target,Weight
P05976,Q9H0U4,1.0
Q02818,Q02218,0.9173526074760368
Q02218,Q02818,0.8925973424889865
Q15843,Q07954,0.8537209916981291
Q9H0U4,P05976,0.8525983316667121
P27816,P63208,0.8379759489907166
P15374,P07339,0.8344041341424726
P05976,Q07065,0.8272961299339877
P02652,Q07954,0.7644095426892755
P02652,Q9H0U4,0.7622656844851895
Q13263,P53621,0.7524757760254713
Q14444,P63208,0.7521610261028203
Q15843,P18859,0.7226456654462103
Q13263,O94925,0.7125150497656622
P07339,P15374,0.7068934894528381
Q02818,P04179,0.7053864004044581
P61981,P63313,0.7043426165999309
P63208,P27816,0.7037010323158114
P36957,Q15843,0.6944938981989978
P36957,P18859,0.6929705039352779
