Protein,Weight,Role
Q86UP2,1.1748254932067232,0
Q9UBR2,1.3108212661607233,2
Q9UMX0,0.6591170531873918,0
Q6NZI2,0.9933605616421124,0
Q3SX28,1.223079650410708,2
Q9HBL0,0.9667840008036795,0
Q8IVL6,1.1990606563554131,2
Q9UHB9,1.0284721257119158,0
P14174,1.652485847245429,2
P05787,1.1956603824006853,0
P80723,0.9186357131155322,1
Q07954,0.8379076277809763,0
P05556,1.0073192790704495,1
P13667,1.588394732639395,2
P31949,1.3356700951048712,2
P67936,1.1824521840413034,2
Q14011,1.206946020323342,2
P62854,1.1317278357986893,1
P63208,0.9773221687744934,0
