Protein,Weight,Role
P07339,9.884591774054241,1
Q13263,12.700477672343407,2
O94925,10.162925628983366,0
Q07954,9.606510871594521,0
P18859,10.197230988207352,0
P02652,12.292151544798616,2
P63313,10.457313546733264,0
P15374,11.72343322377461,2
P04179,10.470529419101354,0
Q9H0U4,9.957438777168624,1
P05976,11.8552332877882,1
Q14444,10.925139048028882,1
P27816,10.71750402020814,0
Q02218,11.569482811495543,1
P63208,9.105699675430433,0
Q15843,11.85011396428858,2
Q02818,11.494070747946473,2
Q07065,8.847015676750402,1
P53621,11.588239587005228,2
P36957,11.808392005950598,2
P61981,11.199712792248489,2
