Entry,Q,P,Role
O00629,0.0907699111834363,-0.5015305404353005,2
O15143,-0.5195843908260527,-0.015394761133377644,0
O60716,-0.2439638432238008,-0.48221080132030053,0
O94925,-0.817501472929409,0.22976953132072564,1
P05556,-0.2457564950387014,0.0502391626542899,1
P05787,-0.08569590895829135,-0.12204966649113919,0
P05976,-0.316503579114091,-0.7667643720172297,0
P13667,0.5345961921648462,-0.2917286511628215,2
P14174,1.0,-0.6259936858542763,2
P15374,-0.6448148102422135,-0.1100234770875633,0
P16989,-0.4235529710119212,-0.2863969615127088,0
P17096,-0.6260875255021414,-0.4262247554357118,0
P31949,0.3488936511603823,-0.5647102561605601,2
P49023,-0.9880267442999098,0.22213084283476672,1
P49756,-0.6756626197777141,-0.10647322971518633,0
P56192,0.3680821935436552,-0.4917343969745482,2
P62328,-0.0896282525366074,-0.8031244765437376,0
P62424,-0.3519014633557499,0.2594648706675402,1
P62854,-0.2615735098883382,0.3541651036381204,1
P63208,-0.17403685691753043,-0.32340986711383835,0
P67809,-0.3951129417899741,-0.5024357825036341,0
P67936,0.09687672201924191,-0.6459317458560793,2
P80723,-0.46994703099995,0.23268571678661726,1
Q01995,-0.4954482913488673,-0.1066156640853627,0
Q02790,0.24319309128273894,0.3635964870476035,3
Q07065,0.4302255545044176,-0.1425585183860589,2
Q07866,-0.7122153455931886,-0.5580419858534418,0
Q07954,-0.5091057516592351,-0.021572898072969863,0
Q14011,0.21538812829253373,-0.7914565770368039,2
Q15366,-0.6160068170488759,0.317186575426734,1
Q16181,-0.3531110273997711,0.30647709744299095,1
Q3SX28,0.23300498491550692,-0.9883098179064318,2
Q6NZI2,-0.08639985024462957,-0.5370086701529981,0
Q71UM5,-0.4832349468178401,0.04618428340013238,1
Q86UP2,-0.022377109743263082,-0.1398898019915668,0
Q8IVL6,0.06713132922978944,-0.27065811988576427,2
Q92841,-0.31427524047868505,0.16503214960356158,1
Q96A49,-0.5046431533351227,-0.2742942032989824,0
Q96C90,-0.3407947050681145,-0.36028722383148015,0
Q99613,-0.5144047215629469,-0.06324901630661554,0
Q99879,-0.35451937264858635,-0.5759022934439562,0
Q9HBL0,-0.18125024729138564,-1.0,0
Q9UBR2,0.19033920757244796,-0.5975045512848337,2
Q9UHB9,-0.2783954458482634,-0.39681970201062866,0
Q9UKY7,-0.7649080925891474,0.11786011293398922,1
Q9UMX0,-0.7068216989771681,-0.37715633167095575,0
Q9UN86,-0.4756824416525543,-0.08239710056385775,0
Q9Y5S9,-0.9813638261769106,-0.10421934556249032,0
