Entry,Q,P,Role
O00629,-0.620578551526137,-0.11334362834331038,0
O15143,-0.21990739946521295,-0.3405806461580901,0
O60716,-0.30182469880902685,0.1663678656664841,1
O94925,-0.3756813227537824,-0.16343860059157603,0
P05556,-0.6051632735848657,-0.007471861494841656,0
P05787,-0.26906993859050415,-0.5132290821457659,0
P05976,-0.41167679146540526,-0.3333984819203803,0
P13667,-0.5966159245218741,-0.4665332016126557,0
P14174,0.23694663314735104,-0.10077786628207377,2
P15374,-0.8474896156835041,-1.0,0
P16989,-0.445631643445688,0.7044697440297405,1
P17096,-0.34384350831093874,-0.4546032242417845,0
P31949,-0.5719775504406998,-0.3996500450916812,0
P49023,-0.5219036370358784,-0.5905044923397338,0
P49756,-0.5922232202484418,-0.03661763848270351,0
P56192,-0.7677979354489223,-0.08482941264199925,0
P62328,-1.0,-0.201105282792039,0
P62424,-0.11771420016701088,0.13836253142867938,1
P62854,0.1659232724235069,-0.14598520862391903,2
P63208,-0.21766719851777222,0.5858003494839984,1
P67809,0.24883163773208491,-0.9976529585925616,2
P67936,-0.7612133893665781,0.6164229985643058,1
P80723,0.12475750598830088,-0.14551505245696394,2
Q01995,-0.029944432811299226,-0.4356275684895468,0
Q02790,0.033916334173451995,0.12489739257064322,3
Q07065,0.11406191605774321,-0.15877320592454106,2
Q07866,0.3360605045577706,0.1445685515978574,3
Q07954,-0.04865692013450703,-0.10902602479958083,0
Q14011,-0.2514670881881716,-0.5016158985332307,0
Q15366,-0.9854346625603411,0.10146099666342424,1
Q16181,-0.14513272692461981,-0.2588468245444319,0
Q3SX28,-0.385973851063635,-0.8200477538241312,0
Q6NZI2,-0.6364136997479194,0.0029594887412415713,1
Q71UM5,-0.7599070303471224,-0.7553793054108886,0
Q86UP2,0.46642710764020656,-0.2907541289847724,2
Q8IVL6,-0.6044498096468114,0.08406860641145995,1
Q92841,-0.26841626631670096,-0.5868766779323961,0
Q96A49,0.643204268486781,-0.41566092555006634,2
Q96C90,-0.574933552516039,-0.03347078224027873,0
Q99613,0.05535923181556255,0.5284134949800448,3
Q99879,0.39868390099374684,-0.1005484469165438,2
Q9HBL0,-0.5325796600646181,0.529977741753772,1
Q9UBR2,-0.48837842518109253,-0.11539382067486123,0
Q9UHB9,-0.011305444724483906,-0.069422129083071,0
Q9UKY7,0.34565402252189764,-0.7096313294502284,2
Q9UMX0,-0.11353027757314171,-0.04422685789528346,0
Q9UN86,-0.30920250055536375,-0.2680427264332231,0
Q9Y5S9,-0.7297347228650932,-0.0009864962470801713,0
