Entry,Q,P,Role
O15143,-0.29879508856528825,-0.8707150522220202,0
O94925,-0.36747951255061273,-0.20214319805195666,0
P00568,-0.9976354707284704,0.00589857842858469,1
P02461,-0.5852464036295034,-0.6778921503803738,0
P02652,0.08220718055189263,-0.12197841320414665,2
P04179,-0.2608756223794336,-0.3744452927835163,0
P05976,-0.1945709370982804,0.3648879148991768,1
P06753,-0.2843832735645225,-0.3360882382079924,0
P07339,-0.5717985587217872,0.06901740850356784,1
P12956,0.13715638256157206,-0.40112783630438253,2
P13010,0.05495084322999748,-0.42265562809449575,2
P15374,0.06727374793898945,-0.3404285048274152,2
P18859,-0.3192857034064752,-0.46977281869499926,0
P21281,-0.09019844177485985,-0.33020658230667316,0
P23246,-0.14484023538428917,-0.7997906017224818,0
P26447,-0.43615586773743914,0.38478685085661757,1
P27816,-0.26216954503004825,-0.017695735285754483,0
P30085,-0.7432590634976295,0.17652349498415856,1
P36957,0.19981968393401947,-0.6714622304613864,2
P37837,-0.5094692802831755,-0.3610998760055851,0
P40926,-0.11011182311440335,-0.2384013979271621,0
P42765,-0.3699703790427191,0.1327496432234639,1
P49023,-0.23708124656961138,-0.30997670720734793,0
P53621,0.1987595861811498,-0.4793022149421342,2
P56192,-1.0,0.3128578810655916,1
P61981,0.030066147258286362,-0.532924396883615,2
P62328,-0.38724080967656377,-0.08357356515790142,0
P62854,-0.6912294000107451,-0.23007712210292117,0
P62917,0.05880864236705464,-0.695679115499133,2
P63208,-0.7054285696462049,-0.18537099801601886,0
P63313,-0.3590355551594477,-0.025859448548204034,0
Q01995,-0.3711719861187416,-0.06750679616109356,0
Q02218,-0.1352053339299746,0.047077286529499725,1
Q02818,0.05983465115396958,-0.6399352813851658,2
Q05682,-0.1521577236903884,-0.8755814145428862,0
Q07065,-0.9097185472073726,0.044302354022124665,1
Q07954,-0.6119863234672592,-0.2656515198916292,0
Q13263,0.3278635144150571,-0.3383905198787062,2
Q14011,-0.8406207164905235,0.11177691103562437,1
Q14444,-0.11601667482587155,0.17136270413615595,1
Q14767,-0.4658206992506322,-0.268246600124519,0
Q15233,0.18688471966125916,-0.6550816879997189,2
Q15843,0.08124772687531444,-0.23753182519807117,2
Q7Z417,-0.9710072347344832,0.36819524023802097,1
Q8WWI1,-0.22530000553436588,-1.0,0
Q96CW1,-0.245498430868784,-0.1290254490350985,0
Q96HC4,0.07263329487127473,-0.42268828490557725,2
Q9H0U4,-0.5809471416442729,0.1288799203832987,1
Q9UHD8,-0.18972129792670941,-0.4107795534269666,0
Q9UMS6,-0.26523103466528564,-0.6303698166231512,0
