Entry,Q,P,Role
O15143,-0.17465805126425749,-29.879523091140072,0
O94925,-0.21480692855795913,-6.936761013254667,0
P00568,-0.5831590688105466,0.2024161051435982,1
P02461,-0.342100654072825,-23.2625978510912,0
P02652,0.048053489319814124,-4.185820182907207,2
P04179,-0.15249255954176655,-12.849492820203999,0
P05976,-0.11373473826102631,12.521521521792124,1
P06753,-0.16623375161848952,-11.533229069361823,0
P07339,-0.3342398354585734,2.3684067573853724,1
P12956,0.08017355920704627,-13.765132871114034,2
P13010,0.032121033976100666,-14.503882063486863,2
P15374,0.03932427677780059,-11.682170222340979,2
P18859,-0.18663566122585384,-16.120759351234348,0
P21281,-0.05272470897846371,-11.331393607755963,0
P23246,-0.08466509162254998,-27.445674341406495,0
P26447,-0.25495108984408665,13.20437462597566,1
P27816,-0.15324891208427527,-0.6072483154307804,0
P30085,-0.4344655688639838,6.05759381727087,1
P36957,0.11680284305067623,-23.041948281947697,2
P37837,-0.2978058013350825,-12.391530477378318,0
P40926,-0.0643648993619943,-8.180999954900898,0
P42765,-0.21626294130061807,4.555446998593496,1
P49023,-0.13858376524846938,-10.637183798674258,0
P53621,0.11618317055440519,-16.447770720133263,2
P56192,-0.58454123641711,10.736054581477617,1
P61981,0.017574902992821384,-18.28787338631693,2
P62328,-0.22635822102015224,-2.867916535677594,0
P62854,-0.40405208452132124,-7.89534366840364,0
P62917,0.03437607153490574,-23.872976726617374,2
P63208,-0.41235208427971115,-6.361204942209753,0
P63313,-0.20987108534252474,-0.8873945350753019,0
Q01995,-0.216965327712077,-2.3165680507029265,0
Q02218,-0.07903309324751961,1.6155078610294282,1
Q02818,0.034975818374664236,-21.960067131697777,2
Q05682,-0.0889424649755779,-30.046517572267753,0
Q07065,-0.5317680033547355,1.5202833938837301,1
Q07954,-0.3577312392684613,-9.116117473187018,0
Q13263,0.19164973910738947,-11.612234291285546,2
Q14011,-0.49137747496435746,3.8357455479291787,1
Q14444,-0.06781653483713845,5.880495546904115,1
Q14767,-0.27229140497314375,-9.205170220106481,0
Q15233,0.10924182313331454,-22.47983232610676,2
Q15843,0.04749264329595282,-8.151159631598617,2
Q7Z417,-0.5675937640242479,12.635015925892361,1
Q8WWI1,-0.1316971444142141,-34.31607512519197,0
Q96CW1,-0.14350395609308175,-4.427646819864762,0
Q96HC4,0.04245715497489244,-14.50500279578344,2
Q9H0U4,-0.3395875573760696,4.422653529606066,1
Q9UHD8,-0.11089991849673697,-14.096341744335618,0
Q9UMS6,-0.15503847713355356,-21.631817912714887,0
