Entry,Q,P,Role
ITGB1,-0.2181433391560078,-0.6594390360919747,0
KRT8,-0.055463398071521015,0.13280103706070684,1
MYL1,-0.24733692177650282,-0.2832140554648364,0
ENO2,-0.46689571990297474,0.07460553939276685,1
PEPD,-0.18242645579673983,0.06479543714618767,1
PDIA4,-0.01267107961633005,-0.3959169619650373,0
YBX3,-0.13525362818650302,-0.2489213112034817,0
HMGA1,-0.4505446894088434,-0.18066281720210486,0
RPL17,-1.0,-0.6788248893180302,0
ACO1,-0.6674027178554851,0.40588164726692805,1
MYL9,-0.21386478246494858,-0.13086117605264302,0
S100A11,-0.3433774472392113,0.012485984292257203,1
RPL29,-0.7750912028906833,0.5303328033012444,1
PXN,0.0995561782855698,-0.8898282478464133,2
EIF3E,-0.3305229950422809,-0.4946373864738302,0
S100A10,-0.49782485423834116,0.19196996273054381,1
TMSB4X,0.2670887874522049,-0.44336515670958593,2
RPL30,-0.10580295729745592,-0.3138629250846083,0
YBX1,-0.28227445165005766,-0.5706040030095461,0
TPM4,0.12560244353035221,-0.8120750382362895,2
BASP1,-0.16439024120587484,-0.06417812624642334,0
TAGLN,-0.03270974115386276,0.0014077729250939397,1
FKBP4,0.0,-0.5265365257256602,0
CKAP4,-0.18962657515889145,-0.5973532230258926,0
LRP1,0.09522911077908489,-0.4040779738920275,2
UBAP2L,-0.17064420942678168,-0.8639156552322101,0
DCTN1,0.019500318797963056,-1.0,2
SF3A1,-0.09292039893450975,-0.42176021594812235,0
SEPTIN7,-0.17115363213491214,-0.7170132031767615,0
TPM2,-0.1103698474711708,-0.23824281736743966,0
NUFIP2,-0.4551978887673568,0.0,0
HDGFL2,-0.37354617317518923,0.23989551368050452,1
KTN1,-0.371936105816179,0.2197066333614332,1
DDX17,0.12836617645981907,-0.9350689815024978,2
SMARCE1,0.16620308684513746,-0.36278285989409725,2
EIF3C,0.08363617558980418,-0.7504339701009728,2
H2BC14,-0.34263604939046083,-0.16928149574632312,0
PFDN4,-0.09541994125460339,-0.6526984939176202,0
G3BP2,0.027653736358639245,-0.4059876659021032,2
AKAP2,-0.4356871297182428,-0.43608294341610604,0
RBM8A,0.036693352768104426,-0.5872165501550388,2
