Entry,AS,PS,Role
ARPC1B,2.1175522304367695,2.9375266983008714,0
GLS,2.244777050226104,2.5504402132032777,0
AK1,6.6314820737694,5.539756426266797,0
COL3A1,5.505764356537668,4.270209409344152,0
APOA2,7.631253835543177,5.4562201351722,2
SOD2,7.345920578673479,6.500063761569108,3
MYL1,2.7884058677814463,3.752054392476593,0
TPM3,3.784419086821176,3.595091103747327,0
CTSD,7.099594184529968,6.229576255770452,1
XRCC6,3.5803218108456427,3.767957004662162,0
XRCC5,6.702268128978478,5.158367856319324,0
UCHL3,2.7268197883289655,3.373949205523093,0
ATP5PF,3.3979387578687303,3.5233845176028495,0
ATP6V1B2,5.2115276752123165,4.500276460517469,0
SFPQ,3.4374797058941393,3.8834233302699164,0
S100A4,3.661262222303835,4.689840849757133,0
MAP4,0.792493506331627,2.182494814970367,0
CMPK1,3.3147728778695407,4.1225548721376075,0
DLST,3.6302545482251776,4.684969534758473,0
TALDO1,2.254061193584787,3.1174060161602433,0
MDH2,6.376704214390392,6.035884412696539,1
ACAA2,1.8375001721194117,5.527757861684475,0
PXN,2.77476290347696,3.7822903087203943,0
COPA,5.744131866528992,4.269297343459645,0
MARS1,2.8750324825728564,3.3390807141696324,0
YWHAG,1.0084972698267796,4.246009336021575,0
TMSB4X,5.476035684495799,4.606483308966883,0
RPS26,3.0497133884724583,5.775296192903987,0
RPL8,1.4360850929588147,2.848170022154937,0
SKP1,5.10982025861268,3.549107128604816,0
TMSB10,7.2415181412955,6.0249516427548535,1
TAGLN,6.831411867597862,5.283631703860076,0
OGDH,6.9885343590018065,5.883133489653832,0
NUCB1,4.506463927436369,4.945743123676895,0
CALD1,6.911716435393431,4.522373740928236,0
CKAP4,4.397105888983251,5.654052439010407,0
LRP1,9.120812659693035,5.502126936828812,2
TRIM28,0.0,1.113816707439428,0
CIRBP,5.632029095080511,5.808089229467241,0
CAPRIN1,3.0908045789999665,3.549578655108098,0
LTBP2,6.042218147731536,6.104534851823464,1
NONO,7.469775062325997,4.275619049650683,2
NEDD8,2.2805979758957085,5.585177405731078,0
NUFIP2,7.476538443212579,5.742201117490756,2
LMO7,2.935654148004362,3.333378302652057,0
AP2M1,3.6585256545640394,5.543813268612126,0
PDLIM5,4.412361827811718,3.8597330663421925,0
RAB1B,3.976186151202704,2.9076081273028067,0
SEPTIN9,3.7052614830950246,3.0904789309724925,0
SYNPO2,5.809289958057265,5.4884773413823975,0
