Regulator,Target,Weight
O15143,O60716,0.010355688754655677
O15143,O94925,0.016937314102554536
O15143,P05556,0.005611964642940894
O15143,P05787,0.03806743367650858
O15143,P05976,0.02635526679403028
O15143,P16989,0.027655306909058
O15143,P17096,0.10059634441597166
O15143,P49023,0.02344956846075663
O15143,P49756,0.09542261525134939
O15143,P56192,0.046703647553455525
O15143,P62328,0.00611204041092861
O15143,P62424,0.018995683520591087
O15143,P62854,0.03077603740345903
O15143,P67936,0.025613867134563394
O15143,Q01995,0.02107982801460399
O15143,Q02790,0.025016925953083552
O15143,Q07065,0.05221256766132744
O15143,Q16181,0.018015700192881345
O15143,Q86UP2,0.034508552714694475
O15143,Q8IVL6,0.01947825392278664
O15143,Q99613,0.033423025918536894
O15143,Q9UMX0,0.031800023550643264
O15143,Q9UN86,0.2100957714236411
O15143,Q9Y5S9,0.08171657161697812
O60716,O15143,0.05973548652479904
O60716,O94925,0.07923647404846987
O60716,P05556,0.03554171026835847
O60716,P05787,0.018220308895302014
O60716,P05976,0.012448938734090946
O60716,P16989,0.03069165034826461
O60716,P17096,0.004208630540867198
O60716,P49023,0.05821260360019954
O60716,P49756,0.011566082563151106
O60716,P56192,0.008270817552579208
O60716,P62328,0.007670842242243779
O60716,P62424,0.06136765205447991
O60716,P62854,0.11892668791304939
O60716,P67936,0.05013490609684848
O60716,Q01995,0.017577647230739277
O60716,Q02790,0.012200013652565822
O60716,Q07065,0.0011777665901578022
O60716,Q16181,0.09556718479892751
O60716,Q86UP2,0.0426299486041786
O60716,Q8IVL6,0.08069484505595195
O60716,Q99613,0.07453494866653018
O60716,Q9UMX0,0.03941706054337872
O60716,Q9UN86,0.05708608174047922
O60716,Q9Y5S9,0.022881711734387352
O94925,O15143,0.019581223338203786
O94925,O60716,0.04344215657755675
O94925,P05556,0.016185321065215693
O94925,P05787,0.001639078646522082
O94925,P05976,0.0711268718190172
O94925,P16989,0.01172269611642771
O94925,P17096,0.04475716383838848
O94925,P49023,0.035475160634474055
O94925,P49756,0.04446770436132296
O94925,P56192,0.01072926414137885
O94925,P62328,0.042950560454746635
O94925,P62424,0.03316847550385381
O94925,P62854,0.12518362501461644
O94925,P67936,0.027963498645362315
O94925,Q01995,0.01338862412686387
O94925,Q02790,0.014892202292372958
O94925,Q07065,0.03268427467547602
O94925,Q16181,0.03693384328001965
O94925,Q86UP2,0.12227048321798341
O94925,Q8IVL6,0.07927350472621215
O94925,Q99613,0.0900100534234746
O94925,Q9UMX0,0.0045543428571303765
O94925,Q9UN86,0.058096777330927434
O94925,Q9Y5S9,0.019503093912452907
P05556,O15143,0.029227767695717916
P05556,O60716,0.03126686309024584
P05556,O94925,0.07496158613792303
P05556,P05787,0.018507501939995778
P05556,P05976,0.01709140301179504
P05556,P16989,0.033676545119524594
P05556,P17096,0.03337341467185426
P05556,P49023,0.044304383133592466
P05556,P49756,0.03252739815372698
P05556,P56192,0.02722672483488987
P05556,P62328,0.06019939382732899
P05556,P62424,0.11290347932286139
P05556,P62854,0.046222264699945746
P05556,P67936,0.05704488692883022
P05556,Q01995,0.018334781573913984
P05556,Q02790,0.02634969379600421
P05556,Q07065,0.010720317485266483
P05556,Q16181,0.08194072456772744
P05556,Q86UP2,0.08367933743109741
P05556,Q8IVL6,0.02270211700979327
P05556,Q99613,0.03647365641326363
P05556,Q9UMX0,0.009783864295749883
P05556,Q9UN86,0.03131067720620591
P05556,Q9Y5S9,0.06017121765274568
P05787,O15143,0.012505321393558488
P05787,O60716,0.016969139194962072
P05787,O94925,0.009808325707632251
P05787,P05556,0.04508682410254046
P05787,P05976,0.02806510101846582
P05787,P16989,0.01125939812983116
P05787,P17096,0.01505497255912905
P05787,P49023,0.01839078169886833
P05787,P49756,0.027830782025292905
P05787,P56192,0.118689639316088
P05787,P62328,0.018014065130048128
P05787,P62424,0.027409943455942817
P05787,P62854,0.05846452004734583
P05787,P67936,0.031203087734486563
P05787,Q01995,0.041253541612163346
