Regulator,Target,Weight
P05556,P05787,0.00425872125765369
P05556,P05976,0.04800679682243729
P05556,P09104,0.011967596185119375
P05556,P12955,0.030387359870325207
P05556,P13667,0.0544097193767126
P05556,P16989,0.01685151960902606
P05556,P17096,0.0009546602591259542
P05556,P18621,0.02600717748241261
P05556,P21399,0.03420645216455362
P05556,P24844,0.01604317210653895
P05556,P31949,0.002762793836795378
P05556,P47914,0.06627323024634318
P05556,P49023,0.003244164908180574
P05556,P60228,0.01694303683452869
P05556,P60903,0.00908729082767971
P05556,P62328,0.031244738798232877
P05556,P62888,0.07649991517221252
P05556,P67809,0.0014347571512813495
P05556,P67936,0.03255523278125603
P05556,P80723,0.012518708108346384
P05556,Q01995,0.011683534621983332
P05556,Q02790,0.04089686816558004
P05556,Q07065,0.017075885404717765
P05556,Q07954,0.008561864883984513
P05556,Q14157,0.017774387764711016
P05556,Q14203,0.01260061431535946
P05556,Q15459,0.0028104092469403825
P05556,Q16181,0.05876128205912064
P05556,Q3SX28,0.0206680052500067
P05556,Q7Z417,0.1037196884904052
P05556,Q7Z4V5,0.008299779270636439
P05556,Q86UP2,0.01100436251522849
P05556,Q92841,0.03418299048403076
P05556,Q969G3,0.00043140689937958487
P05556,Q99613,0.020240196452489045
P05556,Q99879,0.029879709821384718
P05556,Q9NQP4,0.02052786378499855
P05556,Q9UN86,0.0011677562867468646
P05556,Q9Y2D5,0.0357364357144635
P05556,Q9Y5S9,0.04831991476907101
P05787,P05556,0.026680609434553436
P05787,P05976,0.025405252777601604
P05787,P09104,0.024049268787724794
P05787,P12955,0.04520229472475701
P05787,P13667,0.0031044373017953797
P05787,P16989,0.010104244807340328
P05787,P17096,0.02971538090660312
P05787,P18621,0.03759954241604541
P05787,P21399,0.010925509357792886
P05787,P24844,0.013301095922806816
P05787,P31949,0.019874996675540123
P05787,P47914,0.02663384889754344
P05787,P49023,0.0401962547515138
P05787,P60228,0.011538406128290338
P05787,P60903,0.016454252944885495
P05787,P62328,0.017226070539962737
P05787,P62888,0.007953478004628128
P05787,P67809,0.010766161579876778
P05787,P67936,0.0015908533315037337
P05787,P80723,0.0013926944856542862
P05787,Q01995,0.08496322582559836
P05787,Q02790,0.008687893041286514
P05787,Q07065,0.017772301414195793
P05787,Q07954,0.002162837866327977
P05787,Q14157,0.015649028862222483
P05787,Q14203,0.019299959352155085
P05787,Q15459,0.029057746017801474
P05787,Q16181,0.03571957825226158
P05787,Q3SX28,0.0010685168845838127
P05787,Q7Z417,0.046641601546454844
P05787,Q7Z4V5,0.15634528891523136
P05787,Q86UP2,0.02369743064796127
P05787,Q92841,0.003040654929078009
P05787,Q969G3,0.011423539126141167
P05787,Q99613,0.05015760600938486
P05787,Q99879,0.0033593918312480285
P05787,Q9NQP4,0.03525297158606179
P05787,Q9UN86,0.018644309872030456
P05787,Q9Y2D5,0.00992033812331218
P05787,Q9Y5S9,0.04742112612024327
P05976,P05556,0.01385137910746359
P05976,P05787,0.01276557311240727
P05976,P09104,0.020642682210139075
P05976,P12955,0.07488929412867046
P05976,P13667,0.08222179171367053
P05976,P16989,0.00792102738638341
P05976,P17096,0.00996931730522076
P05976,P18621,0.003803714654253945
P05976,P21399,0.17374783194600674
P05976,P24844,0.026373488142171872
P05976,P31949,0.027977628096298047
P05976,P47914,0.0012358229568033214
P05976,P49023,0.0039012422453686647
P05976,P60228,0.026619758262267604
P05976,P60903,0.02411705682971474
P05976,P62328,0.01963900272492435
P05976,P62888,0.01850667320018703
P05976,P67809,0.008171915820361341
P05976,P67936,0.027371780918887523
P05976,P80723,0.02504085896847394
P05976,Q01995,0.033400065135310075
P05976,Q02790,0.009376086185773546
P05976,Q07065,0.07655958653407209
P05976,Q07954,0.02801202212609942
P05976,Q14157,0.00255760482320947
P05976,Q14203,0.003944830879861047
P05976,Q15459,0.03031546063695317
P05976,Q16181,0.01780994828326971
P05976,Q3SX28,0.03682796622869954
P05976,Q7Z417,0.0427968671489133
P05976,Q7Z4V5,9.882497518254426e-05
P05976,Q86UP2,0.022838311342186474
P05976,Q92841,0.02419576304988578
P05976,Q969G3,0.015497952175363896
P05976,Q99613,0.01104588526434634
P05976,Q99879,0.002031704806562182
P05976,Q9NQP4,0.007097923403672025
P05976,Q9UN86,0.0008400845118755417
P05976,Q9Y2D5,0.023911123747059698
P05976,Q9Y5S9,0.002074149012029896
P09104,P05556,0.019930140032273513
P09104,P05787,0.011171580908902435
P09104,P05976,0.0007819679715114548
P09104,P12955,0.04840281528497149
P09104,P13667,0.026983673819436033
P09104,P16989,0.0005459101779107016
P09104,P17096,0.020978413260117047
P09104,P18621,1.4742981116910542e-05
P09104,P21399,0.047220681941190286
P09104,P24844,0.08011521986545127
P09104,P31949,0.14006948185698925
P09104,P47914,0.0005135843380016838
P09104,P49023,0.013098444574068266
P09104,P60228,0.0018506891075682215
P09104,P60903,0.02903951134531957
P09104,P62328,0.019073597735859534
P09104,P62888,0.0029211576922389716
P09104,P67809,0.013553440478501811
P09104,P67936,0.0015803948397753273
P09104,P80723,0.04539622130784031
P09104,Q01995,0.002859553292211331
P09104,Q02790,0.0019501074796071426
P09104,Q07065,0.02225226213477001
P09104,Q07954,0.0029239826340063503
P09104,Q14157,0.05625098419308278
P09104,Q14203,0.00043778187102192867
P09104,Q15459,0.04617203431105907
P09104,Q16181,0.086175402689459
P09104,Q3SX28,0.008617712334508941
P09104,Q7Z417,0.031662075167373634
P09104,Q7Z4V5,0.01889858531059159
P09104,Q86UP2,0.012818340443479433
P09104,Q92841,0.013712650686346715
P09104,Q969G3,0.028809285402103542
P09104,Q99613,0.000368677513111904
P09104,Q99879,0.048431665647955056
P09104,Q9NQP4,0.012547543512223668
P09104,Q9UN86,0.05788424467398463
P09104,Q9Y2D5,0.0018349992207876923
P09104,Q9Y5S9,0.02215044196327151
P12955,P05556,0.029564453309845504
P12955,P05787,0.00413064868131613
P12955,P05976,0.018806242985046736
P12955,P09104,0.0018141605720235594
P12955,P13667,0.010716357647730379
P12955,P16989,0.028830499986290125
P12955,P17096,0.08776872791610843
P12955,P18621,0.010342647985973721
P12955,P21399,0.01276287925651294
P12955,P24844,0.07676411569409672
P12955,P31949,0.028646014924697195
P12955,P47914,0.011722292158709598
P12955,P49023,0.046857618819226364
P12955,P60228,0.0007554234790705442
P12955,P60903,0.021089976004623586
P12955,P62328,0.0013365239125206598
P12955,P62888,0.017550159067124607
P12955,P67809,0.03270690303147421
P12955,P67936,0.010036658732500625
P12955,P80723,0.013129883588865915
P12955,Q01995,0.009792708972539935
P12955,Q02790,0.03972835311635352
P12955,Q07065,0.020894671308394747
P12955,Q07954,0.00396713525617633
P12955,Q14157,0.03129548135594344
P12955,Q14203,0.003210195738145794
P12955,Q15459,0.04409270408127163
P12955,Q16181,0.055652502254760525
P12955,Q3SX28,0.03855017786348595
P12955,Q7Z417,0.008421880631085496
P12955,Q7Z4V5,0.03903680272875742
P12955,Q86UP2,0.008884548460644244
P12955,Q92841,0.030757381117534347
P12955,Q969G3,0.05268122212752235
P12955,Q99613,0.019412848537187936
P12955,Q99879,0.008995126961840133
P12955,Q9NQP4,0.0019305928427293412
P12955,Q9UN86,0.02013587361266782
P12955,Q9Y2D5,0.047748446419592
P12955,Q9Y5S9,0.04947915885960951
P13667,P05556,0.037452388365097206
P13667,P05787,0.028458136277987784
P13667,P05976,0.03706068615066264
P13667,P09104,0.031077738534782056
P13667,P12955,0.021887491126330757
P13667,P16989,0.0464194791293048
P13667,P17096,5.7604029132394094e-05
P13667,P18621,0.03338981273201785
P13667,P21399,0.044358688562966334
P13667,P24844,0.010903061781448682
P13667,P31949,0.0029395812274631374
P13667,P47914,0.011354711015638008
P13667,P49023,0.014330715235663276
P13667,P60228,0.04090384036203273
P13667,P60903,0.010718615279036007
P13667,P62328,0.07952696444154315
P13667,P62888,0.008199120714867066
P13667,P67809,0.04627653216996522
P13667,P67936,0.051508944515742124
P13667,P80723,0.03016164142499724
P13667,Q01995,0.02875644016218704
P13667,Q02790,0.04556215191829393
P13667,Q07065,0.0101666926083895
P13667,Q07954,0.0018528237388115594
P13667,Q14157,0.00029703820877919924
P13667,Q14203,0.037321659539251296
P13667,Q15459,0.013299069587977252
P13667,Q16181,0.03953781854867349
P13667,Q3SX28,0.02225123453580296
P13667,Q7Z417,0.04207301737285591
P13667,Q7Z4V5,0.016089485569026268
P13667,Q86UP2,0.0289756505681554
P13667,Q92841,0.048013093857998505
P13667,Q969G3,0.0013500916787461752
P13667,Q99613,0.04194468935240081
P13667,Q99879,0.0025890646047825377
P13667,Q9NQP4,0.010113968204142239
P13667,Q9UN86,0.0014042054119412855
P13667,Q9Y2D5,0.016893663857473103
P13667,Q9Y5S9,0.004522387597633245
P16989,P05556,0.047735088015202626
P16989,P05787,0.05039220317967832
P16989,P05976,0.009548942583727956
P16989,P09104,0.05791136269706636
P16989,P12955,0.03218608032284523
P16989,P13667,0.06527205794346957
P16989,P17096,0.0029512228242370474
P16989,P18621,0.04732684851695895
P16989,P21399,0.038425762672767295
P16989,P24844,0.018461099967982827
P16989,P31949,0.0028083639282707874
P16989,P47914,0.0009138487507065879
P16989,P49023,0.018950704840063497
P16989,P60228,0.05755557922899971
P16989,P60903,0.0010843159273601754
P16989,P62328,0.029417580186602
P16989,P62888,0.03213458541641285
P16989,P67809,0.020374636013568724
P16989,P67936,0.01986545731598896
P16989,P80723,0.009793542765094306
P16989,Q01995,0.01035580570836318
P16989,Q02790,0.042469726377649855
P16989,Q07065,0.0581279149284574
P16989,Q07954,0.026958216456951383
P16989,Q14157,0.010134095861111445
P16989,Q14203,0.010114196448636925
P16989,Q15459,0.04123522244614605
P16989,Q16181,0.030711954345076474
P16989,Q3SX28,0.04964450205344908
P16989,Q7Z417,0.04941384982501008
P16989,Q7Z4V5,0.003164459062997685
P16989,Q86UP2,0.021031423305419183
P16989,Q92841,0.012244381308056836
P16989,Q969G3,0.001080181115285905
P16989,Q99613,0.028820159404061067
P16989,Q99879,0.0012597914463451107
P16989,Q9NQP4,0.01721082046881938
P16989,Q9UN86,0.0009495419905164001
P16989,Q9Y2D5,0.011019316060074762
