Regulator,Target,Weight
O15143,O94925,0.051053479771767635
O15143,P00568,0.01320844377558982
O15143,P02461,0.0015249402894091308
O15143,P02652,0.0016621130365750533
O15143,P04179,0.0011463697501316037
O15143,P05976,0.0194302529094208
O15143,P06753,0.018349307746429053
O15143,P07339,0.0055838580515695105
O15143,P12956,0.01319975499554854
O15143,P13010,0.0959686252228083
O15143,P15374,0.008784823796249522
O15143,P18859,0.0010425674092015094
O15143,P21281,0.02938099834112246
O15143,P23246,0.0007720770896892517
O15143,P26447,0.0746947886715641
O15143,P27816,0.09182571319447806
O15143,P30085,0.01673472901754451
O15143,P36957,0.03739696611220163
O15143,P37837,0.053886674947341485
O15143,P40926,0.002320153956452172
O15143,P42765,0.004065813903930994
O15143,P49023,0.012514993464661773
O15143,P53621,0.011469039255696025
O15143,P56192,0.0024765895223062932
O15143,P61981,0.01835998924878463
O15143,P62328,0.018349623333590713
O15143,P62854,0.01165438363229151
O15143,P62917,0.0011265218530749311
O15143,P63208,0.08956194454463719
O15143,P63313,0.0005099838807673095
O15143,Q01995,0.010152736673193455
O15143,Q02218,0.004296064698120846
O15143,Q02818,0.004679021494270205
O15143,Q05682,0.017459752496838937
O15143,Q07065,0.0036808804673481577
O15143,Q07954,0.0002183496695468006
O15143,Q13263,0.018048753053956968
O15143,Q14011,0.0033984265367722
O15143,Q14444,0.02890376168777039
O15143,Q14767,0.0010621600536421705
O15143,Q15233,0.0032287439978815422
O15143,Q15843,0.012702740321650887
O15143,Q7Z417,0.003478037976154601
O15143,Q8WWI1,0.04380926466731497
O15143,Q96CW1,0.0029957750420346813
O15143,Q96HC4,0.021290607287363417
O15143,Q9H0U4,0.02285943389620429
O15143,Q9UHD8,0.07222363248566054
O15143,Q9UMS6,0.017456336769439428
O94925,O15143,0.03836512588306038
O94925,P00568,0.0017626983430106796
O94925,P02461,0.0015135531977516592
O94925,P02652,0.0006858477306376831
O94925,P04179,0.009481290302447359
O94925,P05976,0.02212254820449623
O94925,P06753,0.011221306552940248
O94925,P07339,0.0030187444728883854
O94925,P12956,0.04808046036828217
O94925,P13010,0.04847419887028431
O94925,P15374,0.010508057671312247
O94925,P18859,0.04647475929183351
O94925,P21281,0.029818065440948817
O94925,P23246,0.010916683703612588
O94925,P26447,0.0383431017559576
O94925,P27816,0.01977337176339854
O94925,P30085,0.019929007233615823
O94925,P36957,0.05807386110615217
O94925,P37837,0.028552893551519565
O94925,P40926,0.050059607582161936
O94925,P42765,0.0009782322494247138
O94925,P49023,0.0015803352196185542
O94925,P53621,0.019909541070844153
O94925,P56192,0.028944884721622016
O94925,P61981,0.009991405335044418
O94925,P62328,0.01053229907731981
O94925,P62854,0.0002169496885952772
O94925,P62917,0.030102381373594875
O94925,P63208,0.019636678929295166
O94925,P63313,0.002422289856382881
O94925,Q01995,0.009522645830930127
O94925,Q02218,0.0004900382202767214
O94925,Q02818,0.00040288416405126785
O94925,Q05682,0.000524465251443192
O94925,Q07065,0.022411345822659138
O94925,Q07954,0.011423116484091127
O94925,Q13263,0.029995723494457623
O94925,Q14011,0.021191326767267333
O94925,Q14444,0.019208508690026018
O94925,Q14767,0.009727575465839522
O94925,Q15233,0.019961087739005984
O94925,Q15843,0.0018519258857320514
O94925,Q7Z417,0.0011569639034812002
O94925,Q8WWI1,0.06577281735823351
O94925,Q96CW1,0.009488324359219008
O94925,Q96HC4,0.04920742115937863
O94925,Q9H0U4,0.04824144099452728
O94925,Q9UHD8,0.028148336752819553
O94925,Q9UMS6,0.029783871108507044
P00568,O15143,0.016809902843497874
P00568,O94925,0.020146169622118987
P00568,P02461,0.008836588456676661
P00568,P02652,0.04697890274574892
P00568,P04179,0.009826648158242452
P00568,P05976,0.02670332866232923
P00568,P06753,0.0005550134014206536
P00568,P07339,0.0119062403140354
P00568,P12956,0.03150589679199239
P00568,P13010,0.03826194254545288
P00568,P15374,0.13268154402408391
P00568,P18859,0.013293150717548068
P00568,P21281,0.002965670116674425
P00568,P23246,0.012208917943526396
P00568,P26447,0.03214069761406956
P00568,P27816,0.010153938160736065
P00568,P30085,0.011431093076692243
P00568,P36957,0.001737231828470517
P00568,P37837,0.019843447226941483
P00568,P40926,0.023972678256358924
P00568,P42765,0.012068398310949434
P00568,P49023,0.0027835238469848555
P00568,P53621,0.019775321348275275
P00568,P56192,0.005480718608860016
P00568,P61981,0.017459142076933006
P00568,P62328,0.007252941040400191
P00568,P62854,0.002821567012249704
P00568,P62917,0.021632949729537287
P00568,P63208,0.01714201366207097
P00568,P63313,0.012489535746157803
P00568,Q01995,0.006425055495778775
P00568,Q02218,0.01108291054342825
P00568,Q02818,0.03092426642041795
P00568,Q05682,0.03498277180828226
P00568,Q07065,0.00440789987627139
P00568,Q07954,0.022282634448806505
P00568,Q13263,0.03290249979694322
P00568,Q14011,0.03366945816284972
P00568,Q14444,0.003975183407651994
P00568,Q14767,0.04574108811767061
P00568,Q15233,0.03159236432974933
P00568,Q15843,0.006015937534943322
P00568,Q7Z417,0.040714878276255806
P00568,Q8WWI1,0.013599220255376203
P00568,Q96CW1,0.05370757340672777
P00568,Q96HC4,0.00011903549905095571
P00568,Q9H0U4,0.016093486605369006
P00568,Q9UHD8,0.01862405819934549
P00568,Q9UMS6,0.0022745639260458405
P02461,O15143,0.0009481297152348307
P02461,O94925,0.002822633533822701
P02461,P00568,0.0058033063032035615
P02461,P02652,0.027523182387474754
P02461,P04179,0.033324323934292875
P02461,P05976,0.034848922299718935
P02461,P06753,0.02790233007325167
P02461,P07339,0.03933221763753313
P02461,P12956,0.017530368523262216
P02461,P13010,0.000437315465653057
P02461,P15374,0.04285405719678139
P02461,P18859,0.005359958966578604
P02461,P21281,0.030710413223853667
P02461,P23246,0.011145289880353272
P02461,P26447,0.023007990587795044
P02461,P27816,0.010057952561335428
P02461,P30085,0.018631430573601993
P02461,P36957,0.003151671374686927
P02461,P37837,0.01734090561566326
P02461,P40926,0.005694779720581479
P02461,P42765,0.016584833697389802
P02461,P49023,0.03282167806967784
P02461,P53621,0.0008925743820345755
P02461,P56192,0.015584226286258713
P02461,P61981,0.026616617151183162
P02461,P62328,0.01685716895140467
P02461,P62854,0.006967956804709338
P02461,P62917,0.017701545639404157
P02461,P63208,0.03868776311960102
P02461,P63313,0.022383550429354082
P02461,Q01995,0.05871478333918884
P02461,Q02218,0.02928482381468444
P02461,Q02818,0.014101894967326868
P02461,Q05682,0.013710618477464045
P02461,Q07065,0.016770276969986238
P02461,Q07954,0.003223896709886279
P02461,Q13263,0.03703316555451911
P02461,Q14011,0.06649820576570036
P02461,Q14444,0.010721178129252943
P02461,Q14767,0.006226780251045456
P02461,Q15233,0.020500404471546756
P02461,Q15843,0.07331975092411051
P02461,Q7Z417,0.012937392174472193
P02461,Q8WWI1,0.005993665093019447
P02461,Q96CW1,0.03718005198634636
P02461,Q96HC4,0.015584744920583803
P02461,Q9H0U4,0.004154254743228308
P02461,Q9UHD8,0.007982557823854408
P02461,Q9UMS6,0.012536459778087601
P02652,O15143,0.0015649658372313083
P02652,O94925,0.02815441802069109
P02652,P00568,0.012047867948893043
P02652,P02461,0.021510499394951043
P02652,P04179,0.001396919548729937
P02652,P05976,0.024050190139657698
P02652,P06753,0.010961694521217482
P02652,P07339,0.011084636400285503
P02652,P12956,0.010612768636938547
P02652,P13010,0.050829682381310415
P02652,P15374,0.015103883343391775
P02652,P18859,0.018463254075034265
P02652,P21281,0.013374536525981275
P02652,P23246,0.01427158294502242
P02652,P26447,0.0005706472028423314
P02652,P27816,0.016996891976357432
P02652,P30085,0.007930687525101583
P02652,P36957,0.013247322441127037
P02652,P37837,0.033252466376883935
P02652,P40926,0.01291988094312837
P02652,P42765,0.013727168997805983
P02652,P49023,0.008414186276540407
P02652,P53621,0.0712233582044592
P02652,P56192,0.03429400927685531
P02652,P61981,0.031516937877994956
P02652,P62328,0.015052627068898572
P02652,P62854,0.05235003380052454
P02652,P62917,0.006198029616556791
P02652,P63208,0.04138884253932826
P02652,P63313,0.006597048594728417
P02652,Q01995,0.008897314524548557
P02652,Q02218,0.002023045408056098
P02652,Q02818,0.009393652560904953
P02652,Q05682,0.014731324005605291
