Regulator,Target,Weight
O15143,O43617,0.004458620751449507
O15143,O60869,0.0037890137434072432
O15143,P02461,0.06192997270319927
O15143,P02652,0.06897332960608663
O15143,P04179,0.006647258288805792
O15143,P06753,0.007911780858583439
O15143,P09104,0.02253327703663072
O15143,P13010,0.00954161337891719
O15143,P13861,0.02584151050076797
O15143,P27635,0.009489380091309122
O15143,P27816,0.01826423222352195
O15143,P37837,0.006830086367424085
O15143,P43487,0.018532744374947348
O15143,P46778,0.004844881953770582
O15143,P49023,0.010194201235567734
O15143,P53621,0.005241126584679063
O15143,P60903,0.08534174184830928
O15143,P61981,0.09898781977944482
O15143,P62328,0.014542158774801871
O15143,P62861,0.0005970657190244626
O15143,P62979,0.0010969669858727701
O15143,P63208,0.05289699464240739
O15143,Q00341,0.00593853796547642
O15143,Q01995,0.0012460834677585893
O15143,Q02218,0.0037618634066775443
O15143,Q02818,0.018010868253894585
O15143,Q05682,0.04053370773681085
O15143,Q07065,0.009655572339197947
O15143,Q07954,0.005312857960717754
O15143,Q13263,0.010550862706892655
O15143,Q14011,0.09352574591823358
O15143,Q14767,0.0590979071739082
O15143,Q6P2Q9,0.001374446896402532
O15143,Q7Z417,0.01592219474861717
O15143,Q96HC4,0.05276048064377957
O15143,Q99471,0.017890494178886416
O15143,Q9UPN3,0.06362842879675996
O15143,Q9UQ35,0.05857868474792398
O15143,Q9Y3D6,0.003725485609133773
O43617,O15143,0.012747078584648498
O43617,O60869,0.011077656657589311
O43617,P02461,0.10154301414520632
O43617,P02652,0.04423483256674149
O43617,P04179,0.02109821475410164
O43617,P06753,0.012138655385891237
O43617,P09104,0.005864354370791729
O43617,P13010,0.052940374233705796
O43617,P13861,0.03603832552770846
O43617,P27635,0.012836094083951475
O43617,P27816,0.001578287554972126
O43617,P37837,0.012568667530070032
O43617,P43487,0.019795365586553784
O43617,P46778,0.01037360809888152
O43617,P49023,0.005350821221577133
O43617,P53621,0.017263064144369133
O43617,P60903,0.004336512271639696
O43617,P61981,0.013426496947580545
O43617,P62328,0.00513204832475927
O43617,P62861,0.021045138670149722
O43617,P62979,0.018763316637114717
O43617,P63208,0.01999948510318454
O43617,Q00341,0.011122856362727099
O43617,Q01995,0.013710094526932136
O43617,Q02218,0.07622924114501
O43617,Q02818,0.012199626249231233
O43617,Q05682,0.06705412883308669
O43617,Q07065,0.011920247931798357
O43617,Q07954,0.023432175266416097
O43617,Q13263,0.03355643277065096
O43617,Q14011,0.01712159150251763
O43617,Q14767,0.00312626938429115
O43617,Q6P2Q9,0.011863527199752479
O43617,Q7Z417,0.05351781535820026
O43617,Q96HC4,0.0040982685873244985
O43617,Q99471,0.035388013508141546
O43617,Q9UPN3,0.04307793419467406
O43617,Q9UQ35,0.05662791123956446
O43617,Q9Y3D6,0.06580245353849297
O60869,O15143,0.0943049295856517
O60869,O43617,0.013796227297216397
O60869,P02461,0.013724710518329276
O60869,P02652,0.0877173419035067
O60869,P04179,0.01688565221674647
O60869,P06753,0.036586062742602336
O60869,P09104,0.009617014158448664
O60869,P13010,0.017212353709470374
O60869,P13861,0.03582804290528206
O60869,P27635,0.014319477621028118
O60869,P27816,0.0102620805133778
O60869,P37837,0.018289358176166604
O60869,P43487,0.017960788790632478
O60869,P46778,0.013840165339380324
O60869,P49023,0.0010108838674458484
O60869,P53621,0.01893557442372042
O60869,P60903,0.029009461493451055
O60869,P61981,0.008379195131869209
O60869,P62328,0.026810595426529922
O60869,P62861,0.007396858798090303
O60869,P62979,0.05684817978378707
O60869,P63208,0.018723771670378593
O60869,Q00341,0.03339126500737301
O60869,Q01995,0.030082960906664725
O60869,Q02218,0.010512287307016503
