,Regulator,Target,Weight
0,O00629,O15143,0.014228492131409188
1,O00629,O60716,0.0061509868856507565
2,O00629,O94925,0.00893708312547714
3,O00629,P05556,0.008842073004519727
4,O00629,P05787,0.04557091506939975
5,O00629,P05976,0.017604115196768185
6,O00629,P13667,0.04984114073532382
7,O00629,P14174,0.05584852357708851
8,O00629,P15374,0.011710628509387455
9,O00629,P16989,0.0210509736154472
10,O00629,P17096,0.00831997054586989
11,O00629,P31949,0.009828619299792082
12,O00629,P49023,0.008883267116846035
13,O00629,P49756,0.005188074401354774
14,O00629,P56192,0.05592593704223596
15,O00629,P62328,0.017620218791356727
16,O00629,P62424,0.01143629306849751
17,O00629,P62854,0.00823515033707439
18,O00629,P63208,0.015083269034372565
19,O00629,P67809,0.019693161052720898
20,O00629,P67936,0.05688999509981428
21,O00629,P80723,0.013905335391982309
22,O00629,Q01995,0.021484062338838983
23,O00629,Q02790,0.049443202489530734
24,O00629,Q07065,0.05564575943433865
25,O00629,Q07866,0.010758047475641599
26,O00629,Q07954,0.029674341638879404
27,O00629,Q14011,0.019535885552114777
28,O00629,Q15366,0.01728858931881321
29,O00629,Q16181,0.00931316404110217
30,O00629,Q3SX28,0.047602116380805755
31,O00629,Q6NZI2,0.017427589767672662
32,O00629,Q71UM5,0.017376719803376208
33,O00629,Q86UP2,0.019995441292828008
34,O00629,Q8IVL6,0.011118275472858463
35,O00629,Q92841,0.009795532373331178
36,O00629,Q96A49,0.008597126536336454
37,O00629,Q96C90,0.011222143140919592
38,O00629,Q99613,0.014031058425366607
39,O00629,Q99879,0.01753656320481051
40,O00629,Q9HBL0,0.03557997711107866
41,O00629,Q9UBR2,0.04919733737056131
42,O00629,Q9UHB9,0.02029359931132902
43,O00629,Q9UKY7,0.00966078433157987
44,O00629,Q9UMX0,0.007674174006558963
45,O00629,Q9UN86,0.01087969036941107
46,O00629,Q9Y5S9,0.008074595779524758
47,O15143,O00629,0.031635696229924265
48,O15143,O60716,0.030640443682180475
49,O15143,O94925,0.030230525452037877
50,O15143,P05556,0.032151994780528714
51,O15143,P05787,0.01055544678337901
52,O15143,P05976,0.029251743799813934
53,O15143,P13667,0.008612157950909348
54,O15143,P14174,0.04394761371779355
55,O15143,P15374,0.014445984305241424
56,O15143,P16989,0.02875907542368259
57,O15143,P17096,0.032307388455088897
58,O15143,P31949,0.025641006189070847
59,O15143,P49023,0.013328897877414222
60,O15143,P49756,0.010400210155671096
61,O15143,P56192,0.013094144411440559
62,O15143,P62328,0.02946204100349715
63,O15143,P62424,0.027160220051164235
64,O15143,P62854,0.002621864201088091
65,O15143,P63208,0.028213178854267818
66,O15143,P67809,0.029609406169737774
67,O15143,P67936,0.014842123609374485
68,O15143,P80723,0.03427748611751706
69,O15143,Q01995,0.011347078679506562
70,O15143,Q02790,0.018308340751324096
71,O15143,Q07065,0.0050430435133950735
72,O15143,Q07866,0.006959361074230136
73,O15143,Q07954,0.0038631654613247223
74,O15143,Q14011,0.03180135475042302
75,O15143,Q15366,0.010257241052897896
76,O15143,Q16181,0.028453560076798567
77,O15143,Q3SX28,0.010624570672288634
78,O15143,Q6NZI2,0.03485094323440595
79,O15143,Q71UM5,0.026011324353155486
80,O15143,Q86UP2,0.006146744384344744
81,O15143,Q8IVL6,0.03932447318233345
82,O15143,Q92841,0.032397275493021405
83,O15143,Q96A49,0.0327341997868634
84,O15143,Q96C90,0.031038437033691635
85,O15143,Q99613,0.030196004776994377
86,O15143,Q99879,0.010889493477236663
87,O15143,Q9HBL0,0.00812194228518886
88,O15143,Q9UBR2,0.007344826383773387
89,O15143,Q9UHB9,0.007839882676383888
90,O15143,Q9UKY7,0.03145526853826369
91,O15143,Q9UMX0,0.008794080442452107
92,O15143,Q9UN86,0.03221643360370108
93,O15143,Q9Y5S9,0.012792305095175519
94,O60716,O00629,0.02662495846112764
95,O60716,O15143,0.0087499520472142
96,O60716,O94925,0.011168579691938857
97,O60716,P05556,0.03335218790453008
98,O60716,P05787,0.010116944195528886
99,O60716,P05976,0.014557283693056583
100,O60716,P13667,0.019441659313635447
101,O60716,P14174,0.023102495052635154
102,O60716,P15374,0.007356757718105414
103,O60716,P16989,0.018914855393376867
104,O60716,P17096,0.02081965968048372
105,O60716,P31949,0.05497117050250727
106,O60716,P49023,0.007955100894229617
107,O60716,P49756,0.05104776460178134
108,O60716,P56192,0.01595232834024867
109,O60716,P62328,0.015313410232146066
110,O60716,P62424,0.026775086081884537
111,O60716,P62854,0.011080729065491103
112,O60716,P63208,0.011814938381527012
113,O60716,P67809,0.016238523935640375
114,O60716,P67936,0.012307969775916234
115,O60716,P80723,0.049824936915150136
116,O60716,Q01995,0.006336198041257876
117,O60716,Q02790,0.01631573507706372
118,O60716,Q07065,0.014297016996263382
119,O60716,Q07866,0.006533256304589848
120,O60716,Q07954,0.011628951690600785
121,O60716,Q14011,0.05425374287436
122,O60716,Q15366,0.0075398733780583605
123,O60716,Q16181,0.032686127382051865
124,O60716,Q3SX28,0.0075916729462697
125,O60716,Q6NZI2,0.019595382910480526
126,O60716,Q71UM5,0.013686570980973367
127,O60716,Q86UP2,0.02341908611144877
128,O60716,Q8IVL6,0.031842568721854335
129,O60716,Q92841,0.02115789235308759
130,O60716,Q96A49,0.04891236433948695
131,O60716,Q96C90,0.04943895134014743
132,O60716,Q99613,0.008946111996534287
133,O60716,Q99879,0.02284304534076656
134,O60716,Q9HBL0,0.014285715614668796
135,O60716,Q9UBR2,0.01236623663647645
136,O60716,Q9UHB9,0.006402198263688037
137,O60716,Q9UKY7,0.02619328059442848
138,O60716,Q9UMX0,0.024084153671088675
139,O60716,Q9UN86,0.045425309639569714
140,O60716,Q9Y5S9,0.006731264916627087
141,O94925,O00629,0.021382727035939117
142,O94925,O15143,0.03254922314656455
143,O94925,O60716,0.026891309810556645
144,O94925,P05556,0.031263325958294216
145,O94925,P05787,0.007763289664421617
146,O94925,P05976,0.02349204541071415
147,O94925,P13667,0.01211932071394169
148,O94925,P14174,0.0794545549297846
149,O94925,P15374,0.0075641718794046565
150,O94925,P16989,0.019476938273632116
151,O94925,P17096,0.02510853156555219
152,O94925,P31949,0.013834676318485579
153,O94925,P49023,0.01668212778795469
154,O94925,P49756,0.010725943964069718
155,O94925,P56192,0.016175939429211725
156,O94925,P62328,0.021747366577943746
157,O94925,P62424,0.030076566030373276
158,O94925,P62854,0.004397622559659497
159,O94925,P63208,0.02352096493662851
160,O94925,P67809,0.017999747788403693
161,O94925,P67936,0.019526480168089784
162,O94925,P80723,0.03214890406016853
163,O94925,Q01995,0.004767188967939605
164,O94925,Q02790,0.020446862419845096
165,O94925,Q07065,0.013889057756928747
166,O94925,Q07866,0.011761146744850112
167,O94925,Q07954,0.0031099823633231774
168,O94925,Q14011,0.01728155525885538
169,O94925,Q15366,0.02186268579623974
170,O94925,Q16181,0.02938246257208103
171,O94925,Q3SX28,0.017759452664318474
172,O94925,Q6NZI2,0.023265751825319904
173,O94925,Q71UM5,0.0256263701799297
174,O94925,Q86UP2,0.005910519974155859
175,O94925,Q8IVL6,0.0243227937252957
176,O94925,Q92841,0.029490104906962578
177,O94925,Q96A49,0.033538930841942406
178,O94925,Q96C90,0.02875434393501027
179,O94925,Q99613,0.02358854889591777
180,O94925,Q99879,0.040375115884621525
181,O94925,Q9HBL0,0.010495230798865874
