,Regulator,Target,Weight
0,P05556,P05787,0.02891140374779843
1,P05556,P05976,0.0365205753097987
2,P05556,P09104,0.015870058394070803
3,P05556,P12955,0.01399025249696303
4,P05556,P13667,0.02974822049050323
5,P05556,P16989,0.019935557422892346
6,P05556,P17096,0.00922825390059889
7,P05556,P18621,0.033093478617680236
8,P05556,P21399,0.026351022181653177
9,P05556,P24844,0.02507816431823859
10,P05556,P31949,0.009815672016073772
11,P05556,P47914,0.05654245096976514
12,P05556,P49023,0.013836017264967812
13,P05556,P60228,0.038416257112541416
14,P05556,P60903,0.023739296338729288
15,P05556,P62328,0.01603463332805172
16,P05556,P62888,0.03994745824957295
17,P05556,P67809,0.01988355532342424
18,P05556,P67936,0.021764197670888465
19,P05556,P80723,0.027514897531288912
20,P05556,Q01995,0.02086647084835936
21,P05556,Q02790,0.03847137937382043
22,P05556,Q07065,0.021208742240105462
23,P05556,Q07954,0.02371415405095059
24,P05556,Q14157,0.021564449984501497
25,P05556,Q14203,0.04021027628205113
26,P05556,Q15459,0.007215858374215361
27,P05556,Q16181,0.027706240630731717
28,P05556,Q3SX28,0.021700944102434682
29,P05556,Q7Z417,0.06368399687515308
30,P05556,Q7Z4V5,0.007122811733069603
31,P05556,Q86UP2,0.028252572000407355
32,P05556,Q92841,0.029736451249552785
33,P05556,Q969G3,0.005818673107717228
34,P05556,Q99613,0.018436613228761434
35,P05556,Q99879,0.028855001357100583
36,P05556,Q9NQP4,0.033137278077370554
37,P05556,Q9UN86,0.007876664806634345
38,P05556,Q9Y2D5,0.035068658332202365
39,P05556,Q9Y5S9,0.013131340659357385
40,P05787,P05556,0.03448403266276387
41,P05787,P05976,0.03224304687446504
42,P05787,P09104,0.012054234071148579
43,P05787,P12955,0.02512844418715608
44,P05787,P13667,0.006617335185096213
45,P05787,P16989,0.012801235331798916
46,P05787,P17096,0.01679876132412913
47,P05787,P18621,0.02799754998817223
48,P05787,P21399,0.04835020776953527
49,P05787,P24844,0.01290009911391563
50,P05787,P31949,0.024862688818627438
51,P05787,P47914,0.023151482900866913
52,P05787,P49023,0.037504277584739995
53,P05787,P60228,0.010843767700158848
54,P05787,P60903,0.017057782478124763
55,P05787,P62328,0.01234527070236183
56,P05787,P62888,0.011591127854359586
57,P05787,P67809,0.01159859518054183
58,P05787,P67936,0.012877286545236255
59,P05787,P80723,0.006703097947276559
60,P05787,Q01995,0.03196746947188097
61,P05787,Q02790,0.03175954553404939
62,P05787,Q07065,0.008680490416382365
63,P05787,Q07954,0.0162130992734758
64,P05787,Q14157,0.014947569984717121
65,P05787,Q14203,0.027360292013129468
66,P05787,Q15459,0.02292582391631728
67,P05787,Q16181,0.011309935604247714
68,P05787,Q3SX28,0.014748642974364479
69,P05787,Q7Z417,0.035744592859411985
70,P05787,Q7Z4V5,0.1734640579712192
71,P05787,Q86UP2,0.032269018852849815
72,P05787,Q92841,0.030925014505277904
73,P05787,Q969G3,0.018309158765138993
74,P05787,Q99613,0.03765316745096273
75,P05787,Q99879,0.005175503880288257
76,P05787,Q9NQP4,0.011403064478722849
77,P05787,Q9UN86,0.006562272438290341
78,P05787,Q9Y2D5,0.027157824065003788
79,P05787,Q9Y5S9,0.04351313132379267
80,P05976,P05556,0.025400112545847786
81,P05976,P05787,0.019829882174376194
82,P05976,P09104,0.023081687487711798
83,P05976,P12955,0.03596007647188078
84,P05976,P13667,0.07837333763212499
85,P05976,P16989,0.011107583251198061
86,P05976,P17096,0.007467462108667507
87,P05976,P18621,0.02352373559114416
88,P05976,P21399,0.14300338297511245
89,P05976,P24844,0.02521086547711701
90,P05976,P31949,0.027573489401594164
91,P05976,P47914,0.007262609895410159
92,P05976,P49023,0.006572195676089916
93,P05976,P60228,0.03007465981752331
94,P05976,P60903,0.02965157633582975
95,P05976,P62328,0.012277729334543502
96,P05976,P62888,0.025454724521905097
97,P05976,P67809,0.01210223952785469
98,P05976,P67936,0.02365229409472356
99,P05976,P80723,0.014005314885342327
100,P05976,Q01995,0.011649571112152209
101,P05976,Q02790,0.011218485893085701
102,P05976,Q07065,0.08435643603226886
103,P05976,Q07954,0.026127231191641925
104,P05976,Q14157,0.010042202981824703
105,P05976,Q14203,0.011033763189498386
106,P05976,Q15459,0.01998755068102959
107,P05976,Q16181,0.011926915455854134
108,P05976,Q3SX28,0.031062017699214496
109,P05976,Q7Z417,0.05387551311320932
110,P05976,Q7Z4V5,0.015562809932629342
111,P05976,Q86UP2,0.021172080176519312
