,Regulator,Target,Weight
0,P05556,P05787,0.008095190726668791
1,P05556,P05976,0.0178038075681189
2,P05556,P09104,0.015067023938352483
3,P05556,P12955,0.011607474231830141
4,P05556,P13667,0.012157964109170664
5,P05556,P16989,0.061671769149437915
6,P05556,P17096,0.058764291452099035
7,P05556,P18621,0.022418216439712573
8,P05556,P21399,0.01989303231546654
9,P05556,P24844,0.010204120354815556
10,P05556,P31949,0.01714639233943915
11,P05556,P47914,0.035575253972195756
12,P05556,P49023,0.06475473036062127
13,P05556,P60228,0.017724073775395352
14,P05556,P60903,0.022118410628265545
15,P05556,P62328,0.012815502906040766
16,P05556,P62888,0.01047497937942347
17,P05556,P67809,0.0340135592517228
18,P05556,P67936,0.034113167568021054
19,P05556,P80723,0.06271906000872271
20,P05556,Q01995,0.009510709664877022
21,P05556,Q02790,0.011678050303046032
22,P05556,Q07065,0.006278219967770285
23,P05556,Q07954,0.010031183951392315
24,P05556,Q14157,0.021328096967195467
25,P05556,Q14203,0.010823473795477677
26,P05556,Q15459,0.028133808337466613
27,P05556,Q16181,0.019682931760556337
28,P05556,Q3SX28,0.02861455650962611
29,P05556,Q7Z417,0.03582205572565715
30,P05556,Q7Z4V5,0.06023621604242724
31,P05556,Q86UP2,0.024036944426648856
32,P05556,Q92841,0.008086136263041775
33,P05556,Q969G3,0.008027099559207444
34,P05556,Q99613,0.01922854084767504
35,P05556,Q99879,0.017813025545518148
36,P05556,Q9NQP4,0.012896188387305677
37,P05556,Q9UN86,0.030079779392905508
38,P05556,Q9Y2D5,0.022688636471804916
39,P05556,Q9Y5S9,0.06586632560487804
40,P05787,P05556,0.018260205822972587
41,P05787,P05976,0.01318484234183033
42,P05787,P09104,0.08358770627424787
43,P05787,P12955,0.017070055934401446
44,P05787,P13667,0.011384366501672835
45,P05787,P16989,0.01024007992262494
46,P05787,P17096,0.011425620677892528
47,P05787,P18621,0.015403238875016323
48,P05787,P21399,0.014056513300392568
49,P05787,P24844,0.022624639135189858
50,P05787,P31949,0.0430090074775388
51,P05787,P47914,0.011776666837976093
52,P05787,P49023,0.011863042273341961
53,P05787,P60228,0.015856164443588734
54,P05787,P60903,0.02751499469081347
55,P05787,P62328,0.017390703315042663
56,P05787,P62888,0.014677100499380683
57,P05787,P67809,0.008860520529518873
58,P05787,P67936,0.01907768160627712
59,P05787,P80723,0.011103051380240965
60,P05787,Q01995,0.02091240985700544
61,P05787,Q02790,0.0337000179552132
62,P05787,Q07065,0.19500754389252178
63,P05787,Q07954,0.022828174757373754
64,P05787,Q14157,0.01915104310842114
65,P05787,Q14203,0.026060677449187154
66,P05787,Q15459,0.009380468978199701
67,P05787,Q16181,0.020961491484599228
68,P05787,Q3SX28,0.025028914125243367
69,P05787,Q7Z417,0.059664966993610166
70,P05787,Q7Z4V5,0.009826800139653803
71,P05787,Q86UP2,0.019440490733767184
72,P05787,Q92841,0.016829860822632783
73,P05787,Q969G3,0.018783503360249174
74,P05787,Q99613,0.020537758797573035
75,P05787,Q99879,0.036197003675182665
76,P05787,Q9NQP4,0.0165926765838022
77,P05787,Q9UN86,0.012026093473610234
78,P05787,Q9Y2D5,0.008546746287171085
79,P05787,Q9Y5S9,0.01015715568502025
80,P05976,P05556,0.018967332240558472
81,P05976,P05787,0.039244859676057356
82,P05976,P09104,0.004751017043849727
83,P05976,P12955,0.008471956331959914
84,P05976,P13667,0.005815955514211936
85,P05976,P16989,0.045299147635392945
86,P05976,P17096,0.025673265836521214
87,P05976,P18621,0.04395275121298607
88,P05976,P21399,0.02568304199674487
89,P05976,P24844,0.012479456831078688
90,P05976,P31949,0.035841461748181674
91,P05976,P47914,0.025049691175401827
92,P05976,P49023,0.033289358483176566
93,P05976,P60228,0.031128334041583394
94,P05976,P60903,0.022130489546925834
95,P05976,P62328,0.02534405588319482
96,P05976,P62888,0.01824306949068917
97,P05976,P67809,0.03773553579215987
98,P05976,P67936,0.01417314332649124
99,P05976,P80723,0.03361956048268956
100,P05976,Q01995,0.012941217847141107
101,P05976,Q02790,0.009445464315126849
102,P05976,Q07065,0.0052542321576954645
103,P05976,Q07954,0.03177328307225316
104,P05976,Q14157,0.026377344462234987
105,P05976,Q14203,0.010148892593427907
106,P05976,Q15459,0.04714471810782501
107,P05976,Q16181,0.04660172436941541
108,P05976,Q3SX28,0.006010964439329688
109,P05976,Q7Z417,0.01111250558872404
110,P05976,Q7Z4V5,0.030990842258713364
111,P05976,Q86UP2,0.04002262457533701
112,P05976,Q92841,0.031339702266840304
113,P05976,Q969G3,0.00737715574261279
114,P05976,Q99613,0.043530948961057726
115,P05976,Q99879,0.008053561908463456
116,P05976,Q9NQP4,0.017979948215014762
117,P05976,Q9UN86,0.03340199203661609
118,P05976,Q9Y2D5,0.044264062818043085
119,P05976,Q9Y5S9,0.029335329974270807
120,P09104,P05556,0.02948439294707751
121,P09104,P05787,0.007041303422579847
122,P09104,P05976,0.045693993978757785
123,P09104,P12955,0.016123786906422168
124,P09104,P13667,0.02510085990334319
125,P09104,P16989,0.017747279689331846
126,P09104,P17096,0.01677802142872517
127,P09104,P18621,0.019363949920311447
128,P09104,P21399,0.03161720661002884
129,P09104,P24844,0.0502106071435436
130,P09104,P31949,0.014239030555114704
131,P09104,P47914,0.005100671194882034
132,P09104,P49023,0.016531306004875852
133,P09104,P60228,0.0142693462645213
134,P09104,P60903,0.06460553023563811
135,P09104,P62328,0.01914171228497077
136,P09104,P62888,0.02426041814173501
137,P09104,P67809,0.018849553631821732
138,P09104,P67936,0.009211359331112329
139,P09104,P80723,0.018366054712966987
140,P09104,Q01995,0.049739643168748494
141,P09104,Q02790,0.009404515275598609
142,P09104,Q07065,0.06190516223123886
143,P09104,Q07954,0.018031314414174646
144,P09104,Q14157,0.022568956662866985
145,P09104,Q14203,0.06165427852817643
146,P09104,Q15459,0.02608215803901151
147,P09104,Q16181,0.022487519983961635
148,P09104,Q3SX28,0.020593831011320916
149,P09104,Q7Z417,0.008208021150632763
150,P09104,Q7Z4V5,0.01564224670009067
151,P09104,Q86UP2,0.02546639304569946
152,P09104,Q92841,0.017024819609677038
153,P09104,Q969G3,0.06478076519440192
154,P09104,Q99613,0.03717550104623217
155,P09104,Q99879,0.007243114960182475
156,P09104,Q9NQP4,0.021252303456791043
157,P09104,Q9UN86,0.016373561036088967
158,P09104,Q9Y2D5,0.02091668130613693
159,P09104,Q9Y5S9,0.009712828871206362
160,P12955,P05556,0.042408963441340576
161,P12955,P05787,0.04883853113209964
162,P12955,P05976,0.018588662747526907
163,P12955,P09104,0.022187508101611353
164,P12955,P13667,0.01016340033750751
165,P12955,P16989,0.010548789426225686
166,P12955,P17096,0.033452738838244636
167,P12955,P18621,0.014979265936935882
168,P12955,P21399,0.014637804136638951
169,P12955,P24844,0.04914144721368444
170,P12955,P31949,0.004956986104911831
171,P12955,P47914,0.009498829211369336
172,P12955,P49023,0.005990595732231691
173,P12955,P60228,0.010140578175908948
174,P12955,P60903,0.0680736760158785
175,P12955,P62328,0.01790025056068347
176,P12955,P62888,0.004701780283403742
177,P12955,P67809,0.01229207193627564
178,P12955,P67936,0.011070732013330874
179,P12955,P80723,0.04669690600780934
180,P12955,Q01995,0.051432776116138904
181,P12955,Q02790,0.007529050599941955
182,P12955,Q07065,0.01715627441155917
183,P12955,Q07954,0.013360338353327483
184,P12955,Q14157,0.03913853214170213
185,P12955,Q14203,0.06095350189770014
186,P12955,Q15459,0.011159099357690046
187,P12955,Q16181,0.012353823120433333
188,P12955,Q3SX28,0.05297428975290806
189,P12955,Q7Z417,0.0420924115713521
190,P12955,Q7Z4V5,0.017119292825388578
191,P12955,Q86UP2,0.036836274083107065
192,P12955,Q92841,0.012100246544944062
193,P12955,Q969G3,0.028576012639347715
194,P12955,Q99613,0.034426353033511534
195,P12955,Q99879,0.031576490720327505
196,P12955,Q9NQP4,0.005957819378515363
197,P12955,Q9UN86,0.04164685921911477
198,P12955,Q9Y2D5,0.011738254546739643
199,P12955,Q9Y5S9,0.01560278233262955
200,P13667,P05556,0.028939915216653095
201,P13667,P05787,0.009080515740849575
202,P13667,P05976,0.06116432086826682
203,P13667,P09104,0.13875611839178875
204,P13667,P12955,0.04888186827467291
205,P13667,P16989,0.011065908251337304
206,P13667,P17096,0.03032536153487254
207,P13667,P18621,0.01305678571107973
208,P13667,P21399,0.024444354371041276
209,P13667,P24844,0.012621372214317046
210,P13667,P31949,0.012785842407538448
211,P13667,P47914,0.036478483284833566
212,P13667,P49023,0.006424950180009233
213,P13667,P60228,0.011912268807378407
214,P13667,P60903,0.0806087897473565
215,P13667,P62328,0.016974534170396512
216,P13667,P62888,0.013035328436281806
217,P13667,P67809,0.014104612658353851
218,P13667,P67936,0.009391013365821294
219,P13667,P80723,0.03548242896817869
220,P13667,Q01995,0.011266662088698007
221,P13667,Q02790,0.006233700535575087
222,P13667,Q07065,0.027670308926412347
223,P13667,Q07954,0.006848722599099438
224,P13667,Q14157,0.030008017633594498
225,P13667,Q14203,0.027469094398152066
226,P13667,Q15459,0.021905921298393055
227,P13667,Q16181,0.015915189006739296
228,P13667,Q3SX28,0.007492770956919669
229,P13667,Q7Z417,0.02278222917688804
230,P13667,Q7Z4V5,0.023088623557775616
231,P13667,Q86UP2,0.02665341633723397
232,P13667,Q92841,0.019805022938772083
233,P13667,Q969G3,0.01996473911075473
234,P13667,Q99613,0.029749531820983027
235,P13667,Q99879,0.005291418852383511
236,P13667,Q9NQP4,0.012018983800087663
237,P13667,Q9UN86,0.03426764888096212
238,P13667,Q9Y2D5,0.016447013804605087
239,P13667,Q9Y5S9,0.019586211674941314
240,P16989,P05556,0.015433631664832793
241,P16989,P05787,0.025693539711531793
242,P16989,P05976,0.009728033247428713
243,P16989,P09104,0.0303913589907349
244,P16989,P12955,0.03919688323206489
245,P16989,P13667,0.03696076416326573
246,P16989,P17096,0.011445660142566382
247,P16989,P18621,0.036733870858682974
248,P16989,P21399,0.027695477918194506
249,P16989,P24844,0.02305772374274912
250,P16989,P31949,0.025678585090613472
251,P16989,P47914,0.034427620382133255
252,P16989,P49023,0.02765070279172423
253,P16989,P60228,0.02895893459481
254,P16989,P60903,0.014832897336409709
255,P16989,P62328,0.023967066887165954
256,P16989,P62888,0.027834057017122226
257,P16989,P67809,0.04241209382542445
258,P16989,P67936,0.0405582136112654
259,P16989,P80723,0.014849876935938516
260,P16989,Q01995,0.022201166064260116
261,P16989,Q02790,0.040483624970226596
262,P16989,Q07065,0.028710330788221765
263,P16989,Q07954,0.027316958322535296
264,P16989,Q14157,0.013433647791120166
265,P16989,Q14203,0.0126043064625684
266,P16989,Q15459,0.022614091155612963
267,P16989,Q16181,0.028520849503857693
268,P16989,Q3SX28,0.036726273219748404
269,P16989,Q7Z417,0.022661660238931215
270,P16989,Q7Z4V5,0.02500056479026173
271,P16989,Q86UP2,0.024026621307458175
272,P16989,Q92841,0.027429563235763448
273,P16989,Q969G3,0.008942522549749473
274,P16989,Q99613,0.01863187743065032
275,P16989,Q99879,0.022698063973596784
276,P16989,Q9NQP4,0.04011316182228171
277,P16989,Q9UN86,0.006666390575691877
278,P16989,Q9Y2D5,0.0255334731087176
279,P16989,Q9Y5S9,0.008177860544085366
280,P17096,P05556,0.016509216608389592
281,P17096,P05787,0.021519414845921087
282,P17096,P05976,0.021969512744454432
283,P17096,P09104,0.01253284414765149
284,P17096,P12955,0.027268948775329933
285,P17096,P13667,0.02355816260515995
286,P17096,P16989,0.00892643063843516
287,P17096,P18621,0.03146975090125416
288,P17096,P21399,0.015973924122282004
289,P17096,P24844,0.026657414082162385
290,P17096,P31949,0.015149388207147558
291,P17096,P47914,0.019827476929156474
292,P17096,P49023,0.008274099498156395
293,P17096,P60228,0.07873600682456747
294,P17096,P60903,0.014051742600797043
295,P17096,P62328,0.012605390442867922
296,P17096,P62888,0.008981614218352677
297,P17096,P67809,0.02269253048869852
298,P17096,P67936,0.017553655095851224
299,P17096,P80723,0.013192317417612884
300,P17096,Q01995,0.017245019032871612
301,P17096,Q02790,0.032866625692968596
302,P17096,Q07065,0.013897153543890739
303,P17096,Q07954,0.03243269492263248
304,P17096,Q14157,0.08067697793132993
305,P17096,Q14203,0.018137666895299845
306,P17096,Q15459,0.010146351051550954
307,P17096,Q16181,0.017910404520692737
308,P17096,Q3SX28,0.0156455343054561
309,P17096,Q7Z417,0.036849603096637894
310,P17096,Q7Z4V5,0.011958488409894653
311,P17096,Q86UP2,0.032308857842503466
312,P17096,Q92841,0.034924394115741234
313,P17096,Q969G3,0.01388393168550392
314,P17096,Q99613,0.018300654765129785
315,P17096,Q99879,0.07296999731542968
316,P17096,Q9NQP4,0.007327440237023583
317,P17096,Q9UN86,0.012477383456680913
318,P17096,Q9Y2D5,0.08617905817067144
319,P17096,Q9Y5S9,0.01641192181384017
320,P18621,P05556,0.03108455074399293
321,P18621,P05787,0.012003680157626009
322,P18621,P05976,0.04490337857052501
323,P18621,P09104,0.04430181094773552
324,P18621,P12955,0.019818778958740773
325,P18621,P13667,0.015824777193896557
326,P18621,P16989,0.02478036362138254
327,P18621,P17096,0.03864446821169826
328,P18621,P21399,0.016258810812284728
329,P18621,P24844,0.03537424353573728
330,P18621,P31949,0.028082133997578855
331,P18621,P47914,0.0044665805193528415
332,P18621,P49023,0.013550569645382853
333,P18621,P60228,0.007800518325267965
334,P18621,P60903,0.08260365545190074
335,P18621,P62328,0.008272315295654713
336,P18621,P62888,0.007927943630338889
337,P18621,P67809,0.016867193738510568
338,P18621,P67936,0.008473523371020652
339,P18621,P80723,0.03340519002811844
340,P18621,Q01995,0.034123513689153014
341,P18621,Q02790,0.029084010235996754
342,P18621,Q07065,0.03525222369135409
343,P18621,Q07954,0.036645621749631
344,P18621,Q14157,0.041346285998913566
345,P18621,Q14203,0.04596052739439295
346,P18621,Q15459,0.014093663667252487
347,P18621,Q16181,0.022559239732767675
348,P18621,Q3SX28,0.010857916025585541
349,P18621,Q7Z417,0.024598314725570603
350,P18621,Q7Z4V5,0.016944937699093866
351,P18621,Q86UP2,0.04412659020551575
352,P18621,Q92841,0.007974403043238949
353,P18621,Q969G3,0.024477519660087172
354,P18621,Q99613,0.04385507850601546
355,P18621,Q99879,0.005472794104315178
356,P18621,Q9NQP4,0.00866395235451245
357,P18621,Q9UN86,0.03545547360194219
358,P18621,Q9Y2D5,0.011572366827891447
359,P18621,Q9Y5S9,0.012491080330021904
360,P21399,P05556,0.050066112911181085
361,P21399,P05787,0.008720402942175904
362,P21399,P05976,0.009652826002082776
363,P21399,P09104,0.010792614345890673
364,P21399,P12955,0.02196048977760167
365,P21399,P13667,0.016722099351968032
366,P21399,P16989,0.01479571177070459
367,P21399,P17096,0.04652035043101919
368,P21399,P18621,0.034692891482586176
369,P21399,P24844,0.021439455287296863
370,P21399,P31949,0.006846966041557339
371,P21399,P47914,0.01440930285732435
372,P21399,P49023,0.021496239025261137
373,P21399,P60228,0.033013695538653125
374,P21399,P60903,0.04610839025163174
375,P21399,P62328,0.008911170458482184
376,P21399,P62888,0.020428144381353826
377,P21399,P67809,0.04098389409915801
378,P21399,P67936,0.05016924844678923
379,P21399,P80723,0.019106450755242723
380,P21399,Q01995,0.010694551742491199
381,P21399,Q02790,0.016241423121541972
382,P21399,Q07065,0.026199948624261553
