,Regulator,Target,Weight
0,O15143,P02461,0.024593561288072545
1,O15143,P02652,0.2741909854594696
2,O15143,P04179,0.010164584357489811
3,O15143,P12956,0.06019752175335822
4,O15143,P15374,0.04347833238102992
5,O15143,P18859,0.020356115257383622
6,O15143,P21281,0.04651098340289388
7,O15143,P42765,0.05927546899855688
8,O15143,P56192,0.08736249983549611
9,O15143,P62854,0.01011058209258829
10,O15143,Q01995,0.026810375838962987
11,O15143,Q02218,0.018935262755935135
12,O15143,Q02818,0.04396504392575816
13,O15143,Q07065,0.025910347401674104
14,O15143,Q07954,0.03409979781775767
15,O15143,Q14011,0.09529449442635139
16,O15143,Q14767,0.03379346180070901
17,O15143,Q15843,0.015280067170520727
18,O15143,Q7Z417,0.03445677823286478
19,O15143,Q9UHD8,0.03521373580312617
20,P02461,O15143,0.009908632013056796
21,P02461,P02652,0.28286690968854944
22,P02461,P04179,0.08951714712237724
23,P02461,P12956,0.09286078589946968
24,P02461,P15374,0.029338878881658613
25,P02461,P18859,0.10623031992494121
26,P02461,P21281,0.011916184340517954
27,P02461,P42765,0.04746351329935348
28,P02461,P56192,0.07845637697607191
29,P02461,P62854,0.024624652059830308
30,P02461,Q01995,0.034001180924127114
31,P02461,Q02218,0.009507852516052951
32,P02461,Q02818,0.009525393336909693
33,P02461,Q07065,0.07722259081030033
34,P02461,Q07954,0.009951032037328528
35,P02461,Q14011,0.013253454516211812
36,P02461,Q14767,0.007392006387262395
37,P02461,Q15843,0.02853663145396263
38,P02461,Q7Z417,0.018966918674383697
39,P02461,Q9UHD8,0.018459539137633412
40,P02652,O15143,0.02619053067077537
41,P02652,P02461,0.013617407511686599
42,P02652,P04179,0.029599051937511157
43,P02652,P12956,0.04525660130965872
44,P02652,P15374,0.011666215775562734
45,P02652,P18859,0.08514178453113139
46,P02652,P21281,0.08097530084449914
47,P02652,P42765,0.035494952506069155
48,P02652,P56192,0.023593258671302974
49,P02652,P62854,0.047930877413709536
50,P02652,Q01995,0.022143830912933763
51,P02652,Q02218,0.015208664577911566
52,P02652,Q02818,0.012992562913727667
53,P02652,Q07065,0.022397426174537324
54,P02652,Q07954,0.27736623483705786
55,P02652,Q14011,0.037948647278084724
56,P02652,Q14767,0.1107821568876883
57,P02652,Q15843,0.06510104129056409
58,P02652,Q7Z417,0.016739985818702396
59,P02652,Q9UHD8,0.019853468136884687
60,P04179,O15143,0.018874472125668472
61,P04179,P02461,0.036544068557568185
62,P04179,P02652,0.060869692823674305
63,P04179,P12956,0.10707402221073843
64,P04179,P15374,0.00926648840408222
65,P04179,P18859,0.1795484821187609
66,P04179,P21281,0.034381708124754676
67,P04179,P42765,0.07740575522844487
68,P04179,P56192,0.06688483819106303
69,P04179,P62854,0.03943416475550829
70,P04179,Q01995,0.05743962855371513
71,P04179,Q02218,0.040244620662764144
72,P04179,Q02818,0.014350092203093481
73,P04179,Q07065,0.08220254337141583
74,P04179,Q07954,0.06297446402024343
75,P04179,Q14011,0.01217126252780765
76,P04179,Q14767,0.021099302963467056
77,P04179,Q15843,0.04301508640672732
78,P04179,Q7Z417,0.017367238622717475
79,P04179,Q9UHD8,0.01885206812778427
80,P12956,O15143,0.014623885986301044
81,P12956,P02461,0.017248123150220507
82,P12956,P02652,0.05046977830687681
83,P12956,P04179,0.04208445512059281
84,P12956,P15374,0.01376789752972695
85,P12956,P18859,0.17921995517160172
86,P12956,P21281,0.018986847366868707
87,P12956,P42765,0.01668253442187741
88,P12956,P56192,0.05208101691768592
89,P12956,P62854,0.1432106855012627
90,P12956,Q01995,0.05533983297349695
91,P12956,Q02218,0.045150595048185395
92,P12956,Q02818,0.05141508983810742
93,P12956,Q07065,0.03322563521529612
94,P12956,Q07954,0.0580444716477859
95,P12956,Q14011,0.009150082402279918
96,P12956,Q14767,0.0259833185987512
97,P12956,Q15843,0.12322600094418681
98,P12956,Q7Z417,0.016581678113137478
99,P12956,Q9UHD8,0.0335081157457573
100,P15374,O15143,0.05959176366613518
101,P15374,P02461,0.006599976591550848
102,P15374,P02652,0.013051204963036555
103,P15374,P04179,0.011985694716366166
104,P15374,P12956,0.03319508551058774
105,P15374,P18859,0.007675277460683428
106,P15374,P21281,0.01511600886767293
107,P15374,P42765,0.05078188547861816
108,P15374,P56192,0.09242476292362212
109,P15374,P62854,0.038464788193680946
110,P15374,Q01995,0.0493682763193307
111,P15374,Q02218,0.05451657927512974
112,P15374,Q02818,0.04361774737154886
113,P15374,Q07065,0.376286127698061
114,P15374,Q07954,0.007709667048492205
115,P15374,Q14011,0.013701756982484808
116,P15374,Q14767,0.03574603313709092
117,P15374,Q15843,0.01728125272916644
118,P15374,Q7Z417,0.028073756117827958
119,P15374,Q9UHD8,0.04481235494891233
120,P18859,O15143,0.008680130462446544
121,P18859,P02461,0.04774204437930994
122,P18859,P02652,0.20630226807502444
123,P18859,P04179,0.1735106914510638
124,P18859,P12956,0.05728842969815612
125,P18859,P15374,0.025274529687677967
126,P18859,P21281,0.01611063436655135
127,P18859,P42765,0.018297526651322803
128,P18859,P56192,0.04729441046157509
129,P18859,P62854,0.056865084267099096
130,P18859,Q01995,0.02835770345714595
131,P18859,Q02218,0.025306898457697447
132,P18859,Q02818,0.01820524753646252
133,P18859,Q07065,0.014657027558028723
134,P18859,Q07954,0.08454810901908795
135,P18859,Q14011,0.01034509577952437
136,P18859,Q14767,0.017590049507683756
137,P18859,Q15843,0.10594952961557627
138,P18859,Q7Z417,0.01536626871113556
139,P18859,Q9UHD8,0.022308320857429342
140,P21281,O15143,0.10964903235744969
141,P21281,P02461,0.016605548882991743
142,P21281,P02652,0.06940277281218087
143,P21281,P04179,0.023937529037256197
144,P21281,P12956,0.024747711552911403
145,P21281,P15374,0.0307429280083431
146,P21281,P18859,0.024587812197823945
147,P21281,P42765,0.015461625594904138
148,P21281,P56192,0.036324637579160324
149,P21281,P62854,0.06056977364776035
150,P21281,Q01995,0.027231197740692666
151,P21281,Q02218,0.053737836312360635
152,P21281,Q02818,0.047436330692624665
153,P21281,Q07065,0.028535496988766857
154,P21281,Q07954,0.06122682147245625
155,P21281,Q14011,0.06188589300504878
156,P21281,Q14767,0.13220891431881165
157,P21281,Q15843,0.013872418710966072
158,P21281,Q7Z417,0.1411436152041598
159,P21281,Q9UHD8,0.02069210388333003
160,P42765,O15143,0.02058966745977737
161,P42765,P02461,0.01252587291044455
162,P42765,P02652,0.022778068858545827
163,P42765,P04179,0.021230061528757976
164,P42765,P12956,0.050055057333639554
165,P42765,P15374,0.0316281733877902
166,P42765,P18859,0.05661019989576754
167,P42765,P21281,0.009257356879355362
168,P42765,P56192,0.16376796396085058
169,P42765,P62854,0.07099947899418511
170,P42765,Q01995,0.03611122141573637
171,P42765,Q02218,0.03804427704342878
172,P42765,Q02818,0.02001331621183687
173,P42765,Q07065,0.3311954601403309
174,P42765,Q07954,0.01645599901350147
175,P42765,Q14011,0.011296116697064887
176,P42765,Q14767,0.015127070617939062
177,P42765,Q15843,0.033703053120281275
178,P42765,Q7Z417,0.014366346422658313
179,P42765,Q9UHD8,0.02424523810810708
180,P56192,O15143,0.0064025899903638744
181,P56192,P02461,0.00877034126167258
182,P56192,P02652,0.05566931839514977
183,P56192,P04179,0.03613789986921488
184,P56192,P12956,0.09224723519412607
185,P56192,P15374,0.01887416421440903
186,P56192,P18859,0.2008915013130605
187,P56192,P21281,0.011193579994028823
188,P56192,P42765,0.036882509000407696
189,P56192,P62854,0.2696163000142992
190,P56192,Q01995,0.02326972159929918
191,P56192,Q02218,0.026813397141606642
192,P56192,Q02818,0.05117904979191564
193,P56192,Q07065,0.014340472059698173
194,P56192,Q07954,0.0256506206960977
195,P56192,Q14011,0.022285078247260223
196,P56192,Q14767,0.017183340106232813
197,P56192,Q15843,0.04678998430446114
198,P56192,Q7Z417,0.008005550894344442
199,P56192,Q9UHD8,0.02779734591235065
200,P62854,O15143,0.055912214235550636
201,P62854,P02461,0.01163347818847724
202,P62854,P02652,0.014342422278178533
203,P62854,P04179,0.024060511196038796
204,P62854,P12956,0.12908117653591428
205,P62854,P15374,0.0406149155106306
206,P62854,P18859,0.044972550388279894
207,P62854,P21281,0.04436761352961974
208,P62854,P42765,0.06283411533218983
209,P62854,P56192,0.020854749568874915
210,P62854,Q01995,0.1342528212799922
211,P62854,Q02218,0.042408511543474296
212,P62854,Q02818,0.02102964102671689
213,P62854,Q07065,0.028907894234187808
214,P62854,Q07954,0.05431983583881733
215,P62854,Q14011,0.014032352710192177
216,P62854,Q14767,0.034808285142218134
217,P62854,Q15843,0.06169740824197275
218,P62854,Q7Z417,0.020351405715351885
219,P62854,Q9UHD8,0.13951809750332114
220,Q01995,O15143,0.020254877557460544
221,Q01995,P02461,0.035125724622114475
222,Q01995,P02652,0.1083616486989604
223,Q01995,P04179,0.06610070593960433
224,Q01995,P12956,0.17486546046892068
225,Q01995,P15374,0.014834115974169393
226,Q01995,P18859,0.040735164882197916
227,Q01995,P21281,0.021794487553678927
228,Q01995,P42765,0.06119420066655851
229,Q01995,P56192,0.15734841632934798
230,Q01995,P62854,0.04036267609889078
231,Q01995,Q02218,0.013575595014722058
232,Q01995,Q02818,0.01019741557881005
233,Q01995,Q07065,0.08215622327139957
234,Q01995,Q07954,0.02424815379695432
235,Q01995,Q14011,0.012618351314141065
236,Q01995,Q14767,0.014250232840872368
237,Q01995,Q15843,0.03857742995951257
238,Q01995,Q7Z417,0.022820753493592298
239,Q01995,Q9UHD8,0.04057836593809097
240,Q02218,O15143,0.05595988197495063
241,Q02218,P02461,0.02525348283455146
242,Q02218,P02652,0.03487614157194434
243,Q02218,P04179,0.08040397576460925
244,Q02218,P12956,0.03797155854273284
245,Q02218,P15374,0.10431413972063834
246,Q02218,P18859,0.02438601866377641
247,Q02218,P21281,0.03615976966899367
248,Q02218,P42765,0.13030522683648368
249,Q02218,P56192,0.03493431814150998
250,Q02218,P62854,0.04352318266391099
251,Q02218,Q01995,0.06886724182077114
252,Q02218,Q02818,0.03654633216372648
253,Q02218,Q07065,0.07857881902443105
254,Q02218,Q07954,0.026254511319365965
255,Q02218,Q14011,0.04614489276562941
256,Q02218,Q14767,0.06186375878277019
257,Q02218,Q15843,0.021460363665076386
258,Q02218,Q7Z417,0.01858840866927806
259,Q02218,Q9UHD8,0.033607975404848785
260,Q02818,O15143,0.04191837559034535
261,Q02818,P02461,0.06628765039443484
262,Q02818,P02652,0.02156313365088025
263,Q02818,P04179,0.04655661079618924
264,Q02818,P12956,0.05667075413388761
265,Q02818,P15374,0.03978250957101301
266,Q02818,P18859,0.0281220123928841
267,Q02818,P21281,0.027565799449970292
268,Q02818,P42765,0.07690628123957921
269,Q02818,P56192,0.03256605819775967
270,Q02818,P62854,0.0393315074012356
271,Q02818,Q01995,0.06033060831480597
272,Q02818,Q02218,0.08368366511056333
273,Q02818,Q07065,0.08571042293933043
274,Q02818,Q07954,0.037154266432521815
275,Q02818,Q14011,0.08362482297313986
276,Q02818,Q14767,0.056352332779587753
277,Q02818,Q15843,0.03553459766566217
278,Q02818,Q7Z417,0.04707067698178558
279,Q02818,Q9UHD8,0.03326791398442301
280,Q07065,O15143,0.029742454398923424
281,Q07065,P02461,0.07116577468998705
282,Q07065,P02652,0.028725553490783408
283,Q07065,P04179,0.12170151968024126
284,Q07065,P12956,0.042312873693449514
285,Q07065,P15374,0.0446917039687327
286,Q07065,P18859,0.06375676745701608
287,Q07065,P21281,0.030477321284490145
288,Q07065,P42765,0.13517954794698683
289,Q07065,P56192,0.03160849247634539
290,Q07065,P62854,0.022641748631245566
291,Q07065,Q01995,0.11740595501273851
292,Q07065,Q02218,0.03373073357604002
293,Q07065,Q02818,0.014244776929259417
294,Q07065,Q07954,0.03262461657603296
295,Q07065,Q14011,0.05095699181692296
296,Q07065,Q14767,0.017670886134322723
297,Q07065,Q15843,0.06508099667546133
298,Q07065,Q7Z417,0.03486009247435778
299,Q07065,Q9UHD8,0.0114211930866621
300,Q07954,O15143,0.03507775622029295
301,Q07954,P02461,0.017427768780280878
302,Q07954,P02652,0.052436944970675324
303,Q07954,P04179,0.06586030080027933
304,Q07954,P12956,0.04750324170729696
