Regulator,Target,Weight
O15143,O60716,0.2105345766449071
O15143,O94925,0.14849336847200423
O15143,P05556,0.005481550542217239
O15143,P05787,0.05247944669958016
O15143,P05976,0.11355451711044469
O15143,P16989,0.3572240703842309
O15143,P17096,0.23283496675298287
O15143,P49023,0.36130625849560905
O15143,P49756,0.22742710357558268
O15143,P56192,0.11762608390670275
O15143,P62328,0.24766756891469485
O15143,P62424,0.27109564830303634
O15143,P62854,0.19013889395445807
O15143,P67936,0.1671504652777845
O15143,Q01995,0.12813913571774524
O15143,Q02790,0.14909346408622634
O15143,Q07065,0.0995284838827728
O15143,Q16181,0.2340004263060466
O15143,Q86UP2,0.23533800998373786
O15143,Q8IVL6,0.14226148140966088
O15143,Q99613,0.16918160463218254
O15143,Q9UMX0,0.05370614239599835
O15143,Q9UN86,0.16945863380709442
O15143,Q9Y5S9,0.25953809714436704
O60716,O15143,0.22189950656731317
O60716,O94925,0.31411954488322813
O60716,P05556,0.2943194171204458
O60716,P05787,0.09474517916907303
O60716,P05976,0.11762896554205887
O60716,P16989,0.15193004700369256
O60716,P17096,0.10940141779357788
O60716,P49023,0.16423075893014832
O60716,P49756,0.07212666876468647
O60716,P56192,0.24784492320789944
O60716,P62328,0.02012373129428499
O60716,P62424,0.24621379178891278
O60716,P62854,0.2206170991120966
O60716,P67936,0.11413396951708521
O60716,Q01995,0.21378559193516786
O60716,Q02790,0.2940472359222808
O60716,Q07065,0.039151757455696615
O60716,Q16181,0.3193086934981249
O60716,Q86UP2,0.27600068786091986
O60716,Q8IVL6,0.26118636549185964
O60716,Q99613,0.28594954867638717
O60716,Q9UMX0,0.16756754174397198
O60716,Q9UN86,0.1415988501114376
O60716,Q9Y5S9,0.06657189629380474
O94925,O15143,0.19651581203524252
O94925,O60716,0.3944141575703824
O94925,P05556,0.47028782748384484
O94925,P05787,0.20226347911486448
O94925,P05976,0.30186096418194863
O94925,P16989,0.05481859773700476
O94925,P17096,0.061477519725087915
O94925,P49023,0.0009566837994363499
O94925,P49756,0.1840634017924187
O94925,P56192,0.6174814251603055
O94925,P62328,0.018877067028840906
O94925,P62424,0.26542183118298446
O94925,P62854,0.31555531001432185
O94925,P67936,0.11853419118130429
O94925,Q01995,0.045625265703719824
O94925,Q02790,0.5113564517304768
O94925,Q07065,0.1716109516982894
O94925,Q16181,0.3836624273550455
O94925,Q86UP2,0.335373266678037
O94925,Q8IVL6,0.49044334605477596
O94925,Q99613,0.43439788255218953
O94925,Q9UMX0,0.36461273555945084
O94925,Q9UN86,0.038604563411709654
O94925,Q9Y5S9,0.026355143310620766
P05556,O15143,0.006522325999669715
P05556,O60716,0.33226537684396235
P05556,O94925,0.42283640902471464
P05556,P05787,0.23823817901604996
P05556,P05976,1.0
P05556,P16989,0.006209711296820351
P05556,P17096,0.056642896425028344
P05556,P49023,0.04777841849713261
P05556,P49756,0.05530012275730331
P05556,P56192,0.027052493059357523
P05556,P62328,0.22884622395268395
P05556,P62424,0.10846101730541217
P05556,P62854,0.17896581687727656
P05556,P67936,0.38982745227271043
P05556,Q01995,0.06492104027192024
P05556,Q02790,0.23243478783266502
P05556,Q07065,0.8484665590080805
P05556,Q16181,0.25535889046620647
P05556,Q86UP2,0.3682135281071471
P05556,Q8IVL6,0.7282140369955401
P05556,Q99613,0.353878029601074
P05556,Q9UMX0,0.011503367114183913
P05556,Q9UN86,0.35704576332682164
P05556,Q9Y5S9,0.04211189313338688
P05787,O15143,0.06306296517849386
P05787,O60716,0.10802128912112167
P05787,O94925,0.1836589815030351
P05787,P05556,0.2406009962747172
P05787,P05976,0.7725616620469647
P05787,P16989,0.0032015416355865326
P05787,P17096,0.0463576977349148
P05787,P49023,0.03854978316944894
P05787,P49756,0.15363458058315732
P05787,P56192,0.48196843024500474
P05787,P62328,0.6601297919277007
P05787,P62424,0.1378170438572607
P05787,P62854,0.30821631978091707
P05787,P67936,0.4313150582225834
P05787,Q01995,0.8235840312008669
P05787,Q02790,0.20334706414894693
P05787,Q07065,0.5811730309735303
P05787,Q16181,0.14651402713085793
P05787,Q86UP2,0.044399479139217275
P05787,Q8IVL6,0.3923819465525726
P05787,Q99613,0.17826922088460284
P05787,Q9UMX0,0.24374426433429336
P05787,Q9UN86,0.07714961067107694
P05787,Q9Y5S9,0.12445267456207364
P05976,O15143,0.12262213374822639
P05976,O60716,0.1205163102635093
P05976,O94925,0.24630938955580076
P05976,P05556,0.9075391627652455
P05976,P05787,0.6942445312087471
P05976,P16989,0.1822645756589786
P05976,P17096,0.23880604148901743
P05976,P49023,0.03326354025165272
P05976,P49756,0.2529836178423498
P05976,P56192,0.37910462597204164
P05976,P62328,0.2475531257043214
P05976,P62424,0.1098986243310729
P05976,P62854,0.2719948532079312
P05976,P67936,0.31864154078362744
P05976,Q01995,0.33123127595342994
P05976,Q02790,0.04849522770576503
P05976,Q07065,0.5407737245502261
P05976,Q16181,0.04160499717095672
P05976,Q86UP2,0.11996121020679819
P05976,Q8IVL6,0.5924198722164292
P05976,Q99613,0.04870348869205122
P05976,Q9UMX0,0.12466481061116305
P05976,Q9UN86,0.041265844388601904
P05976,Q9Y5S9,0.12493228745578455
P16989,O15143,0.5056997339043351
