Regulator,Target,Weight
O15143,O43617,0.07878108680368207
O15143,O60869,0.162945545119801
O15143,P02461,0.22985843308833012
O15143,P02652,0.1228720593036383
O15143,P04179,0.1933304450893479
O15143,P06753,0.13843709383649103
O15143,P09104,0.17961485018503853
O15143,P13010,0.2357598129092084
O15143,P13861,0.060262442833144005
O15143,P27635,0.07353053777905791
O15143,P27816,0.23819212603362772
O15143,P37837,0.0964884519405672
O15143,P43487,0.21040738083193086
O15143,P46778,0.15590764685837663
O15143,P49023,0.25768573955456975
O15143,P53621,0.2065317636596803
O15143,P60903,0.019500747364732746
O15143,P61981,0.388520894848099
O15143,P62328,0.10168553506282653
O15143,P62861,0.39882426301537155
O15143,P62979,0.1499042043984336
O15143,P63208,0.30863679037012515
O15143,Q00341,0.06296807564687384
O15143,Q01995,0.01156469654340326
O15143,Q02218,0.11319753958181875
O15143,Q02818,0.12928069720309113
O15143,Q05682,0.0833362457843053
O15143,Q07065,0.29307700321523167
O15143,Q07954,0.06594730333367188
O15143,Q13263,0.1619072115127128
O15143,Q14011,0.1988089725602145
O15143,Q14767,0.17419850748770793
O15143,Q6P2Q9,0.0009884240217570776
O15143,Q7Z417,0.26709612541239264
O15143,Q96HC4,0.13173410009634812
O15143,Q99471,0.2043341354147766
O15143,Q9UPN3,0.14296746417698947
O15143,Q9UQ35,0.032609597318358385
O15143,Q9Y3D6,0.4792315119730549
O43617,O15143,0.07134965610946471
O43617,O60869,0.09397237304093926
O43617,P02461,0.15420247731134026
O43617,P02652,0.08215067078700812
O43617,P04179,0.3269402762680895
O43617,P06753,0.21433395774669772
O43617,P09104,0.02276962835409776
O43617,P13010,0.1038271906920975
O43617,P13861,0.03633842284232052
O43617,P27635,0.11315172661931593
O43617,P27816,0.18578640679867084
O43617,P37837,0.1600096787657684
O43617,P43487,0.0031604288610762787
O43617,P46778,0.37889973243433456
O43617,P49023,0.09998755546853738
O43617,P53621,0.08168500798506326
O43617,P60903,0.08227832474685931
O43617,P61981,0.25400046773290297
O43617,P62328,0.04167659853760049
O43617,P62861,0.11106249510410335
O43617,P62979,0.1794553989831702
O43617,P63208,0.27602478927843704
O43617,Q00341,0.1923487215769903
O43617,Q01995,0.11965669478825684
O43617,Q02218,0.07008165674939122
O43617,Q02818,0.3278242349151137
O43617,Q05682,0.018135487512764996
O43617,Q07065,0.021250192887585898
O43617,Q07954,0.1919377591737878
O43617,Q13263,0.16134534811123505
O43617,Q14011,0.15394994694462458
O43617,Q14767,0.1499393960832575
O43617,Q6P2Q9,0.3208021988966669
O43617,Q7Z417,0.41160453284794624
O43617,Q96HC4,0.2895282380276818
O43617,Q99471,0.029944244972810553
O43617,Q9UPN3,0.23672914497805478
O43617,Q9UQ35,0.08352493522264066
O43617,Q9Y3D6,0.2890248788592728
O60869,O15143,0.1343253402097068
O60869,O43617,0.08553536937998954
O60869,P02461,0.030647964628253237
O60869,P02652,0.25431640479475104
O60869,P04179,0.08618496613941154
O60869,P06753,0.21015752068363097
O60869,P09104,0.17006065824509597
O60869,P13010,0.1312983078462312
O60869,P13861,0.222227435804349
O60869,P27635,0.09425639416750294
O60869,P27816,0.09632778893331631
O60869,P37837,0.07514604021135694
O60869,P43487,0.1964223549046301
O60869,P46778,0.037704187078593784
O60869,P49023,0.11029266814402602
O60869,P53621,0.09197017043586093
O60869,P60903,0.23311706593664575
O60869,P61981,0.2072892733610594
O60869,P62328,0.2839082573336955
O60869,P62861,0.14041923388222577
O60869,P62979,0.09320427464405481
O60869,P63208,0.1506956720109536
O60869,Q00341,0.09157466322676552
O60869,Q01995,0.038531137622547534
O60869,Q02218,0.07655784521192033
O60869,Q02818,0.07110500173750064
O60869,Q05682,0.20016595520137373
O60869,Q07065,0.26479320292481207
O60869,Q07954,0.21201448503482645
O60869,Q13263,0.23802112769960376
O60869,Q14011,0.1256400712709009
O60869,Q14767,0.08274613637636002
O60869,Q6P2Q9,0.03697854950628608
O60869,Q7Z417,0.08638931537886888
O60869,Q96HC4,0.15591100330010585
O60869,Q99471,0.1537914335457374
O60869,Q9UPN3,0.2255088724437364
O60869,Q9UQ35,0.11864770106276336
O60869,Q9Y3D6,0.06610500832403784
P02461,O15143,0.1319858856224986
P02461,O43617,0.09776614328864719
P02461,O60869,0.021347805095321026
P02461,P02652,0.1379074044343365
P02461,P04179,0.260275774562731
P02461,P06753,0.009605900959436602
P02461,P09104,0.06885799435753967
P02461,P13010,0.0800067558629323
P02461,P13861,0.21193974481094244
P02461,P27635,0.038635531950417606
P02461,P27816,0.047829591832825945
P02461,P37837,0.057442619093199795
P02461,P43487,0.09865371161587035
P02461,P46778,0.15478450225061235
P02461,P49023,0.019980953584042394
P02461,P53621,0.005945584586655137
P02461,P60903,0.1474384873586715
P02461,P61981,0.03396349273818661
P02461,P62328,0.0920045775978463
P02461,P62861,0.1989735223272325
P02461,P62979,0.008284278373618111
P02461,P63208,0.06105670230707809
P02461,Q00341,0.019535629982262697
P02461,Q01995,0.354856660582715
P02461,Q02218,0.2409378069003391
P02461,Q02818,0.1896046410477785
P02461,Q05682,0.08705440054739955
P02461,Q07065,0.18396356214964546
P02461,Q07954,0.06041929369613668
P02461,Q13263,0.02396467542843057
P02461,Q14011,0.05726945493326903
P02461,Q14767,0.0449897786250717
P02461,Q6P2Q9,0.1271878215611442
P02461,Q7Z417,0.30003196166309126
P02461,Q96HC4,0.034160564878419626
P02461,Q99471,0.1447689691326002
P02461,Q9UPN3,0.077433241486019
P02461,Q9UQ35,0.09177705872048017
P02461,Q9Y3D6,0.208061113121443
P02652,O15143,0.12909889135761715
P02652,O43617,0.095303878074128
P02652,O60869,0.3241367650795246
P02652,P02461,0.25234221530659257
P02652,P04179,0.1981786948334286
P02652,P06753,0.2115270281130503
P02652,P09104,0.17830492566630748
P02652,P13010,0.0997859861173267
P02652,P13861,0.11375093898240474
P02652,P27635,0.14595024138441423
P02652,P27816,0.18051375190844526
P02652,P37837,0.19657538567014193
P02652,P43487,0.04844012182762483
P02652,P46778,0.2840955608544677
P02652,P49023,0.17386027899000042
P02652,P53621,0.16052710158183886
P02652,P60903,0.5927623117484934
P02652,P61981,0.0027793366420681563
P02652,P62328,0.26894344835841283
P02652,P62861,0.2887015015520258
P02652,P62979,0.12443108668491071
P02652,P63208,0.034356682128309605
P02652,Q00341,0.07677501484837414
P02652,Q01995,0.0661560810275595
P02652,Q02218,0.2207699663940351
P02652,Q02818,0.35980208444665174
P02652,Q05682,0.23981139527500395
P02652,Q07065,0.3860324056748915
P02652,Q07954,0.701394610474147
P02652,Q13263,0.0947513494271807
P02652,Q14011,0.05998294875605248
P02652,Q14767,0.10368667717660066
P02652,Q6P2Q9,0.1689646308612812
P02652,Q7Z417,0.1528451392207979
P02652,Q96HC4,0.028982772134002237
P02652,Q99471,0.012611796467570918
P02652,Q9UPN3,0.057816945071827795
P02652,Q9UQ35,0.26489041149815784
P02652,Q9Y3D6,0.2768559581513645
P04179,O15143,0.18184233277395315
P04179,O43617,0.3395418042506753
P04179,O60869,0.09833560655945232
P04179,P02461,0.4263452628776257
P04179,P02652,0.1774117302524604
P04179,P06753,0.04333003201873696
P04179,P09104,0.019513123740571504
P04179,P13010,0.006674269235979959
P04179,P13861,0.26624923036414566
P04179,P27635,0.09741902107791175
P04179,P27816,0.15904488369431333
P04179,P37837,0.06457436437956844
P04179,P43487,0.28057466586245317
P04179,P46778,0.23076627418675347
P04179,P49023,0.1730899628867125
P04179,P53621,0.06769674725205065
P04179,P60903,0.005513311579796006
P04179,P61981,0.16879044563138892
P04179,P62328,0.06434460600833769
P04179,P62861,0.3371461860656069
P04179,P62979,0.13618668019868194
P04179,P63208,0.1754613901115685
P04179,Q00341,0.07971856294030322
P04179,Q01995,0.46287384461890957
P04179,Q02218,0.4204048521671258
P04179,Q02818,0.12705466261016304
P04179,Q05682,0.1801652578125246
P04179,Q07065,0.07257987411092351
P04179,Q07954,0.25778667167255226
P04179,Q13263,0.05354556464921866
P04179,Q14011,0.11925123799023651
P04179,Q14767,0.09813964719144116
P04179,Q6P2Q9,0.1431267090101262
P04179,Q7Z417,0.12332231250235372
P04179,Q96HC4,0.12408689761773545
P04179,Q99471,0.16567727394604442
P04179,Q9UPN3,0.10334091463380321
P04179,Q9UQ35,0.11843394272708457
P04179,Q9Y3D6,0.416758096248199
P06753,O15143,0.15661287048107983
P06753,O43617,0.26772938647670785
P06753,O60869,0.288406108398969
P06753,P02461,0.01892544201297986
P06753,P02652,0.22775686060044464
P06753,P04179,0.052115780049424576
P06753,P09104,0.07500927352025956
P06753,P13010,0.06926134663667463
P06753,P13861,0.056134499962442956
P06753,P27635,0.13330916127325287
P06753,P27816,0.19840344638346655
P06753,P37837,0.11361738808487598
P06753,P43487,0.12881736678270453
P06753,P46778,0.10409966856164515
P06753,P49023,0.22474575439554845
P06753,P53621,0.008912372565497645
P06753,P60903,0.10431480559308566
P06753,P61981,0.3097534735984963
P06753,P62328,0.4497990542212349
P06753,P62861,0.08477614563858872
P06753,P62979,0.1376861650670257
P06753,P63208,0.21238618915190022
P06753,Q00341,0.20513763797557877
P06753,Q01995,0.2816842242671554
P06753,Q02218,0.19025952609532384
P06753,Q02818,0.22809086689746524
P06753,Q05682,0.44381549826023153
P06753,Q07065,0.14317324180451801
P06753,Q07954,0.3625345590457808
P06753,Q13263,0.23283935505938186
P06753,Q14011,0.3557253218996535
P06753,Q14767,0.17225238965085427
P06753,Q6P2Q9,0.049781046697922396
P06753,Q7Z417,0.015794850686272465
P06753,Q96HC4,0.3743690172867186
P06753,Q99471,0.17990585909204945
P06753,Q9UPN3,0.11391745108530597
P06753,Q9UQ35,0.18511396774545985
P06753,Q9Y3D6,0.038881812186507235
P09104,O15143,0.1893560658633633
P09104,O43617,0.026504706970383544
P09104,O60869,0.21748303229330873
P09104,P02461,0.1264224787676429
P09104,P02652,0.17890848845417298
P09104,P04179,0.021871019953963237
P09104,P06753,0.06989996606754727
P09104,P13010,0.38504338079098777
P09104,P13861,0.336698400107769
P09104,P27635,0.1395349994126664
P09104,P27816,0.09972315434431653
P09104,P37837,0.17355695330843618
P09104,P43487,0.225923046686803
P09104,P46778,0.023196091646392917
P09104,P49023,0.00499621474253906
P09104,P53621,0.31052069110610053
P09104,P60903,0.22843109533938774
P09104,P61981,0.11239669826160226
P09104,P62328,0.07428386327003371
P09104,P62861,0.1466078838374377
P09104,P62979,0.2962756036505869
P09104,P63208,0.4715152791206245
P09104,Q00341,0.2624086838094543
P09104,Q01995,0.12415925684990362
P09104,Q02218,0.21397714765556478
P09104,Q02818,0.3375393207327515
P09104,Q05682,0.009833243537482406
P09104,Q07065,0.16852430117608178
P09104,Q07954,0.0022435786882694948
P09104,Q13263,0.23272135822455245
P09104,Q14011,0.14374500636013698
P09104,Q14767,0.10264182560068948
P09104,Q6P2Q9,0.11815023375929655
P09104,Q7Z417,0.03483985559513042
P09104,Q96HC4,0.13172780403895412
P09104,Q99471,0.3893298102907519
P09104,Q9UPN3,0.1650119180301201
P09104,Q9UQ35,0.6160433015577409
P09104,Q9Y3D6,0.20732091822949963
P13010,O15143,0.27096091126827315
P13010,O43617,0.13175832122453565
P13010,O60869,0.18305455385397737
P13010,P02461,0.16013876610067165
P13010,P02652,0.10915334363869472
P13010,P04179,0.008155410847849178
P13010,P06753,0.07036437287180627
P13010,P09104,0.41976821095791267
P13010,P13861,0.20607887469721606
P13010,P27635,0.28141759457137655
P13010,P27816,0.22280960391651414
P13010,P37837,0.3233944148499452
P13010,P43487,0.18062814529226787
P13010,P46778,0.25307186617147953
P13010,P49023,0.14656676176039277
P13010,P53621,0.42216987745683954
P13010,P60903,0.07220546183592716
P13010,P61981,0.19170274470241144
P13010,P62328,0.0987410656980708
P13010,P62861,0.025774852321205997
P13010,P62979,0.29198721902340513
P13010,P63208,0.3234403120501187
P13010,Q00341,0.29579112451432515
P13010,Q01995,0.09030988644480425
P13010,Q02218,0.06549997023023374
P13010,Q02818,0.11269316252147159
P13010,Q05682,0.015205686385595562
P13010,Q07065,0.0437732143806203
P13010,Q07954,0.04466103199144316
P13010,Q13263,0.28914488124501364
P13010,Q14011,0.00040103164389915165
P13010,Q14767,0.03962359511528781
P13010,Q6P2Q9,0.21931647442111574
P13010,Q7Z417,0.1373490580366794
P13010,Q96HC4,0.14063044836533029
P13010,Q99471,0.2974069419321404
P13010,Q9UPN3,0.29986195178596503
P13010,Q9UQ35,0.27437024636430335
P13010,Q9Y3D6,0.3722405595453939
P13861,O15143,0.06394685122379787
P13861,O43617,0.04257636590370914
P13861,O60869,0.2860583632449446
