Regulator,Target,Weight
P05556,P05787,0.053206942805570444
P05556,P05976,0.0556698418807669
P05556,P09104,0.022054133628294295
P05556,P12955,0.004532051385076866
P05556,P13667,0.02489004029535138
P05556,P16989,0.05015390473753046
P05556,P17096,0.005448742498540353
P05556,P18621,0.00039027829739264657
P05556,P21399,0.07580004801833666
P05556,P24844,0.0525266434780278
P05556,P31949,0.054849472179960536
P05556,P47914,0.23134858858589313
P05556,P49023,0.04128381760163528
P05556,P60228,0.038280948146156006
P05556,P60903,0.05274171188167304
P05556,P62328,0.019586612399358022
P05556,P62888,0.14733785555671894
P05556,P67809,0.018633005688155336
P05556,P67936,0.008951276990526514
P05556,P80723,0.09622005681496495
P05556,Q01995,0.0603080571541682
P05556,Q02790,0.07940894536602461
P05556,Q07065,0.010419884241509043
P05556,Q07954,0.02962185456871939
P05556,Q14157,0.019490614608376488
P05556,Q14203,0.1453687264202375
P05556,Q15459,0.04252511457010935
P05556,Q16181,0.07071165319138441
P05556,Q3SX28,0.026100620774806457
P05556,Q7Z417,0.10888679514103802
P05556,Q7Z4V5,0.0175294295933174
P05556,Q86UP2,0.07085989571148159
P05556,Q92841,0.07185181906290114
P05556,Q969G3,0.0733082422024734
P05556,Q99613,0.00266171063208973
P05556,Q99879,0.08585236972338155
P05556,Q9NQP4,0.08759421978224577
P05556,Q9UN86,0.025043252166523863
P05556,Q9Y2D5,0.06522347484378269
P05556,Q9Y5S9,0.007740469142098251
P05787,P05556,0.05821066164626089
P05787,P05976,0.025677353345047813
P05787,P09104,0.08409477180290581
P05787,P12955,0.009033660779600014
P05787,P13667,0.11611033808972604
P05787,P16989,0.004873018597135595
P05787,P17096,0.1449218927314167
P05787,P18621,0.02825553670480846
P05787,P21399,0.26295233873861346
P05787,P24844,0.06772741959871918
P05787,P31949,0.12508593860409548
P05787,P47914,0.018202779437699934
P05787,P49023,0.11779135183360993
P05787,P60228,0.06784510606082703
P05787,P60903,0.0021342791676937614
P05787,P62328,0.06367427043444837
P05787,P62888,0.05114496219428299
P05787,P67809,0.0036966022324242493
P05787,P67936,0.06044893800278419
P05787,P80723,0.06378925307750735
P05787,Q01995,0.024557657773857346
P05787,Q02790,0.04305051977315178
P05787,Q07065,0.1632937212454599
P05787,Q07954,0.02539188061239497
P05787,Q14157,0.07217570971800524
P05787,Q14203,0.027690765937605468
P05787,Q15459,0.05979496492102534
P05787,Q16181,0.017463525759249324
P05787,Q3SX28,0.012612738459866107
P05787,Q7Z417,0.11888246396370333
P05787,Q7Z4V5,0.10124762568886504
P05787,Q86UP2,0.014087260408257108
P05787,Q92841,0.022949065180462296
P05787,Q969G3,0.12548465521231422
P05787,Q99613,0.0244069511592434
P05787,Q99879,0.03388446041521414
P05787,Q9NQP4,0.10727705863916254
P05787,Q9UN86,0.05535688208134995
P05787,Q9Y2D5,0.027656445744916672
P05787,Q9Y5S9,0.09400043316947132
P05976,P05556,0.10799226402909463
P05976,P05787,0.020754902577242298
P05976,P09104,0.1004254620712946
P05976,P12955,0.04027670627831765
P05976,P13667,0.11245859397732084
P05976,P16989,0.01507761898210072
P05976,P17096,0.0679296384749868
P05976,P18621,0.04071338224419177
P05976,P21399,0.13386110261326692
P05976,P24844,0.08985834173261749
P05976,P31949,0.13323375990438432
P05976,P47914,0.08296210031987489
P05976,P49023,0.03435164942440574
P05976,P60228,0.08214394268924378
P05976,P60903,0.006989865852360343
P05976,P62328,0.012689389538482676
P05976,P62888,0.05743450767294428
P05976,P67809,0.0036373910807452068
P05976,P67936,0.08210789966666104
P05976,P80723,0.002159099609340447
P05976,Q01995,0.015938717234594113
P05976,Q02790,0.05689122797584341
P05976,Q07065,0.18552575612460984
P05976,Q07954,0.0581586109470011
P05976,Q14157,0.030427951324414282
P05976,Q14203,0.07065134083200329
P05976,Q15459,0.03860646351498419
P05976,Q16181,0.017161892305300616
P05976,Q3SX28,0.005283061229674614
P05976,Q7Z417,0.02832437803510537
P05976,Q7Z4V5,0.1493314723892799
P05976,Q86UP2,0.03761571416681411
P05976,Q92841,0.02579647761040143
P05976,Q969G3,0.028188218983578452
P05976,Q99613,0.024754804294851104
P05976,Q99879,0.03636232019021518
P05976,Q9NQP4,0.031396860901722445
P05976,Q9UN86,0.06750829730519631
P05976,Q9Y2D5,0.013979131984974266
P05976,Q9Y5S9,0.03927585580069873
P09104,P05556,0.058099072067341405
P09104,P05787,0.1442437346203705
P09104,P05976,0.021441836651689524
P09104,P12955,0.19208148827344754
P09104,P13667,0.031922666708264526
P09104,P16989,0.019949954502331255
P09104,P17096,0.05858651251291377
P09104,P18621,0.030180069709971773
P09104,P21399,0.20132395704719455
P09104,P24844,0.05285794560325257
P09104,P31949,0.008976787972990457
P09104,P47914,0.02010843158996067
P09104,P49023,0.03332406308936028
P09104,P60228,0.030723074695259263
P09104,P60903,0.12446936674519955
P09104,P62328,0.026672616853116327
P09104,P62888,0.03209921911270339
P09104,P67809,0.009744493769086386
P09104,P67936,0.009712646066132364
P09104,P80723,0.06043398727879502
P09104,Q01995,0.08560686538587184
P09104,Q02790,0.04838251538504768
P09104,Q07065,0.04960732328147324
P09104,Q07954,0.058748128709027986
P09104,Q14157,0.0907030787485134
P09104,Q14203,0.030458706938900567
P09104,Q15459,0.04202338813494379
P09104,Q16181,0.09024304146787415
P09104,Q3SX28,0.04753001075018701
P09104,Q7Z417,0.04998116043106006
P09104,Q7Z4V5,0.0877557717623493
P09104,Q86UP2,0.06122387197221307
P09104,Q92841,0.009570696403951966
P09104,Q969G3,0.06605325215115726
P09104,Q99613,0.02631366017901465
P09104,Q99879,0.10373444955828845
P09104,Q9NQP4,0.052288396781310156
P09104,Q9UN86,0.1547375041917418
P09104,Q9Y2D5,0.005326634409970633
P09104,Q9Y5S9,0.051299797469995856
P12955,P05556,0.0026270836609901564
P12955,P05787,0.06074835997634435
P12955,P05976,0.05401815290213898
P12955,P09104,0.03339392868508063
P12955,P13667,0.05690540238111599
P12955,P16989,0.0449626031993696
P12955,P17096,0.0864465797387991
P12955,P18621,0.04607536038545352
P12955,P21399,0.21063477299068212
P12955,P24844,0.010471806989663393
P12955,P31949,0.12523663091125192
P12955,P47914,0.03195336867080805
P12955,P49023,0.06304673674066667
P12955,P60228,0.022950243575617063
P12955,P60903,0.009965100316893117
P12955,P62328,0.04127767233431181
P12955,P62888,0.01792616030947399
P12955,P67809,0.03373333630975549
P12955,P67936,0.027434673261303846
P12955,P80723,0.01933089144498782
P12955,Q01995,0.005462932114017738
P12955,Q02790,0.01970310229771018
P12955,Q07065,0.07571876520851153
P12955,Q07954,0.023835658116650223
P12955,Q14157,0.03227062602849935
P12955,Q14203,0.10072392682043217
P12955,Q15459,0.07533362661809799
P12955,Q16181,0.06688088965084801
P12955,Q3SX28,0.0014668341117049343
P12955,Q7Z417,0.01860059965452559
P12955,Q7Z4V5,0.03368674742668953
P12955,Q86UP2,0.07560328298946022
P12955,Q92841,0.056867631912689474
P12955,Q969G3,0.07407028336229135
P12955,Q99613,0.051549642174476024
P12955,Q99879,0.05150119847235769
P12955,Q9NQP4,0.02927393138812026
P12955,Q9UN86,0.04314426737252912
P12955,Q9Y2D5,0.04215164081949821
P12955,Q9Y5S9,0.05457585513452977
P13667,P05556,0.07165978828663491
P13667,P05787,0.016444635114196367
P13667,P05976,0.04139463793675709
P13667,P09104,0.056745484553935806
P13667,P12955,0.0427684789230991
P13667,P16989,0.0394539873889726
P13667,P17096,0.05922277403536167
P13667,P18621,0.00018153429160772038
P13667,P21399,0.31067474167454534
P13667,P24844,0.09212529368407484
P13667,P31949,0.20630698442926945
P13667,P47914,0.0351057769823023
P13667,P49023,0.040781101073815475
P13667,P60228,0.10705809140988022
P13667,P60903,0.08638303398920523
P13667,P62328,0.032638095907661216
P13667,P62888,0.12727170795571013
P13667,P67809,0.026028250452030055
P13667,P67936,0.07264343432179757
P13667,P80723,0.009472644096628418
P13667,Q01995,0.03322400459257622
P13667,Q02790,0.061344968976165724
P13667,Q07065,0.16063759064666225
P13667,Q07954,0.1381056591746988
P13667,Q14157,0.045462693038035885
P13667,Q14203,0.08303083676936368
P13667,Q15459,0.07189523667351544
P13667,Q16181,0.05529831453887664
P13667,Q3SX28,0.006667923799175382
P13667,Q7Z417,0.02755166412046075
P13667,Q7Z4V5,0.06296130198467595
P13667,Q86UP2,0.0013187043011207095
P13667,Q92841,0.026695265793247047
P13667,Q969G3,0.08961737968254242
P13667,Q99613,0.028342490579516134
P13667,Q99879,0.20700827628852989
P13667,Q9NQP4,0.05723264311540923
P13667,Q9UN86,0.06625803313308627
P13667,Q9Y2D5,0.019157149646111756
P13667,Q9Y5S9,0.005681239483981769
P16989,P05556,0.07048876648154728
P16989,P05787,0.06105905909883769
P16989,P05976,0.01604226644510631
P16989,P09104,0.09121554138330054
P16989,P12955,0.02822762124210607
P16989,P13667,0.11970313355837327
P16989,P17096,0.032135411255133216
P16989,P18621,0.07576088810586884
P16989,P21399,0.016643394412128636
P16989,P24844,0.1475752032835939
P16989,P31949,0.120051968196004
