Regulator,Target,Weight
O15143,O94925,0.007470219258528916
O15143,P00568,0.14741702048667757
O15143,P02461,0.0356282456374675
O15143,P02652,0.1622139114480068
O15143,P04179,0.059655699837305946
O15143,P05976,0.06389978393164135
O15143,P06753,0.03603864859095406
O15143,P07339,0.042193226332838354
O15143,P12956,0.005742842841481577
O15143,P13010,0.01106500647361546
O15143,P15374,0.04589647249042527
O15143,P18859,0.015126799103511127
O15143,P21281,0.044145583178806756
O15143,P23246,0.032924126148307406
O15143,P26447,0.07382479935122786
O15143,P27816,0.08398844945737706
O15143,P30085,0.08561607304735601
O15143,P36957,0.0016378781799086522
O15143,P37837,0.014740762103448497
O15143,P40926,0.08182616722357207
O15143,P42765,0.03646122810981548
O15143,P49023,0.03460821786575528
O15143,P53621,0.00924016593084818
O15143,P56192,0.054313188160171354
O15143,P61981,0.020328873383253312
O15143,P62328,0.04719470888993092
O15143,P62854,0.10268443360610473
O15143,P62917,0.07422641658342903
O15143,P63208,0.01927338781682432
O15143,P63313,0.11222144432291487
O15143,Q01995,3.881859808747821e-05
O15143,Q02218,0.008662914548288022
O15143,Q02818,0.1570971469901957
O15143,Q05682,0.06018462403441061
O15143,Q07065,0.04978443147380737
O15143,Q07954,0.022740423954884025
O15143,Q13263,0.009720146410102624
O15143,Q14011,0.17526405141386053
O15143,Q14444,0.001071882765174394
O15143,Q14767,0.11840084041296742
O15143,Q15233,0.08291050372337574
O15143,Q15843,0.026372102612256334
O15143,Q7Z417,0.03836072555682054
O15143,Q8WWI1,0.008624049294968317
O15143,Q96CW1,0.09293530783345783
O15143,Q96HC4,0.08671740540288364
O15143,Q9H0U4,0.06662417622311088
O15143,Q9UHD8,0.01010623897079645
O15143,Q9UMS6,0.07472465848988821
O94925,O15143,0.0009953595964419214
O94925,P00568,0.1370468150846345
O94925,P02461,0.0029268173990309072
O94925,P02652,0.07573773086492004
O94925,P04179,0.03982112322204446
O94925,P05976,0.03776405086323108
O94925,P06753,0.0506446912043688
O94925,P07339,0.024225796099512198
O94925,P12956,0.03727365890162864
O94925,P13010,0.016343312558404984
O94925,P15374,0.05671097579367966
O94925,P18859,0.12664563279857782
O94925,P21281,0.015793627903130297
O94925,P23246,0.06428600742867223
O94925,P26447,0.04956221385993024
O94925,P27816,0.03083987327083749
