Regulator,Target,Weight
O15143,O43617,0.02309198285047375
O15143,O60869,0.05906797171322058
O15143,P02461,0.09767968996677764
O15143,P02652,0.20413598412343334
O15143,P04179,0.11649490347583376
O15143,P06753,0.14285027049380256
O15143,P09104,0.042138074064453176
O15143,P13010,0.05823221994663547
O15143,P13861,0.15885099447987527
O15143,P27635,0.004722835984341477
O15143,P27816,0.13654123971389426
O15143,P37837,0.06977121530226109
O15143,P43487,0.06954568479183441
O15143,P46778,0.005100514420672518
O15143,P49023,0.027431465215691394
O15143,P53621,0.019679634305771115
O15143,P60903,0.12266597840915554
O15143,P61981,0.04112165667505871
O15143,P62328,0.10377025767266698
O15143,P62861,0.06940097135881858
O15143,P62979,0.15468948920809994
O15143,P63208,0.08087565658116318
O15143,Q00341,0.06185980827028192
O15143,Q01995,0.04469595046733805
O15143,Q02218,0.054029739505944314
O15143,Q02818,0.1810645042163543
O15143,Q05682,0.004894186676134933
O15143,Q07065,0.0705723578349414
O15143,Q07954,0.17607188737649385
O15143,Q13263,0.020843785205298657
O15143,Q14011,0.24720558353012848
O15143,Q14767,0.09293678405745429
O15143,Q6P2Q9,0.13915312891226905
O15143,Q7Z417,0.07297765456274302
O15143,Q96HC4,0.026054696265019973
O15143,Q99471,0.04898369964687753
O15143,Q9UPN3,0.023020552001308744
O15143,Q9UQ35,0.06992748570336328
O15143,Q9Y3D6,0.015330050819709165
O43617,O15143,0.07535277073627622
O43617,O60869,0.01890022271176673
O43617,P02461,0.16520728120914685
O43617,P02652,0.09860021121280749
O43617,P04179,0.03643072954067391
O43617,P06753,0.006480137325497043
O43617,P09104,0.13048818325134337
O43617,P13010,0.01779696876676827
O43617,P13861,0.12230472466068439
O43617,P27635,0.04936103152823768
O43617,P27816,0.0009722462745150718
O43617,P37837,0.023439473695224207
O43617,P43487,0.00021031942804900685
O43617,P46778,0.03998529393506033
O43617,P49023,0.08376961289036707
O43617,P53621,0.06535576109141512
O43617,P60903,0.08155089463961358
O43617,P61981,0.06755422586421538
O43617,P62328,0.009296352714776855
O43617,P62861,0.07482227022878167
O43617,P62979,0.06054306967944243
O43617,P63208,0.0015506219241889325
O43617,Q00341,0.01062043591621213
O43617,Q01995,0.014550042481094426
