Protein,ctr_1,ctr_2,ctr_3,ctr_4,ctr_7,ctr_8,ctr_9,ctr_10,ctr_11,ctr_14,ctr_21,mg_1,mg_2,mg_3,mg_4,mg_7,mg_8,mg_9,mg_10,mg_11,mg_14,mg_21
O15143,7.78482481,7.6922356695000005,7.833710084,7.863669554,7.701688456,7.702415393,7.233092467,7.394670515,7.4037470645,7.2096530105,7.567794021,8.127174681,7.846986383,7.752721466,7.533854012,7.391794145,7.217302974500001,7.632190295,7.450136533,7.825101517,7.785357623,7.712987771
P04406,9.942876936,9.939220639,9.947308237,9.704076523,9.85523878,9.945442555,9.752239917,9.917975186,9.87843199,9.536370317,9.805732621,9.804148028,9.622218142,9.775887973,9.907924332,10.03532031,9.779852682,9.901363719,9.812025497,9.925784306,9.964483201,9.953467121
P05787,9.61952407,9.506234053,9.548559077,9.38139495,9.36436794,9.32256984,9.200908677,9.576386498,9.631593355,9.112422875,9.21956347,9.196748248,9.272666442,9.34751403,9.446167725,9.452013642,9.21771364,9.504809223,9.613131229,9.650463399,9.597379229,9.248184367
P05976,7.861487744,7.667259914,7.855465106,7.592319274,7.551832087,7.154780032,7.147020033,7.392954687,7.504033628,7.6046418945,7.665939355,7.299755886,7.5077370745,7.652555467,7.653174701,7.665745499,7.435739643,7.406413578,7.668876911,7.766994422,7.740375097,7.827572147
P06748,9.131719593,9.342554511,9.203456449,9.076105559,9.312109985,9.023313908,9.275545973,9.342203338,8.793669867,8.288468529,8.962656128,8.863602887,9.007462382,9.268762172,9.323242671,9.496168052,9.132428412,9.37933937,8.937839895,8.762117224,8.762968401,9.032222635
P07339,7.960777207,7.97591168,7.81315854,7.610167868,7.450721217,7.2936769445,7.2339178545,8.154269712,7.848366239,7.6342828735,7.919944384,7.559546516,7.54526931,7.531269216,7.943427117,7.571104708,7.508892082,7.777583998,8.021013927,7.654332274,8.345256856,8.523228567
P09382,9.262106982,9.089101802,9.217577288,9.066936487,8.426510721,8.629875913,8.647442578,8.992311904,8.810136038,8.148467758,8.72486885,9.058366216,8.856971482,9.115259652,9.24088118,8.974288202,8.870486481,8.608537064,8.849470999,8.636747346,8.594444997,8.967363848
P09936,8.980523507,8.915019562,9.069889278,8.365342031,8.687773339,8.813285309,8.562967804,8.649984243,8.905954041,8.139575828,8.724645132,8.608004841,8.595120945,8.851093812,9.139288977,8.875399033,8.705753835,8.992945804,8.6343912,8.994290257,8.838588049,8.815491592
P13667,9.077805323,9.061739823,9.013253154,8.825129223,8.551627638,8.343447263,8.621430914,9.004305962,8.916791641,8.89513772,9.062024078,8.884571882,8.85249119,8.885951135,8.989020891,8.97160178,8.677537423,8.865161965,9.024270567,8.939612888,8.967490975,9.275008834
P14174,8.515505008,8.488526623,8.356775314,7.954133213,8.517768975,8.856441353,8.609084011,7.771759264,8.53267585,7.537452173,8.620793909,8.111220133,7.983287978,8.198544558,8.436199761,8.543467298,8.453425821,8.634927549,8.572746054,8.691845514,8.612841635,8.479756823
P14314,8.859104311,8.789165112,8.684187591,8.489758659,8.25453098,8.457477117,8.183664726,8.621551838,8.484292379,8.40526344,8.616692783,8.451581816,8.419784726,8.554899156,8.699424564,8.537326562,8.207073347,8.569089892,8.638276563,8.586647476,8.600115845,8.961295129
