Protein,ctr_1,ctr_2,ctr_3,ctr_4,ctr_7,ctr_8,ctr_9,ctr_10,ctr_11,ctr_14,ctr_21,mg_1,mg_2,mg_3,mg_4,mg_7,mg_8,mg_9,mg_10,mg_11,mg_14,mg_21
O15143,7.78482481,7.897571291,7.833710084,7.863669554,7.701688456,7.702415393,7.233092467,7.394670515,7.431275983,7.467987185,7.567794021,8.127174681,7.846986383,7.752721466,7.533854012,7.391794145,7.255878626,7.632190295,7.543382228,7.825101517,7.785357623,7.712987771
P02461,8.032657324,8.024656164,8.076019406,7.765841579,7.739980458,7.404846678,7.694011718,8.257242939,8.102234979,7.471734655,8.422766872,8.100145462,7.698686448,7.807462008,6.55072031,7.809562635,7.668432851,8.07046349,8.420020872,8.438150141,8.404549619,8.56090515
P02652,7.362240795,7.139253416,7.400566806,7.437202149,7.030653714,7.261428032,6.985499533,7.614297932,7.379190191,8.159750888,8.159481674,7.247463295,7.454029963,7.500805551,7.510579573,7.396805654,7.021541119,7.119339568,6.996222788,7.114675798,7.252923044,8.481534153
P04179,7.736174975,7.522606612,7.72421036,7.564009702,7.64427154,7.6239456,7.616721917,8.178399031,7.864178798,7.715982127,8.289538972,7.694115788,6.909186329,7.60058348,7.232941638,7.713491285,7.623293727,7.853049096,7.74093209,7.886506184,8.379440791,9.042907148
P05976,7.861487744,7.667259914,7.855465106,7.592319274,7.551832087,7.154780032,7.147020033,7.392954687,7.504033628,7.501444619,7.665939355,7.299755886,7.595114303,7.652555467,7.653174701,7.665745499,7.435739643,7.406413578,7.668876911,7.766994422,7.740375097,7.827572147
P12956,8.813015314,8.699968318,8.648012684,8.46160346,7.956046887,7.131508979,7.213402444,7.261406007,7.394813478,7.22375468,8.09361504,8.763839694,8.610117039,8.618360166,8.436809795,8.088892597,7.269585237,7.789329231,8.032156104,7.84465498,7.41690075,7.344417422
P15374,7.835135922,7.898881154,8.096232922,7.597939267,7.708153052,7.519153852,7.203139627,7.617059525,7.63486478,7.560044093,7.595251135,7.530088777,7.110234222,7.327675293,7.795040135,7.651226754,7.320835617,7.753326527,7.763836224,7.740755114,7.693271996,7.781128652
P18859,7.608284179,7.820711586,7.871767739,7.767447171,7.298351877,7.444591539,7.246055124,7.150306721,7.357907354,7.158998001,7.135969916,7.58541572,7.418927564,7.579708861,7.607856803,7.275009877,7.24669449,7.329652969,7.311184549,7.214995861,7.295643355,7.776250998
P21281,7.677015995,7.565029441,7.497691008,7.54137307,7.454332562,7.373012043,7.112282747,7.296485842,7.374002345,7.604456998,7.510705685,7.681701306,7.638656252,7.636061392,7.297850552,7.326456383,7.086113586,7.493221377,7.387503509,7.424352272,7.710905624,8.260948017
P42765,7.307673675,7.332442699,7.422257817,7.305255608,7.341752389,7.412528328,6.902748775,7.328728786,7.121793464,7.395655975,7.35370673,7.000156632,7.166079838,7.025575529,7.252159727,7.204862949,7.086659047,7.314622656,7.289528059,7.373462667,7.265846134,8.110104522
P56192,8.112130733,8.013189658,7.863046802,7.561860892,7.408446707,7.432456025,7.224602612,7.438290602,7.246190467,7.260794281,7.351337344,7.548178213,7.61110457,7.460879532,7.74787626,7.57081897,7.154910798,7.307454479,7.29107809,7.449047668,6.918510391,7.686434708
P61981,8.260903823,8.07663869,8.306173256,8.309924132,8.106358397,7.994382257,7.770297623,8.001211036,8.136041058,7.677425788,8.072826336,8.341807519,8.166019538,8.099564597,7.849252778,8.159447481,7.852350072,7.973433476,8.2485288,8.378178691,8.294158163,8.215975432
P62854,6.980114333,8.062711367,7.941226982,7.805225086,7.517839293,7.753277656,7.461589584,7.652795624,7.414358323,7.289215422,7.548650004,8.137090051,8.163902081,8.061881313,7.870918986,7.309446285,7.50002359,7.608495793,7.661101295,7.551541349,7.479340891,7.294380763
Q01995,9.553106962,9.479991114,9.555317205,9.316296851,9.368297921,9.313297722,9.298129771,9.521133366,9.575394366,8.886376765,9.571141816,9.261047697,9.167700001,9.312719527,9.380042859,9.464902537,9.367042902,9.516472672,9.685045294,9.577781537,9.738946699,9.543612089
Q02218,7.121096958,6.953116962,7.231346776,6.809090654,6.847766054,6.899168921,6.94769898,7.248756193,7.214443114,7.04217789,7.211015962,7.234376051,6.756955992,7.028877022,7.073354781,7.187106437,6.857708799,6.808130421,7.175990421,7.165709093,7.209259077,8.130878305
Q02818,7.581564603,7.519569327,7.627243396,7.290641006,7.419677433,7.297001955,7.218570231,7.822597459,7.738036118,7.985450924,7.45637168,7.609810146,7.246948311,7.60600821,7.377727338,7.676799758,7.218914719,7.436313836,7.474423307,7.654351,7.637014254,8.570410141
Q07065,8.236580849,8.910147757,8.19858161,7.868700424,7.304674389,7.453126134,7.620377999,7.882900227,8.011997107,8.139460914,8.355698902,7.93033573,7.872717692,8.17499375,7.980624535,7.909651352,8.030125856,7.992871671,8.194165208,8.399737034,8.22059171,8.431296965
Q07954,7.709239044,7.58659194,7.502137504,7.122339559,6.910125351,7.235204633,6.884322551,7.591197737,7.431098751,7.71291943,7.581606083,7.615835474,7.442695236,7.444962068,7.389454791,6.975605485,7.091745248,7.10897656,6.809721562,6.748348888,7.829111447,8.481583881
Q14011,7.340911374,7.376333114,7.607415794,7.506316725,7.613861457,7.139582204,7.197968308,6.990231204,7.413716644,7.285565578,7.610121297,7.610490263,7.572945394,7.256990965,7.398887198,7.14227437,7.014253393,7.199137862,7.806231006,7.609000448,7.530079403,6.929663604
Q14767,6.482748868,6.399086456,6.564048186,6.855082424,6.636380167,6.588072237,6.458486475,6.712124157,6.901615184,7.023204109,6.962293749,7.225931246,7.050058741,6.846512311,6.82107798,6.07183411,6.132839052,6.220517336,6.718958466,7.116071059,6.863919146,7.376771459
Q15843,7.365568662,7.780596292,7.805061316,7.850425973,7.990064441,7.734557428,7.661970032,7.82360504,7.881289287,7.648119794,7.9578536,7.719250567,7.695733721,7.749733528,7.708276667,7.931286132,7.776937318,7.809185656,7.962471096,8.16366437,7.864157604,7.342292557
Q7Z417,6.55438874,6.508820113,6.76430397,7.040642573,6.830614685,6.717310602,6.752241953,6.824947759,6.981982232,7.162219332,7.035985293,7.273100712,7.002645424,6.901308407,6.857363973,6.775015132,6.857708799,6.908942834,6.780784674,7.319632826,6.946226062,6.723717835
Q96HC4,8.549784261,8.515406251,8.645336252,8.472161125,8.323503686,7.861796084,8.019628738,8.103500443,8.460317779,7.478530966,8.307843238,8.629124782,8.35464412,8.42870015,8.360661138,8.115989906,8.06760851,8.345918116,8.504990457,8.768568003,8.437370495,8.089636843
Q9UHD8,8.423062028,8.239920787,8.22295338,8.104389829,8.031132493,7.359061176,7.48448322,7.741189142,7.974117416,7.344393314,7.831211092,8.325078851,8.140783168,8.121308307,7.843317179,7.853042641,7.364901068,7.777929074,7.905744925,8.020331861,7.822365951,6.787168411
