Protein,ctr_1,ctr_2,ctr_3,ctr_4,ctr_7,ctr_8,ctr_9,ctr_10,ctr_11,mg_1,mg_2,mg_3,mg_4,mg_7,mg_8,mg_9,mg_10,mg_11
P05556,8.05952034302945,8.49210992292858,7.86783534857322,7.63154806391295,7.16132823863449,7.47401293548297,7.04377442052731,7.16474410871955,7.46371993147032,7.65222685226444,7.77311048874607,8.00408354498315,7.76282231041254,7.09497795857564,7.47338184210635,7.28784524203861,7.84525234857824,7.9094975888939
P05787,9.61373935432754,9.50051746462302,9.54281703606666,9.37575343382736,9.35873666257598,9.31696369857684,9.19537569679546,9.57062772346496,9.62580138181251,9.19121776954164,9.26709030924561,9.34189288798545,9.44048725726739,9.44632965915809,9.21217055386792,9.49909349082444,9.60735035793724,9.64466007744898
P05976,7.85676022661921,7.66264919585695,7.85074121035688,7.58775362139694,7.54729078134838,7.15047749416854,7.14272216131395,7.38850892208815,7.49952106585872,7.29536616626643,6.99004974036492,7.64795359070923,7.64857245267381,7.66113569073002,7.4312681499822,7.40195971958144,7.66426522001819,7.76232372834004
P09104,8.58373627452251,8.67540861248205,8.68201329562827,8.64492527901104,8.3715445699868,7.96360797030511,8.2756842524415,8.44648018113562,6.86437399849868,8.53656529597481,8.68504119346266,7.36986244650152,8.65887529751044,8.68346246810313,8.14946961112447,8.37394811792821,8.49203695057821,8.76047681879091
P12955,7.00653887153063,6.92636577442861,7.0160544011403,6.96003367744714,7.14856286050182,7.01268200925007,7.12837502790827,7.56493759474,7.40515604407974,7.07012521986529,7.02474829562804,7.01100279626718,7.05091330730283,6.99311067074947,7.42407053944302,7.09016664583742,6.70977715800321,6.83940883493828
P13667,9.07234637075772,9.05629053154408,9.00783302069727,8.81982221808893,8.54648510376325,8.33842991817168,8.61624640365872,8.99889120871101,8.91142951488247,8.87922913088493,8.84716773045225,8.88060755444064,8.98361532896103,8.96620669313729,8.67231917257456,8.85983088628512,9.01884380811514,8.93423703793051
P16989,8.08955231419915,7.86381696440766,8.10341909711009,7.76626229936351,7.62246554961312,6.74559305678343,6.85781221544577,7.01809169637583,7.74667029270029,8.15575887993593,7.85670884345573,7.71843010356122,7.24442249630376,7.23478967580567,7.00047693986517,7.71043229706392,7.70396052595261,7.8823275202307
P17096,8.22012724138141,7.76168419763413,8.23978256060252,8.12363691128876,7.71350014934122,7.67212744650617,7.09462002272825,6.83563189528506,7.66727746909474,8.07822714794604,7.70384878308845,7.75361429827574,7.59052039175985,7.41775922911174,7.64994623983105,7.7449384676861,7.78176454066521,8.05232576279666
P18621,8.71640658001419,8.64498421016533,8.62040610266071,8.40050011463192,7.5355055398472,7.11296072387268,6.72750670808742,7.57837638266385,7.93172277735499,8.86950989509819,8.26173937722721,8.45912702931856,8.24155557250555,7.82181852350254,7.28887451685277,7.93255530586077,8.1143234764425,7.86944478067726
P21399,7.38607060758188,7.46309127390641,7.51032993948789,7.45235569842523,7.55772380323773,7.57253648370157,6.97376937111131,7.39368108251637,7.30489189834647,7.5031105458659,7.62542215086836,7.45746403216399,7.73310954373466,6.99193426794374,6.89054318700301,7.11171523235337,7.14736985641851,7.7941293320098
