,Protein,ctr_1,ctr_2,ctr_3,ctr_4,ctr_7,ctr_8,ctr_9,ctr_10,ctr_11
0,P05556,8.06,8.492,7.868,7.632,7.161,7.474,7.044,7.165,7.464
1,P05787,9.614,9.501,9.543,9.376,9.359,9.317,9.195,9.571,9.626
2,P05976,7.857,7.663,7.851,7.588,7.547,7.15,7.143,7.389,7.5
3,P09104,8.584,8.675,8.682,8.645,8.372,7.964,8.276,8.446,6.864
4,P12955,7.007,6.926,7.016,6.96,7.149,7.013,7.128,7.565,7.405
5,P13667,9.072,9.056,9.008,8.82,8.546,8.338,8.616,8.999,8.911
6,P16989,8.09,7.864,8.103,7.766,7.622,6.746,6.858,7.018,7.747
7,P17096,8.22,7.762,8.24,8.124,7.714,7.672,7.095,6.836,7.667
8,P18621,8.716,8.645,8.62,8.401,7.536,7.113,6.728,7.578,7.932
9,P21399,7.386,7.463,7.51,7.452,7.558,7.573,6.974,7.394,7.305
10,P24844,7.798,7.943,7.96,7.47,8.227,8.128,8.141,8.248,7.198
11,P31949,8.547,8.852,8.636,8.242,8.197,8.858,8.821,8.977,8.727
12,P47914,7.291,8.103,8.265,7.577,7.563,7.663,7.441,7.612,8.127
13,P49023,7.647,7.637,7.882,7.426,7.302,7.477,6.969,7.004,7.339
14,P60228,8.395,8.254,8.17,7.672,6.917,6.575,6.832,7.273,7.681
15,P60903,8.616,8.634,8.472,7.645,7.87,8.932,8.151,7.737,7.97
16,P62328,8.499,8.354,8.674,8.55,8.26,7.86,7.889,7.895,8.707
17,P62888,8.569,8.134,7.518,7.549,7.069,7.581,7.15,7.49,7.613
18,P67809,8.922,8.866,9.079,8.663,8.505,7.893,7.931,8.159,8.678
19,P67936,8.751,8.747,8.853,8.651,8.242,7.778,8.121,8.453,8.913
20,P80723,8.168,7.981,8.009,7.779,7.762,6.808,7.202,7.123,8.197
21,Q01995,9.547,9.474,9.55,9.311,9.363,9.308,9.293,9.515,9.57
22,Q02790,8.373,8.207,7.892,7.823,7.307,7.102,7.014,7.172,7.038
23,Q07065,8.232,8.905,8.194,7.864,7.3,7.449,7.616,7.878,8.007
24,Q07954,7.705,7.545,7.564,7.118,6.906,7.221,7.035,7.587,7.427
25,Q14157,8.274,8.139,8.231,8.109,7.192,7.67,7.002,6.661,7.169
26,Q14203,7.93,7.705,7.694,7.572,7.649,7.373,7.233,7.452,6.917
27,Q15459,7.416,7.833,7.49,7.528,7.233,7.376,6.751,6.688,6.831
28,Q16181,8.055,8.018,7.922,7.913,7.84,7.599,7.442,7.231,6.733
29,Q3SX28,9.38,9.286,9.559,9.341,9.262,8.918,9.089,9.289,9.563
30,Q7Z417,6.55,6.505,6.76,7.036,6.827,7.719,7.378,6.821,6.978
31,Q7Z4V5,7.307,7.255,7.418,7.141,7.305,7.368,7.243,7.152,6.879
32,Q86UP2,7.932,7.982,7.557,7.47,7.349,7.676,7.096,7.576,7.242
33,Q92841,8.581,8.603,8.23,7.999,7.802,7.289,7.006,7.532,6.886
34,Q969G3,7.406,7.566,7.665,7.468,7.366,7.493,7.044,6.867,7.129
35,Q99613,8.352,8.392,8.403,8.119,7.811,7.47,7.229,7.689,7.258
36,Q99879,9.723,9.279,9.477,9.127,8.783,9.021,9.067,9.009,8.974
37,Q9NQP4,7.917,7.723,7.844,7.658,7.568,6.853,7.401,7.404,7.415
38,Q9UN86,7.25,7.353,7.471,7.407,7.079,6.725,7.072,6.577,7.591
39,Q9Y2D5,8.017,8.012,7.88,7.367,7.313,6.748,6.591,7.004,7.085
40,Q9Y5S9,7.757,7.612,7.858,7.184,7.1,7.474,6.775,6.791,7.262
