,Protein,mg_1,mg_2,mg_3,mg_4,mg_7,mg_8,mg_9,mg_10,mg_11
0,P05556,7.652,7.773,8.004,7.763,7.095,7.473,7.288,7.845,7.909
1,P05787,9.191,9.267,9.342,9.44,9.446,9.212,9.499,9.607,9.645
2,P05976,7.295,6.99,7.648,7.649,7.661,7.431,7.402,7.664,7.762
3,P09104,8.537,8.685,7.37,8.659,8.683,8.149,8.374,8.492,8.76
4,P12955,7.07,7.025,7.011,7.051,6.993,7.424,7.09,6.71,6.839
5,P13667,8.879,8.847,8.881,8.984,8.966,8.672,8.86,9.019,8.934
6,P16989,8.156,7.857,7.718,7.244,7.235,7.0,7.71,7.704,7.882
7,P17096,8.078,7.704,7.754,7.591,7.418,7.65,7.745,7.782,8.052
8,P18621,8.87,8.262,8.459,8.242,7.822,7.289,7.933,8.114,7.869
9,P21399,7.503,7.625,7.457,7.733,6.992,6.891,7.112,7.147,7.794
10,P24844,7.84,7.536,7.993,8.027,8.302,8.121,8.422,8.47,8.558
11,P31949,7.989,8.418,8.602,8.835,8.553,8.663,8.499,8.812,8.717
12,P47914,8.668,8.046,7.514,7.552,7.65,7.466,7.77,8.175,6.663
13,P49023,7.801,7.566,7.441,7.045,7.191,6.971,7.405,7.409,7.736
14,P60228,8.152,7.877,7.931,8.088,7.622,7.22,7.263,7.641,7.531
15,P60903,7.737,7.208,7.674,8.204,8.761,8.225,8.478,7.831,8.166
16,P62328,8.606,8.09,8.116,8.15,8.45,7.949,8.492,8.458,9.131
17,P62888,7.485,7.832,7.819,8.076,7.515,7.297,7.469,7.63,7.558
18,P67809,9.01,8.723,8.804,8.565,8.287,8.22,8.541,8.723,8.856
19,P67936,8.789,8.573,8.592,8.471,8.518,8.245,8.493,8.919,8.933
20,P80723,8.099,7.895,7.738,7.497,7.401,7.465,7.746,8.124,8.4
21,Q01995,9.255,9.162,9.307,9.374,9.459,9.361,9.511,9.679,9.572
22,Q02790,7.901,7.955,8.152,8.291,7.499,7.064,7.15,7.147,7.379
23,Q07065,7.926,7.868,8.17,7.976,7.905,8.025,7.988,8.189,8.395
24,Q07954,7.611,7.567,7.561,7.23,6.971,6.968,7.105,6.806,6.744
25,Q14157,8.096,8.02,8.171,8.201,6.799,7.056,7.548,7.875,7.876
26,Q14203,7.649,7.807,7.771,7.495,7.001,7.283,7.261,7.277,7.592
27,Q15459,7.759,7.742,7.433,7.142,6.623,6.596,6.647,7.443,7.087
28,Q16181,8.089,8.022,8.012,7.913,7.374,7.191,7.443,7.45,7.877
29,Q3SX28,9.495,9.189,9.346,9.191,9.299,9.092,9.544,9.61,9.718
30,Q7Z417,7.269,7.163,7.194,7.77,7.502,7.006,6.905,6.777,7.315
31,Q7Z4V5,7.397,7.203,7.123,6.795,6.771,6.762,7.141,7.442,7.278
32,Q86UP2,7.849,7.769,7.813,7.545,6.956,7.063,7.308,7.389,7.944
33,Q92841,8.565,8.244,8.084,8.283,7.832,6.861,7.525,8.077,7.961
34,Q969G3,7.274,7.572,7.525,7.395,6.992,7.178,6.967,7.27,7.641
35,Q99613,8.326,8.291,8.28,8.201,6.836,7.353,7.469,7.854,7.907
36,Q99879,9.386,9.262,9.401,9.556,9.205,8.913,8.852,8.901,8.786
37,Q9NQP4,7.763,7.5,7.521,7.404,7.53,7.928,7.67,7.558,7.561
38,Q9UN86,7.857,7.542,7.43,6.79,6.691,7.081,6.971,7.655,7.894
39,Q9Y2D5,8.019,7.449,7.741,7.837,7.242,7.086,7.341,7.66,7.71
40,Q9Y5S9,7.704,7.434,7.327,6.892,6.895,7.218,7.417,7.586,7.615
