#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0006810	Transport	17	4353	0.47	0.0396	9606.ENSP00000243077,9606.ENSP00000262584,9606.ENSP00000276390,9606.ENSP00000285093,9606.ENSP00000295927,9606.ENSP00000306330,9606.ENSP00000310226,9606.ENSP00000317379,9606.ENSP00000348849,9606.ENSP00000348886,9606.ENSP00000352257,9606.ENSP00000355217,9606.ENSP00000356969,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000389649,9606.ENSP00000414982	LRP1,RPL8,ATP6V1B2,ACAA2,PTX3,YWHAG,RAB1B,GLS,RPS26,STOML2,XRCC6,SNX6,APOA2,CKAP4,PRDX4,ATP5J,KLC1
GO Process	GO:0051179	Localization	19	5591	0.41	0.0396	9606.ENSP00000243077,9606.ENSP00000250495,9606.ENSP00000262584,9606.ENSP00000276390,9606.ENSP00000285093,9606.ENSP00000295927,9606.ENSP00000306330,9606.ENSP00000310226,9606.ENSP00000317379,9606.ENSP00000348849,9606.ENSP00000348886,9606.ENSP00000352257,9606.ENSP00000355217,9606.ENSP00000356969,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000389649,9606.ENSP00000391249,9606.ENSP00000414982	LRP1,NEDD8,RPL8,ATP6V1B2,ACAA2,PTX3,YWHAG,RAB1B,GLS,RPS26,STOML2,XRCC6,SNX6,APOA2,CKAP4,PRDX4,ATP5J,SEPT9,KLC1
GO Function	GO:0003723	RNA binding	12	1649	0.74	0.0013	9606.ENSP00000215793,9606.ENSP00000243077,9606.ENSP00000262027,9606.ENSP00000262584,9606.ENSP00000285093,9606.ENSP00000306330,9606.ENSP00000327070,9606.ENSP00000348849,9606.ENSP00000352257,9606.ENSP00000357705,9606.ENSP00000367265,9606.ENSP00000466897	SF3A1,LRP1,MARS,RPL8,ACAA2,YWHAG,MDH2,RPS26,XRCC6,S100A4,CKAP4,CIRBP
GO Component	GO:0031982	Vesicle	18	3879	0.54	0.00012	9606.ENSP00000243077,9606.ENSP00000250495,9606.ENSP00000262027,9606.ENSP00000276390,9606.ENSP00000295927,9606.ENSP00000306330,9606.ENSP00000310226,9606.ENSP00000327070,9606.ENSP00000348849,9606.ENSP00000352257,9606.ENSP00000355217,9606.ENSP00000356969,9606.ENSP00000357705,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000385923,9606.ENSP00000414982,9606.ENSP00000446252	LRP1,NEDD8,MARS,ATP6V1B2,PTX3,YWHAG,RAB1B,MDH2,RPS26,XRCC6,SNX6,APOA2,S100A4,CKAP4,PRDX4,NUCB1,KLC1,SOD2
GO Component	GO:0070062	Extracellular exosome	13	2099	0.67	0.00058	9606.ENSP00000250495,9606.ENSP00000262027,9606.ENSP00000276390,9606.ENSP00000306330,9606.ENSP00000310226,9606.ENSP00000327070,9606.ENSP00000348849,9606.ENSP00000356969,9606.ENSP00000357705,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000385923,9606.ENSP00000446252	NEDD8,MARS,ATP6V1B2,YWHAG,RAB1B,MDH2,RPS26,APOA2,S100A4,CKAP4,PRDX4,NUCB1,SOD2
GO Component	GO:0005615	Extracellular space	15	3195	0.55	0.00068	9606.ENSP00000250495,9606.ENSP00000262027,9606.ENSP00000276390,9606.ENSP00000295927,9606.ENSP00000306330,9606.ENSP00000310226,9606.ENSP00000327070,9606.ENSP00000348849,9606.ENSP00000356969,9606.ENSP00000357705,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000385923,9606.ENSP00000389649,9606.ENSP00000446252	NEDD8,MARS,ATP6V1B2,PTX3,YWHAG,RAB1B,MDH2,RPS26,APOA2,S100A4,CKAP4,PRDX4,NUCB1,ATP5J,SOD2
GO Component	GO:0005576	Extracellular region	16	4166	0.46	0.0026	9606.ENSP00000250495,9606.ENSP00000262027,9606.ENSP00000276390,9606.ENSP00000295927,9606.ENSP00000306330,9606.ENSP00000310226,9606.ENSP00000327070,9606.ENSP00000348849,9606.ENSP00000352257,9606.ENSP00000356969,9606.ENSP00000357705,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000385923,9606.ENSP00000389649,9606.ENSP00000446252	NEDD8,MARS,ATP6V1B2,PTX3,YWHAG,RAB1B,MDH2,RPS26,XRCC6,APOA2,S100A4,CKAP4,PRDX4,NUCB1,ATP5J,SOD2
GO Component	GO:0043229	Intracellular organelle	26	12528	0.19	0.0026	9606.ENSP00000215793,9606.ENSP00000243077,9606.ENSP00000250495,9606.ENSP00000262027,9606.ENSP00000262584,9606.ENSP00000276390,9606.ENSP00000285093,9606.ENSP00000295927,9606.ENSP00000306330,9606.ENSP00000310226,9606.ENSP00000317379,9606.ENSP00000327070,9606.ENSP00000348849,9606.ENSP00000348886,9606.ENSP00000352257,9606.ENSP00000355217,9606.ENSP00000356969,9606.ENSP00000357705,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000385923,9606.ENSP00000389649,9606.ENSP00000391249,9606.ENSP00000414982,9606.ENSP00000446252,9606.ENSP00000466897	SF3A1,LRP1,NEDD8,MARS,RPL8,ATP6V1B2,ACAA2,PTX3,YWHAG,RAB1B,GLS,MDH2,RPS26,STOML2,XRCC6,SNX6,APOA2,S100A4,CKAP4,PRDX4,NUCB1,ATP5J,SEPT9,KLC1,SOD2,CIRBP
GO Component	GO:0005737	Cytoplasm	25	11428	0.22	0.0036	9606.ENSP00000243077,9606.ENSP00000250495,9606.ENSP00000262027,9606.ENSP00000262584,9606.ENSP00000276390,9606.ENSP00000285093,9606.ENSP00000295927,9606.ENSP00000306330,9606.ENSP00000310226,9606.ENSP00000317379,9606.ENSP00000327070,9606.ENSP00000348849,9606.ENSP00000348886,9606.ENSP00000352257,9606.ENSP00000355217,9606.ENSP00000356969,9606.ENSP00000357705,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000385923,9606.ENSP00000389649,9606.ENSP00000391249,9606.ENSP00000414982,9606.ENSP00000446252,9606.ENSP00000466897	LRP1,NEDD8,MARS,RPL8,ATP6V1B2,ACAA2,PTX3,YWHAG,RAB1B,GLS,MDH2,RPS26,STOML2,XRCC6,SNX6,APOA2,S100A4,CKAP4,PRDX4,NUCB1,ATP5J,SEPT9,KLC1,SOD2,CIRBP
GO Component	GO:0031410	Cytoplasmic vesicle	11	2386	0.54	0.0203	9606.ENSP00000243077,9606.ENSP00000276390,9606.ENSP00000295927,9606.ENSP00000310226,9606.ENSP00000352257,9606.ENSP00000355217,9606.ENSP00000356969,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000385923,9606.ENSP00000414982	LRP1,ATP6V1B2,PTX3,RAB1B,XRCC6,SNX6,APOA2,CKAP4,PRDX4,NUCB1,KLC1
