#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0051649	Establishment of localization in cell	28	2375	0.51	0.00010	9606.ENSP00000223095,9606.ENSP00000223136,9606.ENSP00000236671,9606.ENSP00000251453,9606.ENSP00000262584,9606.ENSP00000264954,9606.ENSP00000295927,9606.ENSP00000306330,9606.ENSP00000310226,9606.ENSP00000325905,9606.ENSP00000344456,9606.ENSP00000348849,9606.ENSP00000348886,9606.ENSP00000349748,9606.ENSP00000352257,9606.ENSP00000353375,9606.ENSP00000355217,9606.ENSP00000357048,9606.ENSP00000357836,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000370010,9606.ENSP00000375978,9606.ENSP00000389649,9606.ENSP00000428085,9606.ENSP00000480332	SERPINE1,FIS1,CTSD,RPS16,RPL8,GRPEL1,PTX3,YWHAG,RAB1B,SRSF7,CTNNB1,RPS26,STOML2,SFPQ,XRCC6,MAP4,SNX6,COPA,SNX27,RPL10A,RPL11,CKAP4,PRDX4,TMSB4X,XRCC5,ATP5J,RPL30,TRAPPC3
GO Process	GO:0051234	Establishment of localization	38	4479	0.36	0.00025	9606.ENSP00000215071,9606.ENSP00000223095,9606.ENSP00000223136,9606.ENSP00000236671,9606.ENSP00000243077,9606.ENSP00000251453,9606.ENSP00000262584,9606.ENSP00000264954,9606.ENSP00000273398,9606.ENSP00000276390,9606.ENSP00000285093,9606.ENSP00000295927,9606.ENSP00000306330,9606.ENSP00000310226,9606.ENSP00000317379,9606.ENSP00000325905,9606.ENSP00000344456,9606.ENSP00000348849,9606.ENSP00000348886,9606.ENSP00000349748,9606.ENSP00000352257,9606.ENSP00000353375,9606.ENSP00000355217,9606.ENSP00000356969,9606.ENSP00000357048,9606.ENSP00000357836,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000365131,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000370010,9606.ENSP00000375978,9606.ENSP00000389631,9606.ENSP00000389649,9606.ENSP00000414982,9606.ENSP00000428085,9606.ENSP00000480332	PSMD8,SERPINE1,FIS1,CTSD,LRP1,RPS16,RPL8,GRPEL1,ATP6V1A,ATP6V1B2,ACAA2,PTX3,YWHAG,RAB1B,GLS,SRSF7,CTNNB1,RPS26,STOML2,SFPQ,XRCC6,MAP4,SNX6,APOA2,COPA,SNX27,RPL10A,RPL11,BAG6,CKAP4,PRDX4,TMSB4X,XRCC5,ARPC1B,ATP5J,KLC1,RPL30,TRAPPC3
GO Process	GO:0051641	Cellular localization	30	2967	0.44	0.00027	9606.ENSP00000223095,9606.ENSP00000223136,9606.ENSP00000236671,9606.ENSP00000251453,9606.ENSP00000262584,9606.ENSP00000264954,9606.ENSP00000295927,9606.ENSP00000306330,9606.ENSP00000310226,9606.ENSP00000325905,9606.ENSP00000344456,9606.ENSP00000348849,9606.ENSP00000348886,9606.ENSP00000349748,9606.ENSP00000352257,9606.ENSP00000353375,9606.ENSP00000355217,9606.ENSP00000357048,9606.ENSP00000357836,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000365131,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000370010,9606.ENSP00000375978,9606.ENSP00000389649,9606.ENSP00000391249,9606.ENSP00000428085,9606.ENSP00000480332	SERPINE1,FIS1,CTSD,RPS16,RPL8,GRPEL1,PTX3,YWHAG,RAB1B,SRSF7,CTNNB1,RPS26,STOML2,SFPQ,XRCC6,MAP4,SNX6,COPA,SNX27,RPL10A,RPL11,BAG6,CKAP4,PRDX4,TMSB4X,XRCC5,ATP5J,SEPT9,RPL30,TRAPPC3
GO Process	GO:0006810	Transport	36	4353	0.35	0.00068	9606.ENSP00000215071,9606.ENSP00000223095,9606.ENSP00000223136,9606.ENSP00000236671,9606.ENSP00000243077,9606.ENSP00000251453,9606.ENSP00000262584,9606.ENSP00000264954,9606.ENSP00000273398,9606.ENSP00000276390,9606.ENSP00000285093,9606.ENSP00000295927,9606.ENSP00000306330,9606.ENSP00000310226,9606.ENSP00000317379,9606.ENSP00000325905,9606.ENSP00000344456,9606.ENSP00000348849,9606.ENSP00000348886,9606.ENSP00000349748,9606.ENSP00000352257,9606.ENSP00000355217,9606.ENSP00000356969,9606.ENSP00000357048,9606.ENSP00000357836,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000370010,9606.ENSP00000375978,9606.ENSP00000389631,9606.ENSP00000389649,9606.ENSP00000414982,9606.ENSP00000428085,9606.ENSP00000480332	PSMD8,SERPINE1,FIS1,CTSD,LRP1,RPS16,RPL8,GRPEL1,ATP6V1A,ATP6V1B2,ACAA2,PTX3,YWHAG,RAB1B,GLS,SRSF7,CTNNB1,RPS26,STOML2,SFPQ,XRCC6,SNX6,APOA2,COPA,SNX27,RPL10A,RPL11,CKAP4,PRDX4,TMSB4X,XRCC5,ARPC1B,ATP5J,KLC1,RPL30,TRAPPC3
GO Process	GO:0044248	Cellular catabolic process	22	1758	0.53	0.00068	9606.ENSP00000215071,9606.ENSP00000222673,9606.ENSP00000223136,9606.ENSP00000243077,9606.ENSP00000250495,9606.ENSP00000251453,9606.ENSP00000262584,9606.ENSP00000285093,9606.ENSP00000298510,9606.ENSP00000306015,9606.ENSP00000310226,9606.ENSP00000317379,9606.ENSP00000335304,9606.ENSP00000344456,9606.ENSP00000348849,9606.ENSP00000356969,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000365131,9606.ENSP00000366819,9606.ENSP00000407375,9606.ENSP00000428085	PSMD8,OGDH,FIS1,LRP1,NEDD8,RPS16,RPL8,ACAA2,PRDX3,SYNPO2,RAB1B,GLS,DLST,CTNNB1,RPS26,APOA2,RPL10A,RPL11,BAG6,UCHL3,GPX1,RPL30
GO Process	GO:0008104	Protein localization	24	2139	0.48	0.00074	9606.ENSP00000223136,9606.ENSP00000243077,9606.ENSP00000250495,9606.ENSP00000251453,9606.ENSP00000262584,9606.ENSP00000264954,9606.ENSP00000273398,9606.ENSP00000276390,9606.ENSP00000306330,9606.ENSP00000310226,9606.ENSP00000325905,9606.ENSP00000344456,9606.ENSP00000348849,9606.ENSP00000349748,9606.ENSP00000355217,9606.ENSP00000357048,9606.ENSP00000357836,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000365131,9606.ENSP00000370010,9606.ENSP00000375978,9606.ENSP00000391249,9606.ENSP00000428085	FIS1,LRP1,NEDD8,RPS16,RPL8,GRPEL1,ATP6V1A,ATP6V1B2,YWHAG,RAB1B,SRSF7,CTNNB1,RPS26,SFPQ,SNX6,COPA,SNX27,RPL10A,RPL11,BAG6,TMSB4X,XRCC5,SEPT9,RPL30
GO Process	GO:0033036	Macromolecule localization	26	2473	0.46	0.00074	9606.ENSP00000223136,9606.ENSP00000243077,9606.ENSP00000250495,9606.ENSP00000251453,9606.ENSP00000262584,9606.ENSP00000264954,9606.ENSP00000273398,9606.ENSP00000276390,9606.ENSP00000306330,9606.ENSP00000310226,9606.ENSP00000325905,9606.ENSP00000344456,9606.ENSP00000348849,9606.ENSP00000348886,9606.ENSP00000349748,9606.ENSP00000355217,9606.ENSP00000356969,9606.ENSP00000357048,9606.ENSP00000357836,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000365131,9606.ENSP00000370010,9606.ENSP00000375978,9606.ENSP00000391249,9606.ENSP00000428085	FIS1,LRP1,NEDD8,RPS16,RPL8,GRPEL1,ATP6V1A,ATP6V1B2,YWHAG,RAB1B,SRSF7,CTNNB1,RPS26,STOML2,SFPQ,SNX6,APOA2,COPA,SNX27,RPL10A,RPL11,BAG6,TMSB4X,XRCC5,SEPT9,RPL30
GO Process	GO:0051179	Localization	41	5591	0.3	0.00078	9606.ENSP00000215071,9606.ENSP00000223095,9606.ENSP00000223136,9606.ENSP00000236671,9606.ENSP00000243077,9606.ENSP00000250495,9606.ENSP00000251453,9606.ENSP00000262584,9606.ENSP00000264954,9606.ENSP00000273398,9606.ENSP00000276390,9606.ENSP00000285093,9606.ENSP00000295927,9606.ENSP00000306330,9606.ENSP00000310226,9606.ENSP00000317379,9606.ENSP00000325905,9606.ENSP00000344456,9606.ENSP00000348849,9606.ENSP00000348886,9606.ENSP00000349748,9606.ENSP00000352257,9606.ENSP00000353375,9606.ENSP00000355217,9606.ENSP00000356969,9606.ENSP00000357048,9606.ENSP00000357836,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000365131,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000370010,9606.ENSP00000375978,9606.ENSP00000389631,9606.ENSP00000389649,9606.ENSP00000391249,9606.ENSP00000407375,9606.ENSP00000414982,9606.ENSP00000428085,9606.ENSP00000480332	PSMD8,SERPINE1,FIS1,CTSD,LRP1,NEDD8,RPS16,RPL8,GRPEL1,ATP6V1A,ATP6V1B2,ACAA2,PTX3,YWHAG,RAB1B,GLS,SRSF7,CTNNB1,RPS26,STOML2,SFPQ,XRCC6,MAP4,SNX6,APOA2,COPA,SNX27,RPL10A,RPL11,BAG6,CKAP4,PRDX4,TMSB4X,XRCC5,ARPC1B,ATP5J,SEPT9,GPX1,KLC1,RPL30,TRAPPC3
GO Process	GO:0044403	Symbiotic process	15	865	0.67	0.00079	9606.ENSP00000251453,9606.ENSP00000253024,9606.ENSP00000262584,9606.ENSP00000295927,9606.ENSP00000310226,9606.ENSP00000344456,9606.ENSP00000348849,9606.ENSP00000352257,9606.ENSP00000356969,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000375978,9606.ENSP00000407375,9606.ENSP00000414982,9606.ENSP00000428085	RPS16,TRIM28,RPL8,PTX3,RAB1B,CTNNB1,RPS26,XRCC6,APOA2,RPL10A,RPL11,XRCC5,GPX1,KLC1,RPL30
GO Process	GO:0009056	Catabolic process	23	2042	0.49	0.00084	9606.ENSP00000215071,9606.ENSP00000222673,9606.ENSP00000223136,9606.ENSP00000236671,9606.ENSP00000243077,9606.ENSP00000250495,9606.ENSP00000251453,9606.ENSP00000262584,9606.ENSP00000285093,9606.ENSP00000298510,9606.ENSP00000306015,9606.ENSP00000310226,9606.ENSP00000317379,9606.ENSP00000335304,9606.ENSP00000344456,9606.ENSP00000348849,9606.ENSP00000356969,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000365131,9606.ENSP00000366819,9606.ENSP00000407375,9606.ENSP00000428085	PSMD8,OGDH,FIS1,CTSD,LRP1,NEDD8,RPS16,RPL8,ACAA2,PRDX3,SYNPO2,RAB1B,GLS,DLST,CTNNB1,RPS26,APOA2,RPL10A,RPL11,BAG6,UCHL3,GPX1,RPL30
