category,BackgroundGeneCount,ProteinCount,ProteinNames,FDR,Description,Strength
GO Biological Function,43,3,"MYL9,MYL1,TPM4",0.0373,Structural constituent of muscle,0.8573157249875267
GO Biological Function,289,6,"YBX3,ACO1,G3BP2,YBX1,RPL30,RBM8A",0.0163,mRNA binding,0.5937019805899016
GO Biological Function,334,6,"EIF3E,S100A11,KTN1,ITGB1,SEPTIN7,RPL29",0.0246,Cadherin binding,0.5724119566392377
GO Biological Function,538,7,"EIF3E,PXN,S100A11,KTN1,ITGB1,SEPTIN7,RPL29",0.0373,Cell adhesion molecule binding,0.5300566713581054
GO Biological Function,1649,21,"FKBP4,SF3A1,EIF3E,NUFIP2,YBX3,LRP1,PDIA4,ACO1,SMARCE1,EIF3C,G3BP2,YBX1,CKAP4,TMSB4X,KTN1,DDX17,UBAP2L,RPL17,RPL29,RPL30,RBM8A",2.66e-09,RNA binding,0.5276029603455781
GO Biological Function,635,8,"MYL9,MYL1,TPM4,SEPTIN7,RPL17,HMGA1,RPL29,RPL30",0.018,Structural molecule activity,0.5261864227596228
GO Biological Function,973,9,"FKBP4,PXN,MYL9,TPM4,DCTN1,TMSB4X,KTN1,ITGB1,TAGLN",0.0377,Cytoskeletal protein binding,0.4915414448495512
GO Biological Function,3947,24,"FKBP4,SF3A1,EIF3E,NUFIP2,YBX3,LRP1,PDIA4,ACO1,BASP1,SMARCE1,EIF3C,G3BP2,YBX1,CKAP4,TMSB4X,KTN1,DDX17,UBAP2L,RPL17,HMGA1,RPL29,RPL30,RBM8A,H2BC14",7.08e-05,Nucleic acid binding,0.4512093963853968
GO Biological Function,5831,25,"FKBP4,SF3A1,EIF3E,NUFIP2,YBX3,LRP1,PDIA4,ACO1,BASP1,SMARCE1,EIF3C,G3BP2,YBX1,CKAP4,TMSB4X,KTN1,DDX17,SEPTIN7,UBAP2L,RPL17,HMGA1,RPL29,RPL30,RBM8A,H2BC14",0.0155,Heterocyclic compound binding,0.4223013086892989
GO Biological Function,5916,25,"FKBP4,SF3A1,EIF3E,NUFIP2,YBX3,LRP1,PDIA4,ACO1,BASP1,SMARCE1,EIF3C,G3BP2,YBX1,CKAP4,TMSB4X,KTN1,DDX17,SEPTIN7,UBAP2L,RPL17,HMGA1,RPL29,RPL30,RBM8A,H2BC14",0.0163,Organic cyclic compound binding,0.4211835867591583
