category,BackgroundGeneCount,ProteinCount,ProteinNames,FDR,Description,Strength
COMPARTMENTS,11202,39,"Q02790,Q15459,P60228,Q7Z417,P16989,Q07954,P12955,P49023,P31949,P24844,P13667,P05976,P21399,P80723,Q969G3,Q99613,P67936,Q9UN86,Q14203,P60903,Q9NQP4,P67809,Q07065,P62328,Q86UP2,P05556,Q92841,Q16181,Q14157,P18621,P17096,P47914,P62888,Q01995,P09104,P05787,Q9Y5S9,Q99879,Q7Z4V5",1.5e-05,Intracellular,0.40677363873530403
COMPARTMENTS,9848,37,"Q02790,Q15459,P60228,Q7Z417,P16989,Q07954,P12955,P49023,P31949,P24844,P13667,P05976,P21399,P80723,Q969G3,P67936,Q9UN86,Q14203,P60903,Q9NQP4,P67809,Q07065,P62328,Q86UP2,P05556,Q92841,Q16181,Q14157,P18621,P17096,P47914,P62888,P09104,P05787,Q9Y5S9,Q99879,Q7Z4V5",1.5e-05,Organelle,0.41232175515241687
COMPARTMENTS,9242,36,"Q02790,Q15459,P60228,Q7Z417,P16989,Q07954,P12955,P49023,P31949,P24844,P13667,P05976,P21399,P80723,Q969G3,P67936,Q9UN86,Q14203,Q9NQP4,P67809,Q07065,P62328,Q86UP2,P05556,Q92841,Q16181,Q14157,P18621,P17096,P47914,P62888,P09104,P05787,Q9Y5S9,Q99879,Q7Z4V5",1.5e-05,Intracellular organelle,0.4150048399143616
COMPARTMENTS,2919,21,"Q02790,P60228,P16989,P49023,P24844,P05976,P21399,P67936,Q9UN86,Q14203,Q9NQP4,P67809,Q07065,P62328,Q16181,P18621,P47914,P62888,P09104,P05787,Q9Y5S9",1.93e-05,Cytosol,0.46657817554316233
COMPARTMENTS,7871,32,"Q02790,P60228,Q7Z417,P16989,Q07954,P12955,P49023,P31949,P24844,P13667,P05976,P21399,P80723,Q99613,P67936,Q9UN86,Q14203,P60903,Q9NQP4,P67809,Q07065,P62328,Q86UP2,P05556,Q16181,P18621,P47914,P62888,Q01995,P09104,P05787,Q9Y5S9",0.00015,Cytoplasm,0.4182289072331734
COMPARTMENTS,5142,26,"Q15459,P60228,Q7Z417,Q07954,P12955,P49023,P24844,P05976,P21399,Q969G3,Q99613,P67936,Q14203,P60903,Q9NQP4,P67809,P05556,Q16181,Q14157,P18621,P17096,P47914,P62888,P09104,Q9Y5S9,Q99879",0.00015,Protein-containing complex,0.43547498052506467
COMPARTMENTS,562,9,"Q15459,P60228,Q7Z417,Q99613,P67809,P18621,P47914,P62888,Q9Y5S9",0.00057,Ribonucleoprotein complex,0.5566794649802851
COMPARTMENTS,769,10,"Q7Z417,P24844,P05976,P67936,Q9UN86,Q14203,P67809,Q07065,P09104,P05787",0.00077,Supramolecular complex,0.5300566713581054
COMPARTMENTS,3196,19,"Q7Z417,P49023,P24844,P05976,Q969G3,P67936,Q9UN86,Q14203,P67809,Q07065,P62328,Q16181,P18621,P17096,P47914,P62888,P09104,P05787,Q99879",0.0012,Intracellular non-membrane-bounded organelle,0.44921833050436033
COMPARTMENTS,13853,39,"Q02790,Q15459,P60228,Q7Z417,P16989,Q07954,P12955,P49023,P31949,P24844,P13667,P05976,P21399,P80723,Q969G3,Q99613,P67936,Q9UN86,Q14203,P60903,Q9NQP4,P67809,Q07065,P62328,Q86UP2,P05556,Q92841,Q16181,Q14157,P18621,P17096,P47914,P62888,Q01995,P09104,P05787,Q9Y5S9,Q99879,Q7Z4V5",0.0037,Cellular anatomical entity,0.39206298652642646
COMPARTMENTS,4636,22,"Q02790,Q15459,P60228,Q7Z417,P16989,P31949,P80723,Q969G3,Q14203,Q9NQP4,P67809,Q07065,P62328,Q92841,Q16181,Q14157,P17096,P62888,P05787,Q9Y5S9,Q99879,Q7Z4V5",0.0039,Nucleus,0.4303084457472716
COMPARTMENTS,36,3,"P49023,P67936,Q16181",0.0121,Stress fiber,0.9164386901079065
COMPARTMENTS,355,6,"P49023,P24844,P05976,P67936,Q14203,Q16181",0.013,Actin cytoskeleton,0.5638889738471993
COMPARTMENTS,8685,30,"Q02790,Q15459,P60228,Q7Z417,P16989,Q07954,P12955,P31949,P13667,P21399,P80723,Q969G3,Q14203,P60903,Q9NQP4,P67809,Q07065,P62328,Q86UP2,P05556,Q92841,Q16181,Q14157,P17096,P62888,P09104,P05787,Q9Y5S9,Q99879,Q7Z4V5",0.013,Membrane-bounded organelle,0.4062070764284659
COMPARTMENTS,7476,27,"Q02790,Q15459,P60228,Q7Z417,P16989,Q07954,P12955,P31949,P13667,P21399,P80723,Q969G3,Q14203,Q9NQP4,P67809,Q07065,P62328,Q86UP2,Q92841,Q16181,Q14157,P17096,P62888,P05787,Q9Y5S9,Q99879,Q7Z4V5",0.0206,Intracellular membrane-bounded organelle,0.4094226801372044
COMPARTMENTS,51,3,"P18621,P47914,P62888",0.021,Cytosolic large ribosomal subunit,0.8071141697258987
COMPARTMENTS,9,2,"P60228,Q99613",0.0243,Translation preinitiation complex,1.4304719038114166
COMPARTMENTS,59,3,"Q7Z417,Q9UN86,P67809",0.0287,Cytoplasmic stress granule,0.7685627134356309
COMPARTMENTS,490,6,"P24844,P05976,P67936,Q14203,P09104,P05787",0.0472,Supramolecular fiber,0.5227308895497654
GO Biological Process,72,5,"P60228,Q99613,P18621,P47914,P62888",0.0062,Cytoplasmic translation,0.8587724226296367
GO Biological Process,119,5,"P60228,P18621,P47914,P62888,Q9Y5S9",0.033,"Nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",0.7244742850605095
GO Biological Process,141,5,"P60228,Q99613,P18621,P47914,P62888",0.0488,Translational initiation,0.6880331508460507
GO Cellular Component,5073,28,"Q02790,Q15459,P60228,Q7Z417,Q07954,P49023,P24844,P05976,Q969G3,Q99613,P67936,Q9UN86,Q14203,P60903,Q9NQP4,P67809,P05556,Q92841,Q16181,Q14157,P18621,P17096,P47914,P62888,P09104,P05787,Q9Y5S9,Q99879",1.21e-05,Protein-containing complex,0.442812448039124
GO Cellular Component,677,11,"Q15459,P60228,Q7Z417,Q99613,Q9UN86,P67809,Q92841,P18621,P47914,P62888,Q9Y5S9",7.12e-05,Ribonucleoprotein complex,0.5586788781585922
GO Cellular Component,5193,26,"Q02790,P60228,Q7Z417,P16989,P49023,P24844,P05976,P21399,Q99613,P67936,Q9UN86,Q14203,Q9NQP4,P67809,Q07065,P62328,Q92841,Q16181,P18621,P17096,P47914,P62888,P09104,P05787,Q9Y5S9,Q99879",0.00023,Cytosol,0.43466381369153934
