category,BackgroundGeneCount,ProteinCount,ProteinNames,FDR,Description,Strength
COMPARTMENTS,2919,22,"Q9Y3D6,O60869,P63208,P13861,P49023,P62979,P61981,P37837,P46778,P27816,P53621,P06753,Q07065,P62328,Q00341,P43487,P27635,P62861,P09104,Q99471,O43617,Q96HC4",1.16e-05,Cytosol,0.47101820939207883
COMPARTMENTS,5142,28,"Q02218,Q9Y3D6,Q7Z417,P63208,Q07954,Q13263,P13861,P49023,P62979,Q9UQ35,P02461,P46778,P27816,P02652,P53621,P06753,P60903,P13010,O15143,P43487,P27635,P62861,P09104,P04179,Q99471,Q6P2Q9,O43617,Q96HC4",1.16e-05,Protein-containing complex,0.4416651939786849
COMPARTMENTS,11202,38,"Q02218,Q9Y3D6,O60869,Q7Z417,P63208,Q07954,Q13263,P13861,P49023,P62979,Q9UQ35,P02461,P61981,P37837,P46778,P27816,Q9UPN3,Q05682,P53621,P06753,P60903,Q07065,P62328,Q00341,P13010,Q02818,O15143,P43487,P27635,Q01995,P62861,P09104,P04179,Q99471,Q6P2Q9,Q14011,O43617,Q96HC4",7.53e-05,Intracellular,0.4049155550881574
COMPARTMENTS,9848,36,"Q02218,Q9Y3D6,O60869,Q7Z417,P63208,Q07954,Q13263,P13861,P49023,P62979,Q9UQ35,P02461,P61981,P37837,P46778,P27816,Q9UPN3,Q05682,P53621,P06753,P60903,Q07065,P62328,P13010,Q02818,O15143,P43487,P27635,P62861,P09104,P04179,Q99471,Q6P2Q9,Q14011,O43617,Q96HC4",7.53e-05,Organelle,0.4103086542586489
COMPARTMENTS,7871,32,"Q02218,Q9Y3D6,O60869,Q7Z417,P63208,Q07954,P13861,P49023,P62979,P02461,P61981,P37837,P46778,P27816,Q9UPN3,P53621,P06753,P60903,Q07065,P62328,Q00341,Q02818,P43487,P27635,Q01995,P62861,P09104,P04179,Q99471,Q14011,O43617,Q96HC4",0.00016,Cytoplasm,0.4182289072331734
COMPARTMENTS,9242,34,"Q02218,Q9Y3D6,O60869,Q7Z417,P63208,Q07954,Q13263,P13861,P49023,P62979,Q9UQ35,P02461,P37837,P46778,P27816,Q9UPN3,Q05682,P53621,P06753,Q07065,P62328,P13010,Q02818,O15143,P43487,P27635,P62861,P09104,P04179,Q99471,Q6P2Q9,Q14011,O43617,Q96HC4",0.00032,Intracellular organelle,0.4107730935463809
COMPARTMENTS,3196,20,"O60869,Q7Z417,P13861,P49023,P62979,P46778,P27816,Q9UPN3,Q05682,P06753,Q07065,P62328,P13010,O15143,P27635,P62861,P09104,Q99471,Q14011,Q96HC4",0.00032,Intracellular non-membrane-bounded organelle,0.4537590816813935
COMPARTMENTS,13853,40,"Q02218,Q9Y3D6,O60869,Q7Z417,P63208,Q07954,Q13263,Q14767,P13861,P49023,P62979,Q9UQ35,P02461,P61981,P37837,P46778,P27816,Q9UPN3,Q05682,P02652,P53621,P06753,P60903,Q07065,P62328,Q00341,P13010,Q02818,O15143,P43487,P27635,Q01995,P62861,P09104,P04179,Q99471,Q6P2Q9,Q14011,O43617,Q96HC4",0.00032,Cellular anatomical entity,0.39376044180266806
COMPARTMENTS,769,10,"Q7Z417,P02461,P27816,Q9UPN3,Q05682,P06753,Q07065,P09104,Q14011,Q96HC4",0.00061,Supramolecular complex,0.5300566713581054
COMPARTMENTS,562,8,"Q7Z417,P62979,Q9UQ35,P46778,P13010,P27635,P62861,Q6P2Q9",0.0035,Ribonucleoprotein complex,0.5412665961789436
COMPARTMENTS,186,5,"Q7Z417,P62979,P46778,P27635,P62861",0.007,Ribosome,0.6357393856323077
COMPARTMENTS,1526,12,"P13861,P49023,P27816,Q9UPN3,Q05682,P06753,Q07065,P62328,O15143,P09104,Q99471,Q96HC4",0.007,Cytoskeleton,0.47511405078144725
