ID,Description,ProteinCount,Strength,FDR,geneID,ProteinRatio,pvalue,qvalue
GO:0006810,Transport,22,0.46,0.0018,"Q9Y3D6,Q07954,P62917,P38606,P21281,P42765,P26022,P61981,Q9H0U4,O94925,P35222,P62854,Q9UJZ1,P12956,Q9UNH7,P02652,Q96L92,Q07065,Q13162,O15143,P18859,Q07866",0.6470588235294118,0.0018,0.0018
GO:0051179,Localization,24,0.39,0.0021,"Q9Y3D6,Q07954,Q15843,P62917,P38606,P21281,P42765,P26022,P61981,Q9H0U4,O94925,P35222,P62854,Q9UJZ1,P12956,Q9UNH7,P02652,Q96L92,Q07065,Q13162,O15143,P18859,Q9UHD8,Q07866",0.7058823529411765,0.0021,0.0021
GO:1901653,Cellular response to peptide,7,1.09,0.0049,"Q9Y3D6,Q07954,P56192,P38606,P21281,P61981,Q9UNH7",0.20588235294117646,0.0049,0.0049
GO:0033036,Macromolecule localization,15,0.54,0.0152,"Q9Y3D6,Q07954,Q15843,P62917,P38606,P21281,P61981,Q9H0U4,P35222,P62854,Q9UJZ1,Q9UNH7,P02652,Q96L92,Q9UHD8",0.4411764705882353,0.0152,0.0152
GO:0071417,Cellular response to organonitrogen compound,8,0.89,0.0152,"Q9Y3D6,Q07954,P56192,P38606,P21281,P61981,P35222,Q9UNH7",0.23529411764705882,0.0152,0.0152
GO:0042592,Homeostatic process,12,0.61,0.0234,"Q9Y3D6,Q07954,Q15843,P38606,P21281,O94925,P35222,Q9UJZ1,P12956,P02652,Q13162,P04179",0.35294117647058826,0.0234,0.0234
GO:0051649,Establishment of localization in cell,14,0.53,0.0254,"Q9Y3D6,P62917,P26022,P61981,Q9H0U4,P35222,P62854,Q9UJZ1,P12956,Q9UNH7,Q96L92,Q07065,Q13162,P18859",0.4117647058823529,0.0254,0.0254
GO:0043648,Dicarboxylic acid metabolic process,4,1.39,0.0272,"Q02218,O94925,P40926,P36957",0.11764705882352941,0.0272,0.0272
GO:0044248,Cellular catabolic process,12,0.59,0.0272,"Q02218,Q9Y3D6,Q07954,Q15843,P62917,P42765,Q9H0U4,O94925,P36957,P35222,P62854,P02652",0.35294117647058826,0.0272,0.0272
GO:0046034,ATP metabolic process,5,1.15,0.0281,"Q02218,P38606,P21281,Q9UJZ1,P18859",0.14705882352941177,0.0281,0.0281
GO:0006099,Tricarboxylic acid cycle,3,1.71,0.0298,"Q02218,P40926,P36957",0.08823529411764706,0.0298,0.0298
GO:0008104,Protein localization,13,0.54,0.0298,"Q9Y3D6,Q07954,Q15843,P62917,P38606,P21281,P61981,Q9H0U4,P35222,P62854,Q9UNH7,Q96L92,Q9UHD8",0.38235294117647056,0.0298,0.0298
GO:0043523,Regulation of neuron apoptotic process,5,1.13,0.0298,"Q9Y3D6,Q07954,P35222,Q9UNH7,P04179",0.14705882352941177,0.0298,0.0298
GO:0006104,succinyl-CoA metabolic process,2,2.36,0.033,"Q02218,P36957",0.058823529411764705,0.033,0.033
GO:0006839,Mitochondrial transport,5,1.11,0.033,"Q9Y3D6,P42765,P61981,Q9UJZ1,P18859",0.14705882352941177,0.033,0.033
GO:0051641,Cellular localization,15,0.46,0.033,"Q9Y3D6,P62917,P26022,P61981,Q9H0U4,P35222,P62854,Q9UJZ1,P12956,Q9UNH7,Q96L92,Q07065,Q13162,P18859,Q9UHD8",0.4411764705882353,0.033,0.033
GO:0060620,Regulation of cholesterol import,2,2.46,0.033,"Q07954,P02652",0.058823529411764705,0.033,0.033
GO:0106077,Histone succinylation,2,2.46,0.033,"Q02218,P36957",0.058823529411764705,0.033,0.033
GO:1901700,Response to oxygen-containing compound,11,0.61,0.033,"Q9Y3D6,Q07954,P56192,P38606,P21281,P61981,P35222,Q9UNH7,P02652,O15143,P04179",0.3235294117647059,0.033,0.033
GO:1901701,Cellular response to oxygen-containing compound,9,0.69,0.033,"Q9Y3D6,Q07954,P56192,P38606,P21281,P61981,P35222,Q9UNH7,P04179",0.2647058823529412,0.033,0.033
GO:1903018,Regulation of glycoprotein metabolic process,3,1.57,0.0437,"P26022,Q9H0U4,P35222",0.08823529411764706,0.0437,0.0437
GO:0044403,Symbiotic process,8,0.73,0.0461,"P62917,P26022,Q9H0U4,P35222,P62854,P12956,P02652,Q07866",0.23529411764705882,0.0461,0.0461
GO:0048878,Chemical homeostasis,9,0.66,0.0461,"Q9Y3D6,Q07954,Q15843,P38606,P21281,O94925,Q9UJZ1,P02652,P04179",0.2647058823529412,0.0461,0.0461
