,ID,Description,ProteinCount,Strength,FDR,protnames,ProteinRatio,pvalue,qvalue
36,HSA-5663205,Infectious disease,11,0.78,0.0029,"Q13263,P62917,Q96CW1,P62854,P23246,P12956,P62906,P62913,P13010,O15143,P14314",0.2558139534883721,0.0029,0.0029
37,HSA-1643685,Disease,13,0.58,0.0202,"Q13263,P62917,Q96CW1,P37837,P62854,P23246,P12956,P62906,P62913,P13010,O15143,P04179,P14314",0.3023255813953488,0.0202,0.0202
38,HSA-1430728,Metabolism,13,0.45,0.0338,"Q02218,Q07954,P62917,P42765,O94925,P37837,P40926,P62854,P02652,P30085,P62906,P62913,P18859",0.3023255813953488,0.0338,0.0338
39,HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,4,1.23,0.0338,"P62917,P62854,P62906,P62913",0.09302325581395349,0.0338,0.0338
40,HSA-156902,Peptide chain elongation,4,1.32,0.0338,"P62917,P62854,P62906,P62913",0.09302325581395349,0.0338,0.0338
41,HSA-164843,2-LTR circle formation,2,2.11,0.0338,"P12956,P13010",0.046511627906976744,0.0338,0.0338
42,HSA-1799339,SRP-dependent cotranslational protein targeting to membrane,4,1.22,0.0338,"P62917,P62854,P62906,P62913",0.09302325581395349,0.0338,0.0338
43,HSA-192823,Viral mRNA Translation,4,1.32,0.0338,"P62917,P62854,P62906,P62913",0.09302325581395349,0.0338,0.0338
44,HSA-2408557,Selenocysteine synthesis,4,1.3,0.0338,"P62917,P62854,P62906,P62913",0.09302325581395349,0.0338,0.0338
45,HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),4,1.17,0.0338,"P02652,Q07065,Q02818,P14314",0.09302325581395349,0.0338,0.0338
46,HSA-392499,Metabolism of proteins,13,0.48,0.0338,"P07339,Q15843,Q13263,P62917,P62854,P02652,P53621,P62906,P62913,P15374,Q07065,Q02818,P14314",0.3023255813953488,0.0338,0.0338
47,HSA-422475,Axon guidance,7,0.77,0.0338,"P62917,Q96CW1,P02461,P62854,P62906,P62913,O15143",0.16279069767441862,0.0338,0.0338
48,HSA-71291,Metabolism of amino acids and derivatives,6,0.87,0.0338,"Q02218,P62917,O94925,P62854,P62906,P62913",0.13953488372093023,0.0338,0.0338
49,HSA-72689,Formation of a pool of free 40S subunits,4,1.26,0.0338,"P62917,P62854,P62906,P62913",0.09302325581395349,0.0338,0.0338
50,HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,4,1.22,0.0338,"P62917,P62854,P62906,P62913",0.09302325581395349,0.0338,0.0338
51,HSA-72764,Eukaryotic Translation Termination,4,1.3,0.0338,"P62917,P62854,P62906,P62913",0.09302325581395349,0.0338,0.0338
52,HSA-8957275,Post-translational protein phosphorylation,4,1.23,0.0338,"P02652,Q07065,Q02818,P14314",0.09302325581395349,0.0338,0.0338
53,HSA-9633012,Response of EIF2AK4 (GCN2) to amino acid deficiency,4,1.26,0.0338,"P62917,P62854,P62906,P62913",0.09302325581395349,0.0338,0.0338
54,HSA-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),4,1.29,0.0338,"P62917,P62854,P62906,P62913",0.09302325581395349,0.0338,0.0338
55,HSA-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),4,1.21,0.0338,"P62917,P62854,P62906,P62913",0.09302325581395349,0.0338,0.0338
56,HSA-3270619,IRF3-mediated induction of type I IFN,2,1.85,0.0351,"P12956,P13010",0.046511627906976744,0.0351,0.0351
57,HSA-9010553,Regulation of expression of SLITs and ROBOs,4,1.04,0.037,"P62917,P62854,P62906,P62913",0.09302325581395349,0.037,0.037
58,HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,4,1.0,0.0458,"P62917,P62854,P62906,P62913",0.09302325581395349,0.0458,0.0458
