Regulator,Target,Weight
Q02790,P07339,0.417
Q02790,P07339,0.417
Q02790,P13667,0.653
Q02790,P13667,0.653
P14866,Q92804,0.946
P14866,Q92804,0.946
P14866,Q16629,0.947
P14866,Q16629,0.947
Q7Z417,P62888,0.721
Q7Z417,P62888,0.721
Q7Z417,P62854,0.723
Q7Z417,P62854,0.723
Q7Z417,Q9UN86,0.8
Q7Z417,Q9UN86,0.8
P63208,Q9UMX0,0.489
P63208,Q9UMX0,0.489
P56192,P62888,0.453
P56192,P62888,0.453
P56192,Q99613,0.892
P56192,Q99613,0.892
P31949,P60903,0.611
P31949,P60903,0.611
Q16629,Q92804,0.762
Q16629,Q92804,0.762
Q99613,P62854,0.982
Q99613,P62854,0.982
P62854,Q9UMX0,0.485
P62854,Q9UMX0,0.485
P62854,P62888,0.999
P62854,P62888,0.999
P60903,Q01995,0.661
P60903,Q01995,0.661
Q9UMX0,P62888,0.482
Q9UMX0,P62888,0.482
