Regulator,Target,Weight
Q02218,P04179,0.422
Q02218,P04179,0.422
Q02218,P37837,0.548
Q02218,P37837,0.548
Q9Y3D6,P04179,0.592
Q9Y3D6,P04179,0.592
O60869,P27635,0.578
O60869,P27635,0.578
O60869,P62979,0.847
O60869,P62979,0.847
O60869,P62861,0.853
O60869,P62861,0.853
Q7Z417,Q9UPN3,0.492
Q7Z417,Q9UPN3,0.492
P63208,P13010,0.658
P63208,P13010,0.658
P63208,P61981,0.851
P63208,P61981,0.851
P63208,P62979,0.949
P63208,P62979,0.949
Q07954,P02652,0.912
Q07954,P02652,0.912
Q13263,Q6P2Q9,0.512
Q13263,Q6P2Q9,0.512
Q14767,P02461,0.498
Q14767,P02461,0.498
P13861,P49023,0.911
P13861,P49023,0.911
P49023,Q6P2Q9,0.476
P49023,Q6P2Q9,0.476
P49023,P06753,0.677
P49023,P06753,0.677
P49023,Q05682,0.75
P49023,Q05682,0.75
P62979,Q05682,0.461
P62979,Q05682,0.461
P62979,Q6P2Q9,0.6
P62979,Q6P2Q9,0.6
P62979,Q99471,0.669
P62979,Q99471,0.669
P62979,P27635,0.996
P62979,P27635,0.996
P62979,P46778,0.999
P62979,P46778,0.999
P62979,P62861,0.999
P62979,P62861,0.999
Q9UQ35,Q6P2Q9,0.998
Q9UQ35,Q6P2Q9,0.998
P02461,Q05682,0.468
P02461,Q05682,0.468
P02461,Q01995,0.534
P02461,Q01995,0.534
P37837,P09104,0.894
P37837,P09104,0.894
P46778,P43487,0.442
P46778,P43487,0.442
P46778,Q99471,0.732
P46778,Q99471,0.732
P46778,P62861,0.999
P46778,P62861,0.999
P46778,P27635,0.999
P46778,P27635,0.999
Q05682,P09104,0.406
Q05682,P09104,0.406
Q05682,Q01995,0.761
Q05682,Q01995,0.761
Q05682,P06753,0.761
Q05682,P06753,0.761
P02652,Q00341,0.698
P02652,Q00341,0.698
P06753,O15143,0.405
P06753,O15143,0.405
P60903,Q01995,0.661
P60903,Q01995,0.661
Q00341,P13010,0.487
Q00341,P13010,0.487
P43487,P27635,0.477
P43487,P27635,0.477
P27635,P04179,0.442
P27635,P04179,0.442
P27635,P62861,0.998
P27635,P62861,0.998
Q01995,P09104,0.699
Q01995,P09104,0.699
P62861,Q99471,0.422
P62861,Q99471,0.422
Q6P2Q9,Q14011,0.44
Q6P2Q9,Q14011,0.44
